Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-31, préliminaires par la suite
Station:        040841         Désert - sur le chemin Lytton en amont de la Chute Rouge                                                                                       
Bassin versant: 1646 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 35' 24" // -76° 2' 29"

Date de création du fichier: 2019-11-30 00:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040841         2005/04/04          28.87          MJ
040841         2005/04/05          36.07          MJ
040841         2005/04/06          42.38          MJ
040841         2005/04/07          54.06          MJ
040841         2005/04/08          68.99          MJ
040841         2005/04/09          80.85          MJ
040841         2005/04/10          85.58          MJ
040841         2005/04/11          88.45          MJ
040841         2005/04/12          90.28          MJ
040841         2005/04/13          92.70          MJ
040841         2005/04/14          94.85          MJ
040841         2005/04/15          96.93          MJ
040841         2005/04/16          98.67          MJ
040841         2005/04/17          101.3          MJ
040841         2005/04/18          104.9          MJ
040841         2005/04/19          107.7          MJ
040841         2005/04/20          112.9          MJ
040841         2005/04/21          117.6          MJ
040841         2005/04/22          119.7          MJ
040841         2005/04/23          119.5          MJ
040841         2005/04/24          121.0          MJ
040841         2005/04/25          128.5          MJ
040841         2005/04/26          131.2          MJ
040841         2005/04/27          129.2          MJ
040841         2005/04/28          126.3          MJ
040841         2005/04/29          127.5          MJ
040841         2005/04/30          126.4          J
040841         2005/05/01          123.4          MJ
040841         2005/05/02          117.2          MJ
040841         2005/05/03          112.2          MJ
040841         2005/05/04          106.3          MJ
040841         2005/05/05          99.95          MJ
040841         2005/05/06          94.84          MJ
040841         2005/05/07          88.08          MJ
040841         2005/05/08          81.96          MJ
040841         2005/05/09          76.51          MJ
040841         2005/05/10          71.49          MJ
040841         2005/05/11          66.88          MJ
040841         2005/05/12          61.24          MJ
040841         2005/05/13          57.19          MJ
040841         2005/05/14          54.79          MJ
040841         2005/05/15          50.66          MJ
040841         2005/05/16          47.90          MJ
040841         2005/05/17          45.00          MJ
040841         2005/05/18          42.29          J
040841         2005/05/19          40.16          MJ
040841         2005/05/20          38.10          MJ
