Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1996-09-30
Station:        041301         Coulonge - à 8,4 km en amont du pont-route 148 près de Fort-Coulonge                                                                           
Bassin versant: 5150 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 52' 25" // -76° 41' 3"

Date de création du fichier: 2012-06-25 03:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
041301         1926/10/01          23.60          MC
041301         1926/10/02          23.60          MC
041301         1926/10/03          21.40          MC
041301         1926/10/04          21.40          MC
041301         1926/10/05          19.30          MC
041301         1926/10/06          19.30          MC
041301         1926/10/07          17.10          MC
041301         1926/10/08          17.10          MC
041301         1926/10/09          17.10          MC
041301         1926/10/10          17.10          MC
041301         1926/10/11          17.10          MC
041301         1926/10/12          21.40          MC
041301         1926/10/13          21.40          MC
041301         1926/10/14          28.30          MC
041301         1926/10/15          28.30          MC
041301         1926/10/16          26.10          MC
041301         1926/10/17          26.10          MC
041301         1926/10/18          26.10          MC
041301         1926/10/19          26.10          MC
041301         1926/10/20          26.10          MC
041301         1926/10/21          26.10          MC
041301         1926/10/22          26.10          MC
041301         1926/10/23          26.10          MC
041301         1926/10/24          33.40          MC
041301         1926/10/25          36.20          MC
041301         1926/10/26          41.90          MC
041301         1926/10/27          44.70          MC
041301         1926/10/28          48.10          MC
041301         1926/10/29          51.50          MC
041301         1926/10/30          55.20          MC
041301         1926/10/31          55.20          MC
041301         1926/11/01          55.20          MC
041301         1926/11/02          58.90          MC
041301         1926/11/03          58.90          MC
041301         1926/11/04          55.20          MC
041301         1926/11/05          55.20          MC
041301         1926/11/06          55.20          MC
041301         1926/11/07          55.20          MC
041301         1926/11/08          58.90          MC
041301         1926/11/09          62.90          MC
041301         1926/11/10          66.80          MC
041301         1926/11/11          71.40          MC
041301         1926/11/12          75.90          MC
041301         1926/11/13          75.90          MC
041301         1926/11/14          81.00          MC
041301         1926/11/15          97.40          MC
041301         1926/11/16          132.0          MC
041301         1926/11/17          169.0          MC
041301         1926/11/18          220.0          MC
041301         1926/11/19          235.0          MC
041301         1926/11/20          228.0          MC
041301         1926/11/21          220.0          MC
