Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-03-15
Station:        041302         Coulonge - à 7,7 km en amont de la Coulonge Est                                                                                                
Bassin versant: 3680 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 9' 18" // -76° 45' 27"

Date de création du fichier: 2012-06-25 03:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
041302         1966/04/29          190.0          MC
041302         1966/04/30          
041302         1966/05/01          
041302         1966/05/02          
041302         1966/05/03          
041302         1966/05/04          
041302         1966/05/05          
041302         1966/05/06          
041302         1966/05/07          
041302         1966/05/08          
041302         1966/05/09          
041302         1966/05/10          
041302         1966/05/11          
041302         1966/05/12          
041302         1966/05/13          
041302         1966/05/14          
041302         1966/05/15          
041302         1966/05/16          
041302         1966/05/17          
041302         1966/05/18          
041302         1966/05/19          
041302         1966/05/20          
041302         1966/05/21          
041302         1966/05/22          
041302         1966/05/23          
041302         1966/05/24          
041302         1966/05/25          
041302         1966/05/26          
041302         1966/05/27          
041302         1966/05/28          
041302         1966/05/29          
041302         1966/05/30          
041302         1966/05/31          
041302         1966/06/01          97.10          MC
041302         1966/06/02          
041302         1966/06/03          
041302         1966/06/04          
041302         1966/06/05          
041302         1966/06/06          
041302         1966/06/07          
041302         1966/06/08          
041302         1966/06/09          
041302         1966/06/10          
041302         1966/06/11          
041302         1966/06/12          
041302         1966/06/13          
041302         1966/06/14          
041302         1966/06/15          
041302         1966/06/16          
041302         1966/06/17          
041302         1966/06/18          
041302         1966/06/19          
041302         1966/06/20          
041302         1966/06/21          
041302         1966/06/22          
041302         1966/06/23          
041302         1966/06/24          
041302         1966/06/25          
041302         1966/06/26          
041302         1966/06/27          
041302         1966/06/28          
041302         1966/06/29          
041302         1966/06/30          
041302         1966/07/01          
041302         1966/07/02          
041302         1966/07/03          
041302         1966/07/04          
041302         1966/07/05          
041302         1966/07/06          
041302         1966/07/07          
041302         1966/07/08          
041302         1966/07/09          
041302         1966/07/10          
041302         1966/07/11          
041302         1966/07/12          
041302         1966/07/13          
041302         1966/07/14          
041302         1966/07/15          
041302         1966/07/16          
041302         1966/07/17          
041302         1966/07/18          
041302         1966/07/19          
041302         1966/07/20          
041302         1966/07/21          
041302         1966/07/22          
041302         1966/07/23          
041302         1966/07/24          
041302         1966/07/25          
041302         1966/07/26          
041302         1966/07/27          
041302         1966/07/28          
041302         1966/07/29          
041302         1966/07/30          
041302         1966/07/31          
041302         1966/08/01          
041302         1966/08/02          
041302         1966/08/03          
041302         1966/08/04          
041302         1966/08/05          
041302         1966/08/06          
041302         1966/08/07          
041302         1966/08/08          
041302         1966/08/09          
041302         1966/08/10          
041302         1966/08/11          
041302         1966/08/12          
041302         1966/08/13          
041302         1966/08/14          
041302         1966/08/15          
041302         1966/08/16          
041302         1966/08/17          
041302         1966/08/18          
041302         1966/08/19          
041302         1966/08/20          
041302         1966/08/21          
041302         1966/08/22          
041302         1966/08/23          
041302         1966/08/24          
041302         1966/08/25          
041302         1966/08/26          
041302         1966/08/27          
041302         1966/08/28          
041302         1966/08/29          
041302         1966/08/30          
041302         1966/08/31          
041302         1966/09/01          
041302         1966/09/02          
041302         1966/09/03          
041302         1966/09/04          
041302         1966/09/05          
041302         1966/09/06          
041302         1966/09/07          
041302         1966/09/08          
041302         1966/09/09          
041302         1966/09/10          
041302         1966/09/11          
041302         1966/09/12          
041302         1966/09/13          
041302         1966/09/14          18.40          MC
041302         1966/09/15          
041302         1966/09/16          
041302         1966/09/17          
041302         1966/09/18          
041302         1966/09/19          
041302         1966/09/20          
041302         1966/09/21          
041302         1966/09/22          
041302         1966/09/23          
041302         1966/09/24          
041302         1966/09/25          
041302         1966/09/26          
041302         1966/09/27          
041302         1966/09/28          
041302         1966/09/29          
041302         1966/09/30          
041302         1966/10/01          
041302         1966/10/02          
041302         1966/10/03          
041302         1966/10/04          
041302         1966/10/05          
041302         1966/10/06          
041302         1966/10/07          
041302         1966/10/08          
041302         1966/10/09          
041302         1966/10/10          
041302         1966/10/11          
041302         1966/10/12          
041302         1966/10/13          
041302         1966/10/14          
041302         1966/10/15          
041302         1966/10/16          
041302         1966/10/17          
041302         1966/10/18          
041302         1966/10/19          
041302         1966/10/20          
041302         1966/10/21          
041302         1966/10/22          
041302         1966/10/23          
041302         1966/10/24          
041302         1966/10/25          
041302         1966/10/26          
041302         1966/10/27          
041302         1966/10/28          
041302         1966/10/29          
041302         1966/10/30          
041302         1966/10/31          
041302         1966/11/01          
