Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-07-17
Station:        041402         Noire - à 0,5 km en aval du ruisseau du lac Raymond                                                                                            
Bassin versant: 1800 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 17' 1" // -77° 4' 39"

Date de création du fichier: 2012-06-25 03:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
041402         1961/10/01          40.50          MC
041402         1961/10/02          36.20          MC
041402         1961/10/03          33.10          MC
041402         1961/10/04          30.00          MC
041402         1961/10/05          27.50          MC
041402         1961/10/06          25.40          MC
041402         1961/10/07          23.60          MC
041402         1961/10/08          22.30          MC
041402         1961/10/09          21.30          MC
041402         1961/10/10          20.50          MC
041402         1961/10/11          20.10          MC
041402         1961/10/12          19.90          MC
041402         1961/10/13          20.50          MC
041402         1961/10/14          20.50          MC
041402         1961/10/15          19.30          MC
041402         1961/10/16          18.20          MC
041402         1961/10/17          16.80          MC
041402         1961/10/18          16.00          MC
041402         1961/10/19          15.50          MC
041402         1961/10/20          14.70          MC
041402         1961/10/21          14.20          MC
041402         1961/10/22          13.60          MC
041402         1961/10/23          13.30          MC
041402         1961/10/24          13.10          MC
041402         1961/10/25          17.00          MC
041402         1961/10/26          21.70          MC
041402         1961/10/27          18.00          MC
041402         1961/10/28          17.20          MC
041402         1961/10/29          16.00          MC
041402         1961/10/30          18.90          MC
041402         1961/10/31          21.90          MC
041402         1961/11/01          19.90          MC
041402         1961/11/02          18.50          MC
041402         1961/11/03          17.40          MC
041402         1961/11/04          16.40          MC
041402         1961/11/05          15.80          MC
041402         1961/11/06          15.40          MC
041402         1961/11/07          15.40          MC
041402         1961/11/08          25.00          MC
041402         1961/11/09          22.70          MC
041402         1961/11/10          20.10          MC
041402         1961/11/11          24.00          MC
041402         1961/11/12          26.50          MC
041402         1961/11/13          24.00          MC
041402         1961/11/14          17.00          MC
041402         1961/11/15          16.20          MC
041402         1961/11/16          15.80          MC
041402         1961/11/17          15.70          MC
041402         1961/11/18          15.70          MC
041402         1961/11/19          15.70          MC
041402         1961/11/20          15.70          MC
041402         1961/11/21          15.50          R
041402         1961/11/22          15.30          R
041402         1961/11/23          15.30          R
041402         1961/11/24          22.90          R
041402         1961/11/25          24.60          R
041402         1961/11/26          26.50          R
041402         1961/11/27          27.50          R
041402         1961/11/28          27.90          R
041402         1961/11/29          28.10          R
041402         1961/11/30          20.90          R
041402         1961/12/01          19.90          R
041402         1961/12/02          21.90          R
041402         1961/12/03          24.00          R
041402         1961/12/04          26.90          MC
041402         1961/12/05          31.70          MC
041402         1961/12/06          34.50          MC
041402         1961/12/07          39.10          MC
041402         1961/12/08          40.20          MC
041402         1961/12/09          34.50          MC
041402         1961/12/10          31.40          MC
041402         1961/12/11          30.00          MC
041402         1961/12/12          27.90          MC
041402         1961/12/13          27.80          MC
041402         1961/12/14          22.10          MC
041402         1961/12/15          19.90          MC
041402         1961/12/16          18.90          MC
041402         1961/12/17          17.00          MC
041402         1961/12/18          16.80          R
041402         1961/12/19          16.60          R
041402         1961/12/20          16.40          R
041402         1961/12/21          16.20          R
041402         1961/12/22          16.00          R
041402         1961/12/23          16.80          R
041402         1961/12/24          19.50          R
041402         1961/12/25          22.70          R
041402         1961/12/26          22.90          R
041402         1961/12/27          22.70          R
041402         1961/12/28          21.70          R
041402         1961/12/29          21.10          R
041402         1961/12/30          20.50          R
041402         1961/12/31          20.30          R
041402         1962/01/01          19.90          R
041402         1962/01/02          19.70          R
041402         1962/01/03          19.50          R
041402         1962/01/04          19.50          R
041402         1962/01/05          19.30          R
041402         1962/01/06          19.30          R
041402         1962/01/07          24.40          R
041402         1962/01/08          24.80          R
041402         1962/01/09          24.40          R
041402         1962/01/10          23.80          R
041402         1962/01/11          23.10          R
041402         1962/01/12          22.30          R
041402         1962/01/13          21.30          R
041402         1962/01/14          20.10          R
041402         1962/01/15          18.70          R
041402         1962/01/16          18.00          R
041402         1962/01/17          17.60          R
041402         1962/01/18          17.40          R
041402         1962/01/19          17.40          R
