Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1950-09-30
Station:        041404         Noire - à la chute de la Culbute à 12,9 km en amont du pont-route 148                                                                          
Bassin versant: 2560 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 58' 43" // -76° 49' 49"

Date de création du fichier: 2012-06-25 04:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
041404         1926/10/06          9.060          MC
041404         1926/10/07          9.060          MC
041404         1926/10/08          9.060          MC
041404         1926/10/09          9.060          MC
041404         1926/10/10          9.060          MC
041404         1926/10/11          9.060          MC
041404         1926/10/12          9.060          MC
041404         1926/10/13          9.060          MC
041404         1926/10/14          9.910          MC
041404         1926/10/15          9.910          MC
041404         1926/10/16          9.910          MC
041404         1926/10/17          9.910          MC
041404         1926/10/18          9.910          MC
041404         1926/10/19          9.060          MC
041404         1926/10/20          9.060          MC
041404         1926/10/21          9.060          MC
041404         1926/10/22          9.060          MC
041404         1926/10/23          9.060          MC
041404         1926/10/24          11.90          MC
041404         1926/10/25          14.20          MC
041404         1926/10/26          15.30          MC
041404         1926/10/27          15.30          MC
041404         1926/10/28          16.70          MC
041404         1926/10/29          18.10          MC
041404         1926/10/30          18.10          MC
041404         1926/10/31          18.10          MC
041404         1926/11/01          18.10          MC
041404         1926/11/02          19.50          MC
041404         1926/11/03          21.20          MC
041404         1926/11/04          21.20          MC
041404         1926/11/05          21.20          MC
041404         1926/11/06          21.20          MC
041404         1926/11/07          21.20          MC
041404         1926/11/08          22.90          MC
041404         1926/11/09          24.60          MC
041404         1926/11/10          24.60          MC
041404         1926/11/11          24.60          MC
041404         1926/11/12          24.60          MC
041404         1926/11/13          24.60          MC
041404         1926/11/14          26.60          MC
041404         1926/11/15          28.60          MC
041404         1926/11/16          30.90          MC
041404         1926/11/17          63.70          MC
041404         1926/11/18          66.50          MC
041404         1926/11/19          69.40          MC
041404         1926/11/20          72.50          MC
041404         1926/11/21          75.60          MC
041404         1926/11/22          72.50          MC
041404         1926/11/23          69.40          MC
041404         1926/11/24          66.50          MC
041404         1926/11/25          63.70          MC
041404         1926/11/26          60.90          MC
041404         1926/11/27          58.00          MC
041404         1926/11/28          55.20          MC
041404         1926/11/29          55.20          MC
041404         1926/11/30          52.40          MC
041404         1926/12/01          52.40          MC
041404         1926/12/02          52.40          MC
041404         1926/12/03          52.40          MC
041404         1926/12/04          49.60          MC
041404         1926/12/05          49.60          MC
041404         1926/12/06          49.60          MC
041404         1926/12/07          49.60          MC
041404         1926/12/08          49.60          MC
041404         1926/12/09          47.00          MC
041404         1926/12/10          44.50          MC
041404         1926/12/11          39.40          MC
041404         1926/12/12          39.40          MC
041404         1926/12/13          39.40          MC
041404         1926/12/14          39.40          MC
041404         1926/12/15          39.40          MC
041404         1926/12/16          39.40          MC
041404         1926/12/17          39.40          MC
041404         1926/12/18          39.40          MC
041404         1926/12/19          39.40          MC
041404         1926/12/20          39.40          MC
041404         1926/12/21          29.20          MC
041404         1926/12/22          29.20          MC
041404         1926/12/23          29.20          MC
041404         1926/12/24          29.20          MC
041404         1926/12/25          29.20          MC
041404         1926/12/26          29.20          MC
041404         1926/12/27          29.20          MC
041404         1926/12/28          29.20          MC
041404         1926/12/29          29.20          MC
041404         1926/12/30          29.20          MC
041404         1926/12/31          29.20          MC
041404         1927/01/01          20.40          MC
041404         1927/01/02          20.40          MC
041404         1927/01/03          20.40          MC
041404         1927/01/04          20.40          MC
041404         1927/01/05          20.40          MC
041404         1927/01/06          20.40          MC
041404         1927/01/07          20.40          MC
041404         1927/01/08          20.40          MC
041404         1927/01/09          20.40          MC
041404         1927/01/10          20.40          MC
041404         1927/01/11          20.40          MC
041404         1927/01/12          20.40          MC
041404         1927/01/13          20.40          MC
041404         1927/01/14          20.40          MC
041404         1927/01/15          20.40          MC
041404         1927/01/16          16.30          MC
041404         1927/01/17          16.30          MC
041404         1927/01/18          16.30          MC
041404         1927/01/19          16.30          MC
041404         1927/01/20          16.30          MC
041404         1927/01/21          16.30          MC
041404         1927/01/22          16.30          MC
041404         1927/01/23          16.30          MC
041404         1927/01/24          16.30          MC
041404         1927/01/25          16.30          MC
041404         1927/01/26          16.30          MC
041404         1927/01/27          16.30          MC
041404         1927/01/28          16.30          MC
041404         1927/01/29          16.30          MC
041404         1927/01/30          16.30          MC
041404         1927/01/31          16.30          MC
041404         1927/02/01          14.40          MC
041404         1927/02/02          14.40          MC
041404         1927/02/03          14.40          MC
041404         1927/02/04          14.40          MC
041404         1927/02/05          14.40          MC
041404         1927/02/06          14.40          MC
041404         1927/02/07          14.40          MC
041404         1927/02/08          14.40          MC
041404         1927/02/09          14.40          MC
041404         1927/02/10          14.40          MC
041404         1927/02/11          14.40          MC
041404         1927/02/12          14.40          MC
041404         1927/02/13          14.40          MC
041404         1927/02/14          14.40          MC
041404         1927/02/15          14.40          MC
041404         1927/02/16          13.90          MC
041404         1927/02/17          13.90          MC
041404         1927/02/18          13.90          MC
041404         1927/02/19          13.90          MC
041404         1927/02/20          13.90          MC
041404         1927/02/21          13.90          MC
041404         1927/02/22          13.90          MC
041404         1927/02/23          13.90          MC
041404         1927/02/24          13.90          MC
041404         1927/02/25          13.90          MC
041404         1927/02/26          13.90          MC
041404         1927/02/27          13.90          MC
041404         1927/02/28          13.90          MC
041404         1927/03/01          14.20          MC
041404         1927/03/02          14.20          MC
041404         1927/03/03          14.20          MC
041404         1927/03/04          14.20          MC
041404         1927/03/05          14.20          MC
041404         1927/03/06          14.20          MC
041404         1927/03/07          14.20          MC
041404         1927/03/08          14.20          MC
041404         1927/03/09          14.20          MC
041404         1927/03/10          14.20          MC
041404         1927/03/11          17.40          MC
041404         1927/03/12          17.40          MC
041404         1927/03/13          17.40          MC
041404         1927/03/14          17.40          MC
041404         1927/03/15          17.40          MC
041404         1927/03/16          17.40          MC
041404         1927/03/17          17.40          MC
041404         1927/03/18          17.40          MC
041404         1927/03/19          17.40          MC
041404         1927/03/20          17.40          MC
041404         1927/03/21          20.40          MC
041404         1927/03/22          32.60          MC
041404         1927/03/23          34.80          MC
041404         1927/03/24          37.10          MC
041404         1927/03/25          39.40          MC
041404         1927/03/26          39.40          MC
041404         1927/03/27          41.60          MC
041404         1927/03/28          41.60          MC
041404         1927/03/29          41.60          MC
041404         1927/03/30          44.20          MC
041404         1927/03/31          44.20          MC
041404         1927/04/01          44.20          MC
041404         1927/04/02          44.20          MC
041404         1927/04/03          44.20          MC
041404         1927/04/04          44.20          MC
041404         1927/04/05          41.60          MC
041404         1927/04/06          39.40          MC
041404         1927/04/07          37.10          MC
041404         1927/04/08          37.10          MC
041404         1927/04/09          34.80          MC
041404         1927/04/10          34.80          MC
041404         1927/04/11          37.10          MC
041404         1927/04/12          39.40          MC
041404         1927/04/13          41.60          MC
041404         1927/04/14          44.20          MC
041404         1927/04/15          46.70          MC
041404         1927/04/16          49.30          MC
041404         1927/04/17          52.10          MC
041404         1927/04/18          52.10          MC
041404         1927/04/19          54.90          MC
041404         1927/04/20          57.80          MC
041404         1927/04/21          57.80          MC
041404         1927/04/22          63.40          MC
041404         1927/04/23          69.10          MC
041404         1927/04/24          87.80          MC
041404         1927/04/25          98.00          MC
041404         1927/04/26          66.30          MC
041404         1927/04/27          52.10          MC
041404         1927/04/28          66.30          MC
041404         1927/04/29          63.40          MC
041404         1927/04/30          57.80          MC
041404         1927/05/01          54.90          MC
041404         1927/05/02          57.80          MC
041404         1927/05/03          57.80          MC
041404         1927/05/04          54.90          MC
041404         1927/05/05          54.90          MC
041404         1927/05/06          52.10          MC
041404         1927/05/07          52.10          MC
041404         1927/05/08          52.10          MC
041404         1927/05/09          49.30          MC
041404         1927/05/10          49.30          MC
041404         1927/05/11          54.90          MC
041404         1927/05/12          63.40          MC
041404         1927/05/13          66.30          MC
041404         1927/05/14          69.10          MC
041404         1927/05/15          72.20          MC
041404         1927/05/16          72.20          MC
041404         1927/05/17          75.30          MC
041404         1927/05/18          75.30          MC
041404         1927/05/19          72.20          MC
041404         1927/05/20          75.30          MC
041404         1927/05/21          75.30          MC
041404         1927/05/22          75.30          MC
041404         1927/05/23          78.40          MC
041404         1927/05/24          78.40          MC
041404         1927/05/25          75.30          MC
041404         1927/05/26          75.30          MC
041404         1927/05/27          72.20          MC
041404         1927/05/28          69.10          MC
041404         1927/05/29          69.10          MC
041404         1927/05/30          72.20          MC
041404         1927/05/31          72.20          MC
041404         1927/06/01          72.20          MC
041404         1927/06/02          72.20          MC
041404         1927/06/03          72.20          MC
041404         1927/06/04          72.20          MC
041404         1927/06/05          72.20          MC
041404         1927/06/06          72.20          MC
041404         1927/06/07          75.30          MC
041404         1927/06/08          90.60          MC
041404         1927/06/09          92.30          MC
041404         1927/06/10          95.70          MC
041404         1927/06/11          99.10          MC
041404         1927/06/12          103.0          MC
041404         1927/06/13          103.0          MC
041404         1927/06/14          99.10          MC
041404         1927/06/15          95.70          MC
041404         1927/06/16          92.30          MC
041404         1927/06/17          88.90          MC
041404         1927/06/18          88.90          MC
041404         1927/06/19          85.50          MC
041404         1927/06/20          82.40          MC
041404         1927/06/21          79.30          MC
041404         1927/06/22          76.20          MC
041404         1927/06/23          73.10          MC
041404         1927/06/24          69.90          MC
041404         1927/06/25          67.10          MC
041404         1927/06/26          64.30          MC
041404         1927/06/27          61.40          MC
041404         1927/06/28          58.60          MC
041404         1927/06/29          58.60          MC
041404         1927/06/30          58.60          MC
041404         1927/07/01          55.80          MC
041404         1927/07/02          55.80          MC
041404         1927/07/03          55.80          MC
041404         1927/07/04          53.00          MC
041404         1927/07/05          45.00          MC
041404         1927/07/06          41.90          MC
