Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1949-09-30
Station:        041901         Dumoine - à 1,6 km de la rivière des Outaouais                                                                                                 
Bassin versant: 4350 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 13' 53" // -77° 51' 19"

Date de création du fichier: 2012-06-25 04:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
041901         1926/10/01          22.10          MC
041901         1926/10/02          22.10          MC
041901         1926/10/03          21.50          MC
041901         1926/10/04          21.00          MC
041901         1926/10/05          19.70          MC
041901         1926/10/06          19.70          MC
041901         1926/10/07          18.70          MC
041901         1926/10/08          18.70          MC
041901         1926/10/09          18.70          MC
041901         1926/10/10          17.10          MC
041901         1926/10/11          17.10          MC
041901         1926/10/12          16.70          MC
041901         1926/10/13          16.70          MC
041901         1926/10/14          15.70          MC
041901         1926/10/15          15.70          MC
041901         1926/10/16          14.90          MC
041901         1926/10/17          15.90          MC
041901         1926/10/18          16.70          MC
041901         1926/10/19          17.70          MC
041901         1926/10/20          18.70          MC
041901         1926/10/21          18.10          MC
041901         1926/10/22          18.70          MC
041901         1926/10/23          18.70          MC
041901         1926/10/24          19.50          MC
041901         1926/10/25          21.00          MC
041901         1926/10/26          22.10          MC
041901         1926/10/27          22.70          MC
041901         1926/10/28          23.40          MC
041901         1926/10/29          23.90          MC
041901         1926/10/30          25.90          MC
041901         1926/10/31          24.90          MC
041901         1926/11/01          23.90          MC
041901         1926/11/02          23.40          MC
041901         1926/11/03          26.10          MC
041901         1926/11/04          27.30          MC
041901         1926/11/05          28.90          MC
041901         1926/11/06          28.90          MC
041901         1926/11/07          29.40          MC
041901         1926/11/08          30.30          MC
041901         1926/11/09          30.30          MC
041901         1926/11/10          31.10          MC
041901         1926/11/11          31.70          MC
041901         1926/11/12          32.60          MC
041901         1926/11/13          33.40          MC
041901         1926/11/14          38.20          MC
041901         1926/11/15          43.30          MC
041901         1926/11/16          56.60          MC
041901         1926/11/17          80.40          MC
041901         1926/11/18          90.60          MC
041901         1926/11/19          104.0          MC
041901         1926/11/20          98.50          MC
041901         1926/11/21          94.30          MC
041901         1926/11/22          90.30          MC
041901         1926/11/23          87.80          MC
041901         1926/11/24          85.20          MC
041901         1926/11/25          83.00          MC
041901         1926/11/26          85.20          MC
041901         1926/11/27          87.80          MC
041901         1926/11/28          88.90          MC
041901         1926/11/29          90.30          MC
041901         1926/11/30          93.20          MC
041901         1926/12/01          95.70          MC
041901         1926/12/02          98.50          MC
041901         1926/12/03          104.0          MC
041901         1926/12/04          110.0          MC
041901         1926/12/05          111.0          MC
041901         1926/12/06          113.0          MC
041901         1926/12/07          110.0          MC
041901         1926/12/08          110.0          MC
041901         1926/12/09          107.0          MC
041901         1926/12/10          104.0          MC
041901         1926/12/11          101.0          MC
041901         1926/12/12          98.30          MC
041901         1926/12/13          95.70          MC
041901         1926/12/14          90.30          MC
041901         1926/12/15          85.20          MC
041901         1926/12/16          83.00          MC
041901         1926/12/17          83.00          MC
041901         1926/12/18          81.60          MC
041901         1926/12/19          81.60          MC
041901         1926/12/20          81.60          MC
041901         1926/12/21          81.60          MC
041901         1926/12/22          81.60          MC
041901         1926/12/23          81.60          MC
041901         1926/12/24          81.60          MC
041901         1926/12/25          81.60          MC
041901         1926/12/26          81.60          MC
041901         1926/12/27          81.60          MC
041901         1926/12/28          81.60          MC
041901         1926/12/29          81.60          MC
041901         1926/12/30          81.60          MC
041901         1926/12/31          81.60          MC
041901         1927/01/01          52.70          MC
041901         1927/01/02          52.70          MC
041901         1927/01/03          52.70          MC
041901         1927/01/04          52.70          MC
041901         1927/01/05          52.70          MC
041901         1927/01/06          52.70          MC
041901         1927/01/07          52.70          MC
041901         1927/01/08          52.70          MC
041901         1927/01/09          52.70          MC
041901         1927/01/10          52.70          MC
041901         1927/01/11          52.70          MC
041901         1927/01/12          52.70          MC
041901         1927/01/13          52.70          MC
041901         1927/01/14          52.70          MC
041901         1927/01/15          52.70          MC
041901         1927/01/16          52.70          MC
041901         1927/01/17          52.70          MC
041901         1927/01/18          52.70          MC
041901         1927/01/19          52.70          MC
041901         1927/01/20          52.70          MC
041901         1927/01/21          52.70          MC
041901         1927/01/22          52.70          MC
041901         1927/01/23          52.70          MC
041901         1927/01/24          52.70          MC
041901         1927/01/25          52.70          MC
041901         1927/01/26          52.70          MC
041901         1927/01/27          52.70          MC
041901         1927/01/28          52.70          MC
041901         1927/01/29          52.70          MC
041901         1927/01/30          52.70          MC
041901         1927/01/31          52.70          MC
041901         1927/02/01          31.70          MC
041901         1927/02/02          31.70          MC
041901         1927/02/03          31.70          MC
041901         1927/02/04          31.70          MC
041901         1927/02/05          31.70          MC
041901         1927/02/06          31.70          MC
041901         1927/02/07          31.70          MC
041901         1927/02/08          31.70          MC
041901         1927/02/09          31.70          MC
041901         1927/02/10          31.70          MC
041901         1927/02/11          31.70          MC
041901         1927/02/12          31.70          MC
041901         1927/02/13          31.70          MC
041901         1927/02/14          31.70          MC
041901         1927/02/15          31.70          MC
041901         1927/02/16          31.70          MC
041901         1927/02/17          31.70          MC
041901         1927/02/18          31.70          MC
041901         1927/02/19          31.70          MC
041901         1927/02/20          31.70          MC
041901         1927/02/21          31.70          MC
041901         1927/02/22          31.70          MC
041901         1927/02/23          31.70          MC
041901         1927/02/24          31.70          MC
041901         1927/02/25          31.70          MC
041901         1927/02/26          31.70          MC
041901         1927/02/27          31.70          MC
041901         1927/02/28          31.70          MC
041901         1927/03/01          34.30          MC
041901         1927/03/02          34.30          MC
041901         1927/03/03          34.30          MC
041901         1927/03/04          34.30          MC
041901         1927/03/05          34.30          MC
041901         1927/03/06          34.30          MC
041901         1927/03/07          34.30          MC
041901         1927/03/08          34.30          MC
041901         1927/03/09          34.30          MC
