Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1970-09-10
Station:        042102         Maganasipi - à 6,8 km de la riviere des Outaouais                                                                                              
Bassin versant: 619 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 18' 2" // -78° 19' 0"

Date de création du fichier: 2012-06-25 04:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
042102         1966/06/02          8.660          MC
042102         1966/06/03          
042102         1966/06/04          
042102         1966/06/05          
042102         1966/06/06          
042102         1966/06/07          
042102         1966/06/08          
042102         1966/06/09          
042102         1966/06/10          
042102         1966/06/11          
042102         1966/06/12          
042102         1966/06/13          
042102         1966/06/14          
042102         1966/06/15          
042102         1966/06/16          
042102         1966/06/17          
042102         1966/06/18          
042102         1966/06/19          
042102         1966/06/20          
042102         1966/06/21          
042102         1966/06/22          
042102         1966/06/23          
042102         1966/06/24          
042102         1966/06/25          
042102         1966/06/26          
042102         1966/06/27          
042102         1966/06/28          
042102         1966/06/29          
042102         1966/06/30          
042102         1966/07/01          
042102         1966/07/02          
042102         1966/07/03          
042102         1966/07/04          
042102         1966/07/05          
042102         1966/07/06          
042102         1966/07/07          
042102         1966/07/08          
042102         1966/07/09          
042102         1966/07/10          
042102         1966/07/11          
042102         1966/07/12          
042102         1966/07/13          
042102         1966/07/14          
042102         1966/07/15          
042102         1966/07/16          
042102         1966/07/17          
042102         1966/07/18          
042102         1966/07/19          
042102         1966/07/20          
042102         1966/07/21          
042102         1966/07/22          
042102         1966/07/23          
042102         1966/07/24          
042102         1966/07/25          
042102         1966/07/26          
042102         1966/07/27          
042102         1966/07/28          
042102         1966/07/29          
042102         1966/07/30          
042102         1966/07/31          
042102         1966/08/01          
042102         1966/08/02          
042102         1966/08/03          
042102         1966/08/04          
042102         1966/08/05          
042102         1966/08/06          
042102         1966/08/07          
042102         1966/08/08          
042102         1966/08/09          
042102         1966/08/10          
042102         1966/08/11          
042102         1966/08/12          
042102         1966/08/13          
042102         1966/08/14          
042102         1966/08/15          
042102         1966/08/16          
042102         1966/08/17          
042102         1966/08/18          
042102         1966/08/19          
042102         1966/08/20          
042102         1966/08/21          
042102         1966/08/22          
042102         1966/08/23          
042102         1966/08/24          
042102         1966/08/25          
042102         1966/08/26          
042102         1966/08/27          
042102         1966/08/28          
042102         1966/08/29          
042102         1966/08/30          
042102         1966/08/31          
042102         1966/09/01          
042102         1966/09/02          
042102         1966/09/03          
042102         1966/09/04          
042102         1966/09/05          
042102         1966/09/06          
042102         1966/09/07          
042102         1966/09/08          
042102         1966/09/09          
042102         1966/09/10          
042102         1966/09/11          
042102         1966/09/12          
042102         1966/09/13          
042102         1966/09/14          
042102         1966/09/15          
042102         1966/09/16          1.800          MC
042102         1966/09/17          
042102         1966/09/18          
042102         1966/09/19          
042102         1966/09/20          
042102         1966/09/21          
042102         1966/09/22          
042102         1966/09/23          
042102         1966/09/24          
042102         1966/09/25          
042102         1966/09/26          
042102         1966/09/27          
042102         1966/09/28          
042102         1966/09/29          
042102         1966/09/30          
042102         1966/10/01          
042102         1966/10/02          
042102         1966/10/03          
042102         1966/10/04          
042102         1966/10/05          
042102         1966/10/06          
042102         1966/10/07          
042102         1966/10/08          
042102         1966/10/09          
042102         1966/10/10          
042102         1966/10/11          
042102         1966/10/12          
042102         1966/10/13          
042102         1966/10/14          
042102         1966/10/15          
042102         1966/10/16          
042102         1966/10/17          
042102         1966/10/18          
042102         1966/10/19          
042102         1966/10/20          
042102         1966/10/21          
042102         1966/10/22          
042102         1966/10/23          
042102         1966/10/24          
042102         1966/10/25          
042102         1966/10/26          
042102         1966/10/27          
042102         1966/10/28          
042102         1966/10/29          
042102         1966/10/30          
042102         1966/10/31          
042102         1966/11/01          
042102         1966/11/02          
042102         1966/11/03          
042102         1966/11/04          
042102         1966/11/05          
042102         1966/11/06          
042102         1966/11/07          
042102         1966/11/08          
042102         1966/11/09          
042102         1966/11/10          
042102         1966/11/11          
042102         1966/11/12          
042102         1966/11/13          
042102         1966/11/14          
042102         1966/11/15          
042102         1966/11/16          15.50          MC
042102         1966/11/17          15.10          MC
042102         1966/11/18          14.40          MC
042102         1966/11/19          13.60          MC
042102         1966/11/20          12.80          MC
042102         1966/11/21          11.60          MC
042102         1966/11/22          10.20          MC
042102         1966/11/23          10.50          MC
042102         1966/11/24          10.50          MC
042102         1966/11/25          11.80          MC
042102         1966/11/26          13.90          MC
042102         1966/11/27          14.50          MC
042102         1966/11/28          16.60          MC
042102         1966/11/29          51.50          MC
042102         1966/11/30          67.10          MC
042102         1966/12/01          59.50          MC
042102         1966/12/02          50.10          MC
042102         1966/12/03          40.50          MC
042102         1966/12/04          34.50          MC
042102         1966/12/05          30.90          MC
042102         1966/12/06          27.90          MC
042102         1966/12/07          26.30          MC
042102         1966/12/08          28.10          MC
042102         1966/12/09          38.50          MC
042102         1966/12/10          46.70          MC
042102         1966/12/11          43.60          MC
042102         1966/12/12          37.90          MC
042102         1966/12/13          35.10          MC
042102         1966/12/14          32.00          MC
042102         1966/12/15          28.30          MC
042102         1966/12/16          25.60          MC
042102         1966/12/17          24.30          MC
042102         1966/12/18          22.10          MC
042102         1966/12/19          20.60          MC
042102         1966/12/20          19.30          R
042102         1966/12/21          18.40          R
042102         1966/12/22          17.30          R
042102         1966/12/23          16.40          R
042102         1966/12/24          15.60          R
042102         1966/12/25          14.70          R
042102         1966/12/26          14.00          R
042102         1966/12/27          13.30          R
042102         1966/12/28          12.70          R
042102         1966/12/29          12.20          R
042102         1966/12/30          11.60          R
042102         1966/12/31          11.00          R
042102         1967/01/01          10.80          R
042102         1967/01/02          10.30          R
042102         1967/01/03          9.910          R
042102         1967/01/04          9.490          R
042102         1967/01/05          9.120          R
042102         1967/01/06          8.780          R
042102         1967/01/07          8.500          R
042102         1967/01/08          8.070          R
042102         1967/01/09          7.870          R
042102         1967/01/10          7.450          R
042102         1967/01/11          7.220          R
042102         1967/01/12          6.940          R
042102         1967/01/13          6.710          R
042102         1967/01/14          6.510          R
042102         1967/01/15          6.370          R
042102         1967/01/16          6.230          R
042102         1967/01/17          6.120          R
042102         1967/01/18          6.060          R
042102         1967/01/19          6.030          R
042102         1967/01/20          6.000          R
042102         1967/01/21          5.950          R
042102         1967/01/22          5.950          R
042102         1967/01/23          5.920          R
042102         1967/01/24          5.860          R
042102         1967/01/25          5.780          R
042102         1967/01/26          5.720          R
042102         1967/01/27          5.610          R
042102         1967/01/28          5.520          R
042102         1967/01/29          5.440          R
042102         1967/01/30          5.380          R
042102         1967/01/31          5.300          R
042102         1967/02/01          5.180          R
042102         1967/02/02          5.100          R
042102         1967/02/03          5.040          R
042102         1967/02/04          4.960          R
042102         1967/02/05          4.870          R
042102         1967/02/06          4.810          R
042102         1967/02/07          4.760          R
042102         1967/02/08          4.670          R
042102         1967/02/09          4.590          R
042102         1967/02/10          4.530          R
042102         1967/02/11          4.500          R
042102         1967/02/12          4.470          R
042102         1967/02/13          4.390          R
042102         1967/02/14          4.360          R
042102         1967/02/15          4.330          R
042102         1967/02/16          4.280          R
042102         1967/02/17          4.220          R
042102         1967/02/18          4.190          R
042102         1967/02/19          4.190          R
