Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1994-12-31
Station:        042608         Lac Kipawa - au réservoir Kipawa                                                                                                               
Bassin versant: 5960 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 46' 55" // -78° 59' 7"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
042608         1972/01/01          269.11         PL
042608         1972/01/02          269.12         PL
042608         1972/01/03          269.11         PL
042608         1972/01/04          269.11         PL
042608         1972/01/05          269.11         PL
042608         1972/01/06          269.11         PL
042608         1972/01/07          269.10         PL
042608         1972/01/08          269.10         PL
042608         1972/01/09          269.08         PL
042608         1972/01/10          269.08         PL
042608         1972/01/11          269.08         PL
042608         1972/01/12          269.07         PL
042608         1972/01/13          269.05         PL
042608         1972/01/14          269.05         PL
042608         1972/01/15          269.05         PL
042608         1972/01/16          269.06         PL
042608         1972/01/17          269.05         PL
042608         1972/01/18          269.03         PL
042608         1972/01/19          269.03         PL
042608         1972/01/20          269.03         PL
042608         1972/01/21          269.03         PL
042608         1972/01/22          269.03         PL
042608         1972/01/23          269.02         PL
042608         1972/01/24          269.01         PL
042608         1972/01/25          269.01         PL
042608         1972/01/26          269.01         PL
042608         1972/01/27          269.01         PL
042608         1972/01/28          269.00         PL
042608         1972/01/29          268.99         PL
042608         1972/01/30          268.99         PL
042608         1972/01/31          268.96         PL
042608         1972/02/01          268.92         PL
042608         1972/02/02          268.89         PL
042608         1972/02/03          268.86         PL
042608         1972/02/04          268.84         PL
042608         1972/02/05          268.81         PL
042608         1972/02/06          268.78         PL
042608         1972/02/07          268.75         PL
042608         1972/02/08          268.72         PL
042608         1972/02/09          268.69         PL
042608         1972/02/10          268.67         PL
042608         1972/02/11          268.65         PL
042608         1972/02/12          268.62         PL
042608         1972/02/13          268.59         PL
042608         1972/02/14          268.57         PL
042608         1972/02/15          268.55         PL
042608         1972/02/16          268.52         PL
042608         1972/02/17          268.50         PL
042608         1972/02/18          268.47         PL
042608         1972/02/19          268.43         PL
042608         1972/02/20          268.43         PL
042608         1972/02/21          268.40         PL
042608         1972/02/22          268.38         PL
042608         1972/02/23          268.36         PL
042608         1972/02/24          268.34         PL
042608         1972/02/25          268.31         PL
042608         1972/02/26          268.29         PL
042608         1972/02/27          268.26         PL
042608         1972/02/28          268.25         PL
042608         1972/02/29          268.24         PL
042608         1972/03/01          268.23         PL
042608         1972/03/02          268.21         PL
042608         1972/03/03          268.19         PL
042608         1972/03/04          268.18         PL
042608         1972/03/05          268.16         PL
042608         1972/03/06          268.14         PL
042608         1972/03/07          268.13         PL
042608         1972/03/08          268.11         PL
042608         1972/03/09          268.08         PL
042608         1972/03/10          268.07         PL
042608         1972/03/11          268.04         PL
042608         1972/03/12          268.02         PL
042608         1972/03/13          268.00         PL
042608         1972/03/14          267.99         PL
042608         1972/03/15          267.97         PL
042608         1972/03/16          267.95         PL
042608         1972/03/17          267.93         PL
042608         1972/03/18          267.91         PL
042608         1972/03/19          267.90         PL
042608         1972/03/20          267.88         PL
042608         1972/03/21          267.88         PL
042608         1972/03/22          267.87         PL
042608         1972/03/23          267.86         PL
042608         1972/03/24          267.85         PL
042608         1972/03/25          267.83         PL
042608         1972/03/26          267.82         PL
042608         1972/03/27          267.79         PL
042608         1972/03/28          267.79         PL
042608         1972/03/29          267.79         PL
042608         1972/03/30          267.77         PL
042608         1972/03/31          267.75         PL
042608         1972/04/01          267.74         PL
042608         1972/04/02          267.74         PL
042608         1972/04/03          267.73         PL
042608         1972/04/04          267.70         PL
042608         1972/04/05          267.68         PL
042608         1972/04/06          267.67         PL
042608         1972/04/07          267.65         PL
042608         1972/04/08          267.64         PL
042608         1972/04/09          267.64         PL
042608         1972/04/10          267.63         PL
042608         1972/04/11          267.61         PL
042608         1972/04/12          267.60         PL
042608         1972/04/13          267.61         PL
042608         1972/04/14          267.60         PL
042608         1972/04/15          267.60         PL
042608         1972/04/16          267.59         PL
042608         1972/04/17          267.59         PL
042608         1972/04/18          267.59         PL
042608         1972/04/19          267.60         PL
042608         1972/04/20          267.60         PL
042608         1972/04/21          267.61         PL
042608         1972/04/22          267.62         PL
042608         1972/04/23          267.63         PL
042608         1972/04/24          267.61         PL
042608         1972/04/25          267.63         PL
042608         1972/04/26          267.66         PL
042608         1972/04/27          267.67         PL
042608         1972/04/28          267.70         PL
042608         1972/04/29          267.74         PL
042608         1972/04/30          267.79         PL
042608         1972/05/01          267.86         PL
042608         1972/05/02          267.95         PL
042608         1972/05/03          268.02         PL
042608         1972/05/04          268.10         PL
042608         1972/05/05          268.19         PL
042608         1972/05/06          268.27         PL
042608         1972/05/07          268.37         PL
042608         1972/05/08          268.45         PL
042608         1972/05/09          268.54         PL
042608         1972/05/10          268.63         PL
042608         1972/05/11          268.72         PL
042608         1972/05/12          268.82         PL
042608         1972/05/13          268.90         PL
042608         1972/05/14          269.00         PL
042608         1972/05/15          269.08         PL
042608         1972/05/16          269.17         PL
042608         1972/05/17          269.25         PL
042608         1972/05/18          269.33         PL
042608         1972/05/19          269.40         PL
042608         1972/05/20          269.44         PL
042608         1972/05/21          269.50         PL
042608         1972/05/22          269.54         PL
042608         1972/05/23          269.59         PL
042608         1972/05/24          269.63         PL
042608         1972/05/25          269.60         PL
042608         1972/05/26          269.61         PL
042608         1972/05/27          269.64         PL
042608         1972/05/28          269.64         PL
042608         1972/05/29          269.63         PL
042608         1972/05/30          269.64         PL
042608         1972/05/31          269.65         PL
042608         1972/06/01          269.64         PL
042608         1972/06/02          269.62         PL
042608         1972/06/03          269.60         PL
042608         1972/06/04          269.60         PL
042608         1972/06/05          269.59         PL
042608         1972/06/06          269.55         PL
042608         1972/06/07          269.54         PL
042608         1972/06/08          269.53         PL
042608         1972/06/09          269.53         PL
042608         1972/06/10          269.52         PL
042608         1972/06/11          269.52         PL
042608         1972/06/12          269.52         PL
042608         1972/06/13          269.53         PL
042608         1972/06/14          269.55         PL
042608         1972/06/15          269.53         PL
042608         1972/06/16          269.53         PL
042608         1972/06/17          269.52         PL
042608         1972/06/18          269.51         PL
042608         1972/06/19          269.52         PL
042608         1972/06/20          269.50         PL
042608         1972/06/21          269.49         PL
042608         1972/06/22          269.53         PL
042608         1972/06/23          269.56         PL
042608         1972/06/24          269.58         PL
042608         1972/06/25          269.58         PL
042608         1972/06/26          269.59         PL
042608         1972/06/27          269.60         PL
042608         1972/06/28          269.60         PL
042608         1972/06/29          269.61         PL
042608         1972/06/30          269.60         PL
042608         1972/07/01          269.60         PL
042608         1972/07/02          269.59         PL
042608         1972/07/03          269.60         PL
042608         1972/07/04          269.60         PL
042608         1972/07/05          269.60         PL
042608         1972/07/06          269.60         PL
042608         1972/07/07          269.59         PL
042608         1972/07/08          269.59         PL
042608         1972/07/09          269.60         PL
042608         1972/07/10          269.59         PL
042608         1972/07/11          269.58         PL
042608         1972/07/12          269.56         PL
042608         1972/07/13          269.57         PL
042608         1972/07/14          269.58         PL
042608         1972/07/15          269.59         PL
042608         1972/07/16          269.59         PL
042608         1972/07/17          269.60         PL
042608         1972/07/18          269.58         PL
042608         1972/07/19          269.57         PL
042608         1972/07/20          269.57         PL
042608         1972/07/21          269.56         PL
042608         1972/07/22          269.60         PL
042608         1972/07/23          269.64         PL
042608         1972/07/24          269.66         PL
042608         1972/07/25          269.69         PL
042608         1972/07/26          269.74         PL
042608         1972/07/27          269.76         PL
042608         1972/07/28          269.78         PL
042608         1972/07/29          269.78         PL
042608         1972/07/30          269.79         PL
042608         1972/07/31          269.77         PL
042608         1972/08/01          269.78         PL
042608         1972/08/02          269.77         PL
042608         1972/08/03          269.76         PL
042608         1972/08/04          269.76         PL
042608         1972/08/05          269.76         PL
042608         1972/08/06          269.76         PL
042608         1972/08/07          269.75         PL
042608         1972/08/08          269.74         PL
042608         1972/08/09          269.74         PL
042608         1972/08/10          269.75         PL
042608         1972/08/11          269.74         PL
042608         1972/08/12          269.73         PL
042608         1972/08/13          269.73         PL
042608         1972/08/14          269.71         PL
042608         1972/08/15          269.71         PL
042608         1972/08/16          269.72         PL
042608         1972/08/17          269.69         PL
042608         1972/08/18          269.68         PL
042608         1972/08/19          269.68         PL
042608         1972/08/20          269.67         PL
042608         1972/08/21          269.70         PL
042608         1972/08/22          269.73         PL
042608         1972/08/23          269.74         PL
042608         1972/08/24          269.79         PL
042608         1972/08/25          269.84         PL
042608         1972/08/26          269.84         PL
042608         1972/08/27          269.83         PL
042608         1972/08/28          269.82         PL
042608         1972/08/29          269.80         PL
042608         1972/08/30          269.80         PL
042608         1972/08/31          269.82         PL
042608         1972/09/01          269.78         PL
042608         1972/09/02          269.74         PL
042608         1972/09/03          269.73         PL
042608         1972/09/04          269.74         PL
042608         1972/09/05          269.72         PL
042608         1972/09/06          269.71         PL
042608         1972/09/07          269.67         PL
042608         1972/09/08          269.64         PL
042608         1972/09/09          269.63         PL
042608         1972/09/10          269.61         PL
042608         1972/09/11          269.58         PL
042608         1972/09/12          269.57         PL
042608         1972/09/13          269.56         PL
042608         1972/09/14          269.55         PL
042608         1972/09/15          269.52         PL
042608         1972/09/16          269.51         PL
042608         1972/09/17          269.49         PL
042608         1972/09/18          269.49         PL
042608         1972/09/19          269.52         PL
042608         1972/09/20          269.54         PL
042608         1972/09/21          269.52         PL
042608         1972/09/22          269.51         PL
042608         1972/09/23          269.50         PL
042608         1972/09/24          269.50         PL
042608         1972/09/25          269.53         PL
042608         1972/09/26          269.52         PL
042608         1972/09/27          269.53         PL
042608         1972/09/28          269.54         PL
042608         1972/09/29          269.53         PL
042608         1972/09/30          269.54         PL
042608         1972/10/01          269.54         PL
042608         1972/10/02          269.55         PL
042608         1972/10/03          269.56         PL
042608         1972/10/04          269.55         PL
042608         1972/10/05          269.56         PL
042608         1972/10/06          269.55         PL
042608         1972/10/07          269.54         PL
042608         1972/10/08          269.52         PL
042608         1972/10/09          269.55         PL
042608         1972/10/10          269.56         PL
042608         1972/10/11          269.54         PL
042608         1972/10/12          269.55         PL
042608         1972/10/13          269.54         PL
042608         1972/10/14          269.54         PL
042608         1972/10/15          269.54         PL
042608         1972/10/16          269.53         PL
042608         1972/10/17          269.55         PL
042608         1972/10/18          269.54         PL
042608         1972/10/19          269.55         PL
042608         1972/10/20          269.55         PL
042608         1972/10/21          269.56         PL
042608         1972/10/22          269.55         PL
042608         1972/10/23          269.57         PL
042608         1972/10/24          269.57         PL
042608         1972/10/25          269.58         PL
042608         1972/10/26          269.58         PL
042608         1972/10/27          269.59         PL
042608         1972/10/28          269.57         PL
042608         1972/10/29          269.58         PL
042608         1972/10/30          269.58         PL
042608         1972/10/31          269.60         PL
042608         1972/11/01          269.60         PL
042608         1972/11/02          269.60         PL
042608         1972/11/03          269.63         PL
042608         1972/11/04          269.62         PL
042608         1972/11/05          269.63         PL
042608         1972/11/06          269.64         PL
042608         1972/11/07          269.65         PL
042608         1972/11/08          269.64         PL
042608         1972/11/09          269.66         PL
042608         1972/11/10          269.66         PL
042608         1972/11/11          269.67         PL
042608         1972/11/12          269.67         PL
042608         1972/11/13          269.67         PL
042608         1972/11/14          269.66         PL
042608         1972/11/15          269.67         PL
042608         1972/11/16          269.67         PL
042608         1972/11/17          269.67         PL
042608         1972/11/18          269.67         PL
042608         1972/11/19          269.67         PL
042608         1972/11/20          269.66         PL
042608         1972/11/21          269.65         PL
042608         1972/11/22          269.66         PL
042608         1972/11/23          269.65         PL
042608         1972/11/24          269.66         PL
042608         1972/11/25          269.66         PL
042608         1972/11/26          269.65         PL
042608         1972/11/27          269.64         PL
042608         1972/11/28          269.60         PL
042608         1972/11/29          269.59         PL
042608         1972/11/30          269.56         PL
042608         1972/12/01          269.53         PL
042608         1972/12/02          269.50         PL
042608         1972/12/03          269.46         PL
042608         1972/12/04          269.44         PL
042608         1972/12/05          269.41         PL
042608         1972/12/06          269.39         PL
042608         1972/12/07          269.37         PL
042608         1972/12/08          269.34         PL
042608         1972/12/09          269.31         PL
042608         1972/12/10          269.29         PL
042608         1972/12/11          269.27         PL
042608         1972/12/12          269.25         PL
042608         1972/12/13          269.23         PL
042608         1972/12/14          269.21         PL
042608         1972/12/15          269.18         PL
042608         1972/12/16          269.16         PL
042608         1972/12/17          269.15         PL
042608         1972/12/18          269.12         PL
042608         1972/12/19          269.10         PL
042608         1972/12/20          269.08         PL
042608         1972/12/21          269.05         PL
042608         1972/12/22          269.04         PL
042608         1972/12/23          269.01         PL
042608         1972/12/24          268.99         PL
042608         1972/12/25          268.96         PL
042608         1972/12/26          268.94         PL
042608         1972/12/27          268.92         PL
042608         1972/12/28          268.89         PL
