Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1997-05-31
Station:        043001         Grand lac Victoria - à Jackson's-Landing                                                                                                       
Bassin versant: 9840 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 47° 50' 9" // -77° 21' 55"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-22 22:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
043001         1939/09/01          323.04         PL
043001         1939/09/02          323.03         PL
043001         1939/09/03          323.00         PL
043001         1939/09/04          322.99         PL
043001         1939/09/05          322.98         PL
043001         1939/09/06          322.97         PL
043001         1939/09/07          322.94         PL
043001         1939/09/08          322.92         PL
043001         1939/09/09          322.90         PL
043001         1939/09/10          322.88         PL
043001         1939/09/11          322.86         PL
043001         1939/09/12          322.84         PL
043001         1939/09/13          322.82         PL
043001         1939/09/14          322.81         PL
043001         1939/09/15          322.80         PL
043001         1939/09/16          322.78         PL
043001         1939/09/17          322.76         PL
043001         1939/09/18          322.74         PL
043001         1939/09/19          322.71         PL
043001         1939/09/20          322.67         PL
043001         1939/09/21          322.66         PL
043001         1939/09/22          322.63         PL
043001         1939/09/23          322.62         PL
043001         1939/09/24          322.61         PL
043001         1939/09/25          322.59         PL
043001         1939/09/26          322.56         PL
043001         1939/09/27          322.55         PL
043001         1939/09/28          322.53         PL
043001         1939/09/29          322.51         PL
043001         1939/09/30          322.49         PL
043001         1939/10/01          322.49         PL
043001         1939/10/02          322.48         PL
043001         1939/10/03          322.48         PL
043001         1939/10/04          322.48         PL
043001         1939/10/05          322.48         PL
043001         1939/10/06          322.59         PL
043001         1939/10/07          322.48         PL
043001         1939/10/08          322.59         PL
043001         1939/10/09          322.58         PL
043001         1939/10/10          322.56         PL
043001         1939/10/11          322.58         PL
043001         1939/10/12          322.60         PL
043001         1939/10/13          322.68         PL
043001         1939/10/14          322.74         PL
043001         1939/10/15          322.75         PL
043001         1939/10/16          322.79         PL
043001         1939/10/17          322.84         PL
043001         1939/10/18          322.86         PL
043001         1939/10/19          322.91         PL
043001         1939/10/20          322.99         PL
043001         1939/10/21          323.00         PL
043001         1939/10/22          323.07         PL
043001         1939/10/23          323.11         PL
043001         1939/10/24          323.16         PL
043001         1939/10/25          323.22         PL
043001         1939/10/26          323.25         PL
043001         1939/10/27          323.28         PL
043001         1939/10/28          323.36         PL
043001         1939/10/29          323.41         PL
043001         1939/10/30          323.47         PL
043001         1939/10/31          323.52         PL
043001         1939/11/01          323.55         PL
043001         1939/11/02          323.61         PL
043001         1939/11/03          323.65         PL
043001         1939/11/04          323.67         PL
043001         1939/11/05          323.70         PL
043001         1939/11/06          323.73         PL
043001         1939/11/07          323.75         PL
043001         1939/11/08          323.76         PL
043001         1939/11/09          323.89         PL
043001         1939/11/10          323.91         PL
043001         1939/11/11          324.02         PL
043001         1939/11/12          324.11         PL
043001         1939/11/13          324.22         PL
043001         1939/11/14          324.23         PL
043001         1939/11/15          324.24         PL
043001         1939/11/16          324.28         PL
043001         1939/11/17          324.31         PL
043001         1939/11/18          324.32         PL
043001         1939/11/19          324.26         PL
043001         1939/11/20          324.13         PL
043001         1939/11/21          324.02         PL
043001         1939/11/22          323.91         PL
043001         1939/11/23          323.74         PL
043001         1939/11/24          323.72         PL
043001         1939/11/25          323.71         PL
043001         1939/11/26          323.70         PL
043001         1939/11/27          323.67         PL
043001         1939/11/28          323.65         PL
043001         1939/11/29          323.62         PL
043001         1939/11/30          323.60         PL
043001         1939/12/01          323.56         PL
043001         1939/12/02          323.54         PL
043001         1939/12/03          323.52         PL
043001         1939/12/04          323.51         PL
043001         1939/12/05          323.51         PL
043001         1939/12/06          323.47         PL
043001         1939/12/07          323.43         PL
043001         1939/12/08          323.42         PL
043001         1939/12/09          323.42         PL
043001         1939/12/10          323.41         PL
043001         1939/12/11          323.41         PL
043001         1939/12/12          323.40         PL
043001         1939/12/13          323.40         PL
043001         1939/12/14          323.39         PL
043001         1939/12/15          323.36         PL
043001         1939/12/16          323.33         PL
043001         1939/12/17          323.30         PL
043001         1939/12/18          323.28         PL
043001         1939/12/19          323.26         PL
043001         1939/12/20          323.24         PL
043001         1939/12/21          323.22         PL
043001         1939/12/22          323.20         PL
043001         1939/12/23          323.16         PL
043001         1939/12/24          323.14         PL
043001         1939/12/25          323.11         PL
043001         1939/12/26          323.10         PL
043001         1939/12/27          323.08         PL
043001         1939/12/28          323.06         PL
043001         1939/12/29          323.03         PL
043001         1939/12/30          323.01         PL
043001         1939/12/31          322.99         PL
043001         1940/01/01          322.97         PL
043001         1940/01/02          322.96         PL
043001         1940/01/03          322.93         PL
043001         1940/01/04          322.92         PL
043001         1940/01/05          322.91         PL
043001         1940/01/06          322.90         PL
043001         1940/01/07          322.88         PL
043001         1940/01/08          322.87         PL
043001         1940/01/09          322.87         PL
043001         1940/01/10          322.86         PL
043001         1940/01/11          322.84         PL
043001         1940/01/12          322.83         PL
043001         1940/01/13          322.81         PL
043001         1940/01/14          322.79         PL
043001         1940/01/15          322.76         PL
043001         1940/01/16          322.74         PL
043001         1940/01/17          322.73         PL
043001         1940/01/18          322.70         PL
043001         1940/01/19          322.68         PL
043001         1940/01/20          322.68         PL
043001         1940/01/21          322.66         PL
043001         1940/01/22          322.65         PL
043001         1940/01/23          322.64         PL
043001         1940/01/24          322.62         PL
043001         1940/01/25          322.61         PL
043001         1940/01/26          322.60         PL
043001         1940/01/27          322.59         PL
043001         1940/01/28          322.59         PL
043001         1940/01/29          322.58         PL
043001         1940/01/30          322.58         PL
043001         1940/01/31          322.57         PL
043001         1940/02/01          322.54         PL
043001         1940/02/02          322.53         PL
043001         1940/02/03          322.52         PL
043001         1940/02/04          322.51         PL
043001         1940/02/05          322.50         PL
043001         1940/02/06          322.48         PL
043001         1940/02/07          322.47         PL
043001         1940/02/08          322.45         PL
043001         1940/02/09          322.44         PL
043001         1940/02/10          322.43         PL
043001         1940/02/11          322.41         PL
043001         1940/02/12          322.39         PL
043001         1940/02/13          322.38         PL
043001         1940/02/14          322.37         PL
043001         1940/02/15          322.35         PL
043001         1940/02/16          322.34         PL
