Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1966-12-31
Station:        043002         Des Outaouais - à 0,2 km en aval de la centrale des rapides des Quinze                                                                         
Bassin versant: 23400 km²      Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 35' 29" // -79° 17' 51"

Date de création du fichier: 2012-06-25 05:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043002         1936/05/19          1320           MC
043002         1936/05/20          1470           MC
043002         1936/05/21          1590           MC
043002         1936/05/22          1480           MC
043002         1936/05/23          1240           MC
043002         1936/05/24          1350           MC
043002         1936/05/25          1200           MC
043002         1936/05/26          1110           MC
043002         1936/05/27          1260           MC
043002         1936/05/28          1400           MC
043002         1936/05/29          1460           MC
043002         1936/05/30          1530           MC
043002         1936/05/31          1540           MC
043002         1936/06/01          1530           MC
043002         1936/06/02          1510           MC
043002         1936/06/03          1500           MC
043002         1936/06/04          1460           MC
043002         1936/06/05          1460           MC
043002         1936/06/06          1140           MC
043002         1936/06/07          1110           MC
043002         1936/06/08          1160           MC
043002         1936/06/09          1130           MC
043002         1936/06/10          1080           MC
043002         1936/06/11          1070           MC
043002         1936/06/12          1040           MC
043002         1936/06/13          991.0          MC
043002         1936/06/14          946.0          MC
043002         1936/06/15          869.0          MC
043002         1936/06/16          852.0          MC
043002         1936/06/17          855.0          MC
043002         1936/06/18          847.0          MC
043002         1936/06/19          799.0          MC
043002         1936/06/20          671.0          MC
043002         1936/06/21          549.0          MC
043002         1936/06/22          575.0          MC
043002         1936/06/23          699.0          MC
043002         1936/06/24          699.0          MC
043002         1936/06/25          688.0          MC
043002         1936/06/26          699.0          MC
043002         1936/06/27          589.0          MC
043002         1936/06/28          493.0          MC
043002         1936/06/29          496.0          MC
043002         1936/06/30          501.0          MC
043002         1936/07/01          464.0          MC
043002         1936/07/02          450.0          MC
043002         1936/07/03          470.0          MC
043002         1936/07/04          411.0          MC
043002         1936/07/05          430.0          MC
043002         1936/07/06          442.0          MC
043002         1936/07/07          439.0          MC
043002         1936/07/08          428.0          MC
043002         1936/07/09          416.0          MC
043002         1936/07/10          413.0          MC
043002         1936/07/11          405.0          MC
043002         1936/07/12          416.0          MC
043002         1936/07/13          408.0          MC
043002         1936/07/14          394.0          MC
043002         1936/07/15          402.0          MC
043002         1936/07/16          428.0          MC
043002         1936/07/17          411.0          MC
043002         1936/07/18          377.0          MC
043002         1936/07/19          357.0          MC
043002         1936/07/20          354.0          MC
043002         1936/07/21          357.0          MC
043002         1936/07/22          368.0          MC
043002         1936/07/23          388.0          MC
043002         1936/07/24          388.0          MC
043002         1936/07/25          343.0          MC
043002         1936/07/26          328.0          MC
043002         1936/07/27          303.0          MC
043002         1936/07/28          320.0          MC
043002         1936/07/29          323.0          MC
043002         1936/07/30          311.0          MC
043002         1936/07/31          317.0          MC
043002         1936/08/01          323.0          MC
043002         1936/08/02          328.0          MC
043002         1936/08/03          331.0          MC
043002         1936/08/04          328.0          MC
043002         1936/08/05          297.0          MC
043002         1936/08/06          334.0          MC
043002         1936/08/07          314.0          MC
043002         1936/08/08          331.0          MC
043002         1936/08/09          422.0          MC
043002         1936/08/10          300.0          MC
043002         1936/08/11          317.0          MC
043002         1936/08/12          331.0          MC
043002         1936/08/13          317.0          MC
043002         1936/08/14          314.0          MC
043002         1936/08/15          317.0          MC
043002         1936/08/16          328.0          MC
043002         1936/08/17          340.0          MC
043002         1936/08/18          343.0          MC
043002         1936/08/19          343.0          MC
043002         1936/08/20          331.0          MC
043002         1936/08/21          326.0          MC
043002         1936/08/22          328.0          MC
043002         1936/08/23          283.0          MC
043002         1936/08/24          240.0          MC
043002         1936/08/25          240.0          MC
043002         1936/08/26          311.0          MC
043002         1936/08/27          309.0          MC
043002         1936/08/28          306.0          MC
043002         1936/08/29          270.0          MC
043002         1936/08/30          219.0          MC
043002         1936/08/31          226.0          MC
043002         1936/09/01          231.0          MC
043002         1936/09/02          213.0          MC
