Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        043003         Des Outaouais - à la sortie du lac Granet                                                                                                      
Bassin versant: 10308 km²      Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 50' 38" // -77° 32' 55"

Date de création du fichier: 2019-11-28 21:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043003         1977/10/05          220.0          J
043003         1977/10/06          204.0          MC
043003         1977/10/07          205.0          MC
043003         1977/10/08          208.0          MC
043003         1977/10/09          207.0          MC
043003         1977/10/10          206.0          MC
043003         1977/10/11          211.0          MC
043003         1977/10/12          210.0          MC
043003         1977/10/13          211.0          MC
043003         1977/10/14          212.0          MC
043003         1977/10/15          209.0          MC
043003         1977/10/16          210.0          MC
043003         1977/10/17          212.0          MC
043003         1977/10/18          214.0          MC
043003         1977/10/19          214.0          MC
043003         1977/10/20          213.0          MC
043003         1977/10/21          212.0          MC
043003         1977/10/22          208.0          MC
043003         1977/10/23          211.0          MC
043003         1977/10/24          211.0          MC
043003         1977/10/25          210.0          MC
043003         1977/10/26          210.0          MC
043003         1977/10/27          208.0          MC
043003         1977/10/28          209.0          MC
043003         1977/10/29          209.0          MC
043003         1977/10/30          209.0          MC
043003         1977/10/31          211.0          MC
043003         1977/11/01          210.0          MC
043003         1977/11/02          209.0          MC
043003         1977/11/03          209.0          MC
043003         1977/11/04          210.0          MC
043003         1977/11/05          212.0          MC
043003         1977/11/06          212.0          MC
043003         1977/11/07          214.0          MC
043003         1977/11/08          213.0          MC
043003         1977/11/09          212.0          MC
043003         1977/11/10          214.0          MC
043003         1977/11/11          214.0          MC
043003         1977/11/12          212.0          MC
043003         1977/11/13          216.0          J
043003         1977/11/14          215.0          MC
043003         1977/11/15          213.0          MC
043003         1977/11/16          215.0          J
043003         1977/11/17          210.0          MC
043003         1977/11/18          212.0          MC
043003         1977/11/19          215.0          MC
043003         1977/11/20          221.0          MC
043003         1977/11/21          228.0          MC
043003         1977/11/22          227.0          MC
043003         1977/11/23          233.0          MC
043003         1977/11/24          235.0          MC
043003         1977/11/25          239.0          MC
043003         1977/11/26          240.0          MC
043003         1977/11/27          247.0          MC
043003         1977/11/28          248.0          MC
043003         1977/11/29          250.0          MC
043003         1977/11/30          251.0          MC
043003         1977/12/01          255.0          MC
043003         1977/12/02          261.0          MC
043003         1977/12/03          262.0          MC
043003         1977/12/04          262.0          MC
043003         1977/12/05          263.0          MC
043003         1977/12/06          263.0          MC
043003         1977/12/07          263.0          MC
043003         1977/12/08          263.0          MC
043003         1977/12/09          263.0          MC
043003         1977/12/10          264.0          MC
043003         1977/12/11          265.0          MC
043003         1977/12/12          265.0          MC
043003         1977/12/13          267.0          MC
043003         1977/12/14          269.0          MC
043003         1977/12/15          270.0          MC
043003         1977/12/16          271.0          MC
043003         1977/12/17          271.0          MC
043003         1977/12/18          271.0          MC
043003         1977/12/19          271.0          MC
043003         1977/12/20          271.0          MC
043003         1977/12/21          270.0          MC
043003         1977/12/22          270.0          MC
043003         1977/12/23          268.0          MC
043003         1977/12/24          265.0          MC
043003         1977/12/25          263.0          MC
043003         1977/12/26          260.0          MC
043003         1977/12/27          257.0          MC
043003         1977/12/28          255.0          MC
043003         1977/12/29          253.0          MC
043003         1977/12/30          250.0          MC
043003         1977/12/31          247.0          MC
043003         1978/01/01          245.0          MC
043003         1978/01/02          245.0          MC
043003         1978/01/03          243.0          MC
043003         1978/01/04          242.0          MC
043003         1978/01/05          240.0          MC
043003         1978/01/06          239.0          MC
043003         1978/01/07          239.0          MC
043003         1978/01/08          241.0          MC
043003         1978/01/09          245.0          MC
043003         1978/01/10          249.0          MC
043003         1978/01/11          250.0          MC
043003         1978/01/12          251.0          MC
043003         1978/01/13          251.0          MC
