Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-07-13
Station:        043008         Kinojévis - au pont-route en aval du lac Preissac                                                                                              
Bassin versant: 984 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 24' 20" // -78° 21' 50"

Date de création du fichier: 2012-06-25 01:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043008         1938/09/22          14.70          MC
043008         1938/09/23          15.20          MC
043008         1938/09/24          15.20          MC
043008         1938/09/25          15.20          MC
043008         1938/09/26          15.20          MC
043008         1938/09/27          14.70          MC
043008         1938/09/28          14.70          MC
043008         1938/09/29          14.70          MC
043008         1938/09/30          14.20          MC
043008         1938/10/01          13.80          MC
043008         1938/10/02          13.80          MC
043008         1938/10/03          13.40          MC
043008         1938/10/04          13.40          MC
043008         1938/10/05          12.90          MC
043008         1938/10/06          12.50          MC
043008         1938/10/07          12.50          MC
043008         1938/10/08          12.90          MC
043008         1938/10/09          12.90          MC
043008         1938/10/10          12.90          MC
043008         1938/10/11          12.50          MC
043008         1938/10/12          12.50          MC
043008         1938/10/13          12.50          MC
043008         1938/10/14          12.50          MC
043008         1938/10/15          12.10          MC
043008         1938/10/16          11.80          MC
043008         1938/10/17          11.80          MC
043008         1938/10/18          11.40          MC
043008         1938/10/19          11.40          MC
043008         1938/10/20          11.40          MC
043008         1938/10/21          11.40          MC
043008         1938/10/22          11.40          MC
043008         1938/10/23          11.40          MC
043008         1938/10/24          11.00          MC
043008         1938/10/25          10.70          MC
043008         1938/10/26          10.70          MC
043008         1938/10/27          10.70          MC
043008         1938/10/28          10.70          MC
043008         1938/10/29          10.70          MC
043008         1938/10/30          10.70          MC
043008         1938/10/31          10.70          MC
043008         1938/11/01          10.70          MC
043008         1938/11/02          10.70          MC
043008         1938/11/03          10.70          MC
043008         1938/11/04          10.70          MC
043008         1938/11/05          10.70          MC
043008         1938/11/06          10.40          MC
043008         1938/11/07          10.40          MC
043008         1938/11/08          11.00          MC
043008         1938/11/09          11.00          MC
043008         1938/11/10          11.00          MC
043008         1938/11/11          11.00          MC
043008         1938/11/12          11.00          MC
043008         1938/11/13          11.00          MC
043008         1938/11/14          11.00          MC
043008         1938/11/15          11.40          MC
043008         1938/11/16          11.80          MC
043008         1938/11/17          12.10          MC
043008         1938/11/18          12.10          MC
043008         1938/11/19          12.10          MC
043008         1938/11/20          12.10          MC
043008         1938/11/21          11.80          MC
043008         1938/11/22          11.40          MC
043008         1938/11/23          11.40          MC
043008         1938/11/24          11.40          MC
043008         1938/11/25          11.40          MC
043008         1938/11/26          11.40          MC
043008         1938/11/27          11.00          MC
043008         1938/11/28          11.00          MC
043008         1938/11/29          11.00          MC
043008         1938/11/30          11.00          MC
043008         1938/12/01          9.340          R
043008         1938/12/02          9.340          R
043008         1938/12/03          9.340          R
043008         1938/12/04          9.340          R
043008         1938/12/05          9.340          R
043008         1938/12/06          9.340          R
043008         1938/12/07          9.340          R
043008         1938/12/08          9.340          R
043008         1938/12/09          9.340          R
043008         1938/12/10          9.340          R
043008         1938/12/11          9.340          R
043008         1938/12/12          9.340          R
043008         1938/12/13          9.340          R
043008         1938/12/14          9.340          R
043008         1938/12/15          9.340          R
043008         1938/12/16          9.340          R
043008         1938/12/17          9.340          R
043008         1938/12/18          9.340          R
043008         1938/12/19          9.340          R
043008         1938/12/20          9.340          R
043008         1938/12/21          9.340          R
043008         1938/12/22          9.340          R
043008         1938/12/23          9.340          R
043008         1938/12/24          9.340          R
043008         1938/12/25          9.340          R
043008         1938/12/26          9.340          R
043008         1938/12/27          9.340          R
043008         1938/12/28          9.340          R
043008         1938/12/29          9.340          R
043008         1938/12/30          9.340          R
043008         1938/12/31          9.340          R
043008         1939/01/01          8.070          R
043008         1939/01/02          8.070          R
043008         1939/01/03          8.070          R
043008         1939/01/04          8.070          R
043008         1939/01/05          8.070          R
043008         1939/01/06          8.070          R
043008         1939/01/07          8.070          R
043008         1939/01/08          8.070          R
043008         1939/01/09          8.070          R
043008         1939/01/10          8.070          R
043008         1939/01/11          8.070          R
043008         1939/01/12          8.070          R
043008         1939/01/13          8.070          R
043008         1939/01/14          8.070          R
043008         1939/01/15          8.070          R
043008         1939/01/16          7.930          R
043008         1939/01/17          7.930          R
043008         1939/01/18          7.930          R
043008         1939/01/19          7.930          R
043008         1939/01/20          7.930          R
043008         1939/01/21          7.930          R
043008         1939/01/22          7.930          R
043008         1939/01/23          7.930          R
043008         1939/01/24          7.930          R
043008         1939/01/25          7.930          R
043008         1939/01/26          7.930          R
043008         1939/01/27          7.930          R
043008         1939/01/28          7.930          R
043008         1939/01/29          7.930          R
043008         1939/01/30          7.930          R
043008         1939/01/31          7.930          R
043008         1939/02/01          7.020          R
043008         1939/02/02          7.020          R
043008         1939/02/03          7.020          R
043008         1939/02/04          7.020          R
043008         1939/02/05          7.020          R
043008         1939/02/06          7.020          R
043008         1939/02/07          7.020          R
043008         1939/02/08          7.020          R
043008         1939/02/09          7.020          R
043008         1939/02/10          7.020          R
043008         1939/02/11          6.400          R
043008         1939/02/12          6.400          R
043008         1939/02/13          6.400          R
043008         1939/02/14          6.400          R
043008         1939/02/15          6.400          R
043008         1939/02/16          6.400          R
043008         1939/02/17          6.400          R
043008         1939/02/18          6.400          R
043008         1939/02/19          6.400          R
043008         1939/02/20          6.400          R
043008         1939/02/21          6.000          R
043008         1939/02/22          6.000          R
043008         1939/02/23          6.000          R
043008         1939/02/24          6.000          R
043008         1939/02/25          6.000          R
043008         1939/02/26          6.000          R
043008         1939/02/27          6.000          R
043008         1939/02/28          6.000          R
043008         1939/03/01          5.830          R
043008         1939/03/02          5.830          R
043008         1939/03/03          5.830          R
043008         1939/03/04          5.830          R
043008         1939/03/05          5.830          R
043008         1939/03/06          5.830          R
