Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1966-10-08
Station:        043009         Kinojévis - à 3,1 km en aval de la Villemontel                                                                                                 
Bassin versant: 1680 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 27' 21" // -78° 21' 39"

Date de création du fichier: 2012-06-25 01:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043009         1936/06/04          62.60          R
043009         1936/06/05          62.60          R
043009         1936/06/06          62.60          R
043009         1936/06/07          62.60          R
043009         1936/06/08          62.60          R
043009         1936/06/09          62.60          R
043009         1936/06/10          62.60          R
043009         1936/06/11          62.60          R
043009         1936/06/12          62.60          R
043009         1936/06/13          62.60          R
043009         1936/06/14          62.60          R
043009         1936/06/15          62.60          R
043009         1936/06/16          62.60          R
043009         1936/06/17          62.60          R
043009         1936/06/18          62.60          R
043009         1936/06/19          62.60          R
043009         1936/06/20          62.60          R
043009         1936/06/21          62.60          R
043009         1936/06/22          56.90          MC
043009         1936/06/23          52.40          MC
043009         1936/06/24          47.90          MC
043009         1936/06/25          45.60          MC
043009         1936/06/26          47.90          MC
043009         1936/06/27          45.60          MC
043009         1936/06/28          43.30          MC
043009         1936/06/29          45.60          MC
043009         1936/06/30          47.90          MC
043009         1936/07/01          45.60          MC
043009         1936/07/02          47.90          MC
043009         1936/07/03          43.30          MC
043009         1936/07/04          50.10          MC
043009         1936/07/05          52.40          MC
043009         1936/07/06          52.40          MC
043009         1936/07/07          45.60          MC
043009         1936/07/08          47.90          MC
043009         1936/07/09          50.10          MC
043009         1936/07/10          43.30          MC
043009         1936/07/11          29.70          MC
043009         1936/07/12          29.70          MC
043009         1936/07/13          27.40          MC
043009         1936/07/14          27.40          MC
043009         1936/07/15          25.30          MC
043009         1936/07/16          25.30          MC
043009         1936/07/17          25.30          MC
043009         1936/07/18          25.30          MC
043009         1936/07/19          25.30          MC
043009         1936/07/20          23.20          MC
043009         1936/07/21          22.30          MC
043009         1936/07/22          22.80          MC
043009         1936/07/23          23.20          MC
043009         1936/07/24          23.20          MC
043009         1936/07/25          23.20          MC
043009         1936/07/26          23.20          MC
043009         1936/07/27          23.20          MC
043009         1936/07/28          23.20          MC
043009         1936/07/29          25.30          MC
043009         1936/07/30          27.40          MC
043009         1936/07/31          25.30          MC
043009         1936/08/01          25.30          MC
043009         1936/08/02          23.20          MC
043009         1936/08/03          21.10          MC
043009         1936/08/04          19.80          MC
043009         1936/08/05          18.70          MC
043009         1936/08/06          18.10          MC
043009         1936/08/07          17.30          MC
043009         1936/08/08          17.00          MC
043009         1936/08/09          16.80          MC
