Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1941-09-30
Station:        043010         Des Outaouais - à 1,6 km en amont de la rivière Kinojevis                                                                                      
Bassin versant: 14100 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 55' 44" // -78° 38' 12"

Date de création du fichier: 2012-06-25 02:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043010         1933/07/08          221.0          MC
043010         1933/07/09          221.0          MC
043010         1933/07/10          220.0          MC
043010         1933/07/11          217.0          MC
043010         1933/07/12          213.0          MC
043010         1933/07/13          208.0          MC
043010         1933/07/14          203.0          MC
043010         1933/07/15          203.0          MC
043010         1933/07/16          201.0          MC
043010         1933/07/17          213.0          MC
043010         1933/07/18          211.0          MC
043010         1933/07/19          209.0          MC
043010         1933/07/20          208.0          MC
043010         1933/07/21          203.0          MC
043010         1933/07/22          201.0          MC
043010         1933/07/23          200.0          MC
043010         1933/07/24          202.0          MC
043010         1933/07/25          203.0          MC
043010         1933/07/26          202.0          MC
043010         1933/07/27          201.0          MC
043010         1933/07/28          201.0          MC
043010         1933/07/29          201.0          MC
043010         1933/07/30          182.0          MC
043010         1933/07/31          184.0          MC
043010         1933/08/01          199.0          MC
043010         1933/08/02          204.0          MC
043010         1933/08/03          199.0          MC
043010         1933/08/04          191.0          MC
043010         1933/08/05          185.0          MC
043010         1933/08/06          180.0          MC
043010         1933/08/07          171.0          MC
043010         1933/08/08          168.0          MC
043010         1933/08/09          163.0          MC
043010         1933/08/10          159.0          MC
043010         1933/08/11          157.0          MC
043010         1933/08/12          158.0          MC
043010         1933/08/13          154.0          MC
043010         1933/08/14          153.0          MC
043010         1933/08/15          151.0          MC
043010         1933/08/16          149.0          MC
043010         1933/08/17          148.0          MC
043010         1933/08/18          142.0          MC
043010         1933/08/19          141.0          MC
043010         1933/08/20          139.0          MC
043010         1933/08/21          136.0          MC
043010         1933/08/22          134.0          MC
043010         1933/08/23          133.0          MC
043010         1933/08/24          131.0          MC
043010         1933/08/25          128.0          MC
043010         1933/08/26          126.0          MC
043010         1933/08/27          125.0          MC
043010         1933/08/28          123.0          MC
043010         1933/08/29          121.0          MC
043010         1933/08/30          119.0          MC
043010         1933/08/31          114.0          MC
043010         1933/09/01          112.0          MC
043010         1933/09/02          111.0          MC
043010         1933/09/03          109.0          MC
043010         1933/09/04          114.0          MC
043010         1933/09/05          116.0          MC
043010         1933/09/06          114.0          MC
043010         1933/09/07          111.0          MC
043010         1933/09/08          109.0          MC
043010         1933/09/09          107.0          MC
043010         1933/09/10          106.0          MC
043010         1933/09/11          103.0          MC
043010         1933/09/12          102.0          MC
043010         1933/09/13          97.40          MC
043010         1933/09/14          96.00          MC
043010         1933/09/15          95.10          MC
043010         1933/09/16          94.60          MC
043010         1933/09/17          90.60          MC
043010         1933/09/18          90.00          MC
043010         1933/09/19          88.60          MC
043010         1933/09/20          86.90          MC
043010         1933/09/21          87.80          MC
043010         1933/09/22          88.60          MC
043010         1933/09/23          89.80          MC
043010         1933/09/24          92.30          MC
043010         1933/09/25          91.70          MC
043010         1933/09/26          91.50          MC
043010         1933/09/27          92.90          MC
043010         1933/09/28          96.00          MC
043010         1933/09/29          92.30          MC
043010         1933/09/30          93.70          MC
043010         1933/10/01          94.60          MC
043010         1933/10/02          93.40          MC
043010         1933/10/03          92.90          MC
043010         1933/10/04          98.30          MC
043010         1933/10/05          104.0          MC
043010         1933/10/06          112.0          MC
043010         1933/10/07          108.0          MC
043010         1933/10/08          104.0          MC
043010         1933/10/09          101.0          MC
043010         1933/10/10          103.0          MC
043010         1933/10/11          106.0          MC
043010         1933/10/12          111.0          MC
043010         1933/10/13          112.0          MC
043010         1933/10/14          111.0          MC
043010         1933/10/15          111.0          MC
043010         1933/10/16          111.0          MC
043010         1933/10/17          108.0          MC
043010         1933/10/18          108.0          MC
