Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        043012         Kinojévis - à 0,3 km en amont du pont-route à Cléricy                                                                                          
Bassin versant: 2594 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 21' 57" // -78° 51' 16"

Date de création du fichier: 2019-11-29 06:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043012         1965/04/30          208.0          J
043012         1965/05/01          
043012         1965/05/02          
043012         1965/05/03          
043012         1965/05/04          
043012         1965/05/05          
043012         1965/05/06          
043012         1965/05/07          
043012         1965/05/08          
043012         1965/05/09          
043012         1965/05/10          
043012         1965/05/11          
043012         1965/05/12          
043012         1965/05/13          
043012         1965/05/14          
043012         1965/05/15          
043012         1965/05/16          
043012         1965/05/17          
043012         1965/05/18          
043012         1965/05/19          
043012         1965/05/20          
043012         1965/05/21          
043012         1965/05/22          
043012         1965/05/23          
043012         1965/05/24          86.10          J
043012         1965/05/25          
043012         1965/05/26          
043012         1965/05/27          
043012         1965/05/28          
043012         1965/05/29          
043012         1965/05/30          
043012         1965/05/31          
043012         1965/06/01          
043012         1965/06/02          
043012         1965/06/03          
043012         1965/06/04          
043012         1965/06/05          
043012         1965/06/06          
043012         1965/06/07          
043012         1965/06/08          
043012         1965/06/09          
043012         1965/06/10          
043012         1965/06/11          
043012         1965/06/12          
043012         1965/06/13          
043012         1965/06/14          
043012         1965/06/15          
043012         1965/06/16          
043012         1965/06/17          
043012         1965/06/18          
043012         1965/06/19          
043012         1965/06/20          
043012         1965/06/21          
043012         1965/06/22          
043012         1965/06/23          
043012         1965/06/24          
043012         1965/06/25          
043012         1965/06/26          
043012         1965/06/27          
043012         1965/06/28          
043012         1965/06/29          
043012         1965/06/30          
043012         1965/07/01          
043012         1965/07/02          
043012         1965/07/03          
043012         1965/07/04          
043012         1965/07/05          
043012         1965/07/06          
043012         1965/07/07          
043012         1965/07/08          
043012         1965/07/09          
043012         1965/07/10          
043012         1965/07/11          
043012         1965/07/12          
043012         1965/07/13          
043012         1965/07/14          
043012         1965/07/15          
043012         1965/07/16          
043012         1965/07/17          
043012         1965/07/18          
043012         1965/07/19          
043012         1965/07/20          
043012         1965/07/21          
043012         1965/07/22          
043012         1965/07/23          
043012         1965/07/24          
043012         1965/07/25          
043012         1965/07/26          
043012         1965/07/27          
043012         1965/07/28          
043012         1965/07/29          
043012         1965/07/30          
043012         1965/07/31          
043012         1965/08/01          
043012         1965/08/02          
043012         1965/08/03          
043012         1965/08/04          
043012         1965/08/05          
043012         1965/08/06          
043012         1965/08/07          
043012         1965/08/08          
043012         1965/08/09          
043012         1965/08/10          
043012         1965/08/11          
043012         1965/08/12          
043012         1965/08/13          
043012         1965/08/14          
043012         1965/08/15          
043012         1965/08/16          
043012         1965/08/17          
043012         1965/08/18          
043012         1965/08/19          
043012         1965/08/20          
043012         1965/08/21          
043012         1965/08/22          
043012         1965/08/23          
043012         1965/08/24          
043012         1965/08/25          27.60          J
043012         1965/08/26          
043012         1965/08/27          
043012         1965/08/28          
043012         1965/08/29          
043012         1965/08/30          
043012         1965/08/31          
043012         1965/09/01          
043012         1965/09/02          
043012         1965/09/03          
043012         1965/09/04          
043012         1965/09/05          
043012         1965/09/06          
043012         1965/09/07          
043012         1965/09/08          
043012         1965/09/09          
043012         1965/09/10          
043012         1965/09/11          
043012         1965/09/12          
043012         1965/09/13          
043012         1965/09/14          
043012         1965/09/15          
043012         1965/09/16          
043012         1965/09/17          
043012         1965/09/18          
043012         1965/09/19          
043012         1965/09/20          
043012         1965/09/21          
043012         1965/09/22          
043012         1965/09/23          
043012         1965/09/24          
043012         1965/09/25          
043012         1965/09/26          
043012         1965/09/27          
043012         1965/09/28          
043012         1965/09/29          
043012         1965/09/30          54.10          J
043012         1965/10/01          
043012         1965/10/02          
043012         1965/10/03          
043012         1965/10/04          
043012         1965/10/05          
043012         1965/10/06          
043012         1965/10/07          
043012         1965/10/08          
043012         1965/10/09          
043012         1965/10/10          
043012         1965/10/11          
043012         1965/10/12          
043012         1965/10/13          
043012         1965/10/14          
043012         1965/10/15          
043012         1965/10/16          
043012         1965/10/17          
043012         1965/10/18          
043012         1965/10/19          
043012         1965/10/20          
043012         1965/10/21          
043012         1965/10/22          
043012         1965/10/23          
043012         1965/10/24          
043012         1965/10/25          
043012         1965/10/26          
043012         1965/10/27          
043012         1965/10/28          
043012         1965/10/29          
043012         1965/10/30          
043012         1965/10/31          
043012         1965/11/01          
043012         1965/11/02          
043012         1965/11/03          
043012         1965/11/04          
043012         1965/11/05          
043012         1965/11/06          
043012         1965/11/07          
043012         1965/11/08          
043012         1965/11/09          
043012         1965/11/10          29.20          J
043012         1965/11/11          
043012         1965/11/12          
043012         1965/11/13          
043012         1965/11/14          
043012         1965/11/15          
043012         1965/11/16          
043012         1965/11/17          
043012         1965/11/18          
043012         1965/11/19          
043012         1965/11/20          
043012         1965/11/21          
043012         1965/11/22          
043012         1965/11/23          
043012         1965/11/24          
043012         1965/11/25          
043012         1965/11/26          
043012         1965/11/27          
043012         1965/11/28          
043012         1965/11/29          
043012         1965/11/30          
043012         1965/12/01          
043012         1965/12/02          
043012         1965/12/03          
043012         1965/12/04          
043012         1965/12/05          
043012         1965/12/06          
043012         1965/12/07          
043012         1965/12/08          
043012         1965/12/09          
043012         1965/12/10          
043012         1965/12/11          
043012         1965/12/12          
043012         1965/12/13          
043012         1965/12/14          
043012         1965/12/15          
043012         1965/12/16          
043012         1965/12/17          
043012         1965/12/18          
043012         1965/12/19          
043012         1965/12/20          
043012         1965/12/21          
043012         1965/12/22          
043012         1965/12/23          
043012         1965/12/24          
043012         1965/12/25          
043012         1965/12/26          
