Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1948-09-30
Station:        043114         Des Outaouais - à l'aval du pont du C.N. près de Portage-du-Fort                                                                               
Bassin versant: 74300 km²      Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 36' 37" // -76° 40' 14"

Date de création du fichier: 2012-06-25 01:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043114         1942/04/01          963.0          MC
043114         1942/04/02          985.0          MC
043114         1942/04/03          1040           MC
043114         1942/04/04          1080           MC
043114         1942/04/05          1140           MC
043114         1942/04/06          1200           MC
043114         1942/04/07          1290           MC
043114         1942/04/08          1420           MC
043114         1942/04/09          1570           MC
043114         1942/04/10          1650           MC
043114         1942/04/11          1650           MC
043114         1942/04/12          1650           MC
043114         1942/04/13          1650           MC
043114         1942/04/14          1620           MC
043114         1942/04/15          1620           MC
043114         1942/04/16          1670           MC
043114         1942/04/17          1740           MC
043114         1942/04/18          1960           MC
043114         1942/04/19          2230           MC
043114         1942/04/20          2430           MC
043114         1942/04/21          2570           MC
043114         1942/04/22          2670           MC
043114         1942/04/23          2710           MC
043114         1942/04/24          2720           MC
043114         1942/04/25          2780           MC
043114         1942/04/26          2830           MC
043114         1942/04/27          2890           MC
043114         1942/04/28          2890           MC
043114         1942/04/29          2890           MC
043114         1942/04/30          2830           MC
043114         1942/05/01          2750           MC
043114         1942/05/02          2640           MC
043114         1942/05/03          2510           MC
043114         1942/05/04          2360           MC
043114         1942/05/05          2160           MC
043114         1942/05/06          2030           MC
043114         1942/05/07          1930           MC
043114         1942/05/08          1830           MC
043114         1942/05/09          1780           MC
043114         1942/05/10          1680           MC
043114         1942/05/11          1550           MC
043114         1942/05/12          1420           MC
043114         1942/05/13          1330           MC
043114         1942/05/14          1260           MC
043114         1942/05/15          1250           MC
043114         1942/05/16          1230           MC
043114         1942/05/17          1250           MC
043114         1942/05/18          1300           MC
043114         1942/05/19          1380           MC
043114         1942/05/20          1460           MC
043114         1942/05/21          1500           MC
043114         1942/05/22          1540           MC
043114         1942/05/23          1650           MC
043114         1942/05/24          1830           MC
043114         1942/05/25          2020           MC
043114         1942/05/26          2170           MC
043114         1942/05/27          2300           MC
043114         1942/05/28          2320           MC
043114         1942/05/29          2300           MC
043114         1942/05/30          2260           MC
043114         1942/05/31          2210           MC
043114         1942/06/01          2120           MC
043114         1942/06/02          2050           MC
043114         1942/06/03          1980           MC
043114         1942/06/04          1880           MC
043114         1942/06/05          1810           MC
043114         1942/06/06          1740           MC
043114         1942/06/07          1690           MC
043114         1942/06/08          1650           MC
043114         1942/06/09          1630           MC
043114         1942/06/10          1570           MC
043114         1942/06/11          1530           MC
043114         1942/06/12          1530           MC
043114         1942/06/13          1530           MC
043114         1942/06/14          1540           MC
043114         1942/06/15          1540           MC
043114         1942/06/16          1510           MC
043114         1942/06/17          1480           MC
043114         1942/06/18          1390           MC
043114         1942/06/19          1320           MC
043114         1942/06/20          1260           MC
043114         1942/06/21          1170           MC
043114         1942/06/22          1150           MC
043114         1942/06/23          1140           MC
043114         1942/06/24          1110           MC
043114         1942/06/25          1090           MC
043114         1942/06/26          1080           MC
043114         1942/06/27          1060           MC
043114         1942/06/28          988.0          MC
043114         1942/06/29          1000           MC
043114         1942/06/30          974.0          MC
043114         1942/07/01          883.0          MC
043114         1942/07/02          878.0          MC
043114         1942/07/03          872.0          MC
043114         1942/07/04          838.0          MC
043114         1942/07/05          801.0          MC
043114         1942/07/06          784.0          MC
043114         1942/07/07          762.0          MC
043114         1942/07/08          765.0          MC
043114         1942/07/09          736.0          MC
043114         1942/07/10          719.0          MC
043114         1942/07/11          702.0          MC
043114         1942/07/12          674.0          MC
043114         1942/07/13          699.0          MC
043114         1942/07/14          702.0          MC
043114         1942/07/15          694.0          MC
043114         1942/07/16          671.0          MC
043114         1942/07/17          663.0          MC
043114         1942/07/18          651.0          MC
043114         1942/07/19          640.0          MC
043114         1942/07/20          654.0          MC
043114         1942/07/21          651.0          MC
043114         1942/07/22          648.0          MC
043114         1942/07/23          643.0          MC
043114         1942/07/24          648.0          MC
043114         1942/07/25          634.0          MC
043114         1942/07/26          609.0          MC
043114         1942/07/27          646.0          MC
043114         1942/07/28          643.0          MC
043114         1942/07/29          643.0          MC
043114         1942/07/30          634.0          MC
043114         1942/07/31          629.0          MC
043114         1942/08/01          623.0          MC
043114         1942/08/02          552.0          MC
043114         1942/08/03          532.0          MC
043114         1942/08/04          626.0          MC
043114         1942/08/05          626.0          MC
043114         1942/08/06          617.0          MC
043114         1942/08/07          603.0          MC
043114         1942/08/08          603.0          MC
043114         1942/08/09          595.0          MC
043114         1942/08/10          592.0          MC
043114         1942/08/11          609.0          MC
043114         1942/08/12          620.0          MC
043114         1942/08/13          626.0          MC
043114         1942/08/14          620.0          MC
043114         1942/08/15          572.0          MC
043114         1942/08/16          549.0          MC
043114         1942/08/17          648.0          MC
043114         1942/08/18          626.0          MC
043114         1942/08/19          612.0          MC
043114         1942/08/20          595.0          MC
043114         1942/08/21          558.0          MC
043114         1942/08/22          532.0          MC
043114         1942/08/23          592.0          MC
043114         1942/08/24          549.0          MC
043114         1942/08/25          586.0          MC
043114         1942/08/26          479.0          MC
043114         1942/08/27          555.0          MC
043114         1942/08/28          561.0          MC
043114         1942/08/29          558.0          MC
043114         1942/08/30          490.0          MC
043114         1942/08/31          547.0          MC
043114         1942/09/01          527.0          MC
043114         1942/09/02          504.0          MC
043114         1942/09/03          507.0          MC
043114         1942/09/04          501.0          MC
043114         1942/09/05          501.0          MC
043114         1942/09/06          479.0          MC
043114         1942/09/07          459.0          MC
043114         1942/09/08          447.0          MC
043114         1942/09/09          473.0          MC
043114         1942/09/10          501.0          MC
043114         1942/09/11          544.0          MC
043114         1942/09/12          541.0          MC
043114         1942/09/13          532.0          MC
043114         1942/09/14          527.0          MC
043114         1942/09/15          518.0          MC
043114         1942/09/16          524.0          MC
043114         1942/09/17          518.0          MC
043114         1942/09/18          518.0          MC
043114         1942/09/19          518.0          MC
043114         1942/09/20          515.0          MC
043114         1942/09/21          527.0          MC
043114         1942/09/22          515.0          MC
043114         1942/09/23          504.0          MC
043114         1942/09/24          493.0          MC
043114         1942/09/25          498.0          MC
043114         1942/09/26          490.0          MC
043114         1942/09/27          493.0          MC
043114         1942/09/28          515.0          MC
043114         1942/09/29          518.0          MC
043114         1942/09/30          532.0          MC
043114         1942/10/01          535.0          MC
043114         1942/10/02          538.0          MC
043114         1942/10/03          552.0          MC
043114         1942/10/04          530.0          MC
043114         1942/10/05          524.0          MC
043114         1942/10/06          527.0          MC
043114         1942/10/07          527.0          MC
043114         1942/10/08          530.0          MC
043114         1942/10/09          530.0          MC
043114         1942/10/10          513.0          MC
043114         1942/10/11          501.0          MC
043114         1942/10/12          490.0          MC
043114         1942/10/13          484.0          MC
043114         1942/10/14          470.0          MC
043114         1942/10/15          459.0          MC
043114         1942/10/16          445.0          MC
043114         1942/10/17          430.0          MC
043114         1942/10/18          411.0          MC
043114         1942/10/19          399.0          MC
043114         1942/10/20          385.0          MC
043114         1942/10/21          379.0          MC
043114         1942/10/22          377.0          MC
043114         1942/10/23          371.0          MC
043114         1942/10/24          331.0          MC
043114         1942/10/25          337.0          MC
043114         1942/10/26          323.0          MC
043114         1942/10/27          345.0          MC
043114         1942/10/28          326.0          MC
043114         1942/10/29          345.0          MC
043114         1942/10/30          345.0          MC
043114         1942/10/31          348.0          MC
043114         1942/11/01          348.0          MC
043114         1942/11/02          371.0          MC
043114         1942/11/03          368.0          MC
043114         1942/11/04          371.0          MC
043114         1942/11/05          377.0          MC
043114         1942/11/06          382.0          MC
043114         1942/11/07          382.0          MC
043114         1942/11/08          385.0          MC
043114         1942/11/09          382.0          MC
043114         1942/11/10          365.0          MC
043114         1942/11/11          388.0          MC
043114         1942/11/12          399.0          MC
043114         1942/11/13          408.0          MC
043114         1942/11/14          433.0          MC
043114         1942/11/15          436.0          MC
043114         1942/11/16          422.0          MC
043114         1942/11/17          428.0          MC
043114         1942/11/18          428.0          MC
043114         1942/11/19          433.0          MC
043114         1942/11/20          439.0          MC
043114         1942/11/21          447.0          MC
043114         1942/11/22          462.0          MC
043114         1942/11/23          464.0          MC
043114         1942/11/24          453.0          MC
043114         1942/11/25          456.0          MC
043114         1942/11/26          456.0          MC
043114         1942/11/27          453.0          MC
043114         1942/11/28          462.0          MC
043114         1942/11/29          447.0          MC
043114         1942/11/30          433.0          MC
043114         1942/12/01          405.0          MC
043114         1942/12/02          405.0          MC
043114         1942/12/03          405.0          MC
043114         1942/12/04          405.0          MC
043114         1942/12/05          405.0          MC
043114         1942/12/06          405.0          MC
043114         1942/12/07          405.0          MC
043114         1942/12/08          405.0          MC
043114         1942/12/09          405.0          MC
043114         1942/12/10          405.0          MC
043114         1942/12/11          405.0          MC
043114         1942/12/12          405.0          MC
043114         1942/12/13          405.0          MC
043114         1942/12/14          405.0          MC
043114         1942/12/15          405.0          MC
043114         1942/12/16          405.0          MC
043114         1942/12/17          405.0          MC
043114         1942/12/18          405.0          MC
043114         1942/12/19          405.0          MC
043114         1942/12/20          405.0          MC
043114         1942/12/21          405.0          MC
043114         1942/12/22          405.0          MC
043114         1942/12/23          405.0          MC
043114         1942/12/24          405.0          MC
043114         1942/12/25          405.0          MC
043114         1942/12/26          405.0          MC
043114         1942/12/27          405.0          MC
043114         1942/12/28          405.0          MC
043114         1942/12/29          405.0          MC
043114         1942/12/30          405.0          MC
043114         1942/12/31          405.0          MC
043114         1943/01/01          513.0          MC
043114         1943/01/02          513.0          MC
043114         1943/01/03          513.0          MC
043114         1943/01/04          513.0          MC
043114         1943/01/05          513.0          MC
043114         1943/01/06          513.0          MC
043114         1943/01/07          513.0          MC
043114         1943/01/08          513.0          MC
043114         1943/01/09          513.0          MC
043114         1943/01/10          513.0          MC
043114         1943/01/11          513.0          MC
043114         1943/01/12          513.0          MC
043114         1943/01/13          513.0          MC
043114         1943/01/14          513.0          MC
043114         1943/01/15          513.0          MC
043114         1943/01/16          513.0          MC
043114         1943/01/17          513.0          MC
043114         1943/01/18          513.0          MC
043114         1943/01/19          513.0          MC
043114         1943/01/20          513.0          MC
043114         1943/01/21          513.0          MC
043114         1943/01/22          513.0          MC
043114         1943/01/23          513.0          MC
043114         1943/01/24          513.0          MC
043114         1943/01/25          513.0          MC
043114         1943/01/26          513.0          MC
043114         1943/01/27          513.0          MC
043114         1943/01/28          513.0          MC
043114         1943/01/29          513.0          MC
043114         1943/01/30          513.0          MC
043114         1943/01/31          513.0          MC
043114         1943/02/01          544.0          MC
043114         1943/02/02          544.0          MC
043114         1943/02/03          544.0          MC
043114         1943/02/04          544.0          MC
043114         1943/02/05          544.0          MC
043114         1943/02/06          544.0          MC
043114         1943/02/07          544.0          MC
043114         1943/02/08          544.0          MC
043114         1943/02/09          544.0          MC
043114         1943/02/10          544.0          MC
043114         1943/02/11          544.0          MC
043114         1943/02/12          544.0          MC
043114         1943/02/13          544.0          MC
043114         1943/02/14          544.0          MC
043114         1943/02/15          544.0          MC
043114         1943/02/16          544.0          MC
043114         1943/02/17          544.0          MC
043114         1943/02/18          544.0          MC
043114         1943/02/19          544.0          MC
043114         1943/02/20          544.0          MC
043114         1943/02/21          544.0          MC
