Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-05-03, préliminaires par la suite
Station:        043205         Barrage du Grand-Moulin - sur la rivière des Mille-Îles à Deux-Montagnes (niveau amont)                                                        
Bassin versant: 146548 km²     Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 31' 60" // -73° 52' 57"
Constante géodésique: 0 m
Date de création du fichier: 2019-11-30 02:50
Particularité(s):
- De juillet à octobre 2011, des travaux d'écrêtage d'un seuil ont eu lieu à l'entrée de la rivière des Mille-Îles afin d'y augmenter les débits en période d'étiage. Il est donc important de noter que les débits d'étiage de la rivière des Milles-Îles subiront un changement de régime à partir de ce moment.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
043205         1999/10/01          21.41          S
043205         1999/10/02          21.40          S
043205         1999/10/03          21.37          S
043205         1999/10/04          21.41          S
043205         1999/10/05          21.44          S
043205         1999/10/06          21.51          S
043205         1999/10/07          21.55          S
043205         1999/10/08          21.54          S
043205         1999/10/09          21.56          S
043205         1999/10/10          21.56          S
043205         1999/10/11          21.57          S
043205         1999/10/12          21.56          S
043205         1999/10/13          21.53          S
043205         1999/10/14          21.51          S
043205         1999/10/15          21.70          S
043205         1999/10/16          21.75          S
043205         1999/10/17          21.80          S
043205         1999/10/18          21.84          S
043205         1999/10/19          21.88          S
043205         1999/10/20          21.88          S
043205         1999/10/21          21.90          S
043205         1999/10/22          21.88          S
043205         1999/10/23          21.90          S
043205         1999/10/24          21.99          S
043205         1999/10/25          21.99          S
043205         1999/10/26          21.99          S
043205         1999/10/27          22.01          S
043205         1999/10/28          22.00          S
043205         1999/10/29          22.00          S
043205         1999/10/30          22.02          S
043205         1999/10/31          22.01          S
043205         1999/11/01          21.99          S
043205         1999/11/02          21.96          S
043205         1999/11/03          21.89          S
043205         1999/11/04          22.25          S
043205         1999/11/05          22.13          S
043205         1999/11/06          22.20          S
043205         1999/11/07          22.24          S
043205         1999/11/08          22.22          S
043205         1999/11/09          22.21          S
043205         1999/11/10          22.12          MJ
043205         1999/11/11          22.09          MJ
043205         1999/11/12          22.11          MJ
043205         1999/11/13          22.11          MJ
043205         1999/11/14          22.12          MJ
043205         1999/11/15          22.15          MJ
