Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        043301         Des Prairies - à la tête du rapide du Cheval Blanc (chenal sud)                                                                                
Bassin versant: 146920 km²     Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 31' 18" // -73° 48' 30"

Date de création du fichier: 2019-11-29 06:10
Particularité(s):
- Le 31 mai 2018, les données historiques de cette station ont été mises à jour pour uniformiser les données en considérant la courbe de tarage la plus récente. L'impact majeur de cette mise à jour est que les débits de crues des années antérieures à 1997 sont diminués. L'effet se fait particulièrement sentir pour les débits supérieurs à 2000 m³/s.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
043301         1922/10/01          535.0          MC
043301         1922/10/02          535.0          MC
043301         1922/10/03          535.0          MC
043301         1922/10/04          518.0          MC
043301         1922/10/05          504.0          MC
043301         1922/10/06          439.0          MC
043301         1922/10/07          456.0          MC
043301         1922/10/08          504.0          MC
043301         1922/10/09          504.0          MC
043301         1922/10/10          487.0          MC
043301         1922/10/11          504.0          MC
043301         1922/10/12          634.0          MC
043301         1922/10/13          552.0          MC
043301         1922/10/14          535.0          MC
043301         1922/10/15          552.0          MC
043301         1922/10/16          552.0          MC
043301         1922/10/17          634.0          MC
043301         1922/10/18          651.0          MC
043301         1922/10/19          603.0          MC
043301         1922/10/20          603.0          MC
043301         1922/10/21          569.0          MC
043301         1922/10/22          552.0          MC
043301         1922/10/23          569.0          MC
043301         1922/10/24          603.0          MC
043301         1922/10/25          586.0          MC
043301         1922/10/26          603.0          MC
043301         1922/10/27          603.0          MC
043301         1922/10/28          617.0          MC
043301         1922/10/29          617.0          MC
043301         1922/10/30          603.0          MC
043301         1922/10/31          603.0          MC
043301         1922/11/01          586.0          MC
043301         1922/11/02          552.0          MC
043301         1922/11/03          569.0          MC
043301         1922/11/04          586.0          MC
043301         1922/11/05          569.0          MC
043301         1922/11/06          569.0          MC
043301         1922/11/07          552.0          MC
043301         1922/11/08          552.0          MC
043301         1922/11/09          586.0          MC
043301         1922/11/10          603.0          MC
043301         1922/11/11          569.0          MC
043301         1922/11/12          552.0          MC
043301         1922/11/13          552.0          MC
043301         1922/11/14          535.0          MC
043301         1922/11/15          569.0          MC
043301         1922/11/16          569.0          MC
043301         1922/11/17          535.0          MC
043301         1922/11/18          535.0          MC
043301         1922/11/19          552.0          MC
043301         1922/11/20          552.0          MC
043301         1922/11/21          569.0          MC
043301         1922/11/22          586.0          MC
043301         1922/11/23          586.0          MC
043301         1922/11/24          603.0          MC
043301         1922/11/25          603.0          MC
043301         1922/11/26          586.0          MC
043301         1922/11/27          569.0          MC
043301         1922/11/28          552.0          MC
043301         1922/11/29          552.0          MC
043301         1922/11/30          552.0          MC
043301         1922/12/01          603.0          MC
043301         1922/12/02          569.0          MC
043301         1922/12/03          569.0          MC
043301         1922/12/04          552.0          MC
043301         1922/12/05          504.0          MC
043301         1922/12/06          425.0          MC
043301         1922/12/07          408.0          MC
043301         1922/12/08          552.0          MC
043301         1922/12/09          552.0          MC
043301         1922/12/10          552.0          MC
043301         1922/12/11          552.0          MC
043301         1922/12/12          552.0          MC
043301         1922/12/13          552.0          MC
043301         1922/12/14          552.0          MC
043301         1922/12/15          552.0          MC
043301         1922/12/16          552.0          MC
043301         1922/12/17          552.0          MC
043301         1922/12/18          552.0          MC
043301         1922/12/19          552.0          MC
043301         1922/12/20          552.0          MC
043301         1922/12/21          552.0          MC
043301         1922/12/22          552.0          MC
043301         1922/12/23          552.0          MC
043301         1922/12/24          552.0          MC
043301         1922/12/25          552.0          MC
043301         1922/12/26          552.0          MC
043301         1922/12/27          552.0          MC
043301         1922/12/28          552.0          MC
043301         1922/12/29          552.0          MC
043301         1922/12/30          552.0          MC
043301         1922/12/31          552.0          MC
043301         1923/01/01          558.0          MC
043301         1923/01/02          558.0          MC
043301         1923/01/03          558.0          MC
043301         1923/01/04          558.0          MC
043301         1923/01/05          558.0          MC
043301         1923/01/06          558.0          MC
043301         1923/01/07          558.0          MC
043301         1923/01/08          558.0          MC
043301         1923/01/09          558.0          MC
043301         1923/01/10          558.0          MC
043301         1923/01/11          558.0          MC
043301         1923/01/12          558.0          MC
043301         1923/01/13          558.0          MC
043301         1923/01/14          558.0          MC
043301         1923/01/15          558.0          MC
043301         1923/01/16          558.0          MC
043301         1923/01/17          558.0          MC
043301         1923/01/18          558.0          MC
043301         1923/01/19          558.0          MC
043301         1923/01/20          558.0          MC
043301         1923/01/21          558.0          MC
043301         1923/01/22          558.0          MC
043301         1923/01/23          558.0          MC
043301         1923/01/24          558.0          MC
043301         1923/01/25          558.0          MC
043301         1923/01/26          558.0          MC
043301         1923/01/27          558.0          MC
043301         1923/01/28          558.0          MC
043301         1923/01/29          558.0          MC
043301         1923/01/30          558.0          MC
043301         1923/01/31          558.0          MC
043301         1923/02/01          541.0          MC
043301         1923/02/02          541.0          MC
043301         1923/02/03          541.0          MC
043301         1923/02/04          541.0          MC
043301         1923/02/05          541.0          MC
043301         1923/02/06          541.0          MC
043301         1923/02/07          541.0          MC
043301         1923/02/08          541.0          MC
043301         1923/02/09          541.0          MC
043301         1923/02/10          541.0          MC
043301         1923/02/11          541.0          MC
043301         1923/02/12          541.0          MC
043301         1923/02/13          541.0          MC
043301         1923/02/14          541.0          MC
043301         1923/02/15          541.0          MC
043301         1923/02/16          541.0          MC
043301         1923/02/17          541.0          MC
043301         1923/02/18          541.0          MC
043301         1923/02/19          541.0          MC
043301         1923/02/20          541.0          MC
043301         1923/02/21          541.0          MC
043301         1923/02/22          541.0          MC
043301         1923/02/23          541.0          MC
043301         1923/02/24          541.0          MC
043301         1923/02/25          541.0          MC
043301         1923/02/26          541.0          MC
043301         1923/02/27          541.0          MC
