Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-08-31
Station:        043317         Des Prairies - à Laval (Saint-Vincent-de-Paul) à 1,6 km en aval du pont-route 25                                                               
Bassin versant: 146000 km²     Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 36' 43" // -73° 38' 29"
Constante géodésique: -39.039 m
Date de création du fichier: 2012-06-22 21:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
043317         1964/01/01          48.44          PL
043317         1964/01/02          48.74          PL
043317         1964/01/03          48.71          PL
043317         1964/01/04          48.62          PL
043317         1964/01/05          48.44          PL
043317         1964/01/06          
043317         1964/01/07          48.45          PL
043317         1964/01/08          
043317         1964/01/09          
043317         1964/01/10          48.17          PL
043317         1964/01/11          48.16          PL
043317         1964/01/12          48.10          PL
043317         1964/01/13          48.21          PL
043317         1964/01/14          48.55          PL
043317         1964/01/15          48.58          PL
043317         1964/01/16          48.59          PL
043317         1964/01/17          48.54          PL
043317         1964/01/18          48.53          PL
043317         1964/01/19          48.55          PL
043317         1964/01/20          48.29          PL
043317         1964/01/21          48.38          PL
043317         1964/01/22          48.29          PL
043317         1964/01/23          48.23          PL
043317         1964/01/24          48.21          PL
043317         1964/01/25          48.32          PL
043317         1964/01/26          48.30          PL
043317         1964/01/27          48.31          PL
043317         1964/01/28          48.31          PL
043317         1964/01/29          48.28          PL
043317         1964/01/30          48.28          PL
043317         1964/01/31          48.31          PL
043317         1964/02/01          48.30          PL
043317         1964/02/02          48.25          PL
043317         1964/02/03          48.03          PL
043317         1964/02/04          47.95          PL
043317         1964/02/05          48.06          PL
043317         1964/02/06          48.15          PL
043317         1964/02/07          48.19          PL
043317         1964/02/08          48.20          PL
043317         1964/02/09          48.06          PL
043317         1964/02/10          47.96          PL
043317         1964/02/11          48.12          PL
043317         1964/02/12          48.10          PL
043317         1964/02/13          48.10          PL
043317         1964/02/14          48.08          PL
043317         1964/02/15          48.06          PL
043317         1964/02/16          48.05          PL
043317         1964/02/17          48.00          PL
043317         1964/02/18          48.00          PL
043317         1964/02/19          48.07          PL
043317         1964/02/20          48.08          PL
043317         1964/02/21          48.05          PL
043317         1964/02/22          48.05          PL
043317         1964/02/23          48.04          PL
043317         1964/02/24          47.91          PL
043317         1964/02/25          47.94          PL
043317         1964/02/26          48.03          PL
043317         1964/02/27          48.06          PL
043317         1964/02/28          48.03          PL
043317         1964/02/29          47.97          PL
043317         1964/03/01          47.97          PL
043317         1964/03/02          47.86          PL
043317         1964/03/03          47.87          PL
043317         1964/03/04          47.94          PL
043317         1964/03/05          47.99          PL
043317         1964/03/06          48.17          PL
043317         1964/03/07          48.37          PL
043317         1964/03/08          48.44          PL
043317         1964/03/09          
043317         1964/03/10          48.25          PL
043317         1964/03/11          48.43          PL
043317         1964/03/12          48.10          PL
043317         1964/03/13          48.03          PL
043317         1964/03/14          48.00          PL
043317         1964/03/15          47.88          PL
043317         1964/03/16          47.92          PL
043317         1964/03/17          47.94          PL
043317         1964/03/18          47.95          PL
043317         1964/03/19          48.07          PL
043317         1964/03/20          47.97          PL
043317         1964/03/21          47.89          PL
043317         1964/03/22          47.71          PL
043317         1964/03/23          47.80          PL
043317         1964/03/24          47.75          PL
043317         1964/03/25          47.85          PL
043317         1964/03/26          47.91          PL
043317         1964/03/27          47.87          PL
043317         1964/03/28          47.95          PL
043317         1964/03/29          47.88          PL
043317         1964/03/30          47.74          PL
043317         1964/03/31          47.76          PL
043317         1964/04/01          47.85          PL
043317         1964/04/02          47.92          PL
043317         1964/04/03          47.75          PL
043317         1964/04/04          47.75          PL
043317         1964/04/05          47.66          PL
043317         1964/04/06          47.57          PL
043317         1964/04/07          47.58          PL
043317         1964/04/08          47.77          PL
043317         1964/04/09          47.95          PL
043317         1964/04/10          48.00          PL
043317         1964/04/11          47.93          PL
043317         1964/04/12          47.88          PL
043317         1964/04/13          47.89          PL
043317         1964/04/14          47.96          PL
043317         1964/04/15          48.22          PL
043317         1964/04/16          48.30          PL
043317         1964/04/17          48.43          PL
043317         1964/04/18          48.50          PL
043317         1964/04/19          48.47          PL
043317         1964/04/20          48.45          PL
043317         1964/04/21          48.36          PL
043317         1964/04/22          48.36          PL
043317         1964/04/23          48.45          PL
043317         1964/04/24          48.52          PL
043317         1964/04/25          48.53          PL
043317         1964/04/26          48.50          PL
043317         1964/04/27          48.46          PL
043317         1964/04/28          48.46          PL
043317         1964/04/29          48.36          PL
043317         1964/04/30          48.30          PL
043317         1964/05/01          48.29          PL
043317         1964/05/02          48.28          PL
043317         1964/05/03          48.30          PL
043317         1964/05/04          48.22          PL
043317         1964/05/05          48.26          PL
043317         1964/05/06          48.25          PL
043317         1964/05/07          48.25          PL
043317         1964/05/08          48.13          PL
043317         1964/05/09          48.05          PL
043317         1964/05/10          48.06          PL
043317         1964/05/11          47.94          PL
043317         1964/05/12          47.80          PL
043317         1964/05/13          47.87          PL
043317         1964/05/14          47.86          PL
043317         1964/05/15          47.95          PL
043317         1964/05/16          47.94          PL
043317         1964/05/17          47.95          PL
043317         1964/05/18          47.89          PL
043317         1964/05/19          47.83          PL
043317         1964/05/20          47.90          PL
043317         1964/05/21          47.97          PL
043317         1964/05/22          47.93          PL
043317         1964/05/23          47.95          PL
043317         1964/05/24          47.92          PL
043317         1964/05/25          47.92          PL
043317         1964/05/26          47.95          PL
043317         1964/05/27          47.95          PL
043317         1964/05/28          47.92          PL
043317         1964/05/29          47.90          PL
043317         1964/05/30          47.90          PL
043317         1964/05/31          47.83          PL
043317         1964/06/01          47.82          PL
043317         1964/06/02          47.85          PL
043317         1964/06/03          47.92          PL
043317         1964/06/04          47.86          PL
043317         1964/06/05          47.89          PL
043317         1964/06/06          47.87          PL
043317         1964/06/07          47.87          PL
043317         1964/06/08          47.74          PL
043317         1964/06/09          47.75          PL
043317         1964/06/10          47.89          PL
043317         1964/06/11          47.77          PL
043317         1964/06/12          47.75          PL
043317         1964/06/13          47.74          PL
043317         1964/06/14          47.80          PL
043317         1964/06/15          47.64          PL
043317         1964/06/16          47.72          PL
043317         1964/06/17          47.93          PL
043317         1964/06/18          47.82          PL
043317         1964/06/19          47.86          PL
043317         1964/06/20          47.89          PL
043317         1964/06/21          47.92          PL
043317         1964/06/22          47.81          PL
043317         1964/06/23          47.79          PL
043317         1964/06/24          47.88          PL
043317         1964/06/25          47.89          PL
043317         1964/06/26          47.90          PL
043317         1964/06/27          47.88          PL
043317         1964/06/28          47.90          PL
043317         1964/06/29          47.78          PL
043317         1964/06/30          47.75          PL
043317         1964/07/01          47.81          PL
043317         1964/07/02          47.77          PL
043317         1964/07/03          47.74          PL
043317         1964/07/04          47.89          PL
043317         1964/07/05          47.88          PL
043317         1964/07/06          47.81          PL
043317         1964/07/07          47.72          PL
043317         1964/07/08          47.76          PL
043317         1964/07/09          47.78          PL
043317         1964/07/10          47.79          PL
043317         1964/07/11          47.79          PL
043317         1964/07/12          47.72          PL
043317         1964/07/13          47.61          PL
043317         1964/07/14          47.60          PL
043317         1964/07/15          47.61          PL
043317         1964/07/16          47.63          PL
043317         1964/07/17          47.63          PL
043317         1964/07/18          47.61          PL
043317         1964/07/19          47.64          PL
043317         1964/07/20          47.54          PL
043317         1964/07/21          47.47          PL
043317         1964/07/22          47.47          PL
043317         1964/07/23          47.49          PL
043317         1964/07/24          47.36          PL
043317         1964/07/25          47.53          PL
043317         1964/07/26          47.53          PL
043317         1964/07/27          47.48          PL
043317         1964/07/28          47.35          PL
043317         1964/07/29          47.42          PL
043317         1964/07/30          47.51          PL
043317         1964/07/31          47.54          PL
043317         1964/08/01          47.53          PL
043317         1964/08/02          47.50          PL
043317         1964/08/03          47.27          PL
043317         1964/08/04          47.28          PL
043317         1964/08/05          47.27          PL
043317         1964/08/06          47.37          PL
043317         1964/08/07          47.44          PL
043317         1964/08/08          47.41          PL
043317         1964/08/09          47.44          PL
043317         1964/08/10          47.45          PL
043317         1964/08/11          47.29          PL
043317         1964/08/12          47.42          PL
043317         1964/08/13          47.60          PL
043317         1964/08/14          47.40          PL
043317         1964/08/15          47.55          PL
043317         1964/08/16          47.30          PL
043317         1964/08/17          47.34          PL
043317         1964/08/18          47.45          PL
043317         1964/08/19          47.43          PL
043317         1964/08/20          47.45          PL
043317         1964/08/21          47.45          PL
043317         1964/08/22          47.46          PL
043317         1964/08/23          47.44          PL
043317         1964/08/24          47.39          PL
043317         1964/08/25          47.46          PL
043317         1964/08/26          47.49          PL
043317         1964/08/27          47.50          PL
043317         1964/08/28          47.46          PL
043317         1964/08/29          47.40          PL
043317         1964/08/30          47.42          PL
043317         1964/08/31          47.38          PL
043317         1964/09/01          47.42          PL
043317         1964/09/02          47.40          PL
043317         1964/09/03          47.42          PL
043317         1964/09/04          47.37          PL
043317         1964/09/05          47.36          PL
043317         1964/09/06          47.45          PL
043317         1964/09/07          47.32          PL
043317         1964/09/08          47.14          PL
043317         1964/09/09          47.29          PL
043317         1964/09/10          47.41          PL
043317         1964/09/11          47.35          PL
043317         1964/09/12          47.40          PL
043317         1964/09/13          47.32          PL
043317         1964/09/14          47.24          PL
043317         1964/09/15          47.30          PL
043317         1964/09/16          47.31          PL
043317         1964/09/17          47.32          PL
043317         1964/09/18          47.34          PL
043317         1964/09/19          47.33          PL
043317         1964/09/20          47.25          PL
043317         1964/09/21          47.19          PL
043317         1964/09/22          47.27          PL
043317         1964/09/23          47.34          PL
043317         1964/09/24          47.37          PL
043317         1964/09/25          47.40          PL
043317         1964/09/26          47.35          PL
043317         1964/09/27          47.30          PL
043317         1964/09/28          47.34          PL
043317         1964/09/29          47.28          PL
043317         1964/09/30          47.35          PL
043317         1964/10/01          47.36          PL
043317         1964/10/02          47.37          PL
043317         1964/10/03          47.50          PL
043317         1964/10/04          47.41          PL
043317         1964/10/05          47.36          PL
043317         1964/10/06          47.22          PL
043317         1964/10/07          47.47          PL
043317         1964/10/08          47.41          PL
043317         1964/10/09          47.54          PL
043317         1964/10/10          47.44          PL
043317         1964/10/11          47.48          PL
043317         1964/10/12          47.36          PL
