Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1976-05-03
Station:        043319         Des Prairies - près de l'Île Migneron (île Maheu)                                                                                              
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 40' 51" // -73° 32' 52"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-22 21:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
043319         1967/05/10          7.48           PL
043319         1967/05/11          7.49           PL
043319         1967/05/12          7.52           PL
043319         1967/05/13          7.48           PL
043319         1967/05/14          7.42           PL
043319         1967/05/15          7.33           PL
043319         1967/05/16          7.30           PL
043319         1967/05/17          7.23           PL
043319         1967/05/18          7.10           PL
043319         1967/05/19          7.00           PL
043319         1967/05/20          6.86           PL
043319         1967/05/21          6.70           PL
043319         1967/05/22          6.65           PL
043319         1967/05/23          6.62           PL
043319         1967/05/24          6.61           PL
043319         1967/05/25          6.56           PL
043319         1967/05/26          6.53           PL
043319         1967/05/27          6.56           PL
043319         1967/05/28          6.55           PL
043319         1967/05/29          6.54           PL
043319         1967/05/30          6.40           PL
043319         1967/05/31          6.37           PL
043319         1967/06/01          6.31           PL
043319         1967/06/02          6.22           PL
043319         1967/06/03          6.07           PL
043319         1967/06/04          6.03           PL
043319         1967/06/05          6.03           PL
043319         1967/06/06          6.02           PL
043319         1967/06/07          6.03           PL
043319         1967/06/08          6.03           PL
043319         1967/06/09          6.03           PL
043319         1967/06/10          6.03           PL
043319         1967/06/11          6.03           PL
043319         1967/06/12          6.14           PL
043319         1967/06/13          6.11           PL
043319         1967/06/14          6.17           PL
043319         1967/06/15          6.25           PL
043319         1967/06/16          6.32           PL
043319         1967/06/17          6.50           PL
043319         1967/06/18          6.62           PL
043319         1967/06/19          6.74           PL
043319         1967/06/20          6.89           PL
043319         1967/06/21          7.01           PL
043319         1967/06/22          7.09           PL
043319         1967/06/23          7.09           PL
043319         1967/06/24          7.03           PL
043319         1967/06/25          7.02           PL
043319         1967/06/26          7.03           PL
043319         1967/06/27          7.10           PL
043319         1967/06/28          7.10           PL
043319         1967/06/29          7.02           PL
043319         1967/06/30          6.87           PL
043319         1967/07/01          6.73           PL
043319         1967/07/02          6.62           PL
043319         1967/07/03          6.48           PL
043319         1967/07/04          6.49           PL
043319         1967/07/05          6.55           PL
043319         1967/07/06          6.55           PL
043319         1967/07/07          6.55           PL
043319         1967/07/08          6.48           PL
043319         1967/07/09          6.41           PL
043319         1967/07/10          6.35           PL
043319         1967/07/11          6.32           PL
043319         1967/07/12          6.26           PL
043319         1967/07/13          6.29           PL
043319         1967/07/14          6.27           PL
043319         1967/07/15          6.20           PL
043319         1967/07/16          6.18           PL
043319         1967/07/17          6.18           PL
043319         1967/07/18          6.04           PL
043319         1967/07/19          6.02           PL
043319         1967/07/20          6.01           PL
043319         1967/07/21          5.96           PL
043319         1967/07/22          5.96           PL
043319         1967/07/23          5.94           PL
043319         1967/07/24          5.87           PL
043319         1967/07/25          5.80           PL
043319         1967/07/26          5.80           PL
043319         1967/07/27          5.86           PL
043319         1967/07/28          5.79           PL
043319         1967/07/29          5.79           PL
043319         1967/07/30          5.81           PL
043319         1967/07/31          5.79           PL
043319         1967/08/01          5.66           PL
043319         1967/08/02          5.71           PL
043319         1967/08/03          5.72           PL
043319         1967/08/04          5.72           PL
043319         1967/08/05          5.79           PL
043319         1967/08/06          5.79           PL
043319         1967/08/07          5.74           PL
043319         1967/08/08          5.70           PL
043319         1967/08/09          5.70           PL
043319         1967/08/10          5.75           PL
043319         1967/08/11          5.75           PL
043319         1967/08/12          5.79           PL
043319         1967/08/13          5.78           PL
043319         1967/08/14          5.80           PL
043319         1967/08/15          5.79           PL
043319         1967/08/16          5.78           PL
043319         1967/08/17          5.78           PL
043319         1967/08/18          5.75           PL
043319         1967/08/19          5.72           PL
043319         1967/08/20          5.78           PL
043319         1967/08/21          5.85           PL
043319         1967/08/22          5.73           PL
043319         1967/08/23          5.73           PL
043319         1967/08/24          5.77           PL
043319         1967/08/25          5.71           PL
043319         1967/08/26          5.71           PL
043319         1967/08/27          5.70           PL
043319         1967/08/28          5.64           PL
043319         1967/08/29          5.57           PL
043319         1967/08/30          5.57           PL
043319         1967/08/31          5.64           PL
043319         1967/09/01          5.69           PL
043319         1967/09/02          5.70           PL
043319         1967/09/03          5.72           PL
043319         1967/09/04          5.72           PL
043319         1967/09/05          5.63           PL
043319         1967/09/06          5.69           PL
043319         1967/09/07          5.72           PL
043319         1967/09/08          5.77           PL
043319         1967/09/09          5.79           PL
043319         1967/09/10          5.79           PL
043319         1967/09/11          5.78           PL
043319         1967/09/12          5.70           PL
043319         1967/09/13          5.69           PL
043319         1967/09/14          5.69           PL
043319         1967/09/15          5.70           PL
043319         1967/09/16          5.69           PL
043319         1967/09/17          5.64           PL
043319         1967/09/18          5.61           PL
043319         1967/09/19          5.48           PL
043319         1967/09/20          5.50           PL
043319         1967/09/21          5.55           PL
043319         1967/09/22          5.49           PL
043319         1967/09/23          5.69           PL
043319         1967/09/24          5.64           PL
043319         1967/09/25          5.63           PL
043319         1967/09/26          5.63           PL
043319         1967/09/27          5.55           PL
043319         1967/09/28          5.63           PL
043319         1967/09/29          5.70           PL
043319         1967/09/30          5.71           PL
043319         1967/10/01          5.86           PL
043319         1967/10/02          5.84           PL
043319         1967/10/03          5.80           PL
043319         1967/10/04          5.87           PL
043319         1967/10/05          5.87           PL
043319         1967/10/06          5.92           PL
043319         1967/10/07          5.94           PL
043319         1967/10/08          5.94           PL
043319         1967/10/09          5.86           PL
043319         1967/10/10          5.86           PL
043319         1967/10/11          5.93           PL
043319         1967/10/12          5.93           PL
043319         1967/10/13          5.94           PL
043319         1967/10/14          5.87           PL
043319         1967/10/15          5.83           PL
043319         1967/10/16          5.86           PL
043319         1967/10/17          5.72           PL
043319         1967/10/18          5.87           PL
043319         1967/10/19          6.02           PL
043319         1967/10/20          6.16           PL
043319         1967/10/21          6.48           PL
043319         1967/10/22          6.71           PL
043319         1967/10/23          6.90           PL
043319         1967/10/24          6.92           PL
043319         1967/10/25          6.90           PL
043319         1967/10/26          6.86           PL
043319         1967/10/27          6.78           PL
043319         1967/10/28          6.82           PL
043319         1967/10/29          6.86           PL
043319         1967/10/30          6.86           PL
043319         1967/10/31          6.85           PL
043319         1967/11/01          6.85           PL
043319         1967/11/02          6.79           PL
043319         1967/11/03          6.78           PL
043319         1967/11/04          6.88           PL
043319         1967/11/05          7.03           PL
043319         1967/11/06          7.10           PL
043319         1967/11/07          7.17           PL
043319         1967/11/08          7.23           PL
043319         1967/11/09          7.23           PL
043319         1967/11/10          7.17           PL
043319         1967/11/11          7.11           PL
043319         1967/11/12          7.09           PL
043319         1967/11/13          7.10           PL
043319         1967/11/14          7.11           PL
043319         1967/11/15          7.24           PL
043319         1967/11/16          7.26           PL
043319         1967/11/17          7.24           PL
043319         1967/11/18          7.17           PL
043319         1967/11/19          7.16           PL
043319         1967/11/20          7.03           PL
043319         1967/11/21          6.96           PL
043319         1967/11/22          6.81           PL
043319         1967/11/23          6.79           PL
043319         1967/11/24          6.83           PL
043319         1967/11/25          6.94           PL
043319         1967/11/26          6.87           PL
043319         1967/11/27          6.94           PL
