Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1985-07-21
Station:        046708         Du Chêne - à 0,1 km en aval du pont-route 640                                                                                                  
Bassin versant: 215 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 33' 37" // -73° 55' 10"

Date de création du fichier: 2012-06-24 18:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
046708         1979/10/01          0.811          MC
046708         1979/10/02          0.806          MC
046708         1979/10/03          0.766          MC
046708         1979/10/04          0.735          MC
046708         1979/10/05          1.270          MC
046708         1979/10/06          32.70          MC
046708         1979/10/07          14.20          MC
046708         1979/10/08          7.130          MC
046708         1979/10/09          4.780          MC
046708         1979/10/10          4.860          MC
046708         1979/10/11          3.700          MC
046708         1979/10/12          3.410          MC
046708         1979/10/13          7.510          MC
046708         1979/10/14          5.180          MC
046708         1979/10/15          3.430          MC
046708         1979/10/16          2.800          MC
046708         1979/10/17          2.410          MC
046708         1979/10/18          2.170          MC
046708         1979/10/19          1.940          MC
046708         1979/10/20          2.600          MC
046708         1979/10/21          4.960          MC
046708         1979/10/22          3.940          MC
046708         1979/10/23          2.750          MC
046708         1979/10/24          5.300          MC
046708         1979/10/25          4.490          MC
046708         1979/10/26          2.780          MC
046708         1979/10/27          2.330          MC
046708         1979/10/28          2.230          MC
046708         1979/10/29          3.060          MC
046708         1979/10/30          2.720          MC
046708         1979/10/31          2.220          MC
046708         1979/11/01          1.990          MC
046708         1979/11/02          1.860          MC
046708         1979/11/03          1.730          MC
046708         1979/11/04          1.570          MC
046708         1979/11/05          1.460          MC
046708         1979/11/06          1.400          MC
046708         1979/11/07          1.350          MC
046708         1979/11/08          1.260          MC
046708         1979/11/09          1.240          MC
046708         1979/11/10          5.230          MC
046708         1979/11/11          4.350          MC
046708         1979/11/12          2.840          MC
046708         1979/11/13          2.060          MC
046708         1979/11/14          2.080          MC
046708         1979/11/15          2.050          MC
046708         1979/11/16          1.970          MC
046708         1979/11/17          1.630          MC
046708         1979/11/18          1.990          MC
046708         1979/11/19          1.770          MC
046708         1979/11/20          1.620          MC
046708         1979/11/21          1.860          MC
046708         1979/11/22          1.980          MC
046708         1979/11/23          5.640          MC
046708         1979/11/24          6.130          MC
046708         1979/11/25          5.840          MC
046708         1979/11/26          6.330          MC
046708         1979/11/27          22.10          MC
046708         1979/11/28          10.00          MC
046708         1979/11/29          6.950          MC
046708         1979/11/30          4.480          MC
046708         1979/12/01          3.390          MC
046708         1979/12/02          2.780          MC
046708         1979/12/03          2.160          MC
046708         1979/12/04          2.220          MC
046708         1979/12/05          2.060          MC
046708         1979/12/06          2.140          MC
046708         1979/12/07          2.960          MC
046708         1979/12/08          4.070          MC
046708         1979/12/09          2.620          MC
046708         1979/12/10          2.200          MC
046708         1979/12/11          1.860          MC
046708         1979/12/12          3.810          MC
046708         1979/12/13          4.680          MC
046708         1979/12/14          2.370          MC
046708         1979/12/15          1.680          MC
046708         1979/12/16          1.570          MC
046708         1979/12/17          1.430          MC
046708         1979/12/18          1.290          MC
046708         1979/12/19          1.070          MC
046708         1979/12/20          0.942          MC
046708         1979/12/21          0.937          MC
046708         1979/12/22          0.985          MC
046708         1979/12/23          1.080          MC
046708         1979/12/24          1.540          MC
046708         1979/12/25          24.80          MC
046708         1979/12/26          28.80          MC
046708         1979/12/27          13.10          MC
046708         1979/12/28          3.390          MC
046708         1979/12/29          2.730          MC
046708         1979/12/30          2.340          MC
046708         1979/12/31          1.700          MC
046708         1980/01/01          1.630          MC
046708         1980/01/02          1.450          MC
046708         1980/01/03          1.160          MC
046708         1980/01/04          0.927          MC
046708         1980/01/05          0.797          MC
046708         1980/01/06          0.760          E
046708         1980/01/07          0.730          E
046708         1980/01/08          0.705          E
046708         1980/01/09          0.690          E
046708         1980/01/10          0.675          E
046708         1980/01/11          0.980          E
046708         1980/01/12          1.850          E
046708         1980/01/13          1.500          E
046708         1980/01/14          1.300          E
046708         1980/01/15          1.120          E
046708         1980/01/16          1.080          E
046708         1980/01/17          1.000          E
046708         1980/01/18          0.940          E
046708         1980/01/19          0.880          E
046708         1980/01/20          0.830          E
046708         1980/01/21          0.800          MC
046708         1980/01/22          0.780          E
046708         1980/01/23          0.750          E
046708         1980/01/24          0.720          E
046708         1980/01/25          0.690          E
046708         1980/01/26          0.670          E
046708         1980/01/27          0.650          E
046708         1980/01/28          0.640          E
046708         1980/01/29          0.620          E
046708         1980/01/30          0.595          E
046708         1980/01/31          0.580          E
046708         1980/02/01          0.565          E
046708         1980/02/02          0.558          E
046708         1980/02/03          0.540          E
046708         1980/02/04          0.530          E
046708         1980/02/05          0.515          E
046708         1980/02/06          0.500          E
046708         1980/02/07          0.490          E
046708         1980/02/08          0.480          E
046708         1980/02/09          0.470          E
046708         1980/02/10          0.460          E
046708         1980/02/11          0.445          E
046708         1980/02/12          0.435          E
046708         1980/02/13          0.430          E
046708         1980/02/14          0.420          E
046708         1980/02/15          0.410          E
046708         1980/02/16          0.400          E
046708         1980/02/17          0.390          E
046708         1980/02/18          0.383          E
046708         1980/02/19          0.375          E
046708         1980/02/20          0.370          E
046708         1980/02/21          0.360          E
046708         1980/02/22          0.353          E
046708         1980/02/23          0.350          E
046708         1980/02/24          0.340          E
046708         1980/02/25          0.330          E
046708         1980/02/26          0.325          E
046708         1980/02/27          0.320          E
046708         1980/02/28          0.316          E
046708         1980/02/29          0.310          E
046708         1980/03/01          0.302          E
046708         1980/03/02          0.295          E
046708         1980/03/03          0.279          J
046708         1980/03/04          0.264          MC
046708         1980/03/05          0.251          MC
046708         1980/03/06          0.246          MC
046708         1980/03/07          0.237          MC
046708         1980/03/08          0.225          MC
046708         1980/03/09          0.229          MC
046708         1980/03/10          0.221          MC
046708         1980/03/11          0.230          MC
046708         1980/03/12          0.230          MC
046708         1980/03/13          0.219          MC
046708         1980/03/14          0.215          MC
046708         1980/03/15          0.207          MC
046708         1980/03/16          0.205          MC
046708         1980/03/17          0.212          MC
046708         1980/03/18          1.600          E
046708         1980/03/19          2.600          E
046708         1980/03/20          4.600          E
046708         1980/03/21          7.200          E
046708         1980/03/22          25.00          E
046708         1980/03/23          26.00          E
046708         1980/03/24          19.00          E
046708         1980/03/25          16.00          E
046708         1980/03/26          17.50          E
046708         1980/03/27          13.00          E
046708         1980/03/28          9.000          E
046708         1980/03/29          6.000          E
046708         1980/03/30          3.890          J
046708         1980/03/31          2.800          E
046708         1980/04/01          2.400          E
046708         1980/04/02          2.200          E
046708         1980/04/03          2.100          E
046708         1980/04/04          2.000          E
046708         1980/04/05          11.00          E
046708         1980/04/06          5.000          E
046708         1980/04/07          3.000          E
046708         1980/04/08          3.000          E
046708         1980/04/09          20.00          E
046708         1980/04/10          16.20          E
046708         1980/04/11          6.000          E
046708         1980/04/12          8.200          E
046708         1980/04/13          14.00          E
046708         1980/04/14          6.630          J
046708         1980/04/15          20.50          MC
046708         1980/04/16          8.860          MC
046708         1980/04/17          4.930          MC
046708         1980/04/18          4.090          MC
046708         1980/04/19          3.430          MC
046708         1980/04/20          3.210          MC
046708         1980/04/21          3.050          MC
046708         1980/04/22          2.710          MC
046708         1980/04/23          2.580          MC
046708         1980/04/24          2.480          MC
046708         1980/04/25          2.960          MC
046708         1980/04/26          5.480          MC
046708         1980/04/27          5.020          MC
