Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1975-09-30
Station:        048602         Gordon - à 0,2 km en aval du barrage du lac Kipawa                                                                                             
Bassin versant: 5960 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 46' 44" // -78° 59' 18"

Date de création du fichier: 2012-06-25 05:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
048602         1927/12/01          39.60          MC
048602         1927/12/02          39.60          MC
048602         1927/12/03          39.60          MC
048602         1927/12/04          39.60          MC
048602         1927/12/05          40.80          MC
048602         1927/12/06          41.90          MC
048602         1927/12/07          43.00          MC
048602         1927/12/08          44.20          MC
048602         1927/12/09          43.00          MC
048602         1927/12/10          41.90          MC
048602         1927/12/11          43.00          MC
048602         1927/12/12          43.00          MC
048602         1927/12/13          43.00          MC
048602         1927/12/14          43.00          MC
048602         1927/12/15          44.20          MC
048602         1927/12/16          45.30          MC
048602         1927/12/17          45.30          MC
048602         1927/12/18          45.30          MC
048602         1927/12/19          45.30          MC
048602         1927/12/20          45.30          MC
048602         1927/12/21          45.30          MC
048602         1927/12/22          45.30          MC
048602         1927/12/23          45.30          MC
048602         1927/12/24          44.20          MC
048602         1927/12/25          44.20          MC
048602         1927/12/26          44.20          MC
048602         1927/12/27          44.20          MC
048602         1927/12/28          45.30          MC
048602         1927/12/29          45.30          MC
048602         1927/12/30          45.30          MC
048602         1927/12/31          44.20          MC
048602         1928/01/01          44.20          MC
048602         1928/01/02          43.00          MC
048602         1928/01/03          43.00          MC
048602         1928/01/04          43.00          MC
048602         1928/01/05          44.20          MC
048602         1928/01/06          45.30          MC
048602         1928/01/07          45.30          MC
048602         1928/01/08          45.30          MC
048602         1928/01/09          45.30          MC
048602         1928/01/10          44.20          MC
048602         1928/01/11          44.20          MC
048602         1928/01/12          44.20          MC
048602         1928/01/13          44.20          MC
048602         1928/01/14          44.20          MC
048602         1928/01/15          44.20          MC
048602         1928/01/16          43.00          MC
048602         1928/01/17          43.00          MC
048602         1928/01/18          43.00          MC
048602         1928/01/19          44.20          MC
048602         1928/01/20          46.40          MC
048602         1928/01/21          47.60          MC
048602         1928/01/22          48.70          MC
048602         1928/01/23          48.70          MC
048602         1928/01/24          47.60          MC
048602         1928/01/25          47.60          MC
048602         1928/01/26          46.40          MC
048602         1928/01/27          46.40          MC
048602         1928/01/28          45.30          MC
048602         1928/01/29          45.30          MC
048602         1928/01/30          45.30          MC
048602         1928/01/31          44.20          MC
048602         1928/02/01          44.20          MC
048602         1928/02/02          44.20          MC
048602         1928/02/03          45.30          MC
048602         1928/02/04          47.60          MC
048602         1928/02/05          47.60          MC
