Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1961-09-30
Station:        050110         Matawin - à 1,6 km de la rivière Saint-Maurice                                                                                                 
Bassin versant: 5540 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 54' 4" // -72° 57' 4"

Date de création du fichier: 2012-06-24 18:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050110         1925/01/23          41.60          MC
050110         1925/01/24          41.60          MC
050110         1925/01/25          41.60          MC
050110         1925/01/26          41.60          MC
050110         1925/01/27          41.60          MC
050110         1925/01/28          41.60          MC
050110         1925/01/29          41.60          MC
050110         1925/01/30          41.60          MC
050110         1925/01/31          41.60          MC
050110         1925/02/01          46.70          MC
050110         1925/02/02          46.70          MC
050110         1925/02/03          46.70          MC
050110         1925/02/04          46.70          MC
050110         1925/02/05          46.70          MC
050110         1925/02/06          46.70          MC
050110         1925/02/07          46.70          MC
050110         1925/02/08          46.70          MC
050110         1925/02/09          46.70          MC
050110         1925/02/10          46.70          MC
050110         1925/02/11          46.70          MC
050110         1925/02/12          46.70          MC
050110         1925/02/13          46.70          MC
050110         1925/02/14          46.70          MC
050110         1925/02/15          46.70          MC
050110         1925/02/16          46.70          MC
050110         1925/02/17          46.70          MC
050110         1925/02/18          46.70          MC
050110         1925/02/19          46.70          MC
050110         1925/02/20          46.70          MC
050110         1925/02/21          46.70          MC
050110         1925/02/22          46.70          MC
050110         1925/02/23          46.70          MC
050110         1925/02/24          46.70          MC
050110         1925/02/25          46.70          MC
050110         1925/02/26          46.70          MC
050110         1925/02/27          46.70          MC
050110         1925/02/28          46.70          MC
050110         1925/03/01          54.90          MC
050110         1925/03/02          54.90          MC
050110         1925/03/03          54.90          MC
050110         1925/03/04          54.90          MC
050110         1925/03/05          54.90          MC
050110         1925/03/06          54.90          MC
050110         1925/03/07          54.90          MC
