Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1984-05-28
Station:        050116         Vermillon - à 2,3 km de la rivière Saint-Maurice                                                                                               
Bassin versant: 2670 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 47° 39' 20" // -72° 57' 44"

Date de création du fichier: 2012-06-24 18:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050116         1928/10/01          24.40          MC
050116         1928/10/02          24.40          MC
050116         1928/10/03          24.40          MC
050116         1928/10/04          24.40          MC
050116         1928/10/05          24.40          MC
050116         1928/10/06          24.40          MC
050116         1928/10/07          24.40          MC
050116         1928/10/08          24.40          MC
050116         1928/10/09          24.40          MC
050116         1928/10/10          22.20          MC
050116         1928/10/11          22.20          MC
050116         1928/10/12          22.20          MC
050116         1928/10/13          22.20          MC
050116         1928/10/14          22.20          MC
050116         1928/10/15          22.20          MC
050116         1928/10/16          22.20          MC
050116         1928/10/17          24.40          MC
050116         1928/10/18          37.70          MC
050116         1928/10/19          47.00          MC
050116         1928/10/20          43.30          MC
050116         1928/10/21          58.60          MC
050116         1928/10/22          57.50          MC
050116         1928/10/23          57.50          MC
050116         1928/10/24          57.50          MC
050116         1928/10/25          56.10          MC
050116         1928/10/26          54.70          MC
050116         1928/10/27          52.10          MC
050116         1928/10/28          48.10          MC
050116         1928/10/29          45.90          MC
050116         1928/10/30          42.20          MC
050116         1928/10/31          41.10          MC
050116         1928/11/01          37.70          MC
050116         1928/11/02          35.70          MC
050116         1928/11/03          34.50          MC
050116         1928/11/04          34.50          MC
050116         1928/11/05          33.70          MC
050116         1928/11/06          31.10          MC
050116         1928/11/07          31.10          MC
050116         1928/11/08          31.10          MC
050116         1928/11/09          32.00          MC
050116         1928/11/10          30.30          MC
050116         1928/11/11          27.60          MC
050116         1928/11/12          27.60          MC
050116         1928/11/13          26.00          MC
050116         1928/11/14          25.20          MC
050116         1928/11/15          24.40          MC
050116         1928/11/16          24.40          MC
050116         1928/11/17          26.00          MC
050116         1928/11/18          29.20          MC
050116         1928/11/19          31.10          MC
050116         1928/11/20          33.70          MC
050116         1928/11/21          34.50          MC
050116         1928/11/22          27.10          R
050116         1928/11/23          27.10          R
050116         1928/11/24          27.10          R
050116         1928/11/25          27.10          R
050116         1928/11/26          27.10          R
050116         1928/11/27          27.10          R
050116         1928/11/28          27.10          R
050116         1928/11/29          27.10          R
050116         1928/11/30          27.10          R
050116         1928/12/01          20.90          R
050116         1928/12/02          20.90          R
050116         1928/12/03          20.90          R
050116         1928/12/04          20.90          R
050116         1928/12/05          20.90          R
050116         1928/12/06          20.90          R
050116         1928/12/07          20.90          R
050116         1928/12/08          20.90          R
050116         1928/12/09          20.90          R
050116         1928/12/10          20.90          R
050116         1928/12/11          17.60          R
050116         1928/12/12          17.60          R
050116         1928/12/13          17.60          R
050116         1928/12/14          17.60          R
050116         1928/12/15          17.60          R
050116         1928/12/16          17.60          R
050116         1928/12/17          17.60          R
050116         1928/12/18          17.60          R
050116         1928/12/19          17.60          R
050116         1928/12/20          17.60          R
050116         1928/12/21          16.70          R
050116         1928/12/22          16.70          R
050116         1928/12/23          16.70          R
050116         1928/12/24          16.70          R
050116         1928/12/25          16.70          R
050116         1928/12/26          16.70          R
050116         1928/12/27          16.70          R
050116         1928/12/28          16.70          R
050116         1928/12/29          16.70          R
050116         1928/12/30          16.70          R
050116         1928/12/31          16.70          R
050116         1929/01/01          15.60          R
050116         1929/01/02          15.60          R
050116         1929/01/03          15.60          R
050116         1929/01/04          15.60          R
050116         1929/01/05          15.60          R
050116         1929/01/06          15.60          R
050116         1929/01/07          15.60          R
050116         1929/01/08          15.60          R
050116         1929/01/09          15.60          R
050116         1929/01/10          15.60          R
050116         1929/01/11          16.20          R
050116         1929/01/12          16.20          R
050116         1929/01/13          16.20          R
050116         1929/01/14          16.20          R
050116         1929/01/15          16.20          R
050116         1929/01/16          16.20          R
050116         1929/01/17          16.20          R
050116         1929/01/18          16.20          R
050116         1929/01/19          16.20          R
050116         1929/01/20          16.20          R
050116         1929/01/21          16.00          R
050116         1929/01/22          16.00          R
050116         1929/01/23          16.00          R
050116         1929/01/24          16.00          R
050116         1929/01/25          16.00          R
050116         1929/01/26          16.00          R
050116         1929/01/27          16.00          R
050116         1929/01/28          16.00          R
050116         1929/01/29          16.00          R
050116         1929/01/30          16.00          R
050116         1929/01/31          16.00          R
050116         1929/02/01          14.50          R
050116         1929/02/02          14.50          R
050116         1929/02/03          14.50          R
050116         1929/02/04          14.50          R
050116         1929/02/05          14.50          R
050116         1929/02/06          14.50          R
050116         1929/02/07          14.50          R
050116         1929/02/08          14.50          R
050116         1929/02/09          14.50          R
050116         1929/02/10          14.50          R
050116         1929/02/11          11.60          R
050116         1929/02/12          11.60          R
050116         1929/02/13          11.60          R
050116         1929/02/14          11.60          R
050116         1929/02/15          11.60          R
050116         1929/02/16          11.60          R
050116         1929/02/17          11.60          R
050116         1929/02/18          11.60          R
050116         1929/02/19          11.60          R
050116         1929/02/20          11.60          R
050116         1929/02/21          10.80          R
050116         1929/02/22          10.80          R
050116         1929/02/23          10.80          R
050116         1929/02/24          10.80          R
050116         1929/02/25          10.80          R
050116         1929/02/26          10.80          R
050116         1929/02/27          10.80          R
050116         1929/02/28          10.80          R
050116         1929/03/01          10.80          R
050116         1929/03/02          10.80          R
050116         1929/03/03          10.80          R
050116         1929/03/04          10.80          R
050116         1929/03/05          10.80          R
050116         1929/03/06          10.80          R
050116         1929/03/07          10.80          R
050116         1929/03/08          10.80          R
050116         1929/03/09          10.80          R
050116         1929/03/10          10.80          R
050116         1929/03/11          9.970          R
050116         1929/03/12          9.970          R
050116         1929/03/13          9.970          R
050116         1929/03/14          9.970          R
050116         1929/03/15          9.970          R
050116         1929/03/16          9.970          R
050116         1929/03/17          9.970          R
050116         1929/03/18          9.970          R
050116         1929/03/19          9.970          R
050116         1929/03/20          9.970          R
050116         1929/03/21          12.30          R
050116         1929/03/22          12.30          R
050116         1929/03/23          12.30          R
050116         1929/03/24          12.30          R
050116         1929/03/25          12.30          R
050116         1929/03/26          12.30          R
050116         1929/03/27          12.30          R
050116         1929/03/28          12.30          R
050116         1929/03/29          12.30          R
050116         1929/03/30          12.30          R
050116         1929/03/31          12.30          R
050116         1929/04/01          14.80          R
050116         1929/04/02          14.80          R
050116         1929/04/03          14.80          R
050116         1929/04/04          14.80          R
050116         1929/04/05          14.80          R
050116         1929/04/06          14.80          R
050116         1929/04/07          14.80          R
050116         1929/04/08          14.80          R
050116         1929/04/09          14.80          R
050116         1929/04/10          14.80          R
050116         1929/04/11          27.40          R
050116         1929/04/12          27.40          R
050116         1929/04/13          27.40          R
050116         1929/04/14          27.40          R
050116         1929/04/15          27.40          R
050116         1929/04/16          27.40          R
050116         1929/04/17          27.40          R
050116         1929/04/18          27.40          R
050116         1929/04/19          27.40          R
050116         1929/04/20          27.40          R
050116         1929/04/21          92.00          R
050116         1929/04/22          92.00          R
050116         1929/04/23          92.00          R
050116         1929/04/24          92.00          R
050116         1929/04/25          92.00          R
050116         1929/04/26          92.00          R
050116         1929/04/27          92.00          R
050116         1929/04/28          92.00          R
050116         1929/04/29          92.00          R
050116         1929/04/30          92.00          R
050116         1929/05/01          159.0          E
050116         1929/05/02          159.0          E
050116         1929/05/03          159.0          E
050116         1929/05/04          159.0          E
050116         1929/05/05          159.0          E
050116         1929/05/06          159.0          E
050116         1929/05/07          159.0          E
050116         1929/05/08          159.0          E
050116         1929/05/09          159.0          E
050116         1929/05/10          159.0          E
050116         1929/05/11          159.0          E
050116         1929/05/12          159.0          E
050116         1929/05/13          159.0          E
050116         1929/05/14          159.0          E
050116         1929/05/15          159.0          E
050116         1929/05/16          159.0          E
050116         1929/05/17          159.0          E
050116         1929/05/18          159.0          E
050116         1929/05/19          159.0          E
050116         1929/05/20          159.0          E
050116         1929/05/21          159.0          E
050116         1929/05/22          159.0          E
050116         1929/05/23          159.0          E
050116         1929/05/24          159.0          E
050116         1929/05/25          159.0          E
050116         1929/05/26          159.0          E
050116         1929/05/27          159.0          E
050116         1929/05/28          159.0          E
050116         1929/05/29          159.0          E
050116         1929/05/30          159.0          E
050116         1929/05/31          159.0          E
050116         1929/06/01          101.0          E
050116         1929/06/02          101.0          E
050116         1929/06/03          101.0          E
050116         1929/06/04          101.0          E
050116         1929/06/05          101.0          E
050116         1929/06/06          101.0          E
050116         1929/06/07          101.0          E
050116         1929/06/08          101.0          E
