Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1965-12-31
Station:        050117         Croche - au pont-route à la Croche                                                                                                             
Bassin versant: 1850 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 35' 3" // -72° 44' 33"

Date de création du fichier: 2012-06-24 19:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050117         1937/03/01          9.940          R
050117         1937/03/02          9.940          R
050117         1937/03/03          9.940          R
050117         1937/03/04          9.940          R
050117         1937/03/05          9.940          R
050117         1937/03/06          9.940          R
050117         1937/03/07          9.940          R
050117         1937/03/08          9.940          R
050117         1937/03/09          9.940          R
050117         1937/03/10          9.940          R
050117         1937/03/11          9.940          R
050117         1937/03/12          9.940          R
050117         1937/03/13          9.940          R
050117         1937/03/14          9.940          R
050117         1937/03/15          9.940          R
050117         1937/03/16          11.20          R
050117         1937/03/17          11.20          R
050117         1937/03/18          11.20          R
050117         1937/03/19          11.20          R
050117         1937/03/20          11.20          R
050117         1937/03/21          11.20          R
050117         1937/03/22          11.20          R
050117         1937/03/23          11.20          R
050117         1937/03/24          11.20          R
050117         1937/03/25          11.20          R
050117         1937/03/26          11.20          R
050117         1937/03/27          11.20          R
050117         1937/03/28          11.20          R
050117         1937/03/29          11.20          R
050117         1937/03/30          11.20          R
050117         1937/03/31          11.20          R
050117         1937/04/01          31.40          R
050117         1937/04/02          31.40          R
050117         1937/04/03          31.40          R
050117         1937/04/04          31.40          R
050117         1937/04/05          31.40          R
050117         1937/04/06          31.40          R
050117         1937/04/07          31.40          R
050117         1937/04/08          31.40          R
050117         1937/04/09          31.40          R
050117         1937/04/10          31.40          R
050117         1937/04/11          31.40          R
050117         1937/04/12          31.40          R
050117         1937/04/13          31.40          R
050117         1937/04/14          31.40          R
050117         1937/04/15          31.40          R
050117         1937/04/16          83.50          R
050117         1937/04/17          83.50          R
050117         1937/04/18          83.50          R
050117         1937/04/19          83.50          R
050117         1937/04/20          83.50          R
050117         1937/04/21          83.50          R
050117         1937/04/22          83.50          R
050117         1937/04/23          81.00          MC
050117         1937/04/24          89.20          MC
050117         1937/04/25          100.0          MC
050117         1937/04/26          116.0          MC
050117         1937/04/27          138.0          MC
050117         1937/04/28          160.0          MC
050117         1937/04/29          176.0          MC
050117         1937/04/30          182.0          MC
050117         1937/05/01          190.0          MC
050117         1937/05/02          195.0          MC
050117         1937/05/03          199.0          MC
050117         1937/05/04          204.0          MC
050117         1937/05/05          201.0          MC
050117         1937/05/06          183.0          MC
050117         1937/05/07          168.0          MC
050117         1937/05/08          153.0          MC
050117         1937/05/09          142.0          MC
050117         1937/05/10          130.0          MC
050117         1937/05/11          116.0          MC
050117         1937/05/12          111.0          MC
050117         1937/05/13          105.0          MC
050117         1937/05/14          94.60          MC
050117         1937/05/15          88.30          MC
050117         1937/05/16          84.40          MC
050117         1937/05/17          81.80          MC
050117         1937/05/18          79.90          MC
050117         1937/05/19          74.80          MC
050117         1937/05/20          69.90          MC
050117         1937/05/21          64.80          MC
050117         1937/05/22          60.00          MC
050117         1937/05/23          56.60          MC
050117         1937/05/24          59.70          MC
050117         1937/05/25          62.00          MC
050117         1937/05/26          62.30          MC
050117         1937/05/27          58.90          MC
050117         1937/05/28          56.60          MC
050117         1937/05/29          52.10          MC
050117         1937/05/30          47.60          MC
050117         1937/05/31          44.20          MC
050117         1937/06/01          41.90          MC
050117         1937/06/02          39.60          MC
050117         1937/06/03          39.60          MC
050117         1937/06/04          43.00          MC
050117         1937/06/05          45.60          MC
050117         1937/06/06          47.00          MC
050117         1937/06/07          45.00          MC
050117         1937/06/08          41.30          MC
050117         1937/06/09          36.00          MC
050117         1937/06/10          34.30          MC
050117         1937/06/11          31.40          MC
050117         1937/06/12          29.40          MC
050117         1937/06/13          27.60          MC
050117         1937/06/14          28.30          MC
050117         1937/06/15          29.40          MC
050117         1937/06/16          31.10          MC
050117         1937/06/17          31.10          MC
050117         1937/06/18          35.10          MC
050117         1937/06/19          44.50          MC
050117         1937/06/20          39.40          MC
050117         1937/06/21          35.70          MC
050117         1937/06/22          32.80          MC
050117         1937/06/23          29.70          MC
050117         1937/06/24          26.90          MC
050117         1937/06/25          25.20          MC
050117         1937/06/26          22.70          MC
050117         1937/06/27          21.00          MC
050117         1937/06/28          18.70          MC
050117         1937/06/29          17.70          MC
050117         1937/06/30          20.50          MC
050117         1937/07/01          24.50          MC
050117         1937/07/02          24.80          MC
050117         1937/07/03          25.20          MC
050117         1937/07/04          24.80          MC
050117         1937/07/05          24.40          MC
050117         1937/07/06          22.70          MC
050117         1937/07/07          20.80          MC
050117         1937/07/08          20.50          MC
050117         1937/07/09          19.80          MC
050117         1937/07/10          18.40          MC
050117         1937/07/11          15.00          MC
050117         1937/07/12          12.60          MC
050117         1937/07/13          12.10          MC
050117         1937/07/14          11.50          MC
050117         1937/07/15          11.80          MC
050117         1937/07/16          13.20          MC
050117         1937/07/17          15.00          MC
050117         1937/07/18          15.00          MC
050117         1937/07/19          15.00          MC
050117         1937/07/20          12.60          MC
050117         1937/07/21          9.490          MC
050117         1937/07/22          10.80          MC
050117         1937/07/23          10.40          MC
050117         1937/07/24          10.40          MC
050117         1937/07/25          10.30          MC
050117         1937/07/26          9.490          MC
050117         1937/07/27          9.490          MC
050117         1937/07/28          10.40          MC
050117         1937/07/29          10.40          MC
050117         1937/07/30          10.40          MC
050117         1937/07/31          11.30          MC
050117         1937/08/01          12.40          MC
050117         1937/08/02          12.90          MC
050117         1937/08/03          11.80          MC
050117         1937/08/04          11.50          MC
050117         1937/08/05          11.50          MC
050117         1937/08/06          10.40          MC
050117         1937/08/07          9.490          MC
050117         1937/08/08          9.490          MC
050117         1937/08/09          9.490          MC
050117         1937/08/10          8.580          MC
050117         1937/08/11          9.490          MC
050117         1937/08/12          10.40          MC
050117         1937/08/13          11.50          MC
050117         1937/08/14          13.20          MC
050117         1937/08/15          19.80          MC
050117         1937/08/16          18.40          MC
050117         1937/08/17          17.70          MC
050117         1937/08/18          15.60          MC
050117         1937/08/19          12.10          MC
050117         1937/08/20          10.40          MC
050117         1937/08/21          10.40          MC
050117         1937/08/22          10.40          MC
050117         1937/08/23          9.490          MC
050117         1937/08/24          8.920          MC
050117         1937/08/25          8.580          MC
050117         1937/08/26          7.990          MC
050117         1937/08/27          7.310          MC
050117         1937/08/28          6.910          MC
050117         1937/08/29          6.510          MC
050117         1937/08/30          5.970          MC
050117         1937/08/31          6.120          MC
050117         1937/09/01          6.120          MC
050117         1937/09/02          7.310          MC
050117         1937/09/03          7.730          MC
050117         1937/09/04          7.730          MC
050117         1937/09/05          7.730          MC
050117         1937/09/06          7.560          MC
050117         1937/09/07          7.140          MC
050117         1937/09/08          6.910          MC
050117         1937/09/09          6.120          MC
050117         1937/09/10          7.730          MC
050117         1937/09/11          7.310          MC
050117         1937/09/12          6.910          MC
050117         1937/09/13          6.910          MC
050117         1937/09/14          10.30          MC
050117         1937/09/15          16.30          MC
050117         1937/09/16          22.70          MC
050117         1937/09/17          25.20          MC
050117         1937/09/18          20.50          MC
050117         1937/09/19          19.10          MC
050117         1937/09/20          18.40          MC
