Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-25, préliminaires par la suite
Station:        050119         Matawin - à 750 m en amont du réservoir Taureau à Saint-Michel-des-Saints                                                                      
Bassin versant: 1387 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 40' 38" // -73° 54' 54"

Date de création du fichier: 2019-11-29 20:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050119         1931/05/19          30.90          J
050119         1931/05/20          28.30          MC
050119         1931/05/21          27.80          MC
050119         1931/05/22          27.80          MC
050119         1931/05/23          26.30          MC
050119         1931/05/24          29.20          MC
050119         1931/05/25          32.30          MC
050119         1931/05/26          33.10          MC
050119         1931/05/27          32.30          MC
050119         1931/05/28          30.90          MC
050119         1931/05/29          28.60          J
050119         1931/05/30          27.80          MC
050119         1931/05/31          27.00          MC
050119         1931/06/01          27.00          MC
050119         1931/06/02          26.30          MC
050119         1931/06/03          25.60          MC
050119         1931/06/04          24.20          MC
050119         1931/06/05          22.80          MC
050119         1931/06/06          21.50          MC
050119         1931/06/07          20.30          MC
050119         1931/06/08          21.50          MC
050119         1931/06/09          23.50          MC
050119         1931/06/10          27.00          MC
050119         1931/06/11          30.00          MC
050119         1931/06/12          30.00          MC
050119         1931/06/13          29.20          MC
050119         1931/06/14          27.00          MC
050119         1931/06/15          26.30          MC
050119         1931/06/16          30.00          MC
050119         1931/06/17          32.30          MC
050119         1931/06/18          30.90          MC
050119         1931/06/19          27.00          MC
050119         1931/06/20          24.90          MC
050119         1931/06/21          22.20          MC
050119         1931/06/22          20.30          MC
050119         1931/06/23          19.00          MC
050119         1931/06/24          17.80          MC
050119         1931/06/25          16.60          MC
050119         1931/06/26          15.40          MC
050119         1931/06/27          14.40          MC
050119         1931/06/28          13.10          MC
050119         1931/06/29          13.70          MC
050119         1931/06/30          12.00          MC
050119         1931/07/01          12.00          MC
050119         1931/07/02          12.00          MC
050119         1931/07/03          13.10          MC
050119         1931/07/04          14.40          MC
050119         1931/07/05          16.60          MC
050119         1931/07/06          15.40          MC
050119         1931/07/07          14.20          J
050119         1931/07/08          13.10          MC
050119         1931/07/09          12.60          MC
050119         1931/07/10          12.60          MC
050119         1931/07/11          13.10          MC
050119         1931/07/12          14.40          MC
050119         1931/07/13          14.40          MC
050119         1931/07/14          13.10          MC
050119         1931/07/15          11.50          J
050119         1931/07/16          11.00          MC
