Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1957-06-30
Station:        050127         Saint-Maurice - à 3,2 km en aval de la Vermillon                                                                                               
Bassin versant: 28500 km²      Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 36' 45" // -72° 54' 49"

Date de création du fichier: 2012-06-24 19:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050127         1927/05/11          714.0          MC
050127         1927/05/12          705.0          MC
050127         1927/05/13          714.0          MC
050127         1927/05/14          691.0          MC
050127         1927/05/15          657.0          MC
050127         1927/05/16          674.0          MC
050127         1927/05/17          714.0          MC
050127         1927/05/18          697.0          MC
050127         1927/05/19          759.0          MC
050127         1927/05/20          759.0          MC
050127         1927/05/21          759.0          MC
050127         1927/05/22          725.0          MC
050127         1927/05/23          626.0          MC
050127         1927/05/24          609.0          MC
050127         1927/05/25          685.0          MC
050127         1927/05/26          597.0          MC
050127         1927/05/27          549.0          MC
050127         1927/05/28          586.0          MC
050127         1927/05/29          609.0          MC
050127         1927/05/30          558.0          MC
050127         1927/05/31          597.0          MC
050127         1927/06/01          552.0          MC
050127         1927/06/02          462.0          MC
050127         1927/06/03          453.0          MC
050127         1927/06/04          394.0          MC
050127         1927/06/05          385.0          MC
050127         1927/06/06          436.0          MC
050127         1927/06/07          544.0          MC
050127         1927/06/08          544.0          MC
050127         1927/06/09          544.0          MC
050127         1927/06/10          402.0          MC
050127         1927/06/11          640.0          MC
050127         1927/06/12          592.0          MC
050127         1927/06/13          731.0          MC
050127         1927/06/14          668.0          MC
050127         1927/06/15          558.0          MC
050127         1927/06/16          569.0          MC
050127         1927/06/17          549.0          MC
050127         1927/06/18          425.0          MC
050127         1927/06/19          459.0          MC
050127         1927/06/20          530.0          MC
050127         1927/06/21          521.0          MC
050127         1927/06/22          493.0          MC
050127         1927/06/23          501.0          MC
050127         1927/06/24          433.0          MC
050127         1927/06/25          408.0          MC
050127         1927/06/26          416.0          MC
050127         1927/06/27          425.0          MC
050127         1927/06/28          408.0          MC
050127         1927/06/29          501.0          MC
050127         1927/06/30          566.0          MC
050127         1927/07/01          580.0          MC
050127         1927/07/02          569.0          MC
050127         1927/07/03          428.0          MC
050127         1927/07/04          496.0          MC
050127         1927/07/05          866.0          MC
050127         1927/07/06          1000           MC
050127         1927/07/07          1010           MC
050127         1927/07/08          878.0          MC
050127         1927/07/09          889.0          MC
050127         1927/07/10          776.0          MC
050127         1927/07/11          748.0          MC
050127         1927/07/12          674.0          MC
050127         1927/07/13          521.0          MC
050127         1927/07/14          566.0          MC
050127         1927/07/15          538.0          MC
050127         1927/07/16          521.0          MC
050127         1927/07/17          493.0          MC
050127         1927/07/18          459.0          MC
050127         1927/07/19          476.0          MC
050127         1927/07/20          484.0          MC
050127         1927/07/21          462.0          MC
050127         1927/07/22          433.0          MC
050127         1927/07/23          416.0          MC
050127         1927/07/24          484.0          MC
050127         1927/07/25          657.0          MC
050127         1927/07/26          850.0          MC
050127         1927/07/27          917.0          MC
050127         1927/07/28          940.0          MC
050127         1927/07/29          895.0          MC
050127         1927/07/30          799.0          MC
050127         1927/07/31          714.0          MC
050127         1927/08/01          640.0          MC
050127         1927/08/02          592.0          MC
050127         1927/08/03          552.0          MC
050127         1927/08/04          507.0          MC
050127         1927/08/05          470.0          MC
050127         1927/08/06          462.0          MC
050127         1927/08/07          445.0          MC
050127         1927/08/08          436.0          MC
050127         1927/08/09          470.0          MC
050127         1927/08/10          507.0          MC
050127         1927/08/11          479.0          MC
050127         1927/08/12          462.0          MC
050127         1927/08/13          445.0          MC
050127         1927/08/14          428.0          MC
050127         1927/08/15          419.0          MC
050127         1927/08/16          402.0          MC
050127         1927/08/17          394.0          MC
050127         1927/08/18          385.0          MC
050127         1927/08/19          385.0          MC
050127         1927/08/20          368.0          MC
050127         1927/08/21          377.0          MC
050127         1927/08/22          385.0          MC
050127         1927/08/23          377.0          MC
050127         1927/08/24          360.0          MC
050127         1927/08/25          351.0          MC
050127         1927/08/26          337.0          MC
050127         1927/08/27          328.0          MC
050127         1927/08/28          320.0          MC
050127         1927/08/29          343.0          MC
050127         1927/08/30          377.0          MC
050127         1927/08/31          385.0          MC
050127         1927/09/01          428.0          MC
050127         1927/09/02          445.0          MC
050127         1927/09/03          453.0          MC
050127         1927/09/04          453.0          MC
050127         1927/09/05          436.0          MC
050127         1927/09/06          402.0          MC
050127         1927/09/07          385.0          MC
050127         1927/09/08          385.0          MC
050127         1927/09/09          368.0          MC
050127         1927/09/10          411.0          MC
050127         1927/09/11          428.0          MC
050127         1927/09/12          436.0          MC
050127         1927/09/13          436.0          MC
050127         1927/09/14          436.0          MC
050127         1927/09/15          428.0          MC
050127         1927/09/16          419.0          MC
050127         1927/09/17          419.0          MC
050127         1927/09/18          411.0          MC
050127         1927/09/19          411.0          MC
050127         1927/09/20          411.0          MC
050127         1927/09/21          411.0          MC
050127         1927/09/22          402.0          MC
050127         1927/09/23          394.0          MC
050127         1927/09/24          385.0          MC
050127         1927/09/25          377.0          MC
050127         1927/09/26          368.0          MC
050127         1927/09/27          394.0          MC
050127         1927/09/28          411.0          MC
050127         1927/09/29          428.0          MC
050127         1927/09/30          453.0          MC
050127         1927/10/01          476.0          MC
050127         1927/10/02          484.0          MC
050127         1927/10/03          493.0          MC
050127         1927/10/04          513.0          MC
050127         1927/10/05          513.0          MC
050127         1927/10/06          513.0          MC
050127         1927/10/07          521.0          MC
