Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1971-07-05
Station:        050136         Lac des Souris - au Lac des Souris à Saint-Mathieu-du-Parc                                                                                     
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 35' 5" // -72° 59' 0"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 19:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
050136         1966/08/09          28.95          PL
050136         1966/08/10          28.95          PL
050136         1966/08/11          28.95          PL
050136         1966/08/12          28.95          PL
050136         1966/08/13          28.95          PL
050136         1966/08/14          28.95          PL
050136         1966/08/15          28.96          PL
050136         1966/08/16          28.96          PL
050136         1966/08/17          28.97          PL
050136         1966/08/18          29.02          PL
050136         1966/08/19          29.04          PL
050136         1966/08/20          29.06          PL
050136         1966/08/21          29.05          PL
050136         1966/08/22          29.06          PL
050136         1966/08/23          29.06          PL
050136         1966/08/24          29.04          PL
050136         1966/08/25          29.03          PL
050136         1966/08/26          29.02          PL
050136         1966/08/27          29.02          PL
050136         1966/08/28          29.02          PL
050136         1966/08/29          29.02          PL
050136         1966/08/30          29.01          PL
050136         1966/08/31          29.01          PL
050136         1966/09/01          29.00          PL
050136         1966/09/02          29.00          PL
050136         1966/09/03          29.00          PL
050136         1966/09/04          28.98          PL
050136         1966/09/05          29.00          PL
050136         1966/09/06          29.01          PL
050136         1966/09/07          29.02          PL
050136         1966/09/08          29.02          PL
050136         1966/09/09          29.00          PL
050136         1966/09/10          29.00          PL
050136         1966/09/11          28.99          PL
050136         1966/09/12          28.99          PL
050136         1966/09/13          28.99          PL
050136         1966/09/14          28.98          PL
050136         1966/09/15          28.97          PL
050136         1966/09/16          28.97          PL
050136         1966/09/17          28.97          PL
050136         1966/09/18          28.97          PL
050136         1966/09/19          28.97          PL
050136         1966/09/20          28.97          PL
050136         1966/09/21          28.97          PL
050136         1966/09/22          28.97          PL
050136         1966/09/23          28.97          PL
050136         1966/09/24          28.98          PL
050136         1966/09/25          28.99          PL
050136         1966/09/26          28.99          PL
050136         1966/09/27          28.98          PL
050136         1966/09/28          28.97          PL
050136         1966/09/29          28.97          PL
050136         1966/09/30          28.98          PL
050136         1966/10/01          28.99          PL
050136         1966/10/02          28.99          PL
050136         1966/10/03          29.00          PL
050136         1966/10/04          28.98          PL
050136         1966/10/05          29.00          PL
050136         1966/10/06          29.00          PL
050136         1966/10/07          28.99          PL
050136         1966/10/08          28.98          PL
050136         1966/10/09          28.98          PL
050136         1966/10/10          28.98          PL
050136         1966/10/11          28.98          PL
050136         1966/10/12          29.00          PL
050136         1966/10/13          29.00          PL
050136         1966/10/14          29.00          PL
050136         1966/10/15          29.01          PL
050136         1966/10/16          29.01          PL
050136         1966/10/17          29.00          PL
050136         1966/10/18          28.98          PL
050136         1966/10/19          28.98          PL
050136         1966/10/20          28.98          PL
050136         1966/10/21          29.00          PL
050136         1966/10/22          29.00          PL
050136         1966/10/23          29.00          PL
050136         1966/10/24          29.00          PL
050136         1966/10/25          29.00          PL
050136         1966/10/26          28.98          PL
050136         1966/10/27          28.98          PL
050136         1966/10/28          28.98          PL
050136         1966/10/29          28.98          PL
050136         1966/10/30          28.98          PL
050136         1966/10/31          28.99          PL
050136         1966/11/01          28.99          PL
050136         1966/11/02          28.99          PL
050136         1966/11/03          29.04          PL
050136         1966/11/04          29.13          PL
050136         1966/11/05          29.16          PL
050136         1966/11/06          29.17          PL
050136         1966/11/07          29.17          PL
050136         1966/11/08          29.18          PL
050136         1966/11/09          29.19          PL
050136         1966/11/10          29.21          PL
050136         1966/11/11          29.28          PL
050136         1966/11/12          29.28          PL
050136         1966/11/13          29.27          PL
050136         1966/11/14          29.25          PL
050136         1966/11/15          29.23          PL
050136         1966/11/16          29.21          PL
050136         1966/11/17          29.20          PL
050136         1966/11/18          29.19          PL
050136         1966/11/19          29.19          PL
050136         1966/11/20          29.18          PL
050136         1966/11/21          29.17          PL
050136         1966/11/22          29.17          PL
050136         1966/11/23          29.16          PL
050136         1966/11/24          29.16          PL
050136         1966/11/25          29.16          PL
050136         1966/11/26          29.20          PL
050136         1966/11/27          29.20          PL
050136         1966/11/28          29.22          PL
050136         1966/11/29          29.24          PL
050136         1966/11/30          29.24          PL
050136         1966/12/01          29.24          PL
050136         1966/12/02          29.24          PL
050136         1966/12/03          29.21          PL
050136         1966/12/04          29.20          PL
050136         1966/12/05          29.18          PL
050136         1966/12/06          29.18          PL
050136         1966/12/07          29.18          PL
050136         1966/12/08          29.19          PL
050136         1966/12/09          29.21          PL
050136         1966/12/10          29.21          PL
050136         1966/12/11          29.23          PL
050136         1966/12/12          29.27          PL
050136         1966/12/13          29.27          PL
050136         1966/12/14          29.27          PL
050136         1966/12/15          29.27          PL
050136         1966/12/16          29.25          PL
050136         1966/12/17          29.25          PL
050136         1966/12/18          29.24          PL
050136         1966/12/19          29.22          PL
050136         1966/12/20          29.21          PL
050136         1966/12/21          29.20          PL
050136         1966/12/22          29.18          PL
050136         1966/12/23          29.19          PL
050136         1966/12/24          29.18          PL
050136         1966/12/25          29.17          PL
050136         1966/12/26          29.19          PL
050136         1966/12/27          29.18          PL
050136         1966/12/28          29.18          PL
050136         1966/12/29          29.16          PL
050136         1966/12/30          29.18          PL
050136         1966/12/31          29.16          PL
050136         1967/01/01          29.16          PL
050136         1967/01/02          29.16          PL
050136         1967/01/03          29.15          PL
050136         1967/01/04          29.15          PL
050136         1967/01/05          29.15          PL
050136         1967/01/06          29.15          PL
050136         1967/01/07          29.13          PL
050136         1967/01/08          29.13          PL
050136         1967/01/09          29.15          PL
050136         1967/01/10          29.14          PL
050136         1967/01/11          29.14          PL
050136         1967/01/12          29.13          PL
050136         1967/01/13          29.13          PL
050136         1967/01/14          29.13          PL
050136         1967/01/15          29.13          PL
050136         1967/01/16          29.12          PL
050136         1967/01/17          29.12          PL
050136         1967/01/18          29.12          PL
050136         1967/01/19          29.10          PL
050136         1967/01/20          29.10          PL
050136         1967/01/21          29.10          PL
050136         1967/01/22          29.11          PL
050136         1967/01/23          29.11          PL
050136         1967/01/24          29.13          PL
050136         1967/01/25          29.12          PL
050136         1967/01/26          29.13          PL
050136         1967/01/27          29.13          PL
050136         1967/01/28          29.14          PL
050136         1967/01/29          29.16          PL
050136         1967/01/30          29.16          PL
050136         1967/01/31          29.15          PL
050136         1967/02/01          29.14          PL
050136         1967/02/02          29.14          PL
050136         1967/02/03          29.13          PL
050136         1967/02/04          29.12          PL
050136         1967/02/05          29.13          PL
050136         1967/02/06          29.12          PL
050136         1967/02/07          29.12          PL
050136         1967/02/08          29.10          PL
050136         1967/02/09          29.11          PL
050136         1967/02/10          29.10          PL
050136         1967/02/11          29.10          PL
050136         1967/02/12          29.10          PL
050136         1967/02/13          29.09          PL
050136         1967/02/14          29.09          PL
050136         1967/02/15          29.10          PL
050136         1967/02/16          29.09          PL
050136         1967/02/17          29.09          PL
050136         1967/02/18          29.09          PL
050136         1967/02/19          29.09          PL
050136         1967/02/20          29.09          PL
050136         1967/02/21          29.09          PL
050136         1967/02/22          29.09          PL
050136         1967/02/23          29.09          PL
