Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1932-09-30
Station:        050142         Shawinigan - à 10,1 km de la rivièrer Saint-Maurice                                                                                            
Bassin versant: 477 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 34' 48" // -72° 45' 7"

Date de création du fichier: 2012-06-24 19:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050142         1927/05/30          13.40          MC
050142         1927/05/31          13.50          MC
050142         1927/06/01          16.60          MC
050142         1927/06/02          15.90          MC
050142         1927/06/03          15.30          MC
050142         1927/06/04          15.10          MC
050142         1927/06/05          14.60          MC
050142         1927/06/06          13.60          MC
050142         1927/06/07          12.60          MC
050142         1927/06/08          11.90          MC
050142         1927/06/09          11.20          MC
050142         1927/06/10          13.20          MC
050142         1927/06/11          13.20          MC
050142         1927/06/12          13.20          MC
050142         1927/06/13          13.20          MC
050142         1927/06/14          11.90          MC
050142         1927/06/15          11.20          MC
050142         1927/06/16          10.50          MC
050142         1927/06/17          8.830          MC
050142         1927/06/18          8.830          MC
050142         1927/06/19          8.210          MC
050142         1927/06/20          8.210          MC
050142         1927/06/21          8.210          MC
050142         1927/06/22          6.990          MC
050142         1927/06/23          6.990          MC
050142         1927/06/24          6.990          MC
050142         1927/06/25          6.990          MC
050142         1927/06/26          9.490          MC
050142         1927/06/27          9.490          MC
050142         1927/06/28          8.210          MC
050142         1927/06/29          8.210          MC
050142         1927/06/30          14.90          MC
050142         1927/07/01          7.590          MC
050142         1927/07/02          7.590          MC
050142         1927/07/03          9.850          MC
050142         1927/07/04          12.10          MC
050142         1927/07/05          11.50          MC
050142         1927/07/06          10.80          MC
050142         1927/07/07          11.50          MC
050142         1927/07/08          26.10          MC
050142         1927/07/09          37.90          MC
050142         1927/07/10          30.00          MC
050142         1927/07/11          21.80          MC
050142         1927/07/12          20.30          MC
050142         1927/07/13          18.30          MC
050142         1927/07/14          12.10          MC
050142         1927/07/15          15.50          MC
050142         1927/07/16          16.60          MC
050142         1927/07/17          16.60          MC
050142         1927/07/18          17.60          MC
050142         1927/07/19          16.20          MC
050142         1927/07/20          14.90          MC
050142         1927/07/21          12.10          MC
050142         1927/07/22          11.50          MC
050142         1927/07/23          10.80          MC
050142         1927/07/24          17.60          MC
050142         1927/07/25          24.40          MC
050142         1927/07/26          11.50          MC
050142         1927/07/27          11.50          MC
050142         1927/07/28          10.80          MC
050142         1927/07/29          10.10          MC
050142         1927/07/30          10.10          MC
050142         1927/07/31          7.990          MC
050142         1927/08/01          7.990          MC
050142         1927/08/02          7.990          MC
050142         1927/08/03          5.830          MC
050142         1927/08/04          5.830          MC
050142         1927/08/05          6.400          MC
050142         1927/08/06          6.400          MC
050142         1927/08/07          5.830          MC
050142         1927/08/08          5.270          MC
050142         1927/08/09          5.830          MC
050142         1927/08/10          5.270          MC
050142         1927/08/11          4.960          MC
050142         1927/08/12          4.730          MC
050142         1927/08/13          4.730          MC
050142         1927/08/14          4.730          E
050142         1927/08/15          4.730          MC
050142         1927/08/16          4.730          MC
050142         1927/08/17          4.730          MC
050142         1927/08/18          4.730          MC
050142         1927/08/19          4.190          MC
050142         1927/08/20          4.730          MC
050142         1927/08/21          4.450          MC
050142         1927/08/22          4.190          MC
050142         1927/08/23          4.190          MC
050142         1927/08/24          4.190          MC
050142         1927/08/25          3.680          MC
050142         1927/08/26          3.680          MC
050142         1927/08/27          3.200          MC
050142         1927/08/28          3.450          MC
050142         1927/08/29          3.680          MC
050142         1927/08/30          3.200          MC
050142         1927/08/31          3.680          MC
050142         1927/09/01          3.790          MC
050142         1927/09/02          3.200          MC
050142         1927/09/03          3.680          MC
050142         1927/09/04          3.680          MC
050142         1927/09/05          3.680          MC
050142         1927/09/06          3.680          MC
050142         1927/09/07          3.680          MC
050142         1927/09/08          3.680          MC
050142         1927/09/09          3.680          MC
050142         1927/09/10          3.200          MC
050142         1927/09/11          3.200          MC
050142         1927/09/12          3.200          MC
050142         1927/09/13          3.680          MC
050142         1927/09/14          3.200          MC
050142         1927/09/15          3.200          MC
050142         1927/09/16          3.200          MC
050142         1927/09/17          3.680          MC
050142         1927/09/18          3.940          MC
050142         1927/09/19          4.190          MC
050142         1927/09/20          4.190          MC
050142         1927/09/21          3.680          MC
050142         1927/09/22          3.680          MC
050142         1927/09/23          3.680          MC
050142         1927/09/24          3.200          MC
050142         1927/09/25          2.940          MC
050142         1927/09/26          2.720          MC
050142         1927/09/27          3.680          MC
050142         1927/09/28          3.680          MC
050142         1927/09/29          3.680          MC
050142         1927/09/30          3.680          MC
050142         1927/10/01          3.230          MC
050142         1927/10/02          2.940          E
050142         1927/10/03          2.750          MC
050142         1927/10/04          11.00          MC
050142         1927/10/05          4.840          MC
050142         1927/10/06          4.840          MC
050142         1927/10/07          4.840          MC
