Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1979-07-10
Station:        050143         Matawin - à 6,8 km en amont du pont-route 131                                                                                                  
Bassin versant: 1080 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 39' 57" // -73° 58' 33"

Date de création du fichier: 2012-06-24 20:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050143         1976/03/22          15.20          J
050143         1976/03/23          15.30          R
050143         1976/03/24          15.60          R
050143         1976/03/25          16.40          R
050143         1976/03/26          18.40          R
050143         1976/03/27          29.20          MC
050143         1976/03/28          38.20          MC
050143         1976/03/29          42.50          MC
050143         1976/03/30          48.10          MC
050143         1976/03/31          54.10          MC
050143         1976/04/01          61.40          MC
050143         1976/04/02          70.80          MC
050143         1976/04/03          81.60          E
050143         1976/04/04          92.90          E
050143         1976/04/05          98.50          E
050143         1976/04/06          103.0          E
050143         1976/04/07          106.0          MC
050143         1976/04/08          95.10          MC
050143         1976/04/09          81.00          MC
050143         1976/04/10          70.50          MC
050143         1976/04/11          64.00          MC
050143         1976/04/12          59.20          MC
050143         1976/04/13          56.90          MC
050143         1976/04/14          54.90          MC
050143         1976/04/15          51.00          MC
050143         1976/04/16          54.70          MC
050143         1976/04/17          67.70          MC
050143         1976/04/18          86.10          MC
050143         1976/04/19          108.0          MC
050143         1976/04/20          130.0          MC
050143         1976/04/21          147.0          MC
050143         1976/04/22          152.0          MC
050143         1976/04/23          148.0          MC
050143         1976/04/24          138.0          MC
050143         1976/04/25          126.0          MC
050143         1976/04/26          113.0          MC
050143         1976/04/27          100.0          MC
050143         1976/04/28          88.60          MC
050143         1976/04/29          80.10          MC
050143         1976/04/30          72.80          MC
050143         1976/05/01          66.30          MC
050143         1976/05/02          61.20          MC
050143         1976/05/03          58.00          MC
050143         1976/05/04          56.60          MC
