Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        050144         Vermillon - à 0,3 km en aval de la rivière des Prairies                                                                                        
Bassin versant: 2662 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 47° 40' 37" // -73° 2' 27"

Date de création du fichier: 2019-11-29 03:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050144         1982/11/01          16.70          MC
050144         1982/11/02          16.70          MC
050144         1982/11/03          18.50          MC
050144         1982/11/04          25.20          MC
050144         1982/11/05          43.40          MC
050144         1982/11/06          61.80          MC
050144         1982/11/07          66.30          MC
050144         1982/11/08          64.10          MC
050144         1982/11/09          57.60          MC
050144         1982/11/10          52.20          MC
050144         1982/11/11          47.90          MC
050144         1982/11/12          46.60          MC
050144         1982/11/13          48.90          MC
050144         1982/11/14          49.70          MC
050144         1982/11/15          49.70          MC
050144         1982/11/16          47.10          MC
050144         1982/11/17          44.70          MC
050144         1982/11/18          42.20          MC
050144         1982/11/19          39.80          MC
050144         1982/11/20          38.10          MC
050144         1982/11/21          38.20          MC
050144         1982/11/22          38.60          MC
050144         1982/11/23          38.80          MC
050144         1982/11/24          42.80          MC
050144         1982/11/25          49.70          MC
050144         1982/11/26          50.10          MC
050144         1982/11/27          44.90          MC
050144         1982/11/28          43.40          MC
050144         1982/11/29          42.40          MC
050144         1982/11/30          41.80          MC
050144         1982/12/01          41.20          MC
050144         1982/12/02          39.90          MC
050144         1982/12/03          39.70          MC
050144         1982/12/04          46.80          MC
050144         1982/12/05          57.60          MC
050144         1982/12/06          72.70          MC
050144         1982/12/07          87.60          MC
050144         1982/12/08          87.20          MC
050144         1982/12/09          76.80          MC
050144         1982/12/10          64.30          MC
050144         1982/12/11          53.00          R
050144         1982/12/12          47.00          R
050144         1982/12/13          43.00          R
050144         1982/12/14          41.00          R
050144         1982/12/15          42.50          R
050144         1982/12/16          44.50          R
050144         1982/12/17          40.50          R
050144         1982/12/18          38.50          R
050144         1982/12/19          36.80          R
050144         1982/12/20          35.50          R
050144         1982/12/21          33.80          R
050144         1982/12/22          32.80          R
050144         1982/12/23          31.80          R
050144         1982/12/24          30.80          R
050144         1982/12/25          32.20          R
050144         1982/12/26          34.40          R
050144         1982/12/27          36.70          R
050144         1982/12/28          39.20          R
050144         1982/12/29          41.60          R
050144         1982/12/30          43.80          R
050144         1982/12/31          44.00          R
