Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1942-09-30
Station:        050302         Batiscan - à 0,2 km en aval de la rivière des Envies                                                                                           
Bassin versant: 4482.1 km²     Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 36' 37" // -72° 22' 58"

Date de création du fichier: 2012-06-24 20:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050302         1923/10/01          40.80          MC
050302         1923/10/02          40.80          MC
050302         1923/10/03          43.00          MC
050302         1923/10/04          51.00          MC
050302         1923/10/05          51.00          MC
050302         1923/10/06          53.80          MC
050302         1923/10/07          56.60          MC
050302         1923/10/08          59.50          MC
050302         1923/10/09          56.60          MC
050302         1923/10/10          53.80          MC
050302         1923/10/11          48.10          MC
050302         1923/10/12          40.80          MC
050302         1923/10/13          38.50          MC
050302         1923/10/14          36.50          MC
050302         1923/10/15          34.80          MC
050302         1923/10/16          34.80          MC
050302         1923/10/17          36.50          MC
050302         1923/10/18          36.50          MC
050302         1923/10/19          36.50          MC
050302         1923/10/20          34.80          MC
050302         1923/10/21          34.80          MC
050302         1923/10/22          34.80          MC
050302         1923/10/23          31.10          MC
050302         1923/10/24          34.80          MC
050302         1923/10/25          163.0          MC
050302         1923/10/26          259.0          MC
050302         1923/10/27          246.0          MC
050302         1923/10/28          196.0          MC
050302         1923/10/29          185.0          MC
050302         1923/10/30          163.0          MC
050302         1923/10/31          158.0          MC
050302         1923/11/01          153.0          MC
050302         1923/11/02          136.0          MC
050302         1923/11/03          136.0          MC
050302         1923/11/04          111.0          MC
050302         1923/11/05          97.70          MC
050302         1923/11/06          93.20          MC
050302         1923/11/07          102.0          MC
050302         1923/11/08          131.0          MC
050302         1923/11/09          116.0          MC
050302         1923/11/10          106.0          MC
050302         1923/11/11          106.0          MC
050302         1923/11/12          102.0          MC
050302         1923/11/13          93.20          MC
050302         1923/11/14          88.90          MC
050302         1923/11/15          84.70          MC
050302         1923/11/16          80.40          MC
050302         1923/11/17          73.10          MC
050302         1923/11/18          69.40          MC
050302         1923/11/19          66.00          MC
050302         1923/11/20          59.50          MC
050302         1923/11/21          56.60          MC
050302         1923/11/22          59.50          MC
050302         1923/11/23          66.00          MC
050302         1923/11/24          69.40          MC
050302         1923/11/25          76.50          MC
050302         1923/11/26          84.70          MC
050302         1923/11/27          102.0          MC
050302         1923/11/28          116.0          MC
050302         1923/11/29          116.0          MC
050302         1923/11/30          126.0          MC
050302         1923/12/01          131.0          MC
050302         1923/12/02          126.0          MC
050302         1923/12/03          121.0          MC
050302         1923/12/04          116.0          MC
050302         1923/12/05          126.0          MC
050302         1923/12/06          153.0          MC
050302         1923/12/07          147.0          MC
050302         1923/12/08          147.0          MC
050302         1923/12/09          153.0          MC
050302         1923/12/10          153.0          MC
050302         1923/12/11          136.0          MC
050302         1923/12/12          126.0          MC
050302         1923/12/13          126.0          MC
050302         1923/12/14          126.0          MC
050302         1923/12/15          142.0          MC
050302         1923/12/16          153.0          MC
050302         1923/12/17          158.0          MC
050302         1923/12/18          163.0          MC
050302         1923/12/19          169.0          MC
050302         1923/12/20          169.0          MC
050302         1923/12/21          158.0          MC
050302         1923/12/22          136.0          MC
050302         1923/12/23          121.0          MC
050302         1923/12/24          102.0          MC
050302         1923/12/25          94.90          MC
050302         1923/12/26          88.10          MC
050302         1923/12/27          85.00          MC
050302         1923/12/28          80.10          MC
050302         1923/12/29          78.40          MC
050302         1923/12/30          73.60          MC
050302         1923/12/31          73.60          MC
050302         1924/01/01          72.20          MC
050302         1924/01/02          70.80          MC
050302         1924/01/03          66.50          MC
050302         1924/01/04          66.50          MC
050302         1924/01/05          66.50          MC
050302         1924/01/06          65.10          MC
050302         1924/01/07          62.30          MC
050302         1924/01/08          62.30          MC
050302         1924/01/09          58.30          MC
050302         1924/01/10          55.80          MC
050302         1924/01/11          54.70          MC
050302         1924/01/12          51.30          MC
050302         1924/01/13          50.10          MC
050302         1924/01/14          51.30          MC
050302         1924/01/15          50.10          MC
050302         1924/01/16          46.70          MC
050302         1924/01/17          47.90          MC
050302         1924/01/18          47.90          MC
050302         1924/01/19          47.90          MC
050302         1924/01/20          47.90          MC
050302         1924/01/21          49.00          MC
050302         1924/01/22          46.70          MC
050302         1924/01/23          44.50          MC
050302         1924/01/24          44.50          MC
050302         1924/01/25          43.30          MC
050302         1924/01/26          40.20          MC
050302         1924/01/27          39.10          MC
050302         1924/01/28          38.20          MC
050302         1924/01/29          37.10          MC
050302         1924/01/30          36.00          MC
050302         1924/01/31          36.00          MC
050302         1924/02/01          36.00          MC
050302         1924/02/02          35.10          MC
050302         1924/02/03          33.40          MC
050302         1924/02/04          33.40          MC
050302         1924/02/05          33.40          MC
050302         1924/02/06          32.60          MC
050302         1924/02/07          32.60          MC
050302         1924/02/08          30.90          MC
050302         1924/02/09          30.90          MC
050302         1924/02/10          31.70          MC
050302         1924/02/11          31.70          MC
050302         1924/02/12          30.30          MC
050302         1924/02/13          29.40          MC
050302         1924/02/14          28.00          MC
050302         1924/02/15          28.00          MC
050302         1924/02/16          28.00          MC
050302         1924/02/17          28.00          MC
050302         1924/02/18          28.00          MC
050302         1924/02/19          28.00          MC
050302         1924/02/20          28.00          MC
050302         1924/02/21          28.00          MC
050302         1924/02/22          28.00          MC
050302         1924/02/23          27.30          MC
050302         1924/02/24          27.30          MC
050302         1924/02/25          27.30          MC
050302         1924/02/26          27.30          MC
050302         1924/02/27          26.60          MC
050302         1924/02/28          26.60          MC
050302         1924/02/29          25.20          MC
050302         1924/03/01          24.50          MC
050302         1924/03/02          23.80          MC
050302         1924/03/03          23.20          MC
050302         1924/03/04          22.70          MC
050302         1924/03/05          22.70          MC
050302         1924/03/06          22.70          MC
050302         1924/03/07          23.20          MC
050302         1924/03/08          22.70          MC
050302         1924/03/09          21.50          MC
050302         1924/03/10          22.10          MC
050302         1924/03/11          23.20          MC
050302         1924/03/12          23.80          MC
050302         1924/03/13          23.80          MC
050302         1924/03/14          22.70          MC
050302         1924/03/15          22.70          MC
050302         1924/03/16          22.10          MC
050302         1924/03/17          22.10          MC
050302         1924/03/18          23.20          MC
050302         1924/03/19          25.90          MC
050302         1924/03/20          27.30          MC
050302         1924/03/21          27.30          MC
050302         1924/03/22          28.90          MC
050302         1924/03/23          28.90          MC
050302         1924/03/24          27.30          MC
050302         1924/03/25          25.90          MC
050302         1924/03/26          25.90          MC
050302         1924/03/27          25.20          MC
050302         1924/03/28          25.20          MC
050302         1924/03/29          23.80          MC
050302         1924/03/30          24.50          MC
050302         1924/03/31          23.20          MC
050302         1924/04/01          23.20          MC
050302         1924/04/02          23.20          MC
050302         1924/04/03          23.80          MC
050302         1924/04/04          25.20          MC
050302         1924/04/05          27.30          MC
050302         1924/04/06          30.30          MC
050302         1924/04/07          38.20          MC
050302         1924/04/08          60.90          MC
050302         1924/04/09          65.10          MC
050302         1924/04/10          85.00          MC
050302         1924/04/11          89.80          MC
050302         1924/04/12          110.0          MC
050302         1924/04/13          101.0          MC
050302         1924/04/14          117.0          MC
050302         1924/04/15          119.0          MC
050302         1924/04/16          106.0          MC
050302         1924/04/17          88.10          MC
050302         1924/04/18          113.0          MC
050302         1924/04/19          142.0          MC
050302         1924/04/20          170.0          MC
050302         1924/04/21          190.0          MC
050302         1924/04/22          202.0          MC
050302         1924/04/23          190.0          MC
050302         1924/04/24          190.0          MC
050302         1924/04/25          190.0          MC
050302         1924/04/26          185.0          MC
050302         1924/04/27          220.0          MC
050302         1924/04/28          271.0          MC
050302         1924/04/29          278.0          MC
050302         1924/04/30          306.0          MC
050302         1924/05/01          430.0          MC
050302         1924/05/02          479.0          MC
050302         1924/05/03          484.0          MC
050302         1924/05/04          532.0          MC
050302         1924/05/05          572.0          MC
050302         1924/05/06          515.0          MC
050302         1924/05/07          493.0          MC
050302         1924/05/08          462.0          MC
050302         1924/05/09          439.0          MC
050302         1924/05/10          416.0          MC
050302         1924/05/11          422.0          MC
050302         1924/05/12          422.0          MC
050302         1924/05/13          439.0          MC
050302         1924/05/14          484.0          MC
050302         1924/05/15          532.0          MC
050302         1924/05/16          603.0          MC
050302         1924/05/17          578.0          MC
050302         1924/05/18          532.0          MC
050302         1924/05/19          515.0          MC
050302         1924/05/20          510.0          MC
050302         1924/05/21          501.0          MC
050302         1924/05/22          430.0          MC
050302         1924/05/23          362.0          MC
050302         1924/05/24          331.0          MC
