Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-06-30
Station:        050307         Lac aux Sables - à Lac-aux-Sables                                                                                                              
Bassin versant: 59 km²         Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 52' 5" // -72° 23' 18"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 20:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
050307         1971/09/02          28.56          PL
050307         1971/09/03          28.60          PL
050307         1971/09/04          28.58          PL
050307         1971/09/05          28.60          PL
050307         1971/09/06          28.59          PL
050307         1971/09/07          28.60          PL
050307         1971/09/08          28.60          PL
050307         1971/09/09          28.61          PL
050307         1971/09/10          28.61          PL
050307         1971/09/11          28.63          PL
050307         1971/09/12          28.65          PL
050307         1971/09/13          28.65          PL
050307         1971/09/14          28.66          PL
050307         1971/09/15          28.69          PL
050307         1971/09/16          28.70          PL
050307         1971/09/17          28.70          PL
050307         1971/09/18          28.70          PL
050307         1971/09/19          28.69          PL
050307         1971/09/20          28.69          PL
050307         1971/09/21          28.70          PL
050307         1971/09/22          28.70          PL
050307         1971/09/23          28.70          PL
050307         1971/09/24          28.70          PL
050307         1971/09/25          28.70          PL
050307         1971/09/26          28.70          PL
050307         1971/09/27          28.69          PL
050307         1971/09/28          28.66          PL
050307         1971/09/29          28.66          PL
050307         1971/09/30          28.66          PL
050307         1971/10/01          28.64          PL
050307         1971/10/02          28.63          PL
050307         1971/10/03          28.62          PL
050307         1971/10/04          28.61          PL
050307         1971/10/05          28.61          PL
050307         1971/10/06          28.61          PL
