Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-07-11
Station:        050404         Sainte-Anne - au pont du C.N. près de Saint-Raymond                                                                                            
Bassin versant: 1540 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 53' 12" // -71° 51' 21"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-22 20:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
050404         1953/03/04          133.28         PL
050404         1953/03/05          133.30         PL
050404         1953/03/06          133.34         PL
050404         1953/03/07          133.25         PL
050404         1953/03/08          133.37         PL
050404         1953/03/09          133.21         PL
050404         1953/03/10          133.18         PL
050404         1953/03/11          133.18         PL
050404         1953/03/12          133.18         PL
050404         1953/03/13          133.18         PL
050404         1953/03/14          133.20         PL
050404         1953/03/15          133.30         PL
050404         1953/03/16          133.20         PL
050404         1953/03/17          133.17         PL
050404         1953/03/18          133.20         PL
050404         1953/03/19          133.20         PL
050404         1953/03/20          133.19         PL
050404         1953/03/21          133.19         PL
050404         1953/03/22          133.28         PL
050404         1953/03/23          133.25         PL
050404         1953/03/24          133.40         PL
050404         1953/03/25          134.37         PL
050404         1953/03/26          135.23         PL
050404         1953/03/27          135.19         PL
050404         1953/03/28          135.13         PL
050404         1953/03/29          134.86         PL
050404         1953/03/30          134.70         PL
050404         1953/03/31          134.67         PL
050404         1953/04/01          134.67         PL
050404         1953/04/02          134.51         PL
050404         1953/04/03          133.93         PL
050404         1953/04/04          133.78         PL
050404         1953/04/05          133.81         PL
050404         1953/04/06          133.87         PL
050404         1953/04/07          133.65         PL
050404         1953/04/08          133.56         PL
050404         1953/04/09          133.59         PL
050404         1953/04/10          133.71         PL
050404         1953/04/11          134.32         PL
050404         1953/04/12          133.92         PL
050404         1953/04/13          133.52         PL
050404         1953/04/14          133.43         PL
050404         1953/04/15          133.21         PL
050404         1953/04/16          133.15         PL
050404         1953/04/17          133.12         PL
050404         1953/04/18          133.08         PL
050404         1953/04/19          133.05         PL
050404         1953/04/20          133.02         PL
050404         1953/04/21          133.02         PL
050404         1953/04/22          132.99         PL
050404         1953/04/23          133.11         PL
050404         1953/04/24          134.08         PL
050404         1953/04/25          133.59         PL
050404         1953/04/26          133.50         PL
050404         1953/04/27          133.40         PL
050404         1953/04/28          133.92         PL
050404         1953/04/29          133.71         PL
050404         1953/04/30          133.55         PL
050404         1953/05/01          133.40         PL
050404         1953/05/02          133.28         PL
050404         1953/05/03          133.40         PL
050404         1953/05/04          133.45         PL
050404         1953/05/05          133.73         PL
050404         1953/05/06          133.72         PL
050404         1953/05/07          133.60         PL
050404         1953/05/08          133.63         PL
050404         1953/05/09          133.63         PL
050404         1953/05/10          133.75         PL
050404         1953/05/11          133.63         PL
050404         1953/05/12          133.44         PL
050404         1953/05/13          133.35         PL
050404         1953/05/14          133.53         PL
050404         1953/05/15          133.37         PL
050404         1953/05/16          133.62         PL
050404         1953/05/17          133.40         PL
050404         1953/05/18          133.25         PL
050404         1953/05/19          133.46         PL
050404         1953/05/20          133.31         PL
050404         1953/05/21          133.25         PL
050404         1953/05/22          133.16         PL
050404         1953/05/23          133.10         PL
050404         1953/05/24          133.16         PL
050404         1953/05/25          132.98         PL
050404         1953/05/26          132.91         PL
050404         1953/05/27          132.82         PL
050404         1953/05/28          132.79         PL
050404         1953/05/29          132.85         PL
050404         1953/05/30          132.73         PL
050404         1953/05/31          132.85         PL
050404         1953/06/01          132.67         PL
050404         1953/06/02          132.67         PL
050404         1953/06/03          132.61         PL
050404         1953/06/04          132.64         PL
050404         1953/06/05          132.61         PL
050404         1953/06/06          132.76         PL
050404         1953/06/07          132.88         PL
050404         1953/06/08          132.76         PL
050404         1953/06/09          132.76         PL
050404         1953/06/10          133.19         PL
050404         1953/06/11          133.13         PL
050404         1953/06/12          133.01         PL
050404         1953/06/13          132.91         PL
050404         1953/06/14          132.98         PL
050404         1953/06/15          132.82         PL
050404         1953/06/16          132.76         PL
050404         1953/06/17          132.76         PL
050404         1953/06/18          132.73         PL
050404         1953/06/19          132.70         PL
050404         1953/06/20          132.67         PL
050404         1953/06/21          132.79         PL
050404         1953/06/22          132.67         PL
050404         1953/06/23          132.64         PL
050404         1953/06/24          132.61         PL
050404         1953/06/25          132.49         PL
050404         1953/06/26          132.46         PL
050404         1953/06/27          132.67         PL
050404         1953/06/28          132.76         PL
050404         1953/06/29          132.61         PL
050404         1953/06/30          132.61         PL
050404         1953/07/01          132.64         PL
050404         1953/07/02          132.64         PL
050404         1953/07/03          132.73         PL
050404         1953/07/04          132.76         PL
050404         1953/07/05          132.82         PL
050404         1953/07/06          132.64         PL
050404         1953/07/07          132.70         PL
050404         1953/07/08          132.73         PL
050404         1953/07/09          132.73         PL
050404         1953/07/10          132.70         PL
050404         1953/07/11          132.64         PL
