Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-07-11
Station:        050405         Sainte-Anne - à la scierie à Chute-Panet                                                                                                       
Bassin versant: 1550 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 51' 42" // -71° 52' 16"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 20:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
050405         1953/03/03          132.58         PL
050405         1953/03/04          132.61         PL
050405         1953/03/05          132.58         PL
050405         1953/03/06          132.59         PL
050405         1953/03/07          132.56         PL
050405         1953/03/08          132.93         PL
050405         1953/03/09          132.66         PL
050405         1953/03/10          132.56         PL
050405         1953/03/11          132.64         PL
050405         1953/03/12          132.62         PL
050405         1953/03/13          132.47         PL
050405         1953/03/14          132.62         PL
050405         1953/03/15          132.94         PL
050405         1953/03/16          132.56         PL
050405         1953/03/17          132.58         PL
050405         1953/03/18          132.53         PL
050405         1953/03/19          132.62         PL
050405         1953/03/20          132.53         PL
050405         1953/03/21          132.55         PL
050405         1953/03/22          132.87         PL
050405         1953/03/23          132.61         PL
050405         1953/03/24          132.64         PL
050405         1953/03/25          133.09         PL
050405         1953/03/26          133.47         PL
050405         1953/03/27          133.54         PL
050405         1953/03/28          133.55         PL
050405         1953/03/29          133.46         PL
050405         1953/03/30          133.32         PL
050405         1953/03/31          133.29         PL
050405         1953/04/01          133.31         PL
050405         1953/04/02          133.28         PL
050405         1953/04/03          133.28         PL
050405         1953/04/04          133.20         PL
050405         1953/04/05          133.26         PL
050405         1953/04/06          133.26         PL
050405         1953/04/07          133.15         PL
050405         1953/04/08          133.11         PL
050405         1953/04/09          133.14         PL
050405         1953/04/10          133.20         PL
050405         1953/04/11          133.43         PL
050405         1953/04/12          133.31         PL
050405         1953/04/13          133.12         PL
050405         1953/04/14          133.05         PL
050405         1953/04/15          132.96         PL
050405         1953/04/16          132.88         PL
050405         1953/04/17          132.88         PL
050405         1953/04/18          132.87         PL
050405         1953/04/19          132.90         PL
050405         1953/04/20          132.85         PL
050405         1953/04/21          132.82         PL
050405         1953/04/22          132.79         PL
050405         1953/04/23          132.87         PL
050405         1953/04/24          133.35         PL
050405         1953/04/25          133.17         PL
050405         1953/04/26          133.14         PL
050405         1953/04/27          133.02         PL
050405         1953/04/28          133.27         PL
050405         1953/04/29          133.15         PL
050405         1953/04/30          133.11         PL
