Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        050408         Sainte-Anne - à 1,3 km en aval du barrage à Chute-Panet                                                                                        
Bassin versant: 1546 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 51' 9" // -71° 52' 29"

Date de création du fichier: 2019-11-29 04:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050408         1965/05/13          237.0          J
050408         1965/05/14          
050408         1965/05/15          
050408         1965/05/16          
050408         1965/05/17          
050408         1965/05/18          
050408         1965/05/19          
050408         1965/05/20          147.0          J
050408         1965/05/21          
050408         1965/05/22          
050408         1965/05/23          
050408         1965/05/24          
050408         1965/05/25          
050408         1965/05/26          
050408         1965/05/27          
050408         1965/05/28          
050408         1965/05/29          
050408         1965/05/30          
050408         1965/05/31          
050408         1965/06/01          
050408         1965/06/02          
050408         1965/06/03          
050408         1965/06/04          
050408         1965/06/05          
050408         1965/06/06          
050408         1965/06/07          
050408         1965/06/08          
050408         1965/06/09          
050408         1965/06/10          
050408         1965/06/11          
050408         1965/06/12          
050408         1965/06/13          
050408         1965/06/14          
050408         1965/06/15          
050408         1965/06/16          
050408         1965/06/17          
050408         1965/06/18          
050408         1965/06/19          
050408         1965/06/20          
050408         1965/06/21          
050408         1965/06/22          
050408         1965/06/23          
050408         1965/06/24          
050408         1965/06/25          
050408         1965/06/26          
050408         1965/06/27          
050408         1965/06/28          
050408         1965/06/29          
050408         1965/06/30          
050408         1965/07/01          
050408         1965/07/02          
050408         1965/07/03          
050408         1965/07/04          
050408         1965/07/05          
050408         1965/07/06          
050408         1965/07/07          
050408         1965/07/08          
050408         1965/07/09          
050408         1965/07/10          
050408         1965/07/11          
050408         1965/07/12          
050408         1965/07/13          
050408         1965/07/14          
050408         1965/07/15          
050408         1965/07/16          
050408         1965/07/17          
050408         1965/07/18          
050408         1965/07/19          
050408         1965/07/20          
050408         1965/07/21          
050408         1965/07/22          
050408         1965/07/23          
050408         1965/07/24          
050408         1965/07/25          
050408         1965/07/26          
050408         1965/07/27          
050408         1965/07/28          
050408         1965/07/29          
050408         1965/07/30          
050408         1965/07/31          
050408         1965/08/01          
050408         1965/08/02          
050408         1965/08/03          
050408         1965/08/04          
050408         1965/08/05          
050408         1965/08/06          
050408         1965/08/07          
050408         1965/08/08          
050408         1965/08/09          
050408         1965/08/10          
050408         1965/08/11          
050408         1965/08/12          
050408         1965/08/13          
050408         1965/08/14          
050408         1965/08/15          
050408         1965/08/16          
050408         1965/08/17          
050408         1965/08/18          
050408         1965/08/19          
050408         1965/08/20          41.30          J
050408         1965/08/21          
050408         1965/08/22          
050408         1965/08/23          
050408         1965/08/24          
050408         1965/08/25          
050408         1965/08/26          
050408         1965/08/27          
050408         1965/08/28          
050408         1965/08/29          
050408         1965/08/30          
050408         1965/08/31          
050408         1965/09/01          
050408         1965/09/02          
050408         1965/09/03          
050408         1965/09/04          
050408         1965/09/05          
050408         1965/09/06          
050408         1965/09/07          
050408         1965/09/08          
050408         1965/09/09          
050408         1965/09/10          
050408         1965/09/11          
050408         1965/09/12          
050408         1965/09/13          
050408         1965/09/14          
050408         1965/09/15          
050408         1965/09/16          
050408         1965/09/17          
050408         1965/09/18          
050408         1965/09/19          
050408         1965/09/20          
050408         1965/09/21          
050408         1965/09/22          
050408         1965/09/23          
050408         1965/09/24          
050408         1965/09/25          
050408         1965/09/26          
050408         1965/09/27          
050408         1965/09/28          
050408         1965/09/29          
050408         1965/09/30          
050408         1965/10/01          
050408         1965/10/02          
050408         1965/10/03          
050408         1965/10/04          
050408         1965/10/05          
050408         1965/10/06          
050408         1965/10/07          
050408         1965/10/08          
050408         1965/10/09          
050408         1965/10/10          
050408         1965/10/11          
050408         1965/10/12          
050408         1965/10/13          
050408         1965/10/14          83.30          J
050408         1965/10/15          
050408         1965/10/16          
050408         1965/10/17          
050408         1965/10/18          
050408         1965/10/19          
050408         1965/10/20          
050408         1965/10/21          
050408         1965/10/22          
050408         1965/10/23          
050408         1965/10/24          
050408         1965/10/25          73.30          MC
050408         1965/10/26          68.50          MC
050408         1965/10/27          60.00          MC
050408         1965/10/28          53.00          MC
050408         1965/10/29          48.10          MC
050408         1965/10/30          44.50          MC
050408         1965/10/31          42.80          MC
050408         1965/11/01          66.50          MC
050408         1965/11/02          60.60          MC
050408         1965/11/03          49.80          MC
050408         1965/11/04          46.20          MC
050408         1965/11/05          41.30          MC
050408         1965/11/06          40.50          MC
050408         1965/11/07          36.50          MC
050408         1965/11/08          34.80          MC
050408         1965/11/09          33.40          MC
050408         1965/11/10          30.30          MC
050408         1965/11/11          29.70          MC
050408         1965/11/12          32.00          MC
050408         1965/11/13          32.60          MC
050408         1965/11/14          45.30          MC
050408         1965/11/15          38.50          MC
050408         1965/11/16          33.10          MC
050408         1965/11/17          36.00          MC
050408         1965/11/18          39.90          MC
050408         1965/11/19          33.70          MC
050408         1965/11/20          29.40          MC
050408         1965/11/21          28.90          R
050408         1965/11/22          28.30          R
050408         1965/11/23          25.50          R
050408         1965/11/24          23.20          R
050408         1965/11/25          21.20          R
050408         1965/11/26          22.90          J
050408         1965/11/27          22.70          R
050408         1965/11/28          22.30          R
050408         1965/11/29          24.80          J
050408         1965/11/30          21.70          J
050408         1965/12/01          20.70          J
050408         1965/12/02          21.20          R
050408         1965/12/03          20.50          R
050408         1965/12/04          20.30          J
050408         1965/12/05          22.40          R
050408         1965/12/06          20.10          J
050408         1965/12/07          15.30          J
050408         1965/12/08          15.30          J
050408         1965/12/09          17.90          J
050408         1965/12/10          18.90          R
050408         1965/12/11          14.50          J
050408         1965/12/12          13.00          R
050408         1965/12/13          11.90          R
050408         1965/12/14          11.80          R
050408         1965/12/15          11.90          R
050408         1965/12/16          12.50          R
050408         1965/12/17          13.50          R
050408         1965/12/18          15.30          J
050408         1965/12/19          14.70          R
050408         1965/12/20          11.80          J
050408         1965/12/21          12.00          J
050408         1965/12/22          12.90          J
050408         1965/12/23          15.00          J
050408         1965/12/24          15.10          J
050408         1965/12/25          14.90          J
050408         1965/12/26          14.30          J
050408         1965/12/27          14.60          J
050408         1965/12/28          13.20          J
050408         1965/12/29          12.60          J
050408         1965/12/30          13.80          J
050408         1965/12/31          14.10          J
050408         1966/01/01          17.00          J
050408         1966/01/02          18.30          J
050408         1966/01/03          17.80          R
050408         1966/01/04          16.60          J
050408         1966/01/05          16.20          J
050408         1966/01/06          16.70          J
050408         1966/01/07          16.60          J
050408         1966/01/08          15.90          J
050408         1966/01/09          13.00          J
050408         1966/01/10          14.00          J
050408         1966/01/11          13.60          J
050408         1966/01/12          13.60          J
050408         1966/01/13          12.60          J
050408         1966/01/14          12.80          J
050408         1966/01/15          12.50          J
050408         1966/01/16          12.40          J
050408         1966/01/17          13.60          J
050408         1966/01/18          12.50          J
050408         1966/01/19          12.70          J
050408         1966/01/20          11.80          J
050408         1966/01/21          12.20          R
050408         1966/01/22          12.20          J
050408         1966/01/23          10.90          J
050408         1966/01/24          11.60          J
050408         1966/01/25          11.40          J
050408         1966/01/26          10.80          J
050408         1966/01/27          10.20          J
050408         1966/01/28          10.40          J
050408         1966/01/29          10.30          J
050408         1966/01/30          10.30          J
050408         1966/01/31          10.60          R
050408         1966/02/01          11.40          J
050408         1966/02/02          12.50          J
050408         1966/02/03          12.40          J
050408         1966/02/04          11.40          J
050408         1966/02/05          11.10          R
050408         1966/02/06          11.10          R
050408         1966/02/07          11.50          J
050408         1966/02/08          10.80          J
050408         1966/02/09          9.400          J
050408         1966/02/10          9.680          J
050408         1966/02/11          10.80          J
050408         1966/02/12          12.50          J
050408         1966/02/13          14.30          J
050408         1966/02/14          14.00          J
050408         1966/02/15          13.30          J
050408         1966/02/16          12.20          J
050408         1966/02/17          11.60          J
050408         1966/02/18          11.00          J
050408         1966/02/19          10.50          J
050408         1966/02/20          10.20          J
050408         1966/02/21          9.910          J
050408         1966/02/22          10.30          J
050408         1966/02/23          10.40          J
050408         1966/02/24          9.630          J
050408         1966/02/25          9.490          J
050408         1966/02/26          9.430          J
050408         1966/02/27          9.150          J
050408         1966/02/28          9.320          J
050408         1966/03/01          10.90          J
050408         1966/03/02          12.90          J
050408         1966/03/03          14.90          J
050408         1966/03/04          14.00          J
050408         1966/03/05          11.60          J
050408         1966/03/06          17.30          R
050408         1966/03/07          19.00          J
050408         1966/03/08          18.30          J
050408         1966/03/09          16.70          J
050408         1966/03/10          15.40          J
