Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        050409         Bras du Nord - à 4,5 km en amont de la Mauvaise                                                                                                
Bassin versant: 646 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 58' 36" // -71° 50' 51"

Date de création du fichier: 2019-11-29 05:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050409         1965/03/18          3.790          MC
050409         1965/03/19          3.790          MC
050409         1965/03/20          3.880          MC
050409         1965/03/21          3.820          MC
050409         1965/03/22          3.650          MC
050409         1965/03/23          3.650          MC
050409         1965/03/24          3.650          MC
050409         1965/03/25          3.650          MC
050409         1965/03/26          3.650          MC
050409         1965/03/27          3.600          MC
050409         1965/03/28          3.370          MC
050409         1965/03/29          3.510          MC
050409         1965/03/30          3.510          MC
050409         1965/03/31          3.570          MC
050409         1965/04/01          3.370          MC
050409         1965/04/02          3.340          MC
050409         1965/04/03          3.400          MC
050409         1965/04/04          3.430          MC
050409         1965/04/05          3.710          MC
050409         1965/04/06          4.050          MC
050409         1965/04/07          4.500          MC
050409         1965/04/08          5.410          MC
050409         1965/04/09          5.610          MC
050409         1965/04/10          6.200          MC
050409         1965/04/11          8.130          MC
050409         1965/04/12          8.920          MC
050409         1965/04/13          8.440          MC
050409         1965/04/14          8.300          MC
050409         1965/04/15          10.10          MC
050409         1965/04/16          14.60          MC
050409         1965/04/17          18.40          MC
050409         1965/04/18          15.60          MC
050409         1965/04/19          14.40          E
050409         1965/04/20          13.10          E
050409         1965/04/21          12.50          MC
050409         1965/04/22          16.90          MC
050409         1965/04/23          16.70          MC
050409         1965/04/24          13.00          MC
050409         1965/04/25          12.30          MC
050409         1965/04/26          13.40          MC
050409         1965/04/27          14.90          MC
050409         1965/04/28          22.00          MC
050409         1965/04/29          27.20          MC
050409         1965/04/30          34.30          MC
050409         1965/05/01          46.20          MC
050409         1965/05/02          37.40          MC
050409         1965/05/03          32.00          MC
050409         1965/05/04          38.50          MC
050409         1965/05/05          45.30          MC
050409         1965/05/06          41.60          MC
050409         1965/05/07          44.20          MC
050409         1965/05/08          54.40          MC
050409         1965/05/09          63.40          E
050409         1965/05/10          72.80          E
050409         1965/05/11          81.00          E
050409         1965/05/12          91.50          E
050409         1965/05/13          82.40          E
050409         1965/05/14          72.20          J
050409         1965/05/15          56.90          MC
050409         1965/05/16          45.30          MC
050409         1965/05/17          69.90          MC
050409         1965/05/18          100.0          MC
050409         1965/05/19          76.70          MC
050409         1965/05/20          59.70          J
050409         1965/05/21          45.30          MC
050409         1965/05/22          36.00          MC
050409         1965/05/23          32.30          MC
050409         1965/05/24          27.50          MC
050409         1965/05/25          23.20          MC
050409         1965/05/26          21.20          MC
050409         1965/05/27          21.70          MC
050409         1965/05/28          25.10          MC
050409         1965/05/29          24.20          MC
050409         1965/05/30          21.90          MC
050409         1965/05/31          19.20          MC
050409         1965/06/01          17.50          MC
050409         1965/06/02          15.80          MC
050409         1965/06/03          15.10          MC
050409         1965/06/04          13.80          MC
050409         1965/06/05          13.50          MC
050409         1965/06/06          12.70          MC
050409         1965/06/07          12.20          MC
050409         1965/06/08          13.80          MC
050409         1965/06/09          15.00          MC
050409         1965/06/10          15.70          MC
050409         1965/06/11          21.40          MC
050409         1965/06/12          22.30          MC
050409         1965/06/13          24.20          MC
050409         1965/06/14          26.20          MC
050409         1965/06/15          22.70          MC
050409         1965/06/16          20.70          MC
050409         1965/06/17          17.30          MC
050409         1965/06/18          16.30          MC
050409         1965/06/19          13.40          MC
050409         1965/06/20          12.50          MC
050409         1965/06/21          11.90          MC
050409         1965/06/22          11.70          MC
050409         1965/06/23          11.10          MC
050409         1965/06/24          12.80          MC
050409         1965/06/25          12.30          MC
050409         1965/06/26          11.40          MC
050409         1965/06/27          10.70          MC
050409         1965/06/28          10.20          MC
050409         1965/06/29          9.880          MC
050409         1965/06/30          9.230          MC
050409         1965/07/01          8.780          MC
050409         1965/07/02          8.240          MC
050409         1965/07/03          9.090          MC
050409         1965/07/04          14.00          MC
050409         1965/07/05          13.90          MC
050409         1965/07/06          12.60          MC
050409         1965/07/07          11.10          MC
050409         1965/07/08          17.00          MC
050409         1965/07/09          22.80          MC
050409         1965/07/10          19.60          MC
050409         1965/07/11          17.70          MC
050409         1965/07/12          15.60          MC
050409         1965/07/13          14.00          MC
050409         1965/07/14          13.10          MC
050409         1965/07/15          13.40          MC
050409         1965/07/16          12.50          MC
050409         1965/07/17          15.60          MC
050409         1965/07/18          15.60          MC
050409         1965/07/19          26.60          MC
050409         1965/07/20          35.10          MC
050409         1965/07/21          30.30          MC
050409         1965/07/22          25.20          MC
050409         1965/07/23          20.10          MC
050409         1965/07/24          15.50          MC
050409         1965/07/25          14.70          MC
050409         1965/07/26          13.80          MC
050409         1965/07/27          12.90          MC
050409         1965/07/28          10.80          MC
050409         1965/07/29          13.60          MC
050409         1965/07/30          12.70          MC
050409         1965/07/31          12.00          MC
050409         1965/08/01          11.40          MC
050409         1965/08/02          11.00          MC
050409         1965/08/03          10.80          MC
050409         1965/08/04          12.90          MC
050409         1965/08/05          12.60          MC
050409         1965/08/06          11.50          MC
050409         1965/08/07          11.40          MC
050409         1965/08/08          19.50          MC
050409         1965/08/09          23.00          MC
050409         1965/08/10          23.10          MC
050409         1965/08/11          20.40          MC
050409         1965/08/12          18.00          MC
050409         1965/08/13          17.80          MC
050409         1965/08/14          16.10          MC
050409         1965/08/15          15.10          MC
050409         1965/08/16          13.80          MC
050409         1965/08/17          12.60          MC
050409         1965/08/18          12.00          MC
050409         1965/08/19          13.70          E
050409         1965/08/20          15.50          J
050409         1965/08/21          14.20          MC
050409         1965/08/22          12.70          MC
050409         1965/08/23          20.60          MC
050409         1965/08/24          20.70          MC
050409         1965/08/25          17.90          MC
050409         1965/08/26          16.00          MC
050409         1965/08/27          30.60          MC
050409         1965/08/28          37.40          MC
050409         1965/08/29          35.40          MC
050409         1965/08/30          29.20          MC
050409         1965/08/31          25.70          MC
050409         1965/09/01          26.20          MC
050409         1965/09/02          47.90          MC
050409         1965/09/03          35.10          MC
050409         1965/09/04          27.80          MC
050409         1965/09/05          23.30          MC
050409         1965/09/06          20.30          MC
050409         1965/09/07          17.90          MC
050409         1965/09/08          16.40          MC
050409         1965/09/09          15.20          MC
050409         1965/09/10          14.50          E
050409         1965/09/11          19.50          MC
050409         1965/09/12          17.00          MC
050409         1965/09/13          15.20          MC
050409         1965/09/14          14.10          MC
050409         1965/09/15          13.80          MC
050409         1965/09/16          21.90          MC
050409         1965/09/17          18.80          MC
050409         1965/09/18          16.60          MC
050409         1965/09/19          14.80          MC
050409         1965/09/20          18.30          MC
050409         1965/09/21          24.00          MC
050409         1965/09/22          28.10          MC
050409         1965/09/23          25.40          MC
050409         1965/09/24          24.60          MC
050409         1965/09/25          26.90          MC
050409         1965/09/26          26.20          MC
050409         1965/09/27          22.90          MC
050409         1965/09/28          20.50          MC
050409         1965/09/29          19.00          MC
050409         1965/09/30          17.90          MC
050409         1965/10/01          23.80          MC
050409         1965/10/02          48.10          MC
050409         1965/10/03          40.20          MC
050409         1965/10/04          54.40          MC
050409         1965/10/05          45.60          MC
050409         1965/10/06          35.70          MC
050409         1965/10/07          28.30          MC
050409         1965/10/08          28.30          MC
050409         1965/10/09          39.10          MC
050409         1965/10/10          38.80          MC
050409         1965/10/11          34.00          MC
050409         1965/10/12          29.70          MC
050409         1965/10/13          33.10          MC
050409         1965/10/14          34.30          J
050409         1965/10/15          32.30          MC
050409         1965/10/16          28.90          MC
050409         1965/10/17          32.30          MC
050409         1965/10/18          27.50          E
050409         1965/10/19          25.90          E
050409         1965/10/20          24.20          E
050409         1965/10/21          23.50          E
050409         1965/10/22          23.00          E
050409         1965/10/23          24.70          E
050409         1965/10/24          37.70          E
050409         1965/10/25          30.60          E
050409         1965/10/26          25.90          E
050409         1965/10/27          23.60          E
050409         1965/10/28          21.50          E
050409         1965/10/29          19.80          E
050409         1965/10/30          18.70          E
050409         1965/10/31          17.90          E
050409         1965/11/01          23.00          E
050409         1965/11/02          21.40          E
050409         1965/11/03          18.30          E
050409         1965/11/04          17.30          E
050409         1965/11/05          16.70          E
050409         1965/11/06          16.00          E
050409         1965/11/07          15.20          E
050409         1965/11/08          14.80          E
050409         1965/11/09          14.50          E
050409         1965/11/10          13.70          E
050409         1965/11/11          13.10          E
050409         1965/11/12          13.10          E
050409         1965/11/13          13.70          E
050409         1965/11/14          15.50          E
050409         1965/11/15          13.90          E
050409         1965/11/16          13.30          E
050409         1965/11/17          14.40          E
050409         1965/11/18          13.70          J
050409         1965/11/19          12.60          MC
050409         1965/11/20          12.70          MC
050409         1965/11/21          12.70          MC
050409         1965/11/22          10.80          R
050409         1965/11/23          8.920          R
050409         1965/11/24          9.490          R
050409         1965/11/25          7.900          J
050409         1965/11/26          7.650          R
050409         1965/11/27          7.650          R
050409         1965/11/28          7.930          R
050409         1965/11/29          9.570          R
050409         1965/11/30          8.640          R
050409         1965/12/01          8.210          R
050409         1965/12/02          8.500          R
050409         1965/12/03          8.040          J
050409         1965/12/04          8.130          R
050409         1965/12/05          8.270          R
050409         1965/12/06          7.990          R
050409         1965/12/07          7.560          R
050409         1965/12/08          7.080          R
050409         1965/12/09          6.880          J
050409         1965/12/10          6.140          R
050409         1965/12/11          5.270          J
050409         1965/12/12          5.100          R
050409         1965/12/13          5.470          R
050409         1965/12/14          6.060          R
050409         1965/12/15          6.430          R
050409         1965/12/16          6.310          J
050409         1965/12/17          6.460          J
050409         1965/12/18          5.380          R
050409         1965/12/19          5.380          R
050409         1965/12/20          5.150          J
050409         1965/12/21          5.150          R
050409         1965/12/22          5.640          J
050409         1965/12/23          5.550          R
050409         1965/12/24          5.150          J
050409         1965/12/25          5.150          R
050409         1965/12/26          5.300          J
050409         1965/12/27          5.380          R
050409         1965/12/28          5.180          J
050409         1965/12/29          5.130          R
050409         1965/12/30          5.210          J
050409         1965/12/31          5.440          R
050409         1966/01/01          6.310          J
050409         1966/01/02          6.170          R
050409         1966/01/03          6.030          J
050409         1966/01/04          5.830          R
050409         1966/01/05          5.750          J
050409         1966/01/06          5.550          R
050409         1966/01/07          5.470          J
050409         1966/01/08          5.300          R
050409         1966/01/09          5.040          J
050409         1966/01/10          4.930          R
050409         1966/01/11          4.810          J
050409         1966/01/12          4.760          R
050409         1966/01/13          4.620          J
050409         1966/01/14          4.530          R
050409         1966/01/15          4.390          J
050409         1966/01/16          4.390          R
050409         1966/01/17          4.360          J
050409         1966/01/18          4.360          R
050409         1966/01/19          4.360          J
050409         1966/01/20          4.360          R
050409         1966/01/21          4.110          J
050409         1966/01/22          4.050          R
050409         1966/01/23          3.990          R
050409         1966/01/24          3.880          J
050409         1966/01/25          3.910          R
050409         1966/01/26          3.910          J
050409         1966/01/27          3.960          R
050409         1966/01/28          4.110          J
050409         1966/01/29          4.250          R
050409         1966/01/30          4.470          R
050409         1966/01/31          4.700          R
050409         1966/02/01          4.670          J
050409         1966/02/02          4.560          R
050409         1966/02/03          4.450          R
050409         1966/02/04          4.390          R
050409         1966/02/05          4.360          J
050409         1966/02/06          4.220          R
050409         1966/02/07          3.960          R
050409         1966/02/08          3.880          R
050409         1966/02/09          3.820          R
050409         1966/02/10          3.990          R
050409         1966/02/11          4.300          R
050409         1966/02/12          5.100          R
050409         1966/02/13          5.520          J
050409         1966/02/14          5.240          R
050409         1966/02/15          4.810          R
050409         1966/02/16          4.700          R
050409         1966/02/17          4.670          R
050409         1966/02/18          4.530          J
050409         1966/02/19          4.390          R
050409         1966/02/20          4.330          R
050409         1966/02/21          4.300          R
050409         1966/02/22          4.250          R
050409         1966/02/23          4.020          R
050409         1966/02/24          4.110          R
050409         1966/02/25          4.130          R
050409         1966/02/26          4.020          R
050409         1966/02/27          3.820          R
050409         1966/02/28          3.910          R
050409         1966/03/01          4.530          R
050409         1966/03/02          6.460          R
050409         1966/03/03          6.460          J
050409         1966/03/04          5.950          J
050409         1966/03/05          6.000          R
050409         1966/03/06          7.760          R
050409         1966/03/07          7.730          R
050409         1966/03/08          6.170          J
050409         1966/03/09          5.660          R
050409         1966/03/10          5.470          J
050409         1966/03/11          5.210          R
050409         1966/03/12          4.810          J
050409         1966/03/13          4.620          R
050409         1966/03/14          4.530          J
050409         1966/03/15          4.390          R
050409         1966/03/16          4.330          J
050409         1966/03/17          4.250          R
050409         1966/03/18          4.250          J
050409         1966/03/19          4.590          R
050409         1966/03/20          4.790          J
050409         1966/03/21          4.730          R
050409         1966/03/22          4.250          J
050409         1966/03/23          4.110          R
050409         1966/03/24          7.160          J
050409         1966/03/25          13.20          R
050409         1966/03/26          17.00          J
050409         1966/03/27          14.40          R
050409         1966/03/28          10.90          J
050409         1966/03/29          9.630          R
050409         1966/03/30          8.640          J
050409         1966/03/31          8.070          R
050409         1966/04/01          7.700          J
050409         1966/04/02          7.560          R
050409         1966/04/03          7.280          J
050409         1966/04/04          7.080          J
050409         1966/04/05          6.940          R
050409         1966/04/06          6.820          J
050409         1966/04/07          6.770          R
050409         1966/04/08          6.850          J
050409         1966/04/09          7.080          R
050409         1966/04/10          7.500          J
050409         1966/04/11          8.010          R
050409         1966/04/12          8.300          J
050409         1966/04/13          8.580          R
050409         1966/04/14          10.20          J
050409         1966/04/15          15.00          R
050409         1966/04/16          17.70          J
050409         1966/04/17          18.30          R
050409         1966/04/18          18.90          J
050409         1966/04/19          21.20          R
050409         1966/04/20          24.60          MC
050409         1966/04/21          34.00          MC
050409         1966/04/22          70.50          MC
050409         1966/04/23          64.00          MC
050409         1966/04/24          58.90          MC
050409         1966/04/25          57.20          MC
050409         1966/04/26          58.60          MC
050409         1966/04/27          46.40          MC
050409         1966/04/28          36.80          MC
050409         1966/04/29          31.10          MC
050409         1966/04/30          27.00          MC
050409         1966/05/01          26.50          MC
050409         1966/05/02          32.60          MC
050409         1966/05/03          31.40          MC
050409         1966/05/04          30.90          MC
050409         1966/05/05          29.70          MC
050409         1966/05/06          30.30          MC
050409         1966/05/07          31.40          MC
050409         1966/05/08          26.30          MC
050409         1966/05/09          23.60          MC
050409         1966/05/10          21.90          MC
050409         1966/05/11          20.10          MC
050409         1966/05/12          19.90          MC
050409         1966/05/13          22.80          MC
050409         1966/05/14          27.50          MC
050409         1966/05/15          47.90          MC
050409         1966/05/16          71.60          MC
050409         1966/05/17          87.80          MC
050409         1966/05/18          89.20          MC
050409         1966/05/19          133.0          MC
050409         1966/05/20          155.0          MC
050409         1966/05/21          174.0          MC
050409         1966/05/22          148.0          MC
050409         1966/05/23          110.0          MC
050409         1966/05/24          95.40          MC
050409         1966/05/25          95.70          MC
050409         1966/05/26          92.90          MC
050409         1966/05/27          74.20          J
050409         1966/05/28          66.80          MC
050409         1966/05/29          62.60          MC
050409         1966/05/30          53.80          MC
050409         1966/05/31          47.60          MC
050409         1966/06/01          40.50          MC
050409         1966/06/02          34.30          MC
050409         1966/06/03          29.40          MC
050409         1966/06/04          26.80          MC
050409         1966/06/05          24.80          MC
050409         1966/06/06          23.00          MC
050409         1966/06/07          22.90          MC
050409         1966/06/08          23.40          MC
050409         1966/06/09          28.30          MC
050409         1966/06/10          29.70          MC
050409         1966/06/11          51.30          MC
050409         1966/06/12          39.60          MC
050409         1966/06/13          29.70          MC
050409         1966/06/14          24.70          MC
050409         1966/06/15          24.80          MC
050409         1966/06/16          31.70          MC
050409         1966/06/17          34.80          MC
050409         1966/06/18          30.30          MC
050409         1966/06/19          25.20          MC
050409         1966/06/20          22.40          MC
050409         1966/06/21          27.00          MC
050409         1966/06/22          23.80          MC
050409         1966/06/23          21.60          MC
050409         1966/06/24          23.30          MC
050409         1966/06/25          29.20          MC
050409         1966/06/26          25.70          MC
050409         1966/06/27          22.70          MC
050409         1966/06/28          19.40          MC
050409         1966/06/29          16.90          MC
050409         1966/06/30          15.70          MC
050409         1966/07/01          13.90          MC
050409         1966/07/02          12.70          MC
050409         1966/07/03          12.10          MC
050409         1966/07/04          12.20          MC
050409         1966/07/05          11.00          MC
050409         1966/07/06          10.20          MC
050409         1966/07/07          10.10          MC
050409         1966/07/08          10.50          MC
050409         1966/07/09          10.00          MC
050409         1966/07/10          9.430          MC
050409         1966/07/11          13.00          MC
050409         1966/07/12          14.10          MC
050409         1966/07/13          18.60          MC
050409         1966/07/14          18.00          MC
050409         1966/07/15          13.80          MC
050409         1966/07/16          11.80          MC
050409         1966/07/17          10.40          MC
050409         1966/07/18          9.370          MC
050409         1966/07/19          12.20          MC
050409         1966/07/20          13.80          MC
050409         1966/07/21          13.00          MC
050409         1966/07/22          11.60          MC
050409         1966/07/23          10.40          MC
050409         1966/07/24          9.540          MC
050409         1966/07/25          8.830          J
050409         1966/07/26          8.950          MC
050409         1966/07/27          9.490          MC
050409         1966/07/28          9.060          MC
