Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-09-11
Station:        050424         Noire - à 0,2 km en aval du lac Long                                                                                                           
Bassin versant: 282 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 48' 48" // -72° 6' 0"

Date de création du fichier: 2012-06-24 23:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050424         1967/12/21          4.960          MC
050424         1967/12/22          4.980          MC
050424         1967/12/23          5.150          MC
050424         1967/12/24          5.240          MC
050424         1967/12/25          5.270          MC
050424         1967/12/26          5.300          MC
050424         1967/12/27          5.040          R
050424         1967/12/28          4.960          R
050424         1967/12/29          4.810          R
050424         1967/12/30          4.730          R
050424         1967/12/31          4.670          R
050424         1968/01/01          4.560          R
050424         1968/01/02          4.470          R
050424         1968/01/03          4.300          R
050424         1968/01/04          4.250          R
050424         1968/01/05          4.160          R
050424         1968/01/06          4.050          R
050424         1968/01/07          3.960          R
050424         1968/01/08          3.940          R
050424         1968/01/09          3.770          R
050424         1968/01/10          3.710          R
050424         1968/01/11          3.650          R
050424         1968/01/12          3.510          R
050424         1968/01/13          3.450          R
050424         1968/01/14          3.400          R
050424         1968/01/15          3.340          R
050424         1968/01/16          3.260          R
050424         1968/01/17          3.170          R
050424         1968/01/18          3.110          R
050424         1968/01/19          3.060          R
050424         1968/01/20          2.970          R
050424         1968/01/21          2.920          R
050424         1968/01/22          2.860          R
050424         1968/01/23          2.830          R
050424         1968/01/24          2.800          R
050424         1968/01/25          2.780          R
050424         1968/01/26          2.720          R
050424         1968/01/27          2.660          R
050424         1968/01/28          2.610          R
050424         1968/01/29          2.550          R
050424         1968/01/30          2.490          R
