Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-09-07
Station:        050427         Tourilli - à la sortie du lac Charlot                                                                                                          
Bassin versant: 181 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 47° 12' 46" // -71° 31' 52"

Date de création du fichier: 2012-06-25 00:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050427         1967/10/03          7.650          MC
050427         1967/10/04          
050427         1967/10/05          
050427         1967/10/06          7.870          MC
050427         1967/10/07          7.160          MC
050427         1967/10/08          6.510          MC
050427         1967/10/09          6.120          MC
050427         1967/10/10          7.390          MC
050427         1967/10/11          15.40          MC
050427         1967/10/12          13.30          MC
050427         1967/10/13          11.10          MC
050427         1967/10/14          9.540          MC
050427         1967/10/15          8.300          MC
050427         1967/10/16          9.770          MC
050427         1967/10/17          19.90          MC
050427         1967/10/18          17.80          MC
050427         1967/10/19          28.60          MC
050427         1967/10/20          25.10          MC
050427         1967/10/21          19.40          MC
050427         1967/10/22          15.30          MC
050427         1967/10/23          12.40          MC
050427         1967/10/24          10.80          MC
050427         1967/10/25          9.800          MC
050427         1967/10/26          13.10          MC
050427         1967/10/27          14.30          MC
050427         1967/10/28          12.40          MC
050427         1967/10/29          11.10          MC
050427         1967/10/30          9.570          MC
050427         1967/10/31          8.440          MC
050427         1967/11/01          7.760          MC
050427         1967/11/02          7.110          MC
050427         1967/11/03          9.000          MC
050427         1967/11/04          9.340          MC
050427         1967/11/05          9.490          MC
050427         1967/11/06          8.550          MC
050427         1967/11/07          7.450          MC
050427         1967/11/08          6.850          MC
050427         1967/11/09          6.340          MC
050427         1967/11/10          5.800          MC
050427         1967/11/11          5.320          MC
050427         1967/11/12          6.880          MC
050427         1967/11/13          10.50          MC
050427         1967/11/14          8.860          MC
050427         1967/11/15          5.470          MC
050427         1967/11/16          5.800          MC
050427         1967/11/17          5.270          MC
050427         1967/11/18          5.830          MC
050427         1967/11/19          5.580          MC
050427         1967/11/20          5.180          MC
050427         1967/11/21          4.790          MC
050427         1967/11/22          4.450          MC
050427         1967/11/23          4.450          MC
050427         1967/11/24          4.500          MC
050427         1967/11/25          4.560          MC
050427         1967/11/26          4.500          MC
050427         1967/11/27          4.500          MC
050427         1967/11/28          4.360          MC
050427         1967/11/29          3.990          MC
050427         1967/11/30          3.650          MC
050427         1967/12/01          3.600          MC
050427         1967/12/02          3.480          R
050427         1967/12/03          3.430          R
050427         1967/12/04          3.450          R
050427         1967/12/05          3.430          R
050427         1967/12/06          3.280          R
050427         1967/12/07          2.970          R
050427         1967/12/08          3.060          R
050427         1967/12/09          3.090          R
050427         1967/12/10          3.030          R
050427         1967/12/11          3.030          R
050427         1967/12/12          3.060          R
050427         1967/12/13          3.910          R
050427         1967/12/14          3.990          R
050427         1967/12/15          3.740          R
050427         1967/12/16          3.540          R
050427         1967/12/17          3.400          R
050427         1967/12/18          3.280          R
050427         1967/12/19          3.280          R
050427         1967/12/20          3.260          R
050427         1967/12/21          3.280          R
050427         1967/12/22          3.400          R
050427         1967/12/23          3.940          R
050427         1967/12/24          3.620          R
050427         1967/12/25          3.310          R
050427         1967/12/26          3.000          R
050427         1967/12/27          2.780          R
050427         1967/12/28          2.610          R
050427         1967/12/29          2.490          R
050427         1967/12/30          2.270          R
050427         1967/12/31          2.210          R
050427         1968/01/01          2.040          R
050427         1968/01/02          1.930          R
050427         1968/01/03          1.840          R
050427         1968/01/04          1.730          R
050427         1968/01/05          1.640          R
050427         1968/01/06          1.560          R
050427         1968/01/07          1.470          R
050427         1968/01/08          1.390          R
050427         1968/01/09          1.330          R
050427         1968/01/10          1.270          R
050427         1968/01/11          1.220          R
050427         1968/01/12          1.160          R
050427         1968/01/13          1.120          R
050427         1968/01/14          1.080          R
050427         1968/01/15          1.050          R
050427         1968/01/16          1.020          R
050427         1968/01/17          0.980          R
050427         1968/01/18          0.950          R
050427         1968/01/19          0.920          R
050427         1968/01/20          0.910          R
050427         1968/01/21          0.900          R
050427         1968/01/22          0.880          R
050427         1968/01/23          0.860          R
050427         1968/01/24          0.850          R
050427         1968/01/25          0.840          R
050427         1968/01/26          0.810          R
050427         1968/01/27          0.790          R
050427         1968/01/28          0.780          R
050427         1968/01/29          0.760          R
050427         1968/01/30          0.750          R
050427         1968/01/31          0.740          R
050427         1968/02/01          0.720          R
050427         1968/02/02          0.760          R
050427         1968/02/03          1.020          R
050427         1968/02/04          1.670          R
050427         1968/02/05          1.460          R
050427         1968/02/06          1.160          R
050427         1968/02/07          1.030          R
050427         1968/02/08          0.940          R
050427         1968/02/09          0.880          R
050427         1968/02/10          0.840          R
050427         1968/02/11          0.810          R
050427         1968/02/12          0.780          R
050427         1968/02/13          0.750          R
050427         1968/02/14          0.730          R
050427         1968/02/15          0.710          R
050427         1968/02/16          0.690          R
050427         1968/02/17          0.670          R
050427         1968/02/18          0.650          R
050427         1968/02/19          0.630          R
050427         1968/02/20          0.610          R
050427         1968/02/21          0.590          R
050427         1968/02/22          0.590          R
050427         1968/02/23          0.570          R
050427         1968/02/24          0.570          R
050427         1968/02/25          0.570          R
050427         1968/02/26          0.560          R
050427         1968/02/27          0.560          R
050427         1968/02/28          0.560          R
050427         1968/02/29          0.540          R
050427         1968/03/01          0.530          R
050427         1968/03/02          0.520          R
050427         1968/03/03          0.510          R
050427         1968/03/04          0.500          R
050427         1968/03/05          0.490          R
050427         1968/03/06          0.490          R
050427         1968/03/07          0.480          R
050427         1968/03/08          0.470          R
050427         1968/03/09          0.460          R
050427         1968/03/10          0.460          R
050427         1968/03/11          0.460          R
050427         1968/03/12          0.460          R
050427         1968/03/13          0.460          R
050427         1968/03/14          0.460          R
050427         1968/03/15          0.460          R
050427         1968/03/16          0.450          R
050427         1968/03/17          0.450          R
050427         1968/03/18          0.450          R
050427         1968/03/19          0.460          R
050427         1968/03/20          0.490          R
050427         1968/03/21          0.520          R
050427         1968/03/22          0.590          R
050427         1968/03/23          0.620          R
050427         1968/03/24          0.890          R
050427         1968/03/25          1.190          R
050427         1968/03/26          1.050          R
050427         1968/03/27          0.980          R
050427         1968/03/28          1.130          R
050427         1968/03/29          2.180          MC
050427         1968/03/30          2.600          MC
050427         1968/03/31          2.830          MC
050427         1968/04/01          2.780          MC
050427         1968/04/02          2.780          MC
050427         1968/04/03          2.780          MC
050427         1968/04/04          2.740          MC
050427         1968/04/05          2.760          MC
050427         1968/04/06          2.430          MC
050427         1968/04/07          2.660          MC
050427         1968/04/08          2.860          MC
050427         1968/04/09          3.230          MC
050427         1968/04/10          3.650          MC
050427         1968/04/11          3.310          MC
050427         1968/04/12          3.620          MC
050427         1968/04/13          4.900          MC
050427         1968/04/14          10.40          MC
050427         1968/04/15          19.80          MC
050427         1968/04/16          24.10          E
050427         1968/04/17          25.20          E
050427         1968/04/18          24.10          E
050427         1968/04/19          22.90          E
050427         1968/04/20          22.50          E
050427         1968/04/21          22.80          E
050427         1968/04/22          24.40          E
050427         1968/04/23          26.10          E
050427         1968/04/24          25.50          E
050427         1968/04/25          99.10          E
050427         1968/04/26          28.30          E
050427         1968/04/27          15.90          E
050427         1968/04/28          12.20          E
050427         1968/04/29          9.850          E
050427         1968/04/30          8.270          E
050427         1968/05/01          8.660          MC
050427         1968/05/02          8.580          MC
050427         1968/05/03          8.350          MC
050427         1968/05/04          8.660          MC
050427         1968/05/05          7.900          MC
050427         1968/05/06          6.880          MC
050427         1968/05/07          5.610          MC
050427         1968/05/08          4.900          MC
050427         1968/05/09          6.140          MC
050427         1968/05/10          16.20          MC
050427         1968/05/11          11.90          MC
050427         1968/05/12          12.30          MC
050427         1968/05/13          11.00          MC
050427         1968/05/14          9.970          MC
050427         1968/05/15          10.20          MC
050427         1968/05/16          10.10          MC
050427         1968/05/17          11.00          MC
050427         1968/05/18          14.90          MC
050427         1968/05/19          16.50          MC
050427         1968/05/20          14.20          MC
050427         1968/05/21          11.20          MC
050427         1968/05/22          9.120          MC
050427         1968/05/23          10.40          MC
050427         1968/05/24          8.610          MC
050427         1968/05/25          7.080          MC
050427         1968/05/26          5.830          MC
050427         1968/05/27          5.010          MC
050427         1968/05/28          4.500          MC
050427         1968/05/29          4.130          MC
050427         1968/05/30          4.110          MC
050427         1968/05/31          4.500          MC
050427         1968/06/01          5.660          MC
050427         1968/06/02          5.270          MC
050427         1968/06/03          8.660          MC
050427         1968/06/04          10.60          MC
050427         1968/06/05          9.060          MC
050427         1968/06/06          7.450          MC
050427         1968/06/07          6.170          MC
050427         1968/06/08          5.240          MC
050427         1968/06/09          4.590          MC
050427         1968/06/10          4.110          MC
050427         1968/06/11          3.620          MC
050427         1968/06/12          3.510          MC
050427         1968/06/13          3.480          MC
050427         1968/06/14          3.280          MC
050427         1968/06/15          3.000          MC
050427         1968/06/16          2.890          MC
050427         1968/06/17          2.680          MC
050427         1968/06/18          2.520          MC
050427         1968/06/19          2.580          MC
050427         1968/06/20          3.170          MC
050427         1968/06/21          3.060          MC
050427         1968/06/22          2.890          MC
050427         1968/06/23          2.810          MC
050427         1968/06/24          2.830          MC
050427         1968/06/25          2.860          MC
050427         1968/06/26          2.670          MC
050427         1968/06/27          2.460          MC
050427         1968/06/28          2.100          MC
050427         1968/06/29          2.220          MC
050427         1968/06/30          2.360          MC
050427         1968/07/01          2.420          MC
050427         1968/07/02          2.720          MC
050427         1968/07/03          2.620          MC
