Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1976-09-30
Station:        050806         Ontaritzi - à 1,3 km de la rivière Jacques-Cartier                                                                                             
Bassin versant: 221 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 51' 20" // -71° 37' 15"

Date de création du fichier: 2012-06-25 00:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050806         1967/06/28          18.40          MC
050806         1967/06/29          17.40          MC
050806         1967/06/30          13.70          MC
050806         1967/07/01          3.430          MC
050806         1967/07/02          5.410          MC
050806         1967/07/03          7.820          MC
050806         1967/07/04          11.20          MC
050806         1967/07/05          11.20          MC
050806         1967/07/06          10.80          MC
050806         1967/07/07          9.170          MC
050806         1967/07/08          3.960          MC
050806         1967/07/09          4.450          MC
050806         1967/07/10          5.210          MC
050806         1967/07/11          4.420          MC
050806         1967/07/12          8.350          MC
050806         1967/07/13          16.70          MC
050806         1967/07/14          19.30          MC
050806         1967/07/15          17.90          MC
050806         1967/07/16          16.70          MC
050806         1967/07/17          15.70          MC
050806         1967/07/18          9.090          MC
050806         1967/07/19          4.840          MC
050806         1967/07/20          4.870          MC
050806         1967/07/21          3.820          MC
050806         1967/07/22          1.490          MC
050806         1967/07/23          1.460          MC
050806         1967/07/24          1.550          MC
050806         1967/07/25          12.10          MC
050806         1967/07/26          20.10          MC
050806         1967/07/27          19.80          MC
050806         1967/07/28          18.90          MC
050806         1967/07/29          18.20          MC
050806         1967/07/30          16.90          MC
050806         1967/07/31          8.720          MC
050806         1967/08/01          8.440          MC
050806         1967/08/02          8.440          MC
050806         1967/08/03          8.610          MC
050806         1967/08/04          11.60          MC
050806         1967/08/05          15.50          MC
050806         1967/08/06          15.40          MC
050806         1967/08/07          14.90          MC
050806         1967/08/08          10.60          MC
050806         1967/08/09          5.070          MC
050806         1967/08/10          8.500          MC
050806         1967/08/11          15.10          MC
050806         1967/08/12          16.60          MC
050806         1967/08/13          16.50          MC
050806         1967/08/14          15.90          MC
050806         1967/08/15          15.00          MC
050806         1967/08/16          8.380          MC
050806         1967/08/17          3.170          MC
050806         1967/08/18          3.170          MC
050806         1967/08/19          3.260          MC
050806         1967/08/20          3.260          MC
050806         1967/08/21          3.260          MC
050806         1967/08/22          3.260          MC
050806         1967/08/23          3.170          MC
050806         1967/08/24          3.170          MC
050806         1967/08/25          3.200          MC
050806         1967/08/26          3.200          MC
050806         1967/08/27          3.200          MC
050806         1967/08/28          3.230          MC
050806         1967/08/29          3.340          MC
050806         1967/08/30          3.340          MC
050806         1967/08/31          3.370          MC
050806         1967/09/01          3.400          MC
050806         1967/09/02          3.370          MC
050806         1967/09/03          3.340          MC
050806         1967/09/04          3.340          MC
050806         1967/09/05          3.090          MC
050806         1967/09/06          2.490          MC
050806         1967/09/07          2.450          MC
050806         1967/09/08          2.430          MC
050806         1967/09/09          2.460          MC
050806         1967/09/10          2.460          MC
050806         1967/09/11          2.430          MC
050806         1967/09/12          2.430          MC
050806         1967/09/13          2.430          MC
050806         1967/09/14          4.810          MC
050806         1967/09/15          11.60          MC
050806         1967/09/16          13.30          MC
050806         1967/09/17          12.00          MC
050806         1967/09/18          10.80          MC
050806         1967/09/19          9.710          MC
050806         1967/09/20          8.550          MC
050806         1967/09/21          7.840          MC
050806         1967/09/22          7.650          MC
050806         1967/09/23          7.160          MC
050806         1967/09/24          6.740          MC
050806         1967/09/25          6.430          MC
050806         1967/09/26          5.860          MC
050806         1967/09/27          5.520          MC
050806         1967/09/28          5.100          MC
050806         1967/09/29          5.100          MC
050806         1967/09/30          5.860          MC
050806         1967/10/01          6.770          MC
050806         1967/10/02          7.160          MC
050806         1967/10/03          7.190          MC
050806         1967/10/04          7.220          MC
050806         1967/10/05          7.190          MC
050806         1967/10/06          7.360          MC
050806         1967/10/07          9.060          E
050806         1967/10/08          11.50          E
050806         1967/10/09          11.50          E
050806         1967/10/10          11.50          E
050806         1967/10/11          12.50          E
050806         1967/10/12          11.60          MC
050806         1967/10/13          11.60          MC
050806         1967/10/14          11.60          MC
050806         1967/10/15          11.40          MC
050806         1967/10/16          11.40          MC
050806         1967/10/17          12.80          MC
050806         1967/10/18          14.60          MC
050806         1967/10/19          15.90          MC
050806         1967/10/20          15.30          MC
050806         1967/10/21          10.40          MC
050806         1967/10/22          17.70          MC
050806         1967/10/23          17.00          MC
050806         1967/10/24          16.20          MC
050806         1967/10/25          15.40          MC
050806         1967/10/26          14.70          MC
050806         1967/10/27          14.30          MC
050806         1967/10/28          13.70          MC
050806         1967/10/29          13.10          MC
050806         1967/10/30          12.40          MC
050806         1967/10/31          11.80          MC
050806         1967/11/01          11.20          MC
050806         1967/11/02          7.390          MC
050806         1967/11/03          1.170          MC
050806         1967/11/04          0.890          MC
050806         1967/11/05          0.890          MC
050806         1967/11/06          0.840          MC
050806         1967/11/07          0.840          MC
050806         1967/11/08          0.790          MC
050806         1967/11/09          0.780          MC
050806         1967/11/10          0.780          MC
050806         1967/11/11          0.790          MC
050806         1967/11/12          1.360          MC
050806         1967/11/13          11.90          MC
050806         1967/11/14          22.00          MC
