Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        050807         Ontaritzi - à 0,2 km en aval du barrage du lac Saint-Joseph                                                                                    
Bassin versant: 223 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 52' 3" // -71° 38' 14"

Date de création du fichier: 2019-11-29 06:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050807         1976/10/01          2.380          E
050807         1976/10/02          2.460          E
050807         1976/10/03          2.550          E
050807         1976/10/04          2.720          E
050807         1976/10/05          4.160          E
050807         1976/10/06          1.810          MC
050807         1976/10/07          1.810          MC
050807         1976/10/08          1.780          MC
050807         1976/10/09          1.840          MC
050807         1976/10/10          2.350          MC
050807         1976/10/11          15.90          MC
050807         1976/10/12          29.20          MC
050807         1976/10/13          27.70          J
050807         1976/10/14          21.20          MC
050807         1976/10/15          3.280          MC
050807         1976/10/16          4.020          MC
050807         1976/10/17          3.960          MC
050807         1976/10/18          3.230          MC
050807         1976/10/19          2.490          MC
050807         1976/10/20          2.440          MC
050807         1976/10/21          4.190          MC
050807         1976/10/22          4.450          MC
050807         1976/10/23          1.950          MC
050807         1976/10/24          2.010          MC
050807         1976/10/25          4.810          MC
050807         1976/10/26          5.690          MC
050807         1976/10/27          5.890          MC
050807         1976/10/28          5.040          MC
050807         1976/10/29          5.150          MC
050807         1976/10/30          4.870          MC
050807         1976/10/31          4.810          MC
050807         1976/11/01          5.860          MC
050807         1976/11/02          8.040          MC
050807         1976/11/03          6.850          MC
050807         1976/11/04          5.440          MC
050807         1976/11/05          5.440          MC
050807         1976/11/06          5.520          MC
050807         1976/11/07          5.490          MC
050807         1976/11/08          5.410          MC
050807         1976/11/09          4.160          MC
050807         1976/11/10          3.030          J
050807         1976/11/11          3.000          MC
050807         1976/11/12          2.410          MC
050807         1976/11/13          1.640          MC
050807         1976/11/14          1.670          MC
050807         1976/11/15          1.670          MC
050807         1976/11/16          1.670          MC
050807         1976/11/17          1.670          MC
050807         1976/11/18          1.700          MC
050807         1976/11/19          2.410          MC
050807         1976/11/20          2.830          MC
050807         1976/11/21          2.800          MC
050807         1976/11/22          2.800          J
050807         1976/11/23          8.470          J
050807         1976/11/24          7.110          MC
050807         1976/11/25          0.570          MC
050807         1976/11/26          0.570          MC
050807         1976/11/27          0.620          MC
