Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1985-07-25
Station:        050809         Lac Champlain - au lac Champlain                                                                                                               
Bassin versant: 17.3 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 28' 15" // -71° 27' 44"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 21:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
050809         1979/07/25          29.82          PL
050809         1979/07/26          29.82          PL
050809         1979/07/27          29.85          PL
050809         1979/07/28          29.86          PL
050809         1979/07/29          29.85          PL
050809         1979/07/30          29.84          PL
050809         1979/07/31          29.83          PL
050809         1979/08/01          29.82          PL
050809         1979/08/02          29.82          PL
050809         1979/08/03          29.83          PL
050809         1979/08/04          29.85          PL
050809         1979/08/05          29.85          PL
050809         1979/08/06          29.86          PL
050809         1979/08/07          29.87          PL
050809         1979/08/08          29.88          PL
050809         1979/08/09          29.88          PL
050809         1979/08/10          29.86          PL
050809         1979/08/11          29.86          PL
050809         1979/08/12          29.85          PL
050809         1979/08/13          29.84          PL
050809         1979/08/14          29.84          PL
050809         1979/08/15          29.85          PL
050809         1979/08/16          29.85          PL
050809         1979/08/17          29.84          PL
050809         1979/08/18          29.83          PL
050809         1979/08/19          29.83          PL
050809         1979/08/20          29.84          PL
050809         1979/08/21          29.85          PL
050809         1979/08/22          29.85          PL
050809         1979/08/23          29.84          PL
050809         1979/08/24          29.84          PL
050809         1979/08/25          29.86          PL
050809         1979/08/26          29.87          PL
050809         1979/08/27          29.87          PL
050809         1979/08/28          29.87          PL
050809         1979/08/29          29.87          PL
050809         1979/08/30          29.88          PL
050809         1979/08/31          29.90          PL
050809         1979/09/01          29.88          PL
050809         1979/09/02          29.89          PL
050809         1979/09/03          29.89          PL
050809         1979/09/04          29.89          PL
050809         1979/09/05          29.88          PL
050809         1979/09/06          29.88          PL
050809         1979/09/07          29.95          PL
050809         1979/09/08          29.98          PL
050809         1979/09/09          29.97          PL
050809         1979/09/10          29.96          PL
050809         1979/09/11          29.97          PL
050809         1979/09/12          29.98          PL
050809         1979/09/13          29.98          PL
050809         1979/09/14          29.97          PL
050809         1979/09/15          29.99          PL
050809         1979/09/16          30.01          PL
050809         1979/09/17          30.00          PL
050809         1979/09/18          29.99          PL
050809         1979/09/19          30.00          PL
050809         1979/09/20          29.99          PL
050809         1979/09/21          30.00          PL
050809         1979/09/22          29.99          PL
050809         1979/09/23          29.99          PL
050809         1979/09/24          29.98          PL
050809         1979/09/25          29.96          PL
050809         1979/09/26          29.95          PL
050809         1979/09/27          29.93          PL
050809         1979/09/28          29.92          PL
050809         1979/09/29          29.91          PL
050809         1979/09/30          29.90          PL
050809         1979/10/01          29.90          PL
050809         1979/10/02          29.91          PL
050809         1979/10/03          29.90          PL
050809         1979/10/04          29.89          PL
050809         1979/10/05          29.88          PL
050809         1979/10/06          29.89          PL
050809         1979/10/07          29.95          PL
050809         1979/10/08          29.97          PL
050809         1979/10/09          29.95          PL
050809         1979/10/10          29.94          PL
050809         1979/10/11          29.93          PL
050809         1979/10/12          29.92          PL
050809         1979/10/13          29.91          PL
050809         1979/10/14          29.90          PL
050809         1979/10/15          29.89          PL
050809         1979/10/16          29.88          PL
050809         1979/10/17          29.85          PL
050809         1979/10/18          29.82          PL
050809         1979/10/19          29.79          PL
050809         1979/10/20          29.78          PL
050809         1979/10/21          29.80          PL
050809         1979/10/22          29.83          PL
050809         1979/10/23          29.84          PL
050809         1979/10/24          29.83          PL
050809         1979/10/25          29.83          PL
050809         1979/10/26          29.82          PL
050809         1979/10/27          29.80          PL
050809         1979/10/28          29.78          PL
050809         1979/10/29          29.77          PL
050809         1979/10/30          29.75          PL
050809         1979/10/31          29.74          PL
050809         1979/11/01          29.73          PL
050809         1979/11/02          29.73          PL
050809         1979/11/03          29.71          PL
050809         1979/11/04          29.71          PL
050809         1979/11/05          29.70          PL
050809         1979/11/06          29.70          PL
050809         1979/11/07          29.69          PL
050809         1979/11/08          29.69          PL
050809         1979/11/09          29.68          PL
050809         1979/11/10          29.68          PL
050809         1979/11/11          29.68          PL
050809         1979/11/12          29.68          PL
050809         1979/11/13          29.68          PL
050809         1979/11/14          29.68          PL
050809         1979/11/15          29.68          PL
050809         1979/11/16          29.67          PL
