Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1984-09-30
Station:        050810         Lac Tantaré - au lac Tantaré                                                                                                                   
Bassin versant: 10.5 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 3' 37" // -71° 32' 2"

Date de création du fichier: 2012-06-25 00:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050810         1979/06/06          0.265          J
050810         1979/06/07          0.251          MC
050810         1979/06/08          0.216          MC
050810         1979/06/09          0.208          MC
050810         1979/06/10          0.199          MC
050810         1979/06/11          0.441          MC
050810         1979/06/12          1.290          MC
050810         1979/06/13          1.250          MC
050810         1979/06/14          0.841          MC
050810         1979/06/15          0.639          MC
050810         1979/06/16          0.512          MC
050810         1979/06/17          0.428          MC
050810         1979/06/18          0.364          MC
050810         1979/06/19          0.309          MC
050810         1979/06/20          0.260          MC
050810         1979/06/21          0.233          MC
050810         1979/06/22          0.197          MC
050810         1979/06/23          0.167          MC
050810         1979/06/24          0.158          MC
050810         1979/06/25          0.128          MC
050810         1979/06/26          0.121          MC
050810         1979/06/27          0.107          MC
050810         1979/06/28          0.103          MC
050810         1979/06/29          0.097          MC
050810         1979/06/30          0.097          MC
050810         1979/07/01          0.100          MC
050810         1979/07/02          0.110          MC
050810         1979/07/03          0.141          MC
050810         1979/07/04          0.116          MC
050810         1979/07/05          0.125          MC
050810         1979/07/06          0.105          MC
050810         1979/07/07          0.094          MC
050810         1979/07/08          0.089          MC
050810         1979/07/09          0.081          MC
050810         1979/07/10          0.062          MC
050810         1979/07/11          0.053          MC
050810         1979/07/12          0.048          MC
050810         1979/07/13          0.047          MC
050810         1979/07/14          0.054          MC
050810         1979/07/15          0.063          MC
050810         1979/07/16          0.063          MC
050810         1979/07/17          0.077          MC
050810         1979/07/18          0.073          MC
050810         1979/07/19          0.079          MC
050810         1979/07/20          0.071          MC
050810         1979/07/21          0.050          MC
050810         1979/07/22          0.046          E
050810         1979/07/23          0.043          E
050810         1979/07/24          0.041          J
050810         1979/07/25          0.039          MC
050810         1979/07/26          0.046          MC
050810         1979/07/27          0.049          MC
050810         1979/07/28          0.047          MC
050810         1979/07/29          0.047          MC
050810         1979/07/30          0.048          MC
050810         1979/07/31          0.047          MC
050810         1979/08/01          0.046          MC
050810         1979/08/02          0.048          MC
050810         1979/08/03          0.110          MC
050810         1979/08/04          0.120          MC
050810         1979/08/05          0.110          MC
050810         1979/08/06          0.092          MC
050810         1979/08/07          0.091          MC
050810         1979/08/08          0.085          MC
050810         1979/08/09          0.066          MC
050810         1979/08/10          0.057          MC
050810         1979/08/11          0.050          MC
050810         1979/08/12          0.050          MC
050810         1979/08/13          0.055          MC
050810         1979/08/14          0.067          MC
050810         1979/08/15          0.066          MC
050810         1979/08/16          0.083          MC
050810         1979/08/17          0.079          MC
050810         1979/08/18          0.089          MC
050810         1979/08/19          0.081          MC
050810         1979/08/20          0.094          MC
050810         1979/08/21          0.101          MC
050810         1979/08/22          0.098          MC
050810         1979/08/23          0.094          MC
050810         1979/08/24          0.111          MC
050810         1979/08/25          0.404          MC
050810         1979/08/26          0.613          MC
050810         1979/08/27          0.501          MC
050810         1979/08/28          0.400          MC
050810         1979/08/29          0.474          MC
050810         1979/08/30          1.240          MC
050810         1979/08/31          0.896          MC
050810         1979/09/01          0.570          MC
050810         1979/09/02          0.444          MC
050810         1979/09/03          0.591          MC
050810         1979/09/04          0.501          MC
050810         1979/09/05          0.401          MC
050810         1979/09/06          2.170          MC
050810         1979/09/07          3.590          MC
050810         1979/09/08          1.530          MC
050810         1979/09/09          0.870          MC
050810         1979/09/10          0.632          MC
050810         1979/09/11          0.685          MC
050810         1979/09/12          0.591          MC
050810         1979/09/13          0.496          MC
050810         1979/09/14          0.753          MC
050810         1979/09/15          1.930          MC
050810         1979/09/16          1.190          MC
050810         1979/09/17          0.762          MC
050810         1979/09/18          0.569          J
050810         1979/09/19          0.861          MC
050810         1979/09/20          0.711          MC
050810         1979/09/21          0.649          MC
050810         1979/09/22          0.546          MC
050810         1979/09/23          0.465          MC
050810         1979/09/24          0.377          MC
050810         1979/09/25          0.362          MC
050810         1979/09/26          0.332          MC
050810         1979/09/27          0.281          MC
050810         1979/09/28          0.265          MC
050810         1979/09/29          0.250          MC
050810         1979/09/30          0.232          MC
050810         1979/10/01          0.218          MC
050810         1979/10/02          0.198          MC
050810         1979/10/03          0.173          MC
050810         1979/10/04          0.169          MC
050810         1979/10/05          0.165          MC
050810         1979/10/06          0.279          MC
050810         1979/10/07          0.481          MC
050810         1979/10/08          0.456          MC
050810         1979/10/09          0.351          MC
050810         1979/10/10          0.271          MC
050810         1979/10/11          0.257          MC
050810         1979/10/12          0.252          MC
050810         1979/10/13          0.267          MC
050810         1979/10/14          0.298          MC
050810         1979/10/15          0.275          MC
050810         1979/10/16          0.262          MC
050810         1979/10/17          0.246          MC
050810         1979/10/18          0.235          MC
050810         1979/10/19          0.215          MC
050810         1979/10/20          0.304          MC
050810         1979/10/21          0.458          MC
050810         1979/10/22          0.470          MC
050810         1979/10/23          0.406          MC
050810         1979/10/24          0.358          MC
050810         1979/10/25          0.362          MC
050810         1979/10/26          0.359          MC
050810         1979/10/27          0.332          MC
050810         1979/10/28          0.271          MC
050810         1979/10/29          0.258          MC
050810         1979/10/30          0.238          MC
050810         1979/10/31          0.217          MC
050810         1979/11/01          0.216          MC
050810         1979/11/02          0.202          MC
050810         1979/11/03          0.171          MC
050810         1979/11/04          0.167          MC
050810         1979/11/05          0.159          MC
050810         1979/11/06          0.159          MC
050810         1979/11/07          0.159          MC
050810         1979/11/08          0.159          MC
050810         1979/11/09          0.128          MC
050810         1979/11/10          0.191          MC
050810         1979/11/11          0.244          MC
050810         1979/11/12          0.250          MC
050810         1979/11/13          0.250          MC
050810         1979/11/14          0.241          MC
050810         1979/11/15          0.211          MC
050810         1979/11/16          0.217          MC
050810         1979/11/17          0.210          MC
050810         1979/11/18          0.175          MC
050810         1979/11/19          0.163          MC
050810         1979/11/20          0.162          MC
050810         1979/11/21          0.156          MC
050810         1979/11/22          0.147          MC
050810         1979/11/23          0.124          MC
050810         1979/11/24          0.123          MC
050810         1979/11/25          0.220          MC
050810         1979/11/26          0.314          MC
050810         1979/11/27          1.400          MC
050810         1979/11/28          1.280          MC
050810         1979/11/29          0.893          MC
050810         1979/11/30          0.615          MC
050810         1979/12/01          0.455          MC
050810         1979/12/02          0.341          MC
050810         1979/12/03          0.272          MC
050810         1979/12/04          0.254          MC
050810         1979/12/05          0.241          MC
050810         1979/12/06          0.222          MC
050810         1979/12/07          0.210          MC
050810         1979/12/08          0.190          MC
050810         1979/12/09          0.162          MC
050810         1979/12/10          0.159          MC
050810         1979/12/11          0.162          MC
050810         1979/12/12          0.207          MC
050810         1979/12/13          0.200          MC
050810         1979/12/14          0.191          MC
050810         1979/12/15          0.166          MC
050810         1979/12/16          0.195          MC
050810         1979/12/17          0.211          MC
050810         1979/12/18          0.200          MC
050810         1979/12/19          0.161          MC
050810         1979/12/20          0.115          MC
050810         1979/12/21          0.111          MC
050810         1979/12/22          0.102          MC
050810         1979/12/23          0.107          MC
050810         1979/12/24          0.137          MC
050810         1979/12/25          0.175          MC
050810         1979/12/26          0.188          MC
050810         1979/12/27          0.165          MC
050810         1979/12/28          0.158          MC
050810         1979/12/29          0.150          MC
050810         1979/12/30          0.143          MC
050810         1979/12/31          0.126          MC
050810         1980/01/01          0.120          E
050810         1980/01/02          0.116          E
050810         1980/01/03          0.109          E
050810         1980/01/04          0.105          E
050810         1980/01/05          0.102          E
050810         1980/01/06          0.099          E
050810         1980/01/07          0.097          E
050810         1980/01/08          0.094          E
050810         1980/01/09          0.093          E
050810         1980/01/10          0.093          E
050810         1980/01/11          0.380          E
050810         1980/01/12          0.361          E
050810         1980/01/13          0.337          E
050810         1980/01/14          0.302          E
050810         1980/01/15          0.279          E
050810         1980/01/16          0.271          E
050810         1980/01/17          0.259          E
050810         1980/01/18          0.246          E
050810         1980/01/19          0.229          E
050810         1980/01/20          0.213          E
050810         1980/01/21          0.200          E
050810         1980/01/22          0.186          J
050810         1980/01/23          0.171          MC
050810         1980/01/24          0.147          MC
050810         1980/01/25          0.132          MC
050810         1980/01/26          0.126          MC
050810         1980/01/27          0.125          MC
050810         1980/01/28          0.121          MC
050810         1980/01/29          0.098          MC
050810         1980/01/30          0.101          MC
050810         1980/01/31          0.092          MC
050810         1980/02/01          0.092          MC
050810         1980/02/02          0.087          R
050810         1980/02/03          0.082          R
050810         1980/02/04          0.079          R
050810         1980/02/05          0.076          R
050810         1980/02/06          0.072          R
050810         1980/02/07          0.070          R
050810         1980/02/08          0.068          R
050810         1980/02/09          0.066          R
050810         1980/02/10          0.064          R
050810         1980/02/11          0.062          R
050810         1980/02/12          0.061          R
050810         1980/02/13          0.060          R
050810         1980/02/14          0.058          R
050810         1980/02/15          0.058          R
050810         1980/02/16          0.056          R
050810         1980/02/17          0.056          R
050810         1980/02/18          0.055          R
050810         1980/02/19          0.054          R
050810         1980/02/20          0.053          R
050810         1980/02/21          0.052          R
050810         1980/02/22          0.051          R
050810         1980/02/23          0.050          R
050810         1980/02/24          0.049          R
050810         1980/02/25          0.048          R
050810         1980/02/26          0.048          R
050810         1980/02/27          0.047          R
050810         1980/02/28          0.047          R
050810         1980/02/29          0.046          R
050810         1980/03/01          0.046          R
050810         1980/03/02          0.046          R
050810         1980/03/03          0.045          R
050810         1980/03/04          0.045          R
050810         1980/03/05          0.045          R
050810         1980/03/06          0.045          R
050810         1980/03/07          0.044          R
050810         1980/03/08          0.044          R
050810         1980/03/09          0.044          R
050810         1980/03/10          0.044          R
050810         1980/03/11          0.044          R
050810         1980/03/12          0.044          R
050810         1980/03/13          0.045          R
050810         1980/03/14          0.045          R
050810         1980/03/15          0.046          R
050810         1980/03/16          0.053          R
050810         1980/03/17          0.082          MC
050810         1980/03/18          0.164          MC
050810         1980/03/19          0.169          MC
050810         1980/03/20          0.160          MC
050810         1980/03/21          0.159          J
050810         1980/03/22          0.147          MC
050810         1980/03/23          0.123          MC
050810         1980/03/24          0.109          MC
050810         1980/03/25          0.102          MC
050810         1980/03/26          0.098          MC
050810         1980/03/27          0.092          MC
050810         1980/03/28          0.092          MC
050810         1980/03/29          0.094          MC
050810         1980/03/30          0.095          MC
050810         1980/03/31          0.094          MC
050810         1980/04/01          0.101          MC
050810         1980/04/02          0.112          MC
050810         1980/04/03          0.131          MC
050810         1980/04/04          0.154          MC
050810         1980/04/05          0.162          MC
050810         1980/04/06          0.143          MC
050810         1980/04/07          0.134          MC
050810         1980/04/08          0.140          MC
050810         1980/04/09          0.169          MC
050810         1980/04/10          1.280          MC
050810         1980/04/11          2.420          MC
050810         1980/04/12          1.750          MC
050810         1980/04/13          1.290          MC
050810         1980/04/14          1.060          MC
050810         1980/04/15          2.260          MC
050810         1980/04/16          2.550          MC
050810         1980/04/17          1.310          MC
050810         1980/04/18          0.829          MC
050810         1980/04/19          0.597          MC
050810         1980/04/20          0.521          MC
050810         1980/04/21          0.493          MC
050810         1980/04/22          0.415          MC
050810         1980/04/23          0.376          MC
050810         1980/04/24          0.423          MC
050810         1980/04/25          0.662          MC
050810         1980/04/26          1.030          MC
050810         1980/04/27          1.170          MC
050810         1980/04/28          1.120          MC
050810         1980/04/29          1.110          MC
050810         1980/04/30          1.070          MC
050810         1980/05/01          0.964          MC
050810         1980/05/02          0.901          MC
050810         1980/05/03          0.794          MC
050810         1980/05/04          0.705          MC
050810         1980/05/05          0.555          MC
050810         1980/05/06          0.455          MC
050810         1980/05/07          0.404          MC
050810         1980/05/08          0.405          MC
050810         1980/05/09          0.382          MC
050810         1980/05/10          0.349          MC
050810         1980/05/11          0.315          MC
050810         1980/05/12          0.313          MC
050810         1980/05/13          0.301          MC
050810         1980/05/14          0.284          MC
050810         1980/05/15          0.298          MC
050810         1980/05/16          0.283          MC
050810         1980/05/17          0.260          MC
050810         1980/05/18          0.270          MC
050810         1980/05/19          1.020          MC
050810         1980/05/20          0.934          J
050810         1980/05/21          0.693          MC
050810         1980/05/22          0.524          MC
050810         1980/05/23          0.396          MC
050810         1980/05/24          0.333          MC
050810         1980/05/25          0.299          MC
050810         1980/05/26          0.231          MC
050810         1980/05/27          0.211          MC
050810         1980/05/28          0.157          MC
050810         1980/05/29          0.154          MC
050810         1980/05/30          0.149          MC
050810         1980/05/31          0.146          MC
050810         1980/06/01          0.294          MC
050810         1980/06/02          0.346          MC
050810         1980/06/03          0.369          MC
050810         1980/06/04          0.366          MC
050810         1980/06/05          0.327          MC
050810         1980/06/06          0.283          MC
050810         1980/06/07          0.244          MC
050810         1980/06/08          0.313          MC
050810         1980/06/09          0.498          MC
050810         1980/06/10          0.455          MC
050810         1980/06/11          0.338          MC
050810         1980/06/12          0.301          MC
050810         1980/06/13          0.266          MC
050810         1980/06/14          0.248          MC
050810         1980/06/15          0.234          MC
050810         1980/06/16          0.245          MC
050810         1980/06/17          0.228          MC
050810         1980/06/18          0.212          MC
050810         1980/06/19          0.200          J
050810         1980/06/20          0.193          MC
050810         1980/06/21          0.190          MC
050810         1980/06/22          0.191          MC
050810         1980/06/23          0.199          MC
050810         1980/06/24          0.195          MC
050810         1980/06/25          0.199          MC
050810         1980/06/26          0.235          MC
050810         1980/06/27          0.494          MC
050810         1980/06/28          0.449          MC
050810         1980/06/29          0.350          MC
050810         1980/06/30          0.292          MC
050810         1980/07/01          0.238          MC
050810         1980/07/02          0.217          MC
050810         1980/07/03          0.196          MC
050810         1980/07/04          0.181          MC
050810         1980/07/05          0.156          MC
050810         1980/07/06          0.220          MC
050810         1980/07/07          0.187          MC
050810         1980/07/08          0.178          MC
050810         1980/07/09          0.222          MC
050810         1980/07/10          0.193          MC
050810         1980/07/11          0.202          MC
050810         1980/07/12          0.230          MC
050810         1980/07/13          0.215          MC
050810         1980/07/14          0.199          MC
050810         1980/07/15          0.199          MC
050810         1980/07/16          0.185          MC
050810         1980/07/17          0.162          MC
050810         1980/07/18          0.149          MC
050810         1980/07/19          0.136          MC
050810         1980/07/20          0.151          MC
050810         1980/07/21          0.196          MC
050810         1980/07/22          0.203          MC
050810         1980/07/23          0.203          MC
050810         1980/07/24          0.206          MC
050810         1980/07/25          0.218          MC
050810         1980/07/26          0.185          MC
050810         1980/07/27          0.160          MC
050810         1980/07/28          0.170          MC
050810         1980/07/29          0.197          MC
050810         1980/07/30          0.229          MC
050810         1980/07/31          0.250          MC
050810         1980/08/01          0.253          MC
050810         1980/08/02          0.242          MC
050810         1980/08/03          0.211          MC
050810         1980/08/04          0.204          MC
050810         1980/08/05          0.184          MC
050810         1980/08/06          0.168          MC
050810         1980/08/07          0.175          MC
050810         1980/08/08          0.160          MC
050810         1980/08/09          0.168          MC
050810         1980/08/10          0.140          MC
050810         1980/08/11          0.137          MC
050810         1980/08/12          0.129          MC
050810         1980/08/13          0.126          MC
050810         1980/08/14          0.112          MC
050810         1980/08/15          0.157          MC
050810         1980/08/16          0.187          MC
050810         1980/08/17          0.174          MC
050810         1980/08/18          0.163          MC
050810         1980/08/19          0.150          MC
050810         1980/08/20          0.133          MC
050810         1980/08/21          0.125          MC
050810         1980/08/22          0.122          MC
050810         1980/08/23          0.122          MC
050810         1980/08/24          0.125          MC
050810         1980/08/25          0.118          MC
050810         1980/08/26          0.117          MC
050810         1980/08/27          0.112          MC
050810         1980/08/28          0.113          MC
050810         1980/08/29          0.103          MC
050810         1980/08/30          0.094          MC
050810         1980/08/31          0.111          MC
050810         1980/09/01          0.123          MC
050810         1980/09/02          0.143          MC
050810         1980/09/03          0.383          MC
050810         1980/09/04          0.415          MC
050810         1980/09/05          0.373          MC
050810         1980/09/06          0.349          MC
050810         1980/09/07          0.293          MC
050810         1980/09/08          0.250          MC
050810         1980/09/09          0.211          MC
050810         1980/09/10          0.233          MC
050810         1980/09/11          0.237          MC
050810         1980/09/12          0.241          MC
050810         1980/09/13          0.222          MC
050810         1980/09/14          0.222          MC
050810         1980/09/15          0.214          MC
050810         1980/09/16          0.201          MC
050810         1980/09/17          0.190          MC
050810         1980/09/18          0.228          MC
050810         1980/09/19          0.218          MC
050810         1980/09/20          0.231          MC
050810         1980/09/21          0.327          MC
050810         1980/09/22          0.492          MC
050810         1980/09/23          0.589          MC
050810         1980/09/24          0.491          MC
050810         1980/09/25          0.401          MC
050810         1980/09/26          0.428          MC
050810         1980/09/27          0.525          MC
050810         1980/09/28          0.466          MC
050810         1980/09/29          0.396          MC
050810         1980/09/30          0.398          MC
050810         1980/10/01          0.408          MC
050810         1980/10/02          0.421          MC
050810         1980/10/03          0.460          MC
050810         1980/10/04          0.499          MC
050810         1980/10/05          0.552          MC
050810         1980/10/06          0.494          MC
050810         1980/10/07          0.426          MC
050810         1980/10/08          0.386          MC
050810         1980/10/09          0.406          MC
050810         1980/10/10          0.371          MC
050810         1980/10/11          0.347          MC
050810         1980/10/12          0.334          MC
050810         1980/10/13          0.310          MC
050810         1980/10/14          0.287          MC
050810         1980/10/15          0.260          MC
050810         1980/10/16          0.249          MC
050810         1980/10/17          0.238          MC
050810         1980/10/18          0.339          MC
050810         1980/10/19          0.478          MC
050810         1980/10/20          0.457          MC
050810         1980/10/21          0.391          MC
050810         1980/10/22          0.342          MC
050810         1980/10/23          0.317          MC
050810         1980/10/24          0.272          MC
050810         1980/10/25          0.260          MC
050810         1980/10/26          0.432          MC
050810         1980/10/27          0.580          MC
050810         1980/10/28          0.497          MC
050810         1980/10/29          0.421          MC
050810         1980/10/30          0.360          MC
050810         1980/10/31          0.334          MC
050810         1980/11/01          0.313          MC
050810         1980/11/02          0.276          MC
050810         1980/11/03          0.237          MC
050810         1980/11/04          0.243          MC
050810         1980/11/05          0.315          MC
050810         1980/11/06          0.346          MC
050810         1980/11/07          0.348          MC
