Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        050904         Saint-Charles - à 0,8 km en amont de la Lorette                                                                                                
Bassin versant: 365 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 48' 58" // -71° 19' 11"

Date de création du fichier: 2019-11-26 04:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050904         1969/01/01          0.420          R
050904         1969/01/02          0.400          R
050904         1969/01/03          0.390          R
050904         1969/01/04          0.370          R
050904         1969/01/05          0.350          R
050904         1969/01/06          0.340          R
050904         1969/01/07          0.330          R
050904         1969/01/08          0.320          R
050904         1969/01/09          0.310          R
050904         1969/01/10          0.300          R
050904         1969/01/11          0.290          R
050904         1969/01/12          0.280          R
050904         1969/01/13          0.270          R
050904         1969/01/14          0.270          R
050904         1969/01/15          0.270          R
050904         1969/01/16          0.260          R
050904         1969/01/17          0.260          R
050904         1969/01/18          0.260          R
050904         1969/01/19          0.570          R
050904         1969/01/20          1.160          R
050904         1969/01/21          1.250          R
050904         1969/01/22          1.190          R
050904         1969/01/23          1.190          R
050904         1969/01/24          1.250          R
050904         1969/01/25          1.560          R
050904         1969/01/26          1.980          R
050904         1969/01/27          2.290          R
050904         1969/01/28          2.490          R
050904         1969/01/29          2.440          R
050904         1969/01/30          2.270          R
050904         1969/01/31          2.100          R
050904         1969/02/01          1.870          R
050904         1969/02/02          1.670          R
050904         1969/02/03          1.500          R
050904         1969/02/04          1.360          R
050904         1969/02/05          1.250          R
050904         1969/02/06          1.160          R
050904         1969/02/07          1.080          R
050904         1969/02/08          1.020          R
050904         1969/02/09          0.950          R
050904         1969/02/10          0.880          R
050904         1969/02/11          0.840          R
050904         1969/02/12          0.780          R
050904         1969/02/13          0.730          R
050904         1969/02/14          0.690          R
050904         1969/02/15          0.640          R
050904         1969/02/16          0.610          R
050904         1969/02/17          0.560          R
050904         1969/02/18          0.520          R
050904         1969/02/19          0.500          R
050904         1969/02/20          0.480          R
050904         1969/02/21          0.460          R
050904         1969/02/22          0.440          R
050904         1969/02/23          0.430          R
050904         1969/02/24          0.420          R
050904         1969/02/25          0.400          R
050904         1969/02/26          0.400          R
050904         1969/02/27          0.390          R
050904         1969/02/28          0.380          R
050904         1969/03/01          0.370          R
050904         1969/03/02          0.370          R
050904         1969/03/03          0.360          R
050904         1969/03/04          0.360          R
050904         1969/03/05          0.370          R
050904         1969/03/06          0.650          R
050904         1969/03/07          0.930          R
050904         1969/03/08          0.940          R
050904         1969/03/09          0.930          R
050904         1969/03/10          0.920          R
050904         1969/03/11          0.900          R
050904         1969/03/12          0.880          R
050904         1969/03/13          0.860          R
050904         1969/03/14          0.840          R
050904         1969/03/15          0.830          R
050904         1969/03/16          0.810          R
