Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1994-12-01
Station:        050906         Jaune - au pont de la rue Notre-Dame à Québec (Notre-Dame-des-Laurentides)                                                                     
Bassin versant: 62.8 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 54' 40" // -71° 20' 10"

Date de création du fichier: 2012-06-24 07:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050906         1983/04/07          1.640          J
050906         1983/04/08          2.920          MC
050906         1983/04/09          3.180          MC
050906         1983/04/10          4.100          MC
050906         1983/04/11          4.650          MC
050906         1983/04/12          3.800          MC
050906         1983/04/13          3.340          J
050906         1983/04/14          3.940          MC
050906         1983/04/15          4.810          MC
050906         1983/04/16          5.680          MC
050906         1983/04/17          9.740          MC
050906         1983/04/18          10.20          J
050906         1983/04/19          7.300          MC
050906         1983/04/20          7.400          MC
050906         1983/04/21          8.650          MC
050906         1983/04/22          7.710          J
050906         1983/04/23          5.870          MC
050906         1983/04/24          6.550          MC
050906         1983/04/25          15.30          J
050906         1983/04/26          17.80          MC
050906         1983/04/27          12.60          MC
050906         1983/04/28          9.310          MC
050906         1983/04/29          11.40          MC
050906         1983/04/30          10.90          MC
050906         1983/05/01          18.80          MC
050906         1983/05/02          14.70          MC
050906         1983/05/03          12.50          MC
050906         1983/05/04          11.20          MC
050906         1983/05/05          9.530          MC
050906         1983/05/06          7.130          MC
050906         1983/05/07          6.290          MC
050906         1983/05/08          7.650          MC
050906         1983/05/09          17.10          MC
050906         1983/05/10          15.20          MC
050906         1983/05/11          8.820          MC
050906         1983/05/12          6.830          MC
050906         1983/05/13          5.340          MC
050906         1983/05/14          4.760          MC
050906         1983/05/15          4.690          MC
050906         1983/05/16          4.520          MC
050906         1983/05/17          3.650          MC
050906         1983/05/18          2.930          MC
050906         1983/05/19          2.300          MC
050906         1983/05/20          4.460          MC
050906         1983/05/21          5.180          MC
050906         1983/05/22          3.740          MC
050906         1983/05/23          3.660          MC
050906         1983/05/24          5.410          MC
050906         1983/05/25          5.210          MC
050906         1983/05/26          4.260          MC
050906         1983/05/27          6.310          MC
050906         1983/05/28          7.220          MC
050906         1983/05/29          6.320          MC
050906         1983/05/30          6.000          MC
050906         1983/05/31          7.200          MC
050906         1983/06/01          6.420          MC
050906         1983/06/02          5.290          MC
050906         1983/06/03          4.160          MC
050906         1983/06/04          3.090          MC
050906         1983/06/05          2.840          MC
050906         1983/06/06          3.450          MC
050906         1983/06/07          4.600          MC
050906         1983/06/08          3.920          MC
050906         1983/06/09          2.900          MC
050906         1983/06/10          2.150          MC
050906         1983/06/11          1.840          MC
050906         1983/06/12          1.800          MC
050906         1983/06/13          1.850          MC
050906         1983/06/14          1.720          MC
050906         1983/06/15          1.550          MC
050906         1983/06/16          1.080          MC
050906         1983/06/17          0.733          MC
050906         1983/06/18          0.660          MC
050906         1983/06/19          0.602          MC
050906         1983/06/20          0.485          MC
050906         1983/06/21          0.382          MC
050906         1983/06/22          0.368          MC
