Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1994-12-01
Station:        050908         Nelson - à 1,9 km de la Saint-Charles                                                                                                          
Bassin versant: 68.1 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 51' 53" // -71° 23' 43"

Date de création du fichier: 2012-06-24 18:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050908         1983/04/07          2.040          J
050908         1983/04/08          2.830          MC
050908         1983/04/09          1.450          MC
050908         1983/04/10          4.040          MC
050908         1983/04/11          4.090          MC
050908         1983/04/12          3.880          J
050908         1983/04/13          3.810          MC
050908         1983/04/14          4.020          MC
050908         1983/04/15          4.650          MC
050908         1983/04/16          5.860          MC
050908         1983/04/17          8.350          MC
050908         1983/04/18          9.080          J
050908         1983/04/19          6.190          MC
050908         1983/04/20          5.400          J
050908         1983/04/21          6.470          MC
050908         1983/04/22          6.300          MC
050908         1983/04/23          4.720          MC
050908         1983/04/24          4.630          MC
050908         1983/04/25          9.100          MC
050908         1983/04/26          11.90          J
050908         1983/04/27          9.950          MC
050908         1983/04/28          7.190          MC
050908         1983/04/29          7.690          MC
050908         1983/04/30          7.510          MC
050908         1983/05/01          12.70          MC
050908         1983/05/02          12.20          MC
050908         1983/05/03          10.40          MC
050908         1983/05/04          9.030          MC
050908         1983/05/05          7.300          MC
050908         1983/05/06          5.230          MC
050908         1983/05/07          4.180          MC
050908         1983/05/08          5.100          MC
050908         1983/05/09          11.10          MC
050908         1983/05/10          13.00          MC
050908         1983/05/11          7.930          MC
050908         1983/05/12          5.000          MC
050908         1983/05/13          3.910          MC
050908         1983/05/14          3.340          MC
050908         1983/05/15          3.070          MC
050908         1983/05/16          2.910          MC
050908         1983/05/17          2.620          MC
050908         1983/05/18          2.390          MC
050908         1983/05/19          2.270          MC
050908         1983/05/20          2.820          MC
050908         1983/05/21          3.680          MC
050908         1983/05/22          3.020          MC
050908         1983/05/23          2.660          MC
050908         1983/05/24          3.310          MC
050908         1983/05/25          3.660          MC
050908         1983/05/26          3.160          MC
050908         1983/05/27          4.260          MC
050908         1983/05/28          5.320          MC
050908         1983/05/29          4.930          MC
050908         1983/05/30          4.070          MC
050908         1983/05/31          5.000          MC
050908         1983/06/01          5.120          MC
050908         1983/06/02          4.160          MC
050908         1983/06/03          3.390          MC
050908         1983/06/04          2.910          MC
050908         1983/06/05          2.540          MC
050908         1983/06/06          2.770          MC
050908         1983/06/07          3.440          MC
050908         1983/06/08          3.340          MC
050908         1983/06/09          2.780          MC
050908         1983/06/10          2.410          MC
050908         1983/06/11          2.160          MC
050908         1983/06/12          1.990          MC
050908         1983/06/13          2.140          MC
050908         1983/06/14          1.940          MC
050908         1983/06/15          1.700          MC
050908         1983/06/16          1.580          MC
050908         1983/06/17          1.460          MC
050908         1983/06/18          1.330          MC
050908         1983/06/19          1.220          MC
050908         1983/06/20          1.120          MC
050908         1983/06/21          1.080          MC
050908         1983/06/22          1.000          MC
050908         1983/06/23          0.985          MC
050908         1983/06/24          0.861          MC
050908         1983/06/25          0.844          MC
050908         1983/06/26          0.825          MC
050908         1983/06/27          0.922          MC
050908         1983/06/28          0.833          MC
050908         1983/06/29          0.802          MC
050908         1983/06/30          0.776          MC
050908         1983/07/01          0.722          MC
050908         1983/07/02          0.701          MC
050908         1983/07/03          0.700          MC
050908         1983/07/04          0.687          MC
050908         1983/07/05          0.697          MC
050908         1983/07/06          0.756          MC
050908         1983/07/07          0.662          MC
050908         1983/07/08          0.671          MC
050908         1983/07/09          0.840          MC
050908         1983/07/10          0.660          MC
050908         1983/07/11          0.634          MC
050908         1983/07/12          0.624          MC
050908         1983/07/13          0.597          MC
050908         1983/07/14          0.549          MC
050908         1983/07/15          0.531          MC
050908         1983/07/16          0.529          MC
050908         1983/07/17          0.519          MC
050908         1983/07/18          0.489          MC
050908         1983/07/19          0.468          MC
050908         1983/07/20          0.524          MC
050908         1983/07/21          0.625          MC
050908         1983/07/22          0.955          MC
050908         1983/07/23          0.692          MC
050908         1983/07/24          0.566          MC
050908         1983/07/25          0.551          MC
050908         1983/07/26          0.513          MC
050908         1983/07/27          0.481          MC
050908         1983/07/28          0.621          MC
050908         1983/07/29          0.539          MC
050908         1983/07/30          0.546          MC
050908         1983/07/31          0.500          MC
050908         1983/08/01          0.754          MC
050908         1983/08/02          1.020          MC
050908         1983/08/03          1.260          MC
050908         1983/08/04          1.040          MC
050908         1983/08/05          0.774          MC
050908         1983/08/06          0.647          MC
050908         1983/08/07          0.590          MC
050908         1983/08/08          0.543          MC
050908         1983/08/09          0.558          MC
050908         1983/08/10          0.498          MC
050908         1983/08/11          0.483          MC
050908         1983/08/12          0.471          MC
050908         1983/08/13          0.421          MC
050908         1983/08/14          0.406          MC
050908         1983/08/15          0.415          MC
050908         1983/08/16          0.418          MC
050908         1983/08/17          0.403          MC
050908         1983/08/18          0.428          MC
050908         1983/08/19          0.415          MC
050908         1983/08/20          0.387          MC
050908         1983/08/21          0.360          MC
050908         1983/08/22          0.353          MC
050908         1983/08/23          0.390          MC
050908         1983/08/24          0.373          MC
050908         1983/08/25          0.377          MC
050908         1983/08/26          0.381          MC
050908         1983/08/27          0.384          MC
050908         1983/08/28          0.346          MC
050908         1983/08/29          0.334          MC
050908         1983/08/30          0.368          MC
050908         1983/08/31          0.366          MC
050908         1983/09/01          0.381          MC
050908         1983/09/02          0.381          MC
050908         1983/09/03          0.382          MC
050908         1983/09/04          0.382          MC
050908         1983/09/05          0.370          MC
050908         1983/09/06          0.357          MC
050908         1983/09/07          0.446          MC
050908         1983/09/08          0.393          MC
050908         1983/09/09          0.385          MC
050908         1983/09/10          0.386          MC
050908         1983/09/11          0.407          MC
050908         1983/09/12          0.388          MC
050908         1983/09/13          0.379          MC
050908         1983/09/14          0.350          MC
050908         1983/09/15          0.342          MC
050908         1983/09/16          0.343          MC
050908         1983/09/17          0.473          MC
050908         1983/09/18          0.651          MC
050908         1983/09/19          0.672          MC
050908         1983/09/20          0.568          MC
050908         1983/09/21          0.486          MC
050908         1983/09/22          0.852          MC
050908         1983/09/23          0.815          MC
050908         1983/09/24          0.647          MC
050908         1983/09/25          0.513          MC
050908         1983/09/26          0.486          MC
050908         1983/09/27          0.486          MC
050908         1983/09/28          0.475          MC
050908         1983/09/29          0.445          MC
050908         1983/09/30          0.436          MC
050908         1983/10/01          0.397          MC
050908         1983/10/02          0.398          MC
050908         1983/10/03          0.398          MC
050908         1983/10/04          0.399          MC
050908         1983/10/05          0.594          MC
050908         1983/10/06          1.710          MC
050908         1983/10/07          1.360          MC
050908         1983/10/08          1.000          MC
050908         1983/10/09          1.290          MC
050908         1983/10/10          0.990          MC
050908         1983/10/11          0.758          MC
050908         1983/10/12          0.667          MC
050908         1983/10/13          0.906          MC
050908         1983/10/14          1.190          MC
050908         1983/10/15          1.090          MC
050908         1983/10/16          0.638          MC
050908         1983/10/17          0.741          MC
050908         1983/10/18          0.726          MC
050908         1983/10/19          0.646          MC
050908         1983/10/20          0.604          MC
050908         1983/10/21          0.572          MC
050908         1983/10/22          0.544          MC
050908         1983/10/23          0.516          MC
050908         1983/10/24          0.502          MC
050908         1983/10/25          0.578          MC
050908         1983/10/26          0.524          MC
050908         1983/10/27          0.492          MC
050908         1983/10/28          0.487          MC
050908         1983/10/29          0.505          MC
050908         1983/10/30          0.505          MC
050908         1983/10/31          0.506          MC
050908         1983/11/01          0.506          MC
050908         1983/11/02          0.506          MC
050908         1983/11/03          0.733          MC
050908         1983/11/04          1.220          MC
050908         1983/11/05          1.040          MC
050908         1983/11/06          0.991          MC
