Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2009-05-29
Station:        050914         Lorette - 10 mètres en aval du pont de la rue St-Jean-Baptiste                                                                                 
Bassin versant: 58.5 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 48' 9" // -71° 21' 25"

Date de création du fichier: 2015-03-30 18:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050914         2006/06/22          0.3016         MJ
050914         2006/06/23          0.2499         MJ
050914         2006/06/24          0.1814         MJ
050914         2006/06/25          0.1499         MJ
050914         2006/06/26          0.1425         MJ
050914         2006/06/27          0.7673         MJ
050914         2006/06/28          0.8357         MJ
050914         2006/06/29          0.6087         MJ
050914         2006/06/30          1.335          MJ
050914         2006/07/01          1.055          MJ
050914         2006/07/02          1.401          MJ
050914         2006/07/03          0.7658         MJ
050914         2006/07/04          1.331          MJ
050914         2006/07/05          1.483          MJ
050914         2006/07/06          0.5577         MJ
050914         2006/07/07          0.3696         MJ
050914         2006/07/08          0.3039         MJ
050914         2006/07/09          0.258          MJ
050914         2006/07/10          0.2205         MJ
050914         2006/07/11          0.2487         MJ
050914         2006/07/12          0.2192         MJ
050914         2006/07/13          0.183          MJ
050914         2006/07/14          0.1682         MJ
050914         2006/07/15          0.2127         MJ
050914         2006/07/16          0.192          MJ
050914         2006/07/17          1.020          MJ
050914         2006/07/18          2.874          MJ
050914         2006/07/19          0.5594         MJ
050914         2006/07/20          0.3075         MJ
050914         2006/07/21          0.8982         MJ
050914         2006/07/22          0.3814         MJ
050914         2006/07/23          0.388          MJ
050914         2006/07/24          0.5816         MJ
050914         2006/07/25          0.7747         MJ
050914         2006/07/26          0.466          MJ
050914         2006/07/27          1.318          MJ
050914         2006/07/28          1.854          MJ
050914         2006/07/29          0.5983         MJ
050914         2006/07/30          0.325          MJ
050914         2006/07/31          0.2537         MJ
050914         2006/08/01          0.5287         MJ
050914         2006/08/02          0.8472         MJ
050914         2006/08/03          0.323          MJ
050914         2006/08/04          0.4999         MJ
050914         2006/08/05          0.5316         MJ
050914         2006/08/06          0.2617         MJ
050914         2006/08/07          0.2153         MJ
050914         2006/08/08          0.200          MJ
050914         2006/08/09          0.1684         MJ
050914         2006/08/10          0.432          MJ
050914         2006/08/11          0.2486         MJ
050914         2006/08/12          0.1955         MJ
050914         2006/08/13          0.166          MJ
050914         2006/08/14          0.1606         MJ
050914         2006/08/15          0.5987         MJ
050914         2006/08/16          0.4069         MJ
050914         2006/08/17          0.2154         MJ
050914         2006/08/18          0.1823         MJ
050914         2006/08/19          0.1655         MJ
050914         2006/08/20          0.334          MJ
050914         2006/08/21          1.070          MJ
050914         2006/08/22          0.3704         MJ
050914         2006/08/23          0.244          MJ
050914         2006/08/24          0.1991         MJ
050914         2006/08/25          0.1741         MJ
050914         2006/08/26          0.1657         MJ
050914         2006/08/27          0.5408         MJ
050914         2006/08/28          0.7424         MJ
050914         2006/08/29          0.3309         MJ
050914         2006/08/30          0.2237         MJ
050914         2006/08/31          0.1708         MJ
050914         2006/09/01          0.1517         MJ
050914         2006/09/02          0.1428         MJ
050914         2006/09/03          0.1923         MJ
050914         2006/09/04          0.3476         MJ
050914         2006/09/05          0.2256         MJ
050914         2006/09/06          0.1836         MJ
050914         2006/09/07          0.1557         MJ
050914         2006/09/08          0.4063         MJ
050914         2006/09/09          1.798          MJ
050914         2006/09/10          0.8944         MJ
050914         2006/09/11          0.3819         MJ
050914         2006/09/12          0.263          MJ
050914         2006/09/13          0.2148         MJ
050914         2006/09/14          0.2403         MJ
050914         2006/09/15          0.2256         MJ
050914         2006/09/16          0.195          MJ
050914         2006/09/17          0.1863         MJ
050914         2006/09/18          0.2173         MJ
050914         2006/09/19          0.3776         MJ
050914         2006/09/20          0.3878         MJ
050914         2006/09/21          0.2464         MJ
050914         2006/09/22          0.1984         MJ
050914         2006/09/23          0.1892         MJ
050914         2006/09/24          3.160          MJ
050914         2006/09/25          1.115          MJ
050914         2006/09/26          0.9454         MJ
050914         2006/09/27          0.6931         MJ
050914         2006/09/28          0.439          MJ
050914         2006/09/29          6.375          MJ
050914         2006/09/30          3.136          MJ
050914         2006/10/01          2.519          MJ
050914         2006/10/02          3.269          MJ
050914         2006/10/03          1.389          MJ
050914         2006/10/04          5.665          MJ
050914         2006/10/05          6.062          MJ
050914         2006/10/06          1.553          MJ
050914         2006/10/07          1.121          MJ
050914         2006/10/08          0.9198         MJ
050914         2006/10/09          0.7956         MJ
050914         2006/10/10          0.6733         MJ
050914         2006/10/11          0.5915         MJ
050914         2006/10/12          8.271          MJ
050914         2006/10/13          3.617          MJ
050914         2006/10/14          1.592          MJ
050914         2006/10/15          1.145          MJ
050914         2006/10/16          0.9568         MJ
050914         2006/10/17          0.8743         MJ
050914         2006/10/18          8.134          MJ
050914         2006/10/19          2.667          MJ
050914         2006/10/20          6.234          MJ
050914         2006/10/21          14.99          MJ
050914         2006/10/22          2.469          MJ
050914         2006/10/23          2.018          MJ
050914         2006/10/24          2.288          MJ
050914         2006/10/25          1.595          MJ
050914         2006/10/26          1.248          MJ
050914         2006/10/27          1.067          MJ
050914         2006/10/28          10.11          MJ
050914         2006/10/29          15.28          MJ
050914         2006/10/30          5.523          MJ
050914         2006/10/31          2.640          MJ
050914         2006/11/01          2.668          MJ
050914         2006/11/02          1.720          MJ
050914         2006/11/03          1.432          MJ
050914         2006/11/04          1.248          MJ
050914         2006/11/05          1.135          MJ
050914         2006/11/06          1.098          MJ
050914         2006/11/07          1.031          MJ
050914         2006/11/08          1.975          MJ
050914         2006/11/09          2.889          MJ
050914         2006/11/10          1.946          MJ
050914         2006/11/11          1.416          MJ
050914         2006/11/12          2.765          MJ
050914         2006/11/13          1.778          MJ
050914         2006/11/14          1.894          MJ
050914         2006/11/15          3.053          MJ
050914         2006/11/16          1.761          MJ
050914         2006/11/17          2.139          MJ
050914         2006/11/18          1.375          MJ
050914         2006/11/19          1.049          MJ
050914         2006/11/20          0.936          MJ
050914         2006/11/21          0.7847         MJ
050914         2006/11/22          0.7053         MJ
050914         2006/11/23          0.6521         MJ
050914         2006/11/24          0.6081         MJ
050914         2006/11/25          0.5338         MJ
050914         2006/11/26          0.5272         MJ
050914         2006/11/27          0.5361         MJ
050914         2006/11/28          0.4825         MJ
050914         2006/11/29          0.5381         MJ
050914         2006/11/30          1.608          MJ
050914         2006/12/01          2.413          MJ
050914         2006/12/02          1.855          MJ
050914         2006/12/03          1.250          MJ
050914         2006/12/04          0.9081         MJ
050914         2006/12/05          0.7851         MJ
050914         2006/12/06          0.6539         MJ
050914         2006/12/07          0.7605         MJ
050914         2006/12/08          0.4887         MJ
050914         2006/12/09          0.5394         MJ
