Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        050915         Nelson - au pont de l'autoroute 573 (Henri IV) secteur Val-Bélair à Québec                                                                     
Bassin versant: 58.4 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 52' 6" // -71° 25' 30"

Date de création du fichier: 2019-11-30 01:00
Particularité(s):
- La présence d'une conduite de dérivation aux environs de la rue Caroline à Saint-Gabriel-de-Valcartier permet de dériver une quantité d'eau de la rivière Jacques-Cartier vers la rivière Nelson. La capacité de dérivation maximale est de l'ordre de 0.5 m3/s. 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
050915         2006/06/13          0.5825         MJ
050915         2006/06/14          0.5352         J
050915         2006/06/15          0.4878         MJ
050915         2006/06/16          0.4587         MJ
050915         2006/06/17          0.510          MJ
050915         2006/06/18          0.4584         MJ
050915         2006/06/19          0.4421         MJ
050915         2006/06/20          0.6871         MJ
050915         2006/06/21          0.7094         MJ
050915         2006/06/22          0.5589         MJ
050915         2006/06/23          0.6296         MJ
050915         2006/06/24          0.5144         MJ
050915         2006/06/25          0.4396         MJ
050915         2006/06/26          0.3883         MJ
050915         2006/06/27          0.9005         J
050915         2006/06/28          1.012          MJ
050915         2006/06/29          0.8476         MJ
050915         2006/06/30          1.096          MJ
050915         2006/07/01          1.091          MJ
050915         2006/07/02          1.193          MJ
050915         2006/07/03          1.041          MJ
050915         2006/07/04          1.081          MJ
050915         2006/07/05          0.9107         MJ
050915         2006/07/06          0.7666         MJ
050915         2006/07/07          0.7477         MJ
050915         2006/07/08          0.603          MJ
050915         2006/07/09          0.4634         MJ
050915         2006/07/10          0.3901         MJ
050915         2006/07/11          0.3788         MJ
050915         2006/07/12          0.3581         MJ
050915         2006/07/13          0.3658         MJ
050915         2006/07/14          0.3396         MJ
050915         2006/07/15          0.400          E
050915         2006/07/16          0.500          E
050915         2006/07/17          0.6079         MJ
050915         2006/07/18          2.227          MJ
050915         2006/07/19          1.380          MJ
050915         2006/07/20          0.8809         MJ
050915         2006/07/21          1.083          MJ
050915         2006/07/22          0.8019         MJ
050915         2006/07/23          0.786          MJ
050915         2006/07/24          0.8032         MJ
050915         2006/07/25          0.9938         MJ
050915         2006/07/26          1.287          MJ
050915         2006/07/27          1.722          MJ
050915         2006/07/28          2.809          MJ
050915         2006/07/29          2.787          MJ
050915         2006/07/30          1.623          MJ
050915         2006/07/31          1.112          MJ
050915         2006/08/01          1.081          MJ
050915         2006/08/02          1.373          MJ
050915         2006/08/03          1.162          MJ
050915         2006/08/04          1.074          MJ
050915         2006/08/05          1.435          MJ
050915         2006/08/06          1.093          MJ
050915         2006/08/07          0.8966         MJ
050915         2006/08/08          0.7366         MJ
050915         2006/08/09          0.5736         MJ
050915         2006/08/10          0.6572         MJ
050915         2006/08/11          0.6092         MJ
050915         2006/08/12          0.4982         MJ
050915         2006/08/13          0.4936         MJ
050915         2006/08/14          0.513          MJ
050915         2006/08/15          0.7329         MJ
050915         2006/08/16          0.7198         MJ
050915         2006/08/17          0.5689         MJ
050915         2006/08/18          0.4615         MJ
050915         2006/08/19          0.413          MJ
050915         2006/08/20          0.5068         MJ
050915         2006/08/21          0.9927         MJ
050915         2006/08/22          0.7286         MJ
050915         2006/08/23          0.577          MJ
050915         2006/08/24          0.4553         MJ
050915         2006/08/25          0.4199         MJ
050915         2006/08/26          0.3758         MJ
050915         2006/08/27          0.4857         MJ
050915         2006/08/28          0.7496         MJ
050915         2006/08/29          0.5676         MJ
050915         2006/08/30          0.4524         MJ
050915         2006/08/31          0.3942         MJ
050915         2006/09/01          0.3579         MJ
050915         2006/09/02          0.4062         MJ
050915         2006/09/03          0.4159         MJ
050915         2006/09/04          0.4819         MJ
050915         2006/09/05          0.4311         MJ
050915         2006/09/06          0.4208         MJ
050915         2006/09/07          0.3849         MJ
050915         2006/09/08          0.4475         MJ
050915         2006/09/09          1.105          MJ
050915         2006/09/10          1.019          MJ
050915         2006/09/11          0.7199         MJ
050915         2006/09/12          0.5972         MJ
050915         2006/09/13          0.5136         MJ
050915         2006/09/14          0.5093         MJ
050915         2006/09/15          0.5143         MJ
050915         2006/09/16          0.4818         MJ
050915         2006/09/17          0.4758         MJ
050915         2006/09/18          0.4767         MJ
050915         2006/09/19          0.6233         MJ
050915         2006/09/20          0.6663         MJ
050915         2006/09/21          0.5817         MJ
050915         2006/09/22          0.5004         MJ
050915         2006/09/23          0.4613         MJ
050915         2006/09/24          1.168          MJ
