Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        051001         Montmorency - à 0,6 km en aval du barrage des Marches Naturelles                                                                               
Bassin versant: 1107 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 53' 45" // -71° 9' 8"

Date de création du fichier: 2019-11-29 19:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
051001         1924/04/01          4.530          MC
051001         1924/04/02          4.420          MC
051001         1924/04/03          4.420          MC
051001         1924/04/04          4.420          MC
051001         1924/04/05          4.420          MC
051001         1924/04/06          14.50          MC
051001         1924/04/07          19.70          MC
051001         1924/04/08          8.860          MC
051001         1924/04/09          8.300          MC
051001         1924/04/10          7.220          MC
051001         1924/04/11          10.10          MC
051001         1924/04/12          9.000          MC
051001         1924/04/13          11.80          MC
051001         1924/04/14          9.230          MC
051001         1924/04/15          6.650          MC
051001         1924/04/16          7.530          MC
051001         1924/04/17          8.640          MC
051001         1924/04/18          12.10          MC
051001         1924/04/19          16.00          MC
051001         1924/04/20          14.40          MC
051001         1924/04/21          10.40          MC
051001         1924/04/22          10.50          MC
051001         1924/04/23          9.320          MC
051001         1924/04/24          10.00          MC
051001         1924/04/25          8.500          MC
051001         1924/04/26          16.90          MC
051001         1924/04/27          29.70          MC
051001         1924/04/28          22.20          MC
051001         1924/04/29          25.90          MC
051001         1924/04/30          5.860          MC
051001         1924/05/01          65.70          MC
051001         1924/05/02          67.70          MC
051001         1924/05/03          35.40          MC
051001         1924/05/04          54.90          MC
051001         1924/05/05          94.90          MC
051001         1924/05/06          62.30          MC
051001         1924/05/07          64.60          MC
051001         1924/05/08          79.90          MC
051001         1924/05/09          83.80          MC
051001         1924/05/10          113.0          MC
051001         1924/05/11          110.0          MC
051001         1924/05/12          74.80          MC
051001         1924/05/13          143.0          MC
051001         1924/05/14          185.0          MC
051001         1924/05/15          174.0          MC
