Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-08-03
Station:        051006         Noire - à 5,5 km de la rivière Montmorency                                                                                                     
Bassin versant: 58.8 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 19' 36" // -71° 6' 8"

Date de création du fichier: 2012-06-24 04:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
051006         1966/09/14          1.110          MC
051006         1966/09/15          1.480          MC
051006         1966/09/16          1.590          MC
051006         1966/09/17          1.450          MC
051006         1966/09/18          1.370          MC
051006         1966/09/19          1.390          MC
051006         1966/09/20          1.280          MC
051006         1966/09/21          1.210          MC
051006         1966/09/22          1.560          MC
051006         1966/09/23          4.360          MC
051006         1966/09/24          3.770          MC
051006         1966/09/25          2.920          MC
051006         1966/09/26          2.390          MC
051006         1966/09/27          2.100          MC
051006         1966/09/28          2.060          MC
051006         1966/09/29          1.960          MC
051006         1966/09/30          2.760          MC
051006         1966/10/01          3.370          MC
051006         1966/10/02          2.660          MC
051006         1966/10/03          2.240          MC
051006         1966/10/04          2.130          MC
051006         1966/10/05          2.690          MC
051006         1966/10/06          2.510          MC
051006         1966/10/07          2.540          MC
051006         1966/10/08          2.460          MC
051006         1966/10/09          2.290          MC
051006         1966/10/10          2.510          MC
051006         1966/10/11          3.090          MC
051006         1966/10/12          2.590          MC
051006         1966/10/13          2.240          MC
051006         1966/10/14          2.020          MC
051006         1966/10/15          1.890          MC
051006         1966/10/16          1.910          MC
051006         1966/10/17          2.000          MC
051006         1966/10/18          1.820          MC
051006         1966/10/19          1.720          MC
051006         1966/10/20          2.330          MC
051006         1966/10/21          2.120          MC
051006         1966/10/22          1.930          MC
051006         1966/10/23          1.960          MC
051006         1966/10/24          1.970          MC
051006         1966/10/25          1.830          MC
051006         1966/10/26          1.710          MC
051006         1966/10/27          1.630          MC
051006         1966/10/28          1.590          MC
051006         1966/10/29          1.650          MC
051006         1966/10/30          1.610          MC
051006         1966/10/31          1.670          MC
051006         1966/11/01          1.530          MC
051006         1966/11/02          2.020          MC
051006         1966/11/03          20.00          MC
051006         1966/11/04          13.90          MC
051006         1966/11/05          5.150          MC
051006         1966/11/06          3.170          MC
051006         1966/11/07          2.640          MC
051006         1966/11/08          2.420          MC
051006         1966/11/09          2.450          MC
051006         1966/11/10          3.110          MC
051006         1966/11/11          12.50          MC
051006         1966/11/12          5.270          MC
051006         1966/11/13          3.310          MC
051006         1966/11/14          2.680          MC
051006         1966/11/15          2.390          MC
051006         1966/11/16          2.860          MC
051006         1966/11/17          2.970          MC
051006         1966/11/18          2.420          MC
051006         1966/11/19          2.050          MC
051006         1966/11/20          3.200          MC
051006         1966/11/21          3.710          MC
051006         1966/11/22          3.710          MC
051006         1966/11/23          3.510          MC
051006         1966/11/24          1.750          MC
051006         1966/11/25          2.000          MC
051006         1966/11/26          2.710          MC
051006         1966/11/27          2.370          MC
051006         1966/11/28          2.470          MC
051006         1966/11/29          3.680          MC
051006         1966/11/30          4.960          MC
051006         1966/12/01          3.450          MC
051006         1966/12/02          2.620          R
051006         1966/12/03          2.210          R
051006         1966/12/04          2.010          R
051006         1966/12/05          1.840          R
051006         1966/12/06          1.700          R
051006         1966/12/07          1.630          R
051006         1966/12/08          2.040          R
051006         1966/12/09          2.410          R
051006         1966/12/10          2.720          R
051006         1966/12/11          2.920          R
051006         1966/12/12          2.580          R
051006         1966/12/13          2.270          R
051006         1966/12/14          2.070          R
051006         1966/12/15          2.160          R
051006         1966/12/16          1.730          R
051006         1966/12/17          1.620          R
051006         1966/12/18          1.500          R
051006         1966/12/19          1.420          R
051006         1966/12/20          1.330          R
051006         1966/12/21          1.280          R
051006         1966/12/22          1.220          R
051006         1966/12/23          1.130          R
051006         1966/12/24          1.080          R
051006         1966/12/25          1.010          R
051006         1966/12/26          0.960          R
051006         1966/12/27          0.910          R
051006         1966/12/28          0.860          R
051006         1966/12/29          0.820          R
051006         1966/12/30          0.790          R
051006         1966/12/31          0.760          R
051006         1967/01/01          0.630          R
051006         1967/01/02          0.590          R
051006         1967/01/03          0.560          R
051006         1967/01/04          0.540          R
051006         1967/01/05          0.520          R
051006         1967/01/06          0.500          R
051006         1967/01/07          0.480          R
051006         1967/01/08          0.470          R
051006         1967/01/09          0.450          R
051006         1967/01/10          0.440          R
051006         1967/01/11          0.430          R
051006         1967/01/12          0.420          R
051006         1967/01/13          0.400          R
051006         1967/01/14          0.400          R
051006         1967/01/15          0.390          R
051006         1967/01/16          0.380          R
051006         1967/01/17          0.370          R
051006         1967/01/18          0.360          R
051006         1967/01/19          0.350          R
051006         1967/01/20          0.350          R
051006         1967/01/21          0.330          R
051006         1967/01/22          0.330          R
051006         1967/01/23          0.320          R
051006         1967/01/24          0.320          R
051006         1967/01/25          0.310          R
051006         1967/01/26          0.300          R
051006         1967/01/27          0.300          R
051006         1967/01/28          0.290          R
051006         1967/01/29          0.290          R
051006         1967/01/30          0.280          R
051006         1967/01/31          0.280          R
051006         1967/02/01          0.270          R
051006         1967/02/02          0.270          R
051006         1967/02/03          0.260          R
051006         1967/02/04          0.260          R
051006         1967/02/05          0.260          R
051006         1967/02/06          0.250          R
051006         1967/02/07          0.250          R
051006         1967/02/08          0.250          R
051006         1967/02/09          0.240          R
051006         1967/02/10          0.240          R
051006         1967/02/11          0.240          R
051006         1967/02/12          0.240          R
051006         1967/02/13          0.230          R
051006         1967/02/14          0.230          R
051006         1967/02/15          0.220          R
051006         1967/02/16          0.220          R
051006         1967/02/17          0.220          R
051006         1967/02/18          0.220          R
051006         1967/02/19          0.210          R
051006         1967/02/20          0.210          R
051006         1967/02/21          0.210          R
051006         1967/02/22          0.210          R
051006         1967/02/23          0.200          R
051006         1967/02/24          0.200          R
051006         1967/02/25          0.200          R
051006         1967/02/26          0.200          R
051006         1967/02/27          0.200          R
051006         1967/02/28          0.190          R
051006         1967/03/01          0.190          R
051006         1967/03/02          0.190          R
051006         1967/03/03          0.190          R
051006         1967/03/04          0.180          R
051006         1967/03/05          0.180          R
051006         1967/03/06          0.180          R
051006         1967/03/07          0.180          R
051006         1967/03/08          0.180          R
051006         1967/03/09          0.170          R
051006         1967/03/10          0.170          R
051006         1967/03/11          0.170          R
051006         1967/03/12          0.170          R
051006         1967/03/13          0.170          R
051006         1967/03/14          0.170          R
051006         1967/03/15          0.170          R
051006         1967/03/16          0.170          R
051006         1967/03/17          0.160          R
051006         1967/03/18          0.160          R
051006         1967/03/19          0.160          R
051006         1967/03/20          0.160          R
051006         1967/03/21          0.160          R
051006         1967/03/22          0.160          R
051006         1967/03/23          0.160          R
051006         1967/03/24          0.160          R
051006         1967/03/25          0.160          R
051006         1967/03/26          0.160          R
051006         1967/03/27          0.160          R
051006         1967/03/28          0.150          R
051006         1967/03/29          0.150          R
051006         1967/03/30          0.150          R
051006         1967/03/31          0.150          R
051006         1967/04/01          0.150          R
051006         1967/04/02          0.150          R
051006         1967/04/03          0.150          R
051006         1967/04/04          0.150          R
051006         1967/04/05          0.150          R
051006         1967/04/06          0.150          R
051006         1967/04/07          0.150          R
051006         1967/04/08          0.150          R
051006         1967/04/09          0.150          R
051006         1967/04/10          0.150          R
051006         1967/04/11          0.150          R
051006         1967/04/12          0.150          R
051006         1967/04/13          0.150          R
051006         1967/04/14          0.150          R
051006         1967/04/15          0.150          R
051006         1967/04/16          0.150          R
051006         1967/04/17          0.150          R
051006         1967/04/18          0.150          R
051006         1967/04/19          0.150          R
051006         1967/04/20          0.150          R
051006         1967/04/21          0.150          R
051006         1967/04/22          0.150          R
051006         1967/04/23          0.150          R
051006         1967/04/24          0.150          R
051006         1967/04/25          0.150          R
051006         1967/04/26          0.160          R
051006         1967/04/27          0.170          R
051006         1967/04/28          0.200          R
051006         1967/04/29          0.250          R
051006         1967/04/30          0.310          R
051006         1967/05/01          0.600          MC
051006         1967/05/02          1.410          MC
051006         1967/05/03          2.700          MC
051006         1967/05/04          3.110          MC
051006         1967/05/05          1.850          MC
051006         1967/05/06          1.120          MC
051006         1967/05/07          1.140          MC
051006         1967/05/08          1.180          MC
051006         1967/05/09          0.890          MC
051006         1967/05/10          0.740          MC
051006         1967/05/11          0.650          MC
051006         1967/05/12          0.590          MC
051006         1967/05/13          0.570          MC
051006         1967/05/14          0.600          MC
051006         1967/05/15          0.640          MC
051006         1967/05/16          0.670          MC
051006         1967/05/17          0.620          MC
051006         1967/05/18          0.620          MC
051006         1967/05/19          0.640          MC
051006         1967/05/20          1.200          MC
051006         1967/05/21          1.670          MC
051006         1967/05/22          1.280          MC
051006         1967/05/23          1.130          MC
051006         1967/05/24          1.420          MC
051006         1967/05/25          2.200          MC
051006         1967/05/26          3.140          MC
051006         1967/05/27          4.390          MC
051006         1967/05/28          5.040          MC
051006         1967/05/29          4.080          MC
051006         1967/05/30          3.000          MC
051006         1967/05/31          2.230          MC
051006         1967/06/01          3.960          MC
051006         1967/06/02          9.060          MC
051006         1967/06/03          11.90          MC
051006         1967/06/04          13.60          MC
051006         1967/06/05          13.20          MC
051006         1967/06/06          10.50          MC
051006         1967/06/07          17.40          MC
051006         1967/06/08          12.90          MC
051006         1967/06/09          6.650          MC
051006         1967/06/10          12.30          MC
051006         1967/06/11          5.240          MC
051006         1967/06/12          5.720          MC
051006         1967/06/13          3.600          MC
051006         1967/06/14          2.490          MC
051006         1967/06/15          2.460          MC
051006         1967/06/16          2.860          MC
051006         1967/06/17          3.030          MC
051006         1967/06/18          2.180          MC
051006         1967/06/19          1.660          MC
051006         1967/06/20          1.310          MC
051006         1967/06/21          1.310          MC
051006         1967/06/22          2.230          MC
051006         1967/06/23          3.340          MC
051006         1967/06/24          2.410          MC
051006         1967/06/25          13.20          MC
051006         1967/06/26          14.60          MC
051006         1967/06/27          5.300          MC
051006         1967/06/28          2.830          MC
051006         1967/06/29          1.980          MC
051006         1967/06/30          1.560          MC
051006         1967/07/01          1.370          MC
051006         1967/07/02          1.520          MC
051006         1967/07/03          4.220          MC
051006         1967/07/04          4.670          MC
051006         1967/07/05          3.030          MC
051006         1967/07/06          2.140          MC
051006         1967/07/07          1.630          MC
051006         1967/07/08          1.330          MC
051006         1967/07/09          1.250          MC
051006         1967/07/10          1.170          MC
