Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1985-08-28
Station:        051008         Montmorency - à 4,8 km en aval du ruisseau des Brulés (Mare-du-Sault)                                                                          
Bassin versant: 121 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 24' 20" // -71° 11' 8"
Constante géodésique: aucune
Date de création du fichier: 2012-06-21 22:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
051008         1977/07/29          29.26          PL
051008         1977/07/30          
051008         1977/07/31          
051008         1977/08/01          
051008         1977/08/02          
051008         1977/08/03          
051008         1977/08/04          
051008         1977/08/05          29.30          PL
051008         1977/08/06          29.29          PL
051008         1977/08/07          29.26          PL
051008         1977/08/08          29.25          PL
051008         1977/08/09          29.23          PL
051008         1977/08/10          29.22          PL
051008         1977/08/11          29.22          PL
051008         1977/08/12          29.22          PL
051008         1977/08/13          29.20          PL
051008         1977/08/14          29.20          PL
051008         1977/08/15          29.19          PL
051008         1977/08/16          29.18          PL
051008         1977/08/17          29.18          PL
051008         1977/08/18          29.20          PL
051008         1977/08/19          29.21          PL
051008         1977/08/20          29.25          PL
051008         1977/08/21          29.25          PL
051008         1977/08/22          29.28          PL
051008         1977/08/23          29.39          PL
051008         1977/08/24          29.39          PL
051008         1977/08/25          29.32          PL
051008         1977/08/26          29.31          PL
051008         1977/08/27          29.28          PL
051008         1977/08/28          29.26          PL
051008         1977/08/29          29.25          PL
051008         1977/08/30          29.26          PL
051008         1977/08/31          29.36          PL
051008         1977/09/01          29.31          PL
051008         1977/09/02          29.27          PL
051008         1977/09/03          29.23          PL
051008         1977/09/04          29.22          PL
051008         1977/09/05          29.21          PL
051008         1977/09/06          29.21          PL
051008         1977/09/07          29.18          PL
051008         1977/09/08          29.19          PL
051008         1977/09/09          29.19          PL
051008         1977/09/10          29.19          PL
051008         1977/09/11          29.24          PL
051008         1977/09/12          29.23          PL
051008         1977/09/13          29.22          PL
051008         1977/09/14          29.22          PL
051008         1977/09/15          29.24          PL
051008         1977/09/16          29.28          PL
051008         1977/09/17          29.26          PL
051008         1977/09/18          29.25          PL
051008         1977/09/19          29.24          PL
051008         1977/09/20          29.21          PL
051008         1977/09/21          29.20          PL
051008         1977/09/22          29.19          PL
051008         1977/09/23          29.18          PL
051008         1977/09/24          29.18          PL
051008         1977/09/25          29.18          PL
051008         1977/09/26          29.18          PL
051008         1977/09/27          29.27          PL
051008         1977/09/28          29.45          PL
051008         1977/09/29          29.42          PL
051008         1977/09/30          29.36          PL
051008         1977/10/01          29.34          PL
051008         1977/10/02          29.34          PL
051008         1977/10/03          29.35          PL
051008         1977/10/04          29.33          PL
051008         1977/10/05          29.29          PL
051008         1977/10/06          29.28          PL
051008         1977/10/07          29.27          PL
051008         1977/10/08          29.25          PL
051008         1977/10/09          29.25          PL
051008         1977/10/10          29.41          PL
051008         1977/10/11          29.48          PL
051008         1977/10/12          29.27          PL
051008         1977/10/13          29.19          PL
051008         1977/10/14          29.23          PL
051008         1977/10/15          29.26          PL
051008         1977/10/16          29.27          PL
051008         1977/10/17          29.28          PL
051008         1977/10/18          29.28          PL
051008         1977/10/19          29.27          PL
051008         1977/10/20          29.26          PL
051008         1977/10/21          29.26          PL
051008         1977/10/22          29.25          PL
051008         1977/10/23          29.24          PL
051008         1977/10/24          29.23          PL
051008         1977/10/25          29.22          PL
051008         1977/10/26          29.23          PL
051008         1977/10/27          29.25          PL
051008         1977/10/28          29.26          PL
051008         1977/10/29          29.25          PL
051008         1977/10/30          29.23          PL
051008         1977/10/31          29.20          PL
051008         1977/11/01          29.20          PL
051008         1977/11/02          29.19          PL
051008         1977/11/03          29.20          PL
051008         1977/11/04          29.22          PL
051008         1977/11/05          29.23          PL
051008         1977/11/06          29.23          PL
051008         1977/11/07          29.19          PL
051008         1977/11/08          29.18          PL
051008         1977/11/09          29.19          PL
051008         1977/11/10          29.20          PL
051008         1977/11/11          29.22          PL
051008         1977/11/12          29.27          PL
051008         1977/11/13          29.27          PL
051008         1977/11/14          29.23          PL
051008         1977/11/15          29.20          PL
051008         1977/11/16          29.21          PL
