Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1996-05-05
Station:        051301         Du Gouffre - à 1,6 km en amont du pont-route 362 à Baie-Saint-Paul                                                                             
Bassin versant: 865 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 26' 51" // -70° 30' 36"

Date de création du fichier: 2012-06-24 04:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
051301         1967/11/22          6.230          MC
051301         1967/11/23          6.230          MC
051301         1967/11/24          12.50          MC
051301         1967/11/25          10.40          MC
051301         1967/11/26          7.870          MC
051301         1967/11/27          6.970          MC
051301         1967/11/28          6.200          MC
051301         1967/11/29          4.960          MC
051301         1967/11/30          4.760          MC
051301         1967/12/01          4.590          R
051301         1967/12/02          4.530          R
051301         1967/12/03          4.640          R
051301         1967/12/04          4.960          R
051301         1967/12/05          5.100          R
051301         1967/12/06          5.010          R
051301         1967/12/07          4.810          R
051301         1967/12/08          4.640          R
051301         1967/12/09          4.560          R
051301         1967/12/10          4.670          R
051301         1967/12/11          5.660          R
051301         1967/12/12          11.30          R
051301         1967/12/13          13.00          R
051301         1967/12/14          12.20          R
051301         1967/12/15          11.30          R
051301         1967/12/16          10.30          R
051301         1967/12/17          9.770          R
051301         1967/12/18          9.200          R
051301         1967/12/19          8.640          R
051301         1967/12/20          8.350          R
051301         1967/12/21          8.500          R
051301         1967/12/22          9.630          R
051301         1967/12/23          9.770          R
051301         1967/12/24          9.200          R
051301         1967/12/25          8.640          R
051301         1967/12/26          8.210          R
051301         1967/12/27          7.790          R
051301         1967/12/28          7.360          R
051301         1967/12/29          7.080          R
051301         1967/12/30          6.800          R
051301         1967/12/31          6.650          R
051301         1968/01/01          6.510          R
051301         1968/01/02          6.290          R
