Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-05, préliminaires par la suite
Station:        051502         Malbaie - à 0.3 km en aval du pont-route à Clermont                                                                                            
Bassin versant: 1707 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 47° 41' 39" // -70° 13' 4"

Date de création du fichier: 2019-11-28 19:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
051502         1967/11/23          23.20          MC
051502         1967/11/24          26.40          MC
051502         1967/11/25          26.00          MC
051502         1967/11/26          24.20          MC
051502         1967/11/27          24.10          MC
051502         1967/11/28          22.20          MC
051502         1967/11/29          20.00          MC
051502         1967/11/30          16.00          MC
051502         1967/12/01          15.50          MC
051502         1967/12/02          16.30          MC
051502         1967/12/03          16.40          MC
051502         1967/12/04          16.40          MC
051502         1967/12/05          15.80          MC
051502         1967/12/06          15.30          MC
051502         1967/12/07          15.30          MC
051502         1967/12/08          14.60          MC
051502         1967/12/09          16.60          MC
051502         1967/12/10          14.40          MC
051502         1967/12/11          13.80          MC
051502         1967/12/12          14.00          MC
051502         1967/12/13          16.30          MC
051502         1967/12/14          18.50          MC
051502         1967/12/15          16.80          MC
051502         1967/12/16          15.20          MC
051502         1967/12/17          14.50          MC
051502         1967/12/18          15.90          MC
051502         1967/12/19          15.80          MC
051502         1967/12/20          16.70          MC
051502         1967/12/21          16.70          MC
051502         1967/12/22          17.00          MC
051502         1967/12/23          16.80          MC
051502         1967/12/24          19.10          MC
051502         1967/12/25          30.30          MC
051502         1967/12/26          30.00          MC
051502         1967/12/27          14.20          MC
051502         1967/12/28          14.00          MC
051502         1967/12/29          14.90          MC
051502         1967/12/30          14.80          MC
051502         1967/12/31          17.70          MC
051502         1968/01/01          16.20          MC
051502         1968/01/02          19.30          MC
051502         1968/01/03          13.90          MC
051502         1968/01/04          13.80          MC
051502         1968/01/05          13.40          MC
051502         1968/01/06          15.10          MC
051502         1968/01/07          15.30          MC
051502         1968/01/08          11.80          MC
051502         1968/01/09          13.90          MC
051502         1968/01/10          14.10          MC
051502         1968/01/11          16.30          MC
051502         1968/01/12          14.30          MC
051502         1968/01/13          15.30          MC
051502         1968/01/14          27.90          MC
051502         1968/01/15          15.20          MC
051502         1968/01/16          13.60          MC
051502         1968/01/17          12.50          MC
051502         1968/01/18          12.10          MC
051502         1968/01/19          12.50          MC
051502         1968/01/20          12.90          MC
051502         1968/01/21          13.80          MC
051502         1968/01/22          16.40          MC
051502         1968/01/23          12.90          MC
051502         1968/01/24          12.80          MC
051502         1968/01/25          12.50          MC
051502         1968/01/26          12.90          MC
051502         1968/01/27          16.00          MC
051502         1968/01/28          27.60          MC
051502         1968/01/29          24.70          MC
051502         1968/01/30          11.90          MC
051502         1968/01/31          12.20          MC
051502         1968/02/01          12.00          MC
051502         1968/02/02          12.70          MC
051502         1968/02/03          14.20          MC
051502         1968/02/04          12.90          MC
051502         1968/02/05          13.80          MC
051502         1968/02/06          13.00          MC
051502         1968/02/07          13.00          MC
051502         1968/02/08          13.00          MC
051502         1968/02/09          13.10          MC
051502         1968/02/10          13.80          MC
051502         1968/02/11          17.90          MC
051502         1968/02/12          17.60          MC
051502         1968/02/13          11.80          MC
051502         1968/02/14          11.90          MC
051502         1968/02/15          11.80          MC
051502         1968/02/16          11.70          MC
051502         1968/02/17          9.290          MC
051502         1968/02/18          14.40          MC
051502         1968/02/19          18.70          MC
051502         1968/02/20          9.460          MC
051502         1968/02/21          9.880          MC
051502         1968/02/22          9.570          MC
051502         1968/02/23          9.200          MC
051502         1968/02/24          11.00          MC
051502         1968/02/25          20.20          MC
051502         1968/02/26          16.50          MC
051502         1968/02/27          10.40          MC
051502         1968/02/28          10.70          MC
051502         1968/02/29          10.40          MC
051502         1968/03/01          10.10          MC
051502         1968/03/02          9.660          MC
051502         1968/03/03          14.90          MC
051502         1968/03/04          11.30          MC
051502         1968/03/05          9.940          MC
051502         1968/03/06          10.00          MC
051502         1968/03/07          9.200          MC
051502         1968/03/08          9.970          MC
051502         1968/03/09          10.20          MC
051502         1968/03/10          9.230          MC
051502         1968/03/11          10.20          MC
051502         1968/03/12          9.880          MC
051502         1968/03/13          9.850          MC
051502         1968/03/14          9.800          MC
051502         1968/03/15          9.800          MC
051502         1968/03/16          10.60          MC
051502         1968/03/17          8.550          MC
051502         1968/03/18          10.40          MC
051502         1968/03/19          10.20          MC
051502         1968/03/20          10.20          MC
051502         1968/03/21          10.40          MC
051502         1968/03/22          10.40          MC
051502         1968/03/23          10.50          MC
051502         1968/03/24          10.40          MC
051502         1968/03/25          10.90          MC
051502         1968/03/26          10.80          MC
051502         1968/03/27          11.40          MC
051502         1968/03/28          11.40          MC
051502         1968/03/29          12.10          MC
051502         1968/03/30          14.10          MC
051502         1968/03/31          14.40          MC
051502         1968/04/01          15.70          MC
051502         1968/04/02          14.70          MC
051502         1968/04/03          14.60          MC
051502         1968/04/04          14.00          MC
051502         1968/04/05          13.40          MC
051502         1968/04/06          13.10          MC
051502         1968/04/07          13.10          MC
051502         1968/04/08          15.40          MC
051502         1968/04/09          16.80          MC
051502         1968/04/10          18.70          MC
051502         1968/04/11          19.00          MC
051502         1968/04/12          20.10          MC
051502         1968/04/13          24.80          MC
051502         1968/04/14          41.60          MC
051502         1968/04/15          67.40          MC
051502         1968/04/16          100.0          MC
051502         1968/04/17          96.00          MC
051502         1968/04/18          90.30          MC
051502         1968/04/19          92.90          MC
051502         1968/04/20          94.30          MC
051502         1968/04/21          88.90          MC
051502         1968/04/22          90.60          MC
051502         1968/04/23          105.0          MC
051502         1968/04/24          123.0          MC
051502         1968/04/25          297.0          E
051502         1968/04/26          320.0          E
051502         1968/04/27          197.0          MC
051502         1968/04/28          126.0          MC
051502         1968/04/29          87.80          MC
051502         1968/04/30          74.20          MC
051502         1968/05/01          66.00          MC
051502         1968/05/02          62.30          MC
051502         1968/05/03          60.90          MC
051502         1968/05/04          56.40          MC
051502         1968/05/05          46.20          MC
051502         1968/05/06          51.50          MC
051502         1968/05/07          44.50          MC
051502         1968/05/08          40.50          MC
051502         1968/05/09          42.80          MC
051502         1968/05/10          63.70          MC
051502         1968/05/11          73.10          MC
051502         1968/05/12          69.10          MC
051502         1968/05/13          69.10          MC
051502         1968/05/14          62.00          MC
051502         1968/05/15          72.80          MC
051502         1968/05/16          74.80          J
051502         1968/05/17          81.30          MC
051502         1968/05/18          85.00          MC
051502         1968/05/19          80.40          MC
051502         1968/05/20          79.60          MC
051502         1968/05/21          75.60          MC
051502         1968/05/22          71.60          MC
051502         1968/05/23          69.90          MC
051502         1968/05/24          68.50          MC
051502         1968/05/25          66.50          MC
051502         1968/05/26          62.30          MC
051502         1968/05/27          57.20          MC
051502         1968/05/28          54.40          MC
051502         1968/05/29          51.50          MC
051502         1968/05/30          50.40          MC
051502         1968/05/31          47.90          MC
051502         1968/06/01          47.00          MC
051502         1968/06/02          46.70          MC
051502         1968/06/03          57.50          MC
051502         1968/06/04          61.70          MC
051502         1968/06/05          56.60          MC
051502         1968/06/06          51.50          MC
051502         1968/06/07          44.70          MC
051502         1968/06/08          36.00          MC
051502         1968/06/09          35.40          MC
051502         1968/06/10          34.00          MC
051502         1968/06/11          33.10          MC
051502         1968/06/12          30.00          MC
051502         1968/06/13          32.30          MC
051502         1968/06/14          31.40          MC
051502         1968/06/15          25.80          MC
051502         1968/06/16          27.70          MC
051502         1968/06/17          26.10          MC
051502         1968/06/18          25.60          MC
051502         1968/06/19          27.80          MC
051502         1968/06/20          25.60          MC
051502         1968/06/21          30.00          MC
051502         1968/06/22          35.10          MC
051502         1968/06/23          29.40          MC
051502         1968/06/24          27.70          MC
051502         1968/06/25          24.40          MC
051502         1968/06/26          24.30          MC
051502         1968/06/27          21.30          MC
051502         1968/06/28          22.50          MC
051502         1968/06/29          31.10          MC
051502         1968/06/30          24.70          MC
051502         1968/07/01          21.90          MC
051502         1968/07/02          18.60          MC
051502         1968/07/03          21.70          MC
051502         1968/07/04          22.70          MC
051502         1968/07/05          24.70          MC
051502         1968/07/06          26.20          MC
051502         1968/07/07          27.00          MC
051502         1968/07/08          24.30          MC
051502         1968/07/09          24.40          MC
051502         1968/07/10          25.20          MC
051502         1968/07/11          32.00          MC
051502         1968/07/12          29.70          MC
051502         1968/07/13          39.90          MC
051502         1968/07/14          24.50          MC
051502         1968/07/15          18.10          MC
051502         1968/07/16          18.90          MC
051502         1968/07/17          26.20          MC
051502         1968/07/18          40.50          MC
051502         1968/07/19          34.80          MC
051502         1968/07/20          26.40          MC
051502         1968/07/21          23.90          MC
051502         1968/07/22          23.10          MC
051502         1968/07/23          22.60          MC
051502         1968/07/24          19.80          MC
051502         1968/07/25          21.00          MC
051502         1968/07/26          22.30          MC
051502         1968/07/27          22.20          MC
051502         1968/07/28          21.20          MC
051502         1968/07/29          21.50          MC
051502         1968/07/30          19.90          MC
051502         1968/07/31          18.80          MC
051502         1968/08/01          19.90          MC
051502         1968/08/02          18.00          MC
051502         1968/08/03          20.50          MC
051502         1968/08/04          17.80          MC
051502         1968/08/05          17.90          MC
051502         1968/08/06          17.20          MC
051502         1968/08/07          18.80          MC
051502         1968/08/08          18.30          MC
051502         1968/08/09          17.40          MC
051502         1968/08/10          19.10          MC
051502         1968/08/11          16.70          MC
051502         1968/08/12          16.10          MC
051502         1968/08/13          19.60          MC
051502         1968/08/14          20.00          MC
051502         1968/08/15          21.50          MC
051502         1968/08/16          35.40          MC
051502         1968/08/17          19.20          MC
051502         1968/08/18          18.80          MC
051502         1968/08/19          17.30          MC
051502         1968/08/20          18.90          MC
051502         1968/08/21          21.70          MC
051502         1968/08/22          22.00          MC
051502         1968/08/23          22.00          MC
051502         1968/08/24          21.20          MC
051502         1968/08/25          19.40          MC
051502         1968/08/26          18.80          MC
051502         1968/08/27          19.30          MC
051502         1968/08/28          19.10          MC
051502         1968/08/29          19.10          MC
051502         1968/08/30          19.30          MC
051502         1968/08/31          19.70          MC
051502         1968/09/01          19.10          MC
051502         1968/09/02          17.60          MC
051502         1968/09/03          20.60          MC
051502         1968/09/04          19.20          MC
051502         1968/09/05          18.90          MC
