Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1962-09-30
Station:        052204         L'Assomption - au pont-route à Charlemagne                                                                                                     
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 43' 3" // -73° 29' 0"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-21 23:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
052204         1917/04/14          8.29           PL
052204         1917/04/15          8.02           PL
052204         1917/04/16          7.62           PL
052204         1917/04/17          7.56           PL
052204         1917/04/18          7.50           PL
052204         1917/04/19          7.16           PL
052204         1917/04/20          6.71           PL
052204         1917/04/21          6.55           PL
052204         1917/04/22          6.77           PL
052204         1917/04/23          6.77           PL
052204         1917/04/24          6.80           PL
052204         1917/04/25          6.74           PL
052204         1917/04/26          6.71           PL
052204         1917/04/27          6.71           PL
052204         1917/04/28          6.71           PL
052204         1917/04/29          6.71           PL
052204         1917/04/30          6.74           PL
052204         1917/05/01          6.74           PL
052204         1917/05/02          6.83           PL
052204         1917/05/03          6.98           PL
052204         1917/05/04          7.04           PL
052204         1917/05/05          7.16           PL
052204         1917/05/06          7.13           PL
052204         1917/05/07          7.07           PL
052204         1917/05/08          7.07           PL
052204         1917/05/09          7.07           PL
052204         1917/05/10          7.07           PL
052204         1917/05/11          7.07           PL
052204         1917/05/12          7.10           PL
052204         1917/05/13          7.10           PL
052204         1917/05/14          7.07           PL
052204         1917/05/15          7.07           PL
052204         1917/05/16          7.01           PL
052204         1917/05/17          6.95           PL
052204         1917/05/18          6.86           PL
052204         1917/05/19          6.83           PL
052204         1917/05/20          6.80           PL
052204         1917/05/21          6.77           PL
052204         1917/05/22          6.77           PL
052204         1917/05/23          6.77           PL
052204         1917/05/24          6.77           PL
052204         1917/05/25          6.80           PL
052204         1917/05/26          6.80           PL
052204         1917/05/27          6.77           PL
052204         1917/05/28          6.68           PL
052204         1917/05/29          6.68           PL
052204         1917/05/30          6.64           PL
052204         1917/05/31          6.61           PL
052204         1917/06/01          6.58           PL
052204         1917/06/02          6.61           PL
052204         1917/06/03          6.61           PL
052204         1917/06/04          6.58           PL
052204         1917/06/05          6.64           PL
052204         1917/06/06          6.64           PL
052204         1917/06/07          6.64           PL
052204         1917/06/08          6.68           PL
052204         1917/06/09          6.71           PL
052204         1917/06/10          6.83           PL
052204         1917/06/11          6.98           PL
052204         1917/06/12          7.28           PL
052204         1917/06/13          7.35           PL
052204         1917/06/14          7.28           PL
052204         1917/06/15          7.22           PL
052204         1917/06/16          7.19           PL
052204         1917/06/17          7.13           PL
052204         1917/06/18          7.04           PL
052204         1917/06/19          7.01           PL
052204         1917/06/20          7.01           PL
052204         1917/06/21          6.95           PL
052204         1917/06/22          6.92           PL
052204         1917/06/23          6.89           PL
052204         1917/06/24          6.83           PL
052204         1917/06/25          6.77           PL
052204         1917/06/26          6.71           PL
052204         1917/06/27          6.58           PL
052204         1917/06/28          6.55           PL
052204         1917/06/29          6.49           PL
052204         1917/06/30          6.46           PL
052204         1917/07/01          6.43           PL
052204         1917/07/02          6.43           PL
052204         1917/07/03          6.43           PL
052204         1917/07/04          6.43           PL
052204         1917/07/05          6.43           PL
052204         1917/07/06          6.43           PL
052204         1917/07/07          6.43           PL
052204         1917/07/08          6.40           PL
052204         1917/07/09          6.40           PL
052204         1917/07/10          6.40           PL
052204         1917/07/11          6.40           PL
052204         1917/07/12          6.37           PL
052204         1917/07/13          6.28           PL
052204         1917/07/14          6.22           PL
052204         1917/07/15          6.19           PL
052204         1917/07/16          6.16           PL
052204         1917/07/17          6.16           PL
052204         1917/07/18          6.19           PL
052204         1917/07/19          6.19           PL
052204         1917/07/20          6.16           PL
052204         1917/07/21          6.25           PL
052204         1917/07/22          6.31           PL
052204         1917/07/23          6.37           PL
052204         1917/07/24          6.40           PL
052204         1917/07/25          6.40           PL
052204         1917/07/26          6.31           PL
052204         1917/07/27          6.25           PL
052204         1917/07/28          6.22           PL
052204         1917/07/29          6.16           PL
052204         1917/07/30          6.13           PL
052204         1917/07/31          6.16           PL
052204         1917/08/01          6.13           PL
052204         1917/08/02          6.13           PL
052204         1917/08/03          6.13           PL
052204         1917/08/04          6.10           PL
052204         1917/08/05          6.10           PL
052204         1917/08/06          6.10           PL
052204         1917/08/07          6.10           PL
052204         1917/08/08          6.07           PL
052204         1917/08/09          6.04           PL
052204         1917/08/10          6.00           PL
052204         1917/08/11          5.97           PL
052204         1917/08/12          5.94           PL
052204         1917/08/13          5.88           PL
052204         1917/08/14          5.85           PL
052204         1917/08/15          5.82           PL
052204         1917/08/16          5.82           PL
052204         1917/08/17          5.82           PL
052204         1917/08/18          5.85           PL
052204         1917/08/19          5.88           PL
052204         1917/08/20          5.85           PL
052204         1917/08/21          5.91           PL
052204         1917/08/22          5.88           PL
052204         1917/08/23          5.85           PL
052204         1917/08/24          5.82           PL
052204         1917/08/25          5.79           PL
052204         1917/08/26          5.70           PL
052204         1917/08/27          5.67           PL
052204         1917/08/28          5.67           PL
052204         1917/08/29          5.64           PL
052204         1917/08/30          5.64           PL
052204         1917/08/31          5.64           PL
052204         1917/09/01          5.64           PL
052204         1917/09/02          5.64           PL
052204         1917/09/03          5.67           PL
052204         1917/09/04          5.73           PL
052204         1917/09/05          5.70           PL
052204         1917/09/06          5.64           PL
052204         1917/09/07          5.61           PL
052204         1917/09/08          5.58           PL
052204         1917/09/09          5.52           PL
052204         1917/09/10          5.43           PL
052204         1917/09/11          5.36           PL
052204         1917/09/12          5.27           PL
052204         1917/09/13          5.30           PL
052204         1917/09/14          5.36           PL
052204         1917/09/15          5.39           PL
052204         1917/09/16          5.39           PL
052204         1917/09/17          5.33           PL
052204         1917/09/18          5.33           PL
052204         1917/09/19          5.33           PL
052204         1917/09/20          5.36           PL
052204         1917/09/21          5.36           PL
052204         1917/09/22          5.36           PL
052204         1917/09/23          5.30           PL
052204         1917/09/24          5.21           PL
052204         1917/09/25          5.21           PL
052204         1917/09/26          5.21           PL
052204         1917/09/27          5.18           PL
052204         1917/09/28          5.15           PL
052204         1917/09/29          5.18           PL
052204         1917/09/30          5.27           PL
052204         1917/10/01          5.33           PL
052204         1917/10/02          5.36           PL
052204         1917/10/03          5.33           PL
052204         1917/10/04          5.36           PL
052204         1917/10/05          5.46           PL
052204         1917/10/06          5.43           PL
052204         1917/10/07          5.36           PL
052204         1917/10/08          5.30           PL
052204         1917/10/09          5.30           PL
052204         1917/10/10          5.36           PL
052204         1917/10/11          5.33           PL
052204         1917/10/12          5.21           PL
052204         1917/10/13          5.24           PL
052204         1917/10/14          5.24           PL
052204         1917/10/15          5.27           PL
052204         1917/10/16          5.30           PL
052204         1917/10/17          5.36           PL
052204         1917/10/18          5.36           PL
052204         1917/10/19          5.24           PL
052204         1917/10/20          5.36           PL
052204         1917/10/21          5.43           PL
052204         1917/10/22          5.43           PL
052204         1917/10/23          5.43           PL
052204         1917/10/24          5.49           PL
052204         1917/10/25          5.61           PL
052204         1917/10/26          5.61           PL
052204         1917/10/27          5.61           PL
052204         1917/10/28          5.55           PL
052204         1917/10/29          5.64           PL
052204         1917/10/30          5.73           PL
052204         1917/10/31          6.00           PL
052204         1917/11/01          6.16           PL
052204         1917/11/02          6.13           PL
052204         1917/11/03          6.00           PL
052204         1917/11/04          6.00           PL
052204         1917/11/05          5.94           PL
052204         1917/11/06          5.82           PL
052204         1917/11/07          5.79           PL
052204         1917/11/08          5.67           PL
052204         1917/11/09          5.58           PL
052204         1917/11/10          5.58           PL
052204         1917/11/11          5.58           PL
052204         1917/11/12          5.52           PL
052204         1917/11/13          5.49           PL
052204         1917/11/14          5.46           PL
052204         1917/11/15          5.43           PL
052204         1917/11/16          5.46           PL
052204         1917/11/17          5.46           PL
052204         1917/11/18          5.43           PL
052204         1917/11/19          5.43           PL
052204         1917/11/20          5.39           PL
052204         1917/11/21          5.43           PL
052204         1917/11/22          5.55           PL
052204         1917/11/23          5.58           PL
052204         1917/11/24          5.52           PL
052204         1917/11/25          5.39           PL
052204         1917/11/26          5.27           PL
052204         1917/11/27          5.27           PL
052204         1917/11/28          5.36           PL
052204         1917/11/29          5.36           PL
052204         1917/11/30          5.39           PL
052204         1917/12/01          5.39           PL
052204         1917/12/02          5.43           PL
052204         1917/12/03          5.43           PL
052204         1917/12/04          5.36           PL
052204         1917/12/05          5.36           PL
052204         1917/12/06          5.30           PL
052204         1917/12/07          5.30           PL
052204         1917/12/08          5.33           PL
052204         1917/12/09          5.61           PL
052204         1917/12/10          5.94           PL
052204         1917/12/11          6.52           PL
052204         1917/12/12          7.53           PL
