Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1969-12-31
Station:        052211         L'Assomption - à 1,6 km en aval du pont-route 158 à Joliette                                                                                   
Bassin versant: 1340 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 0' 49" // -73° 25' 51"

Date de création du fichier: 2017-05-17 05:23
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052211         1965/07/14          7.190          MC
052211         1965/07/15          7.560          MC
052211         1965/07/16          6.600          MC
052211         1965/07/17          5.750          MC
052211         1965/07/18          5.640          MC
052211         1965/07/19          5.550          MC
052211         1965/07/20          5.320          MC
052211         1965/07/21          5.300          MC
052211         1965/07/22          4.960          MC
052211         1965/07/23          4.870          MC
052211         1965/07/24          4.760          MC
052211         1965/07/25          4.980          MC
052211         1965/07/26          4.810          MC
052211         1965/07/27          4.470          MC
052211         1965/07/28          4.420          MC
052211         1965/07/29          4.470          MC
052211         1965/07/30          4.300          MC
052211         1965/07/31          4.110          MC
052211         1965/08/01          4.160          MC
052211         1965/08/02          4.250          MC
052211         1965/08/03          4.330          MC
052211         1965/08/04          4.530          MC
052211         1965/08/05          4.500          MC
052211         1965/08/06          4.560          MC
052211         1965/08/07          4.760          MC
052211         1965/08/08          5.350          MC
052211         1965/08/09          5.890          MC
052211         1965/08/10          7.050          MC
052211         1965/08/11          9.680          MC
052211         1965/08/12          11.80          MC
052211         1965/08/13          12.90          MC
052211         1965/08/14          17.50          MC
052211         1965/08/15          21.50          MC
052211         1965/08/16          22.30          MC
052211         1965/08/17          19.60          MC
052211         1965/08/18          17.90          MC
052211         1965/08/19          18.00          MC
052211         1965/08/20          18.20          MC
052211         1965/08/21          16.70          MC
052211         1965/08/22          16.10          MC
052211         1965/08/23          15.70          MC
052211         1965/08/24          14.40          MC
052211         1965/08/25          14.20          MC
052211         1965/08/26          15.30          MC
052211         1965/08/27          17.00          MC
052211         1965/08/28          20.80          MC
052211         1965/08/29          20.80          MC
052211         1965/08/30          21.00          MC
052211         1965/08/31          19.50          MC
052211         1965/09/01          21.60          MC
052211         1965/09/02          30.60          MC
052211         1965/09/03          34.80          MC
052211         1965/09/04          34.30          MC
052211         1965/09/05          32.30          MC
052211         1965/09/06          29.70          MC
052211         1965/09/07          26.90          MC
052211         1965/09/08          25.00          MC
052211         1965/09/09          22.80          MC
052211         1965/09/10          20.30          MC
052211         1965/09/11          19.30          MC
052211         1965/09/12          19.40          MC
052211         1965/09/13          17.40          MC
052211         1965/09/14          15.50          MC
052211         1965/09/15          14.60          MC
052211         1965/09/16          17.30          MC
052211         1965/09/17          27.30          MC
052211         1965/09/18          26.00          MC
052211         1965/09/19          24.70          MC
052211         1965/09/20          24.20          MC
052211         1965/09/21          35.40          MC
052211         1965/09/22          62.60          MC
052211         1965/09/23          58.60          MC
052211         1965/09/24          53.20          MC
052211         1965/09/25          47.30          MC
052211         1965/09/26          41.10          MC
052211         1965/09/27          35.40          MC
052211         1965/09/28          30.60          MC
052211         1965/09/29          27.20          MC
052211         1965/09/30          24.30          MC
052211         1965/10/01          23.60          MC
052211         1965/10/02          30.30          MC
052211         1965/10/03          35.10          MC
052211         1965/10/04          39.10          MC
052211         1965/10/05          37.90          MC
052211         1965/10/06          34.30          MC
052211         1965/10/07          30.60          MC
052211         1965/10/08          32.30          MC
052211         1965/10/09          39.60          MC
052211         1965/10/10          55.20          MC
052211         1965/10/11          51.50          MC
052211         1965/10/12          46.70          MC
052211         1965/10/13          42.80          MC
052211         1965/10/14          39.10          MC
052211         1965/10/15          36.80          MC
052211         1965/10/16          41.60          MC
052211         1965/10/17          42.20          MC
