Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-19, préliminaires par la suite
Station:        052212         Ouareau - à la tête des chutes Dorwin                                                                                                          
Bassin versant: 1263 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 1' 51" // -73° 42' 18"

Date de création du fichier: 2019-11-29 00:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052212         1966/01/01          28.90          R
052212         1966/01/02          30.00          R
052212         1966/01/03          29.70          R
052212         1966/01/04          28.30          R
052212         1966/01/05          25.50          R
052212         1966/01/06          22.90          R
052212         1966/01/07          19.80          R
052212         1966/01/08          17.00          R
052212         1966/01/09          14.20          R
052212         1966/01/10          14.20          R
052212         1966/01/11          14.60          R
052212         1966/01/12          14.00          R
052212         1966/01/13          12.70          R
052212         1966/01/14          13.00          R
052212         1966/01/15          13.30          R
052212         1966/01/16          12.70          R
052212         1966/01/17          11.90          R
052212         1966/01/18          12.50          R
052212         1966/01/19          12.40          J
052212         1966/01/20          12.20          R
052212         1966/01/21          12.00          R
052212         1966/01/22          12.20          R
052212         1966/01/23          11.70          R
052212         1966/01/24          11.50          R
052212         1966/01/25          11.50          R
052212         1966/01/26          11.30          R
052212         1966/01/27          11.30          R
052212         1966/01/28          11.00          R
052212         1966/01/29          11.20          R
052212         1966/01/30          11.10          R
052212         1966/01/31          11.30          R
052212         1966/02/01          11.20          R
052212         1966/02/02          11.00          R
052212         1966/02/03          11.00          R
052212         1966/02/04          11.00          R
052212         1966/02/05          11.00          R
052212         1966/02/06          10.80          R
052212         1966/02/07          10.40          R
052212         1966/02/08          9.970          R
052212         1966/02/09          9.630          R
052212         1966/02/10          9.340          R
052212         1966/02/11          9.120          R
052212         1966/02/12          10.50          R
052212         1966/02/13          11.30          R
052212         1966/02/14          11.90          R
052212         1966/02/15          12.00          R
052212         1966/02/16          11.00          R
052212         1966/02/17          11.00          R
052212         1966/02/18          11.00          R
052212         1966/02/19          11.00          R
052212         1966/02/20          10.60          R
052212         1966/02/21          10.30          R
052212         1966/02/22          9.850          J
052212         1966/02/23          9.910          R
052212         1966/02/24          9.940          R
052212         1966/02/25          10.00          R
052212         1966/02/26          9.910          R
052212         1966/02/27          9.630          R
052212         1966/02/28          9.570          R
052212         1966/03/01          10.60          R
052212         1966/03/02          11.90          R
052212         1966/03/03          13.90          R
052212         1966/03/04          15.40          R
