Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1971-08-30
Station:        052213         Lac de l'Achigan - au lac de l'Achigan                                                                                                         
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 56' 17" // -73° 59' 35"
Constante géodésique: 182.88 m
Date de création du fichier: 2012-06-21 23:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
052213         1966/04/04          24.54          PL
052213         1966/04/05          24.52          PL
052213         1966/04/06          24.48          PL
052213         1966/04/07          24.47          PL
052213         1966/04/08          24.46          PL
052213         1966/04/09          24.45          PL
052213         1966/04/10          24.44          PL
052213         1966/04/11          24.44          PL
052213         1966/04/12          24.47          PL
052213         1966/04/13          24.47          PL
052213         1966/04/14          24.48          PL
052213         1966/04/15          24.56          PL
052213         1966/04/16          24.66          PL
052213         1966/04/17          24.74          PL
052213         1966/04/18          24.77          PL
052213         1966/04/19          24.82          PL
052213         1966/04/20          24.87          PL
052213         1966/04/21          24.91          PL
052213         1966/04/22          24.95          PL
052213         1966/04/23          25.01          PL
052213         1966/04/24          25.10          PL
052213         1966/04/25          25.13          PL
052213         1966/04/26          25.07          PL
052213         1966/04/27          25.03          PL
052213         1966/04/28          25.01          PL
052213         1966/04/29          24.98          PL
052213         1966/04/30          24.97          PL
052213         1966/05/01          24.96          PL
052213         1966/05/02          24.89          PL
052213         1966/05/03          24.82          PL
052213         1966/05/04          24.79          PL
052213         1966/05/05          24.75          PL
052213         1966/05/06          24.69          PL
052213         1966/05/07          24.66          PL
052213         1966/05/08          24.63          PL
052213         1966/05/09          24.58          PL
052213         1966/05/10          24.55          PL
052213         1966/05/11          24.51          PL
052213         1966/05/12          24.53          PL
052213         1966/05/13          24.54          PL
052213         1966/05/14          24.53          PL
052213         1966/05/15          24.56          PL
052213         1966/05/16          24.46          PL
052213         1966/05/17          24.38          PL
052213         1966/05/18          24.38          PL
052213         1966/05/19          24.43          PL
052213         1966/05/20          24.44          PL
052213         1966/05/21          24.50          PL
052213         1966/05/22          24.55          PL
052213         1966/05/23          24.55          PL
052213         1966/05/24          24.53          PL
052213         1966/05/25          24.50          PL
052213         1966/05/26          24.49          PL
052213         1966/05/27          24.50          PL
052213         1966/05/28          24.46          PL
052213         1966/05/29          24.43          PL
052213         1966/05/30          24.43          PL
052213         1966/05/31          
052213         1966/06/01          
052213         1966/06/02          24.43          PL
052213         1966/06/03          24.43          PL
052213         1966/06/04          24.37          PL
052213         1966/06/05          24.36          PL
052213         1966/06/06          24.38          PL
052213         1966/06/07          24.42          PL
052213         1966/06/08          24.40          PL
052213         1966/06/09          24.38          PL
052213         1966/06/10          24.36          PL
052213         1966/06/11          24.34          PL
