Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-01-16
Station:        052215         Lac des Îles - à Entrelacs                                                                                                                     
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 5' 32" // -74° 1' 60"
Constante géodésique: aucune
Date de création du fichier: 2017-07-19 20:57
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
052215         1967/05/08          26.90          S
052215         1967/05/09          26.90          S
052215         1967/05/10          26.92          S
052215         1967/05/11          26.94          S
052215         1967/05/12          26.96          S
052215         1967/05/13          26.97          S
052215         1967/05/14          26.97          S
052215         1967/05/15          26.97          S
052215         1967/05/16          26.96          S
052215         1967/05/17          26.94          S
052215         1967/05/18          26.94          S
052215         1967/05/19          26.94          S
052215         1967/05/20          26.94          S
052215         1967/05/21          26.94          S
052215         1967/05/22          26.94          S
052215         1967/05/23          26.93          S
052215         1967/05/24          26.91          S
052215         1967/05/25          26.91          S
052215         1967/05/26          26.90          S
052215         1967/05/27          26.88          S
052215         1967/05/28          26.87          S
052215         1967/05/29          26.84          S
052215         1967/05/30          26.82          S
052215         1967/05/31          26.79          S
052215         1967/06/01          26.78          S
052215         1967/06/02          26.76          S
052215         1967/06/03          26.76          S
052215         1967/06/04          26.76          S
052215         1967/06/05          26.76          S
052215         1967/06/06          26.76          S
052215         1967/06/07          26.79          S
052215         1967/06/08          26.82          S
052215         1967/06/09          26.83          S
052215         1967/06/10          26.88          S
052215         1967/06/11          26.91          S
052215         1967/06/12          26.91          S
052215         1967/06/13          26.94          S
052215         1967/06/14          26.93          S
052215         1967/06/15          26.94          S
052215         1967/06/16          26.94          S
052215         1967/06/17          26.98          S
052215         1967/06/18          27.00          S
052215         1967/06/19          27.00          S
052215         1967/06/20          26.97          S
052215         1967/06/21          26.97          S
052215         1967/06/22          26.95          S
052215         1967/06/23          26.97          S
052215         1967/06/24          26.97          S
052215         1967/06/25          26.94          S
052215         1967/06/26          27.01          S
