Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2006-11-18
Station:        052229         Saint-Esprit - à 1,0 km en amont du pont du C.N. près de l'Épiphanie                                                                           
Bassin versant: 208 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 52' 6" // -73° 28' 54"

Date de création du fichier: 2012-06-24 05:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052229         1988/08/31          2.150          MC
052229         1988/09/01          1.720          MC
052229         1988/09/02          1.290          J
052229         1988/09/03          0.923          MC
052229         1988/09/04          0.820          MC
052229         1988/09/05          1.090          MC
052229         1988/09/06          1.390          J
052229         1988/09/07          1.190          MC
052229         1988/09/08          0.942          MC
052229         1988/09/09          0.783          MC
052229         1988/09/10          0.799          MC
052229         1988/09/11          0.713          MC
052229         1988/09/12          0.574          MC
052229         1988/09/13          0.573          MC
052229         1988/09/14          0.537          MC
052229         1988/09/15          0.523          MC
052229         1988/09/16          0.451          MC
052229         1988/09/17          0.411          MC
052229         1988/09/18          0.487          MC
052229         1988/09/19          0.584          MC
052229         1988/09/20          0.580          MC
052229         1988/09/21          1.030          MC
052229         1988/09/22          1.640          MC
052229         1988/09/23          1.270          MC
052229         1988/09/24          1.020          MC
052229         1988/09/25          0.907          MC
052229         1988/09/26          0.731          MC
052229         1988/09/27          0.686          MC
052229         1988/09/28          0.584          MC
052229         1988/09/29          0.550          MC
052229         1988/09/30          0.874          MC
052229         1988/10/01          0.734          MC
052229         1988/10/02          0.952          MC
052229         1988/10/03          5.190          MC
052229         1988/10/04          3.980          MC
052229         1988/10/05          3.240          MC
052229         1988/10/06          3.420          MC
052229         1988/10/07          3.710          MC
052229         1988/10/08          3.190          MC
052229         1988/10/09          2.800          MC
052229         1988/10/10          2.700          MC
052229         1988/10/11          2.580          MC
052229         1988/10/12          2.980          MC
052229         1988/10/13          2.690          MC
052229         1988/10/14          2.290          MC
052229         1988/10/15          1.990          MC
052229         1988/10/16          1.980          MC
052229         1988/10/17          2.060          MC
052229         1988/10/18          2.150          MC
052229         1988/10/19          2.280          MC
052229         1988/10/20          2.760          MC
052229         1988/10/21          2.390          MC
052229         1988/10/22          2.200          MC
052229         1988/10/23          6.270          MC
052229         1988/10/24          8.880          MC
052229         1988/10/25          10.60          MC
052229         1988/10/26          9.890          MC
052229         1988/10/27          7.550          MC
052229         1988/10/28          6.190          MC
052229         1988/10/29          5.700          MC
052229         1988/10/30          4.920          MC
052229         1988/10/31          4.420          MC
052229         1988/11/01          3.940          MC
052229         1988/11/02          10.80          J
052229         1988/11/03          18.40          MC
052229         1988/11/04          11.00          MC
052229         1988/11/05          7.960          MC
052229         1988/11/06          10.40          MC
052229         1988/11/07          14.20          MC
052229         1988/11/08          9.940          MC
052229         1988/11/09          8.660          MC
052229         1988/11/10          8.090          MC
052229         1988/11/11          9.870          MC
052229         1988/11/12          7.070          MC
052229         1988/11/13          5.880          MC
052229         1988/11/14          8.310          MC
052229         1988/11/15          7.760          MC
052229         1988/11/16          6.290          MC
052229         1988/11/17          5.560          MC
052229         1988/11/18          4.860          MC
052229         1988/11/19          4.140          MC
052229         1988/11/20          3.910          MC
052229         1988/11/21          3.750          MC
052229         1988/11/22          3.320          MC
052229         1988/11/23          2.870          MC
052229         1988/11/24          2.830          MC
052229         1988/11/25          2.370          MC
052229         1988/11/26          2.480          MC
052229         1988/11/27          2.600          MC
052229         1988/11/28          3.000          MC
052229         1988/11/29          3.870          MC
052229         1988/11/30          3.370          MC
052229         1988/12/01          3.100          MC
052229         1988/12/02          2.610          MC
052229         1988/12/03          2.640          MC
052229         1988/12/04          2.320          MC
052229         1988/12/05          1.690          MC
052229         1988/12/06          1.860          MC
052229         1988/12/07          1.860          MC
052229         1988/12/08          1.630          MC
