Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1986-08-24
Station:        052230         Rouge - au pont-route 158                                                                                                                      
Bassin versant: 319 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 59' 15" // -73° 29' 54"

Date de création du fichier: 2012-06-24 05:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052230         1975/10/20          10.70          MC
052230         1975/10/21          
052230         1975/10/22          
052230         1975/10/23          
052230         1975/10/24          
052230         1975/10/25          
052230         1975/10/26          
052230         1975/10/27          
052230         1975/10/28          
052230         1975/10/29          
052230         1975/10/30          
052230         1975/10/31          
052230         1975/11/01          
052230         1975/11/02          
052230         1975/11/03          
052230         1975/11/04          
052230         1975/11/05          
052230         1975/11/06          
052230         1975/11/07          
052230         1975/11/08          
052230         1975/11/09          
052230         1975/11/10          
052230         1975/11/11          
052230         1975/11/12          
052230         1975/11/13          
052230         1975/11/14          
052230         1975/11/15          
052230         1975/11/16          10.60          MC
052230         1975/11/17          
052230         1975/11/18          
052230         1975/11/19          
052230         1975/11/20          
052230         1975/11/21          
052230         1975/11/22          
052230         1975/11/23          
052230         1975/11/24          
052230         1975/11/25          
052230         1975/11/26          
052230         1975/11/27          
052230         1975/11/28          
052230         1975/11/29          
052230         1975/11/30          
052230         1975/12/01          
052230         1975/12/02          
052230         1975/12/03          
052230         1975/12/04          
052230         1975/12/05          
052230         1975/12/06          
052230         1975/12/07          
052230         1975/12/08          
052230         1975/12/09          
052230         1975/12/10          
052230         1975/12/11          
052230         1975/12/12          
052230         1975/12/13          
052230         1975/12/14          
052230         1975/12/15          
052230         1975/12/16          
052230         1975/12/17          
052230         1975/12/18          
052230         1975/12/19          
052230         1975/12/20          
052230         1975/12/21          
052230         1975/12/22          
052230         1975/12/23          
052230         1975/12/24          
052230         1975/12/25          
052230         1975/12/26          
052230         1975/12/27          
052230         1975/12/28          
052230         1975/12/29          
052230         1975/12/30          
052230         1975/12/31          
052230         1976/01/01          
052230         1976/01/02          
052230         1976/01/03          
052230         1976/01/04          
052230         1976/01/05          
052230         1976/01/06          
052230         1976/01/07          
052230         1976/01/08          
052230         1976/01/09          
052230         1976/01/10          
052230         1976/01/11          
052230         1976/01/12          
052230         1976/01/13          
052230         1976/01/14          
052230         1976/01/15          
052230         1976/01/16          
052230         1976/01/17          
052230         1976/01/18          
052230         1976/01/19          
052230         1976/01/20          
052230         1976/01/21          
052230         1976/01/22          
052230         1976/01/23          
052230         1976/01/24          
052230         1976/01/25          
052230         1976/01/26          
052230         1976/01/27          
052230         1976/01/28          
052230         1976/01/29          
052230         1976/01/30          
052230         1976/01/31          
052230         1976/02/01          
052230         1976/02/02          
052230         1976/02/03          
052230         1976/02/04          
052230         1976/02/05          
052230         1976/02/06          
052230         1976/02/07          
052230         1976/02/08          
052230         1976/02/09          
052230         1976/02/10          
052230         1976/02/11          
052230         1976/02/12          
052230         1976/02/13          
052230         1976/02/14          
052230         1976/02/15          
052230         1976/02/16          
052230         1976/02/17          
052230         1976/02/18          
052230         1976/02/19          
052230         1976/02/20          
052230         1976/02/21          
052230         1976/02/22          
052230         1976/02/23          
052230         1976/02/24          
052230         1976/02/25          
052230         1976/02/26          
052230         1976/02/27          
052230         1976/02/28          
052230         1976/02/29          
052230         1976/03/01          
052230         1976/03/02          
052230         1976/03/03          
052230         1976/03/04          
052230         1976/03/05          
052230         1976/03/06          
052230         1976/03/07          
052230         1976/03/08          
052230         1976/03/09          
052230         1976/03/10          
052230         1976/03/11          
052230         1976/03/12          
052230         1976/03/13          
052230         1976/03/14          
052230         1976/03/15          
052230         1976/03/16          
052230         1976/03/17          
052230         1976/03/18          
052230         1976/03/19          
052230         1976/03/20          
052230         1976/03/21          
052230         1976/03/22          
052230         1976/03/23          
052230         1976/03/24          
052230         1976/03/25          
052230         1976/03/26          
052230         1976/03/27          
052230         1976/03/28          
052230         1976/03/29          
052230         1976/03/30          
052230         1976/03/31          
052230         1976/04/01          
052230         1976/04/02          
052230         1976/04/03          
052230         1976/04/04          
052230         1976/04/05          
052230         1976/04/06          46.70          MC
052230         1976/04/07          45.00          MC
052230         1976/04/08          39.10          MC
052230         1976/04/09          29.20          MC
052230         1976/04/10          31.70          MC
052230         1976/04/11          30.60          MC
052230         1976/04/12          17.50          MC
052230         1976/04/13          18.00          MC
052230         1976/04/14          23.00          MC
052230         1976/04/15          24.50          MC
052230         1976/04/16          32.80          MC
052230         1976/04/17          44.50          MC
052230         1976/04/18          43.00          MC
052230         1976/04/19          39.10          MC
052230         1976/04/20          36.50          MC
052230         1976/04/21          29.20          MC
052230         1976/04/22          22.40          MC
052230         1976/04/23          21.30          MC
052230         1976/04/24          17.00          MC
052230         1976/04/25          13.10          MC
052230         1976/04/26          11.40          MC
052230         1976/04/27          15.40          MC
052230         1976/04/28          12.80          MC
052230         1976/04/29          10.50          MC
052230         1976/04/30          9.060          MC
052230         1976/05/01          7.670          MC
052230         1976/05/02          13.90          MC
052230         1976/05/03          11.50          MC
052230         1976/05/04          9.320          MC
052230         1976/05/05          7.870          MC
052230         1976/05/06          7.500          MC
052230         1976/05/07          7.020          MC
052230         1976/05/08          13.30          MC
052230         1976/05/09          12.30          MC
052230         1976/05/10          9.260          MC
052230         1976/05/11          7.900          MC
052230         1976/05/12          10.50          MC
052230         1976/05/13          10.80          MC
052230         1976/05/14          10.70          MC
052230         1976/05/15          8.440          MC
052230         1976/05/16          5.970          MC
052230         1976/05/17          5.410          MC
052230         1976/05/18          5.640          MC
052230         1976/05/19          15.90          MC
052230         1976/05/20          
052230         1976/05/21          
052230         1976/05/22          
052230         1976/05/23          10.40          MC
052230         1976/05/24          9.170          J
052230         1976/05/25          7.760          MC
052230         1976/05/26          6.510          MC
052230         1976/05/27          5.780          MC
052230         1976/05/28          5.010          MC
052230         1976/05/29          4.330          MC
052230         1976/05/30          3.620          MC
052230         1976/05/31          3.310          MC
052230         1976/06/01          3.200          MC
052230         1976/06/02          2.940          MC
052230         1976/06/03          2.780          MC
052230         1976/06/04          2.720          MC
052230         1976/06/05          2.520          MC
052230         1976/06/06          2.100          MC
052230         1976/06/07          1.780          MC
052230         1976/06/08          1.780          MC
052230         1976/06/09          1.780          MC
052230         1976/06/10          1.700          MC
052230         1976/06/11          1.530          MC
052230         1976/06/12          1.470          MC
052230         1976/06/13          1.420          MC
052230         1976/06/14          1.360          MC
052230         1976/06/15          1.440          MC
052230         1976/06/16          1.590          MC
052230         1976/06/17          1.640          MC
052230         1976/06/18          1.670          MC
052230         1976/06/19          1.560          MC
052230         1976/06/20          2.750          MC
052230         1976/06/21          
052230         1976/06/22          
052230         1976/06/23          
052230         1976/06/24          
052230         1976/06/25          
052230         1976/06/26          
052230         1976/06/27          
052230         1976/06/28          
052230         1976/06/29          
052230         1976/06/30          
052230         1976/07/01          12.10          MC
052230         1976/07/02          19.00          MC
052230         1976/07/03          24.20          MC
052230         1976/07/04          19.50          MC
052230         1976/07/05          9.230          MC
052230         1976/07/06          7.220          MC
052230         1976/07/07          4.020          J
052230         1976/07/08          3.820          MC
052230         1976/07/09          4.870          MC
052230         1976/07/10          5.640          MC
052230         1976/07/11          5.640          MC
052230         1976/07/12          8.780          MC
052230         1976/07/13          
052230         1976/07/14          
052230         1976/07/15          
052230         1976/07/16          
052230         1976/07/17          
052230         1976/07/18          
052230         1976/07/19          
052230         1976/07/20          
052230         1976/07/21          
052230         1976/07/22          
052230         1976/07/23          
052230         1976/07/24          
052230         1976/07/25          2.040          MC
052230         1976/07/26          1.870          MC
052230         1976/07/27          1.840          MC
052230         1976/07/28          2.520          MC
052230         1976/07/29          
052230         1976/07/30          
052230         1976/07/31          
052230         1976/08/01          
052230         1976/08/02          
052230         1976/08/03          
052230         1976/08/04          
052230         1976/08/05          
052230         1976/08/06          
052230         1976/08/07          
052230         1976/08/08          
052230         1976/08/09          
052230         1976/08/10          
052230         1976/08/11          
052230         1976/08/12          
052230         1976/08/13          
052230         1976/08/14          
052230         1976/08/15          4.760          MC
052230         1976/08/16          
052230         1976/08/17          
052230         1976/08/18          
052230         1976/08/19          
052230         1976/08/20          
052230         1976/08/21          
052230         1976/08/22          
052230         1976/08/23          
052230         1976/08/24          
052230         1976/08/25          
052230         1976/08/26          0.860          J
052230         1976/08/27          
052230         1976/08/28          
052230         1976/08/29          
052230         1976/08/30          
052230         1976/08/31          
052230         1976/09/01          
052230         1976/09/02          1.160          MC
052230         1976/09/03          1.100          MC
052230         1976/09/04          1.470          MC
052230         1976/09/05          1.700          MC
052230         1976/09/06          1.730          MC
052230         1976/09/07          1.760          MC
052230         1976/09/08          
052230         1976/09/09          
052230         1976/09/10          
052230         1976/09/11          
052230         1976/09/12          
052230         1976/09/13          
052230         1976/09/14          
052230         1976/09/15          
052230         1976/09/16          
052230         1976/09/17          
052230         1976/09/18          
052230         1976/09/19          
052230         1976/09/20          
052230         1976/09/21          
052230         1976/09/22          
052230         1976/09/23          
052230         1976/09/24          
052230         1976/09/25          
052230         1976/09/26          
052230         1976/09/27          
052230         1976/09/28          
052230         1976/09/29          
052230         1976/09/30          
052230         1976/10/01          
052230         1976/10/02          
052230         1976/10/03          
052230         1976/10/04          
052230         1976/10/05          1.080          J
052230         1976/10/06          1.080          MC
052230         1976/10/07          1.080          MC
052230         1976/10/08          1.100          MC
052230         1976/10/09          1.840          MC
052230         1976/10/10          12.40          MC
052230         1976/10/11          13.10          MC
052230         1976/10/12          8.640          MC
052230         1976/10/13          
052230         1976/10/14          
052230         1976/10/15          
052230         1976/10/16          
052230         1976/10/17          
052230         1976/10/18          
052230         1976/10/19          
052230         1976/10/20          
052230         1976/10/21          
052230         1976/10/22          
052230         1976/10/23          
052230         1976/10/24          
052230         1976/10/25          
052230         1976/10/26          
052230         1976/10/27          
052230         1976/10/28          
052230         1976/10/29          
052230         1976/10/30          
052230         1976/10/31          
052230         1976/11/01          
052230         1976/11/02          
052230         1976/11/03          
052230         1976/11/04          
052230         1976/11/05          
052230         1976/11/06          
052230         1976/11/07          
052230         1976/11/08          
052230         1976/11/09          
052230         1976/11/10          
052230         1976/11/11          
052230         1976/11/12          
052230         1976/11/13          
052230         1976/11/14          
052230         1976/11/15          
052230         1976/11/16          
052230         1976/11/17          
052230         1976/11/18          
052230         1976/11/19          2.410          MC
052230         1976/11/20          
052230         1976/11/21          
052230         1976/11/22          
052230         1976/11/23          
052230         1976/11/24          
052230         1976/11/25          
052230         1976/11/26          
052230         1976/11/27          
052230         1976/11/28          
052230         1976/11/29          
052230         1976/11/30          
052230         1976/12/01          
052230         1976/12/02          
052230         1976/12/03          
052230         1976/12/04          
052230         1976/12/05          
052230         1976/12/06          
052230         1976/12/07          
052230         1976/12/08          
052230         1976/12/09          
052230         1976/12/10          
052230         1976/12/11          
052230         1976/12/12          
052230         1976/12/13          
052230         1976/12/14          
052230         1976/12/15          
052230         1976/12/16          
052230         1976/12/17          
052230         1976/12/18          
052230         1976/12/19          
052230         1976/12/20          
052230         1976/12/21          
052230         1976/12/22          
052230         1976/12/23          
052230         1976/12/24          
052230         1976/12/25          
052230         1976/12/26          
052230         1976/12/27          
052230         1976/12/28          
052230         1976/12/29          
052230         1976/12/30          
052230         1976/12/31          
052230         1977/01/01          
052230         1977/01/02          
052230         1977/01/03          
052230         1977/01/04          
052230         1977/01/05          
052230         1977/01/06          
052230         1977/01/07          
052230         1977/01/08          
052230         1977/01/09          
052230         1977/01/10          
052230         1977/01/11          
052230         1977/01/12          
052230         1977/01/13          
052230         1977/01/14          
052230         1977/01/15          
052230         1977/01/16          
052230         1977/01/17          
052230         1977/01/18          
052230         1977/01/19          1.120          J
052230         1977/01/20          
052230         1977/01/21          
052230         1977/01/22          
052230         1977/01/23          
052230         1977/01/24          
052230         1977/01/25          
052230         1977/01/26          
052230         1977/01/27          
052230         1977/01/28          
052230         1977/01/29          
052230         1977/01/30          
052230         1977/01/31          
052230         1977/02/01          
052230         1977/02/02          
052230         1977/02/03          
052230         1977/02/04          
052230         1977/02/05          
052230         1977/02/06          
052230         1977/02/07          
052230         1977/02/08          
052230         1977/02/09          
052230         1977/02/10          
052230         1977/02/11          
052230         1977/02/12          
052230         1977/02/13          
052230         1977/02/14          
052230         1977/02/15          
052230         1977/02/16          
052230         1977/02/17          
052230         1977/02/18          0.790          J
052230         1977/02/19          
052230         1977/02/20          
052230         1977/02/21          
052230         1977/02/22          
052230         1977/02/23          
052230         1977/02/24          
052230         1977/02/25          
052230         1977/02/26          
052230         1977/02/27          
052230         1977/02/28          
052230         1977/03/01          
052230         1977/03/02          
052230         1977/03/03          
052230         1977/03/04          
052230         1977/03/05          
052230         1977/03/06          
052230         1977/03/07          
052230         1977/03/08          
052230         1977/03/09          
052230         1977/03/10          
052230         1977/03/11          
052230         1977/03/12          
052230         1977/03/13          
052230         1977/03/14          
052230         1977/03/15          
052230         1977/03/16          
052230         1977/03/17          
052230         1977/03/18          
052230         1977/03/19          
052230         1977/03/20          
052230         1977/03/21          
052230         1977/03/22          
052230         1977/03/23          
052230         1977/03/24          
052230         1977/03/25          
052230         1977/03/26          
052230         1977/03/27          
052230         1977/03/28          
052230         1977/03/29          
052230         1977/03/30          
052230         1977/03/31          
052230         1977/04/01          
052230         1977/04/02          
052230         1977/04/03          55.20          J
052230         1977/04/04          
052230         1977/04/05          
052230         1977/04/06          23.00          J
052230         1977/04/07          
052230         1977/04/08          
052230         1977/04/09          
052230         1977/04/10          
052230         1977/04/11          
052230         1977/04/12          
052230         1977/04/13          
052230         1977/04/14          
052230         1977/04/15          
052230         1977/04/16          
052230         1977/04/17          
052230         1977/04/18          
052230         1977/04/19          
052230         1977/04/20          29.70          J
052230         1977/04/21          
052230         1977/04/22          
052230         1977/04/23          
052230         1977/04/24          
052230         1977/04/25          17.00          J
052230         1977/04/26          
052230         1977/04/27          
052230         1977/04/28          
052230         1977/04/29          
052230         1977/04/30          
052230         1977/05/01          
052230         1977/05/02          
052230         1977/05/03          
052230         1977/05/04          
052230         1977/05/05          
052230         1977/05/06          
052230         1977/05/07          
052230         1977/05/08          
052230         1977/05/09          
052230         1977/05/10          
052230         1977/05/11          
052230         1977/05/12          
052230         1977/05/13          
052230         1977/05/14          
052230         1977/05/15          
052230         1977/05/16          
052230         1977/05/17          
052230         1977/05/18          
052230         1977/05/19          
052230         1977/05/20          
052230         1977/05/21          
052230         1977/05/22          
052230         1977/05/23          
052230         1977/05/24          
052230         1977/05/25          
052230         1977/05/26          
052230         1977/05/27          
052230         1977/05/28          
052230         1977/05/29          
052230         1977/05/30          
052230         1977/05/31          0.930          MC
052230         1977/06/01          0.850          MC
052230         1977/06/02          0.820          MC
052230         1977/06/03          0.760          MC
052230         1977/06/04          0.740          MC
052230         1977/06/05          0.650          J
052230         1977/06/06          0.650          MC
052230         1977/06/07          0.620          MC
052230         1977/06/08          0.990          MC
052230         1977/06/09          1.220          MC
052230         1977/06/10          1.080          MC
052230         1977/06/11          0.960          MC
052230         1977/06/12          0.880          MC
052230         1977/06/13          0.820          MC
052230         1977/06/14          0.710          MC
052230         1977/06/15          0.620          MC
052230         1977/06/16          0.570          MC
052230         1977/06/17          0.540          MC
052230         1977/06/18          0.790          MC
052230         1977/06/19          1.590          MC
052230         1977/06/20          3.200          MC
052230         1977/06/21          3.620          MC
052230         1977/06/22          2.460          MC
052230         1977/06/23          1.980          MC
052230         1977/06/24          1.610          MC
052230         1977/06/25          1.390          MC
052230         1977/06/26          2.150          MC
052230         1977/06/27          2.380          MC
052230         1977/06/28          1.950          MC
052230         1977/06/29          2.610          MC
052230         1977/06/30          5.800          MC
