Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2010-05-25
Station:        052231         Beauport - à 0,6 km de l'Achigan                                                                                                               
Bassin versant: 76.7 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 53' 36" // -73° 51' 56"

Date de création du fichier: 2012-06-24 05:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052231         1975/10/23          1.750          MC
052231         1975/10/24          
052231         1975/10/25          
052231         1975/10/26          
052231         1975/10/27          
052231         1975/10/28          
052231         1975/10/29          
052231         1975/10/30          
052231         1975/10/31          
052231         1975/11/01          
052231         1975/11/02          
052231         1975/11/03          
052231         1975/11/04          
052231         1975/11/05          
052231         1975/11/06          
052231         1975/11/07          
052231         1975/11/08          
052231         1975/11/09          
052231         1975/11/10          
052231         1975/11/11          
052231         1975/11/12          
052231         1975/11/13          
052231         1975/11/14          3.680          MC
052231         1975/11/15          
052231         1975/11/16          
052231         1975/11/17          
052231         1975/11/18          
052231         1975/11/19          
052231         1975/11/20          
052231         1975/11/21          
052231         1975/11/22          
052231         1975/11/23          
052231         1975/11/24          
052231         1975/11/25          
052231         1975/11/26          
052231         1975/11/27          
052231         1975/11/28          
052231         1975/11/29          
052231         1975/11/30          
052231         1975/12/01          
052231         1975/12/02          
052231         1975/12/03          
052231         1975/12/04          
052231         1975/12/05          
052231         1975/12/06          
052231         1975/12/07          
052231         1975/12/08          
052231         1975/12/09          
052231         1975/12/10          
052231         1975/12/11          
052231         1975/12/12          
052231         1975/12/13          
052231         1975/12/14          
052231         1975/12/15          
052231         1975/12/16          
052231         1975/12/17          
052231         1975/12/18          
052231         1975/12/19          
052231         1975/12/20          
052231         1975/12/21          
052231         1975/12/22          
052231         1975/12/23          
052231         1975/12/24          
052231         1975/12/25          
052231         1975/12/26          
052231         1975/12/27          
052231         1975/12/28          
052231         1975/12/29          
052231         1975/12/30          
052231         1975/12/31          
052231         1976/01/01          
052231         1976/01/02          
052231         1976/01/03          
052231         1976/01/04          
052231         1976/01/05          
052231         1976/01/06          
052231         1976/01/07          
052231         1976/01/08          
052231         1976/01/09          
052231         1976/01/10          
052231         1976/01/11          
052231         1976/01/12          
052231         1976/01/13          
052231         1976/01/14          
052231         1976/01/15          
052231         1976/01/16          
052231         1976/01/17          
052231         1976/01/18          
052231         1976/01/19          
052231         1976/01/20          
052231         1976/01/21          
052231         1976/01/22          
052231         1976/01/23          
052231         1976/01/24          
052231         1976/01/25          
052231         1976/01/26          
052231         1976/01/27          
052231         1976/01/28          
052231         1976/01/29          
052231         1976/01/30          
052231         1976/01/31          
052231         1976/02/01          
052231         1976/02/02          
052231         1976/02/03          
052231         1976/02/04          
052231         1976/02/05          
052231         1976/02/06          
052231         1976/02/07          
052231         1976/02/08          
052231         1976/02/09          
052231         1976/02/10          
052231         1976/02/11          
052231         1976/02/12          
052231         1976/02/13          
052231         1976/02/14          
052231         1976/02/15          
052231         1976/02/16          
052231         1976/02/17          
052231         1976/02/18          
052231         1976/02/19          
052231         1976/02/20          
052231         1976/02/21          
052231         1976/02/22          
052231         1976/02/23          
052231         1976/02/24          
052231         1976/02/25          
052231         1976/02/26          
052231         1976/02/27          
052231         1976/02/28          
052231         1976/02/29          
052231         1976/03/01          
052231         1976/03/02          
052231         1976/03/03          
052231         1976/03/04          
052231         1976/03/05          
052231         1976/03/06          
052231         1976/03/07          
052231         1976/03/08          
052231         1976/03/09          
052231         1976/03/10          
052231         1976/03/11          
052231         1976/03/12          
052231         1976/03/13          
052231         1976/03/14          
052231         1976/03/15          
052231         1976/03/16          
052231         1976/03/17          
052231         1976/03/18          
052231         1976/03/19          
052231         1976/03/20          
052231         1976/03/21          
052231         1976/03/22          
052231         1976/03/23          
052231         1976/03/24          
052231         1976/03/25          
052231         1976/03/26          
052231         1976/03/27          
052231         1976/03/28          
052231         1976/03/29          
052231         1976/03/30          
052231         1976/03/31          
052231         1976/04/01          
052231         1976/04/02          
052231         1976/04/03          
052231         1976/04/04          
052231         1976/04/05          9.770          MC
052231         1976/04/06          
052231         1976/04/07          
052231         1976/04/08          
052231         1976/04/09          
052231         1976/04/10          
052231         1976/04/11          
052231         1976/04/12          
052231         1976/04/13          
052231         1976/04/14          
052231         1976/04/15          
052231         1976/04/16          
052231         1976/04/17          
052231         1976/04/18          
052231         1976/04/19          
052231         1976/04/20          
052231         1976/04/21          
052231         1976/04/22          
052231         1976/04/23          
052231         1976/04/24          
052231         1976/04/25          
052231         1976/04/26          
052231         1976/04/27          
052231         1976/04/28          
052231         1976/04/29          
052231         1976/04/30          
052231         1976/05/01          
052231         1976/05/02          
052231         1976/05/03          
052231         1976/05/04          
052231         1976/05/05          
052231         1976/05/06          
052231         1976/05/07          
052231         1976/05/08          
052231         1976/05/09          
052231         1976/05/10          
052231         1976/05/11          
052231         1976/05/12          
052231         1976/05/13          
052231         1976/05/14          
052231         1976/05/15          
052231         1976/05/16          
052231         1976/05/17          
052231         1976/05/18          
052231         1976/05/19          
052231         1976/05/20          
052231         1976/05/21          
052231         1976/05/22          
052231         1976/05/23          3.280          J
052231         1976/05/24          
052231         1976/05/25          
052231         1976/05/26          
052231         1976/05/27          
