Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-19, préliminaires par la suite
Station:        052233         De l'Achigan - au pont-route 341à L'Épiphanie                                                                                                  
Bassin versant: 641 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 50' 46" // -73° 29' 33"

Date de création du fichier: 2019-11-26 03:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052233         1979/11/22          8.120          MC
052233         1979/11/23          12.20          MC
052233         1979/11/24          16.20          MC
052233         1979/11/25          14.30          MC
052233         1979/11/26          17.40          MC
052233         1979/11/27          55.50          MC
052233         1979/11/28          38.40          MC
052233         1979/11/29          30.60          MC
052233         1979/11/30          24.20          MC
052233         1979/12/01          19.60          MC
052233         1979/12/02          16.30          MC
052233         1979/12/03          12.90          MC
052233         1979/12/04          11.80          MC
052233         1979/12/05          11.30          MC
052233         1979/12/06          10.90          MC
052233         1979/12/07          10.60          MC
052233         1979/12/08          10.60          MC
052233         1979/12/09          9.230          MC
052233         1979/12/10          8.510          MC
052233         1979/12/11          8.250          MC
052233         1979/12/12          9.780          E
052233         1979/12/13          9.400          E
052233         1979/12/14          9.000          E
052233         1979/12/15          8.000          E
052233         1979/12/16          7.300          E
052233         1979/12/17          6.800          E
052233         1979/12/18          6.600          E
052233         1979/12/19          6.420          E
052233         1979/12/20          6.410          E
052233         1979/12/21          6.500          E
052233         1979/12/22          6.580          E
052233         1979/12/23          6.630          E
052233         1979/12/24          7.000          E
052233         1979/12/25          9.000          E
052233         1979/12/26          25.00          E
052233         1979/12/27          20.00          E
052233         1979/12/28          16.00          E
052233         1979/12/29          12.50          E
052233         1979/12/30          10.20          E
052233         1979/12/31          9.000          E
052233         1980/01/01          8.000          E
052233         1980/01/02          7.300          E
052233         1980/01/03          6.800          E
052233         1980/01/04          6.100          E
052233         1980/01/05          5.500          E
052233         1980/01/06          5.200          E
052233         1980/01/07          5.050          E
052233         1980/01/08          5.020          E
052233         1980/01/09          5.010          E
052233         1980/01/10          4.990          E
052233         1980/01/11          12.00          E
052233         1980/01/12          25.00          E
052233         1980/01/13          22.90          E
052233         1980/01/14          19.50          E
052233         1980/01/15          17.00          E
052233         1980/01/16          15.00          E
052233         1980/01/17          13.30          E
052233         1980/01/18          12.10          E
052233         1980/01/19          11.10          E
052233         1980/01/20          10.00          E
052233         1980/01/21          9.600          E
052233         1980/01/22          9.000          E
052233         1980/01/23          8.100          E
052233         1980/01/24          7.800          R
052233         1980/01/25          7.200          R
052233         1980/01/26          6.900          R
052233         1980/01/27          6.580          R
052233         1980/01/28          6.200          R
052233         1980/01/29          5.990          R
052233         1980/01/30          5.700          R
052233         1980/01/31          5.400          R
052233         1980/02/01          5.100          R
052233         1980/02/02          4.900          R
052233         1980/02/03          4.720          R
052233         1980/02/04          4.500          R
052233         1980/02/05          4.300          R
052233         1980/02/06          4.100          R
052233         1980/02/07          3.920          R
052233         1980/02/08          3.800          R
052233         1980/02/09          3.620          R
052233         1980/02/10          3.450          R
052233         1980/02/11          3.300          R
052233         1980/02/12          3.180          R
052233         1980/02/13          3.030          R
052233         1980/02/14          2.950          R
052233         1980/02/15          2.850          R
052233         1980/02/16          2.750          R
052233         1980/02/17          2.650          R
052233         1980/02/18          2.550          R
052233         1980/02/19          2.460          R
052233         1980/02/20          2.380          R
052233         1980/02/21          2.320          R
052233         1980/02/22          2.220          R
052233         1980/02/23          2.140          R
052233         1980/02/24          2.060          R
052233         1980/02/25          2.000          R
052233         1980/02/26          1.930          R
052233         1980/02/27          1.850          R
052233         1980/02/28          1.800          R
052233         1980/02/29          1.720          R
052233         1980/03/01          1.670          R
052233         1980/03/02          1.610          R
052233         1980/03/03          1.570          R
052233         1980/03/04          1.510          R
052233         1980/03/05          1.460          J
052233         1980/03/06          1.430          R
052233         1980/03/07          1.410          R
052233         1980/03/08          1.390          R
052233         1980/03/09          1.370          R
052233         1980/03/10          1.420          R
052233         1980/03/11          1.800          R
052233         1980/03/12          2.300          R
052233         1980/03/13          2.150          R
052233         1980/03/14          2.000          R
052233         1980/03/15          1.900          R
052233         1980/03/16          1.820          R
052233         1980/03/17          2.000          R
052233         1980/03/18          6.000          R
052233         1980/03/19          22.50          R
052233         1980/03/20          24.00          R
052233         1980/03/21          25.00          R
052233         1980/03/22          28.00          R
052233         1980/03/23          35.90          MC
052233         1980/03/24          31.40          MC
052233         1980/03/25          27.90          MC
052233         1980/03/26          24.40          MC
052233         1980/03/27          28.30          MC
052233         1980/03/28          31.40          MC
052233         1980/03/29          35.90          MC
052233         1980/03/30          33.60          MC
052233         1980/03/31          28.10          MC
