Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        052235         Saint-Pierre - au pont-route du chemin du Vieux-Moulin à 0.2 km de la Route 343                                                                
Bassin versant: 27.8 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 58' 38" // -73° 26' 24"

Date de création du fichier: 2019-11-29 02:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052235         2000/06/09          0.078          J
052235         2000/06/10          0.135          R
052235         2000/06/11          0.325          R
052235         2000/06/12          0.196          R
052235         2000/06/13          0.124          R
052235         2000/06/14          0.112          R
052235         2000/06/15          0.123          R
052235         2000/06/16          0.097          R
052235         2000/06/17          0.105          R
052235         2000/06/18          0.094          R
052235         2000/06/19          0.072          R
052235         2000/06/20          0.076          R
052235         2000/06/21          0.262          R
052235         2000/06/22          0.344          R
052235         2000/06/23          0.250          R
052235         2000/06/24          0.165          R
052235         2000/06/25          3.651          R
052235         2000/06/26          1.520          R
052235         2000/06/27          1.143          R
052235         2000/06/28          0.674          R
052235         2000/06/29          0.4508         MJ
052235         2000/06/30          0.6244         MJ
052235         2000/07/01          0.4907         MJ
052235         2000/07/02          0.4719         MJ
052235         2000/07/03          0.6891         MJ
052235         2000/07/04          0.4012         MJ
052235         2000/07/05          0.2645         MJ
052235         2000/07/06          0.1986         MJ
052235         2000/07/07          0.1902         MJ
052235         2000/07/08          0.2043         MJ
052235         2000/07/09          0.2294         MJ
052235         2000/07/10          0.2774         MJ
052235         2000/07/11          0.1939         MJ
052235         2000/07/12          0.1709         MJ
