Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2005-10-19
Station:        052236         Du Point du Jour - au pont-route de la traverse Hervieux à 1.5 km de la rivière l'Assomption                                                   
Bassin versant: 70.3 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 50' 57" // -73° 24' 31"

Date de création du fichier: 2012-07-01 04:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052236         2000/06/09          0.6703         MJ
052236         2000/06/10          0.6134         MJ
052236         2000/06/11          1.441          MJ
052236         2000/06/12          1.310          MJ
052236         2000/06/13          1.151          MJ
052236         2000/06/14          0.9705         MJ
052236         2000/06/15          1.030          MJ
052236         2000/06/16          2.389          MJ
052236         2000/06/17          1.246          MJ
052236         2000/06/18          0.5575         MJ
052236         2000/06/19          0.5748         MJ
052236         2000/06/20          0.6494         MJ
052236         2000/06/21          0.9345         MJ
052236         2000/06/22          1.317          MJ
052236         2000/06/23          1.185          MJ
052236         2000/06/24          0.959          MJ
052236         2000/06/25          2.373          MJ
052236         2000/06/26          4.725          MJ
052236         2000/06/27          2.225          MJ
052236         2000/06/28          1.679          MJ
052236         2000/06/29          1.303          MJ
052236         2000/06/30          1.197          MJ
052236         2000/07/01          1.125          MJ
052236         2000/07/02          1.052          MJ
052236         2000/07/03          1.133          MJ
052236         2000/07/04          1.019          MJ
052236         2000/07/05          0.3831         MJ
052236         2000/07/06          0.3267         MJ
052236         2000/07/07          0.6785         MJ
052236         2000/07/08          0.7697         MJ
052236         2000/07/09          0.7137         MJ
052236         2000/07/10          0.8833         MJ
052236         2000/07/11          0.8206         MJ
052236         2000/07/12          0.629          MJ
052236         2000/07/13          0.4891         MJ
052236         2000/07/14          0.4449         MJ
052236         2000/07/15          0.3906         MJ
052236         2000/07/16          0.4318         MJ
052236         2000/07/17          0.4308         MJ
052236         2000/07/18          0.4503         MJ
052236         2000/07/19          0.3974         MJ
052236         2000/07/20          0.3081         MJ
052236         2000/07/21          0.082          E
052236         2000/07/22          0.117          E
052236         2000/07/23          0.148          E
052236         2000/07/24          0.157          E
052236         2000/07/25          0.074          E
052236         2000/07/26          0.029          E
052236         2000/07/27          0.067          E
052236         2000/07/28          0.227          E
052236         2000/07/29          0.139          E
052236         2000/07/30          0.094          E
052236         2000/07/31          0.117          E
052236         2000/08/01          0.2418         MJ
052236         2000/08/02          0.3524         MJ
052236         2000/08/03          0.3304         MJ
052236         2000/08/04          0.3483         MJ
052236         2000/08/05          0.2955         MJ
052236         2000/08/06          0.2431         MJ
052236         2000/08/07          0.2508         MJ
052236         2000/08/08          0.284          MJ
052236         2000/08/09          0.3067         MJ
052236         2000/08/10          0.3107         MJ
052236         2000/08/11          0.2462         MJ
052236         2000/08/12          0.2062         MJ
052236         2000/08/13          0.148          S
052236         2000/08/14          0.148          S
052236         2000/08/15          0.133          S
052236         2000/08/16          0.3875         MJ
052236         2000/08/17          0.3782         MJ
052236         2000/08/18          0.2805         MJ
052236         2000/08/19          0.3239         MJ
052236         2000/08/20          0.495          MJ
052236         2000/08/21          0.2704         MJ
052236         2000/08/22          0.2086         MJ
052236         2000/08/23          0.2315         MJ
052236         2000/08/24          0.2931         MJ
052236         2000/08/25          0.2874         MJ
052236         2000/08/26          0.2324         MJ
052236         2000/08/27          0.2677         MJ
052236         2000/08/28          0.2454         MJ
052236         2000/08/29          0.2583         MJ
052236         2000/08/30          0.2136         MJ
052236         2000/08/31          0.1888         MJ
052236         2000/09/01          0.1995         MJ
052236         2000/09/02          0.3894         MJ
052236         2000/09/03          0.3673         MJ
052236         2000/09/04          0.2984         MJ
052236         2000/09/05          0.2423         MJ
052236         2000/09/06          0.1843         MJ
052236         2000/09/07          0.1866         MJ
052236         2000/09/08          0.1851         MJ
052236         2000/09/09          0.1712         MJ
052236         2000/09/10          0.1738         MJ
052236         2000/09/11          0.4913         MJ
